dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.333640,22.047595,0.000006,0.000599,0.029963,1.498161,1.250447
0.020000,2.333641,22.047596,0.000008,0.000080,-0.025961,-2.796198,1.250446
0.020000,2.333642,22.047599,0.000010,0.000133,0.002668,1.431456,1.250443
0.020000,2.333643,22.047602,0.000014,0.000187,0.002668,0.000005,1.250439
0.020000,2.333644,22.047607,0.000019,0.000240,0.002669,0.000007,1.250433
0.020000,2.333646,22.047612,0.000025,0.000294,0.002669,0.000008,1.250427
0.020000,2.333648,22.047619,0.000032,0.000347,0.002669,0.000010,1.250419
0.020000,2.333651,22.047626,0.000040,0.000400,0.002669,0.000012,1.250410
0.020000,2.333654,22.047635,0.000049,0.000454,0.002669,0.000014,1.250400
0.020000,2.333657,22.047645,0.000059,0.000507,0.002670,0.000016,1.250389
0.020000,2.333660,22.047655,0.000070,0.000560,0.002670,0.000018,1.250377
0.020000,2.333664,22.047667,0.000082,0.000614,0.002671,0.000020,1.250363
0.020000,2.333668,22.047680,0.000096,0.000667,0.002671,0.000021,1.250348
0.020000,2.333673,22.047693,0.000110,0.000721,0.002671,0.000023,1.250333
0.020000,2.333678,22.047708,0.000126,0.000774,0.002672,0.000025,1.250315
0.020000,2.333683,22.047724,0.000142,0.000828,0.002673,0.000027,1.250297
0.020000,2.333689,22.047741,0.000160,0.000881,0.002673,0.000029,1.250278
0.020000,2.333694,22.047758,0.000178,0.000935,0.002674,0.000031,1.250257
0.020000,2.333701,22.047777,0.000198,0.000988,0.002674,0.000033,1.250235
0.020000,2.333707,22.047797,0.000219,0.001042,0.002675,0.000035,1.250212
0.020000,2.333714,22.047818,0.000241,0.001095,0.002676,0.000036,1.250188
0.020000,2.333721,22.047839,0.000264,0.001149,0.002677,0.000038,1.250163
0.020000,2.333729,22.047862,0.000288,0.001202,0.002677,0.000040,1.250136
0.020000,2.333737,22.047886,0.000313,0.001256,0.002678,0.000042,1.250109
0.020000,2.333745,22.047911,0.000339,0.001309,0.002679,0.000044,1.250080
0.020000,2.333754,22.047937,0.000366,0.001363,0.002680,0.000046,1.250050
0.020000,2.333763,22.047964,0.000395,0.001417,0.002681,0.000048,1.250018
0.020000,2.333772,22.047992,0.000424,0.001470,0.002682,0.000050,1.249986
0.020000,2.333782,22.048020,0.000455,0.001524,0.002683,0.000052,1.249952
0.020000,2.333792,22.048050,0.000486,0.001577,0.002684,0.000053,1.249917
0.020000,2.333802,22.048081,0.000519,0.001631,0.002685,0.000055,1.249881
0.020000,2.333812,22.048113,0.000553,0.001685,0.002686,0.000057,1.249844
0.020000,2.333823,22.048146,0.000587,0.001739,0.002687,0.000059,1.249806
0.020000,2.333835,22.048180,0.000623,0.001792,0.002689,0.000061,1.249766
0.020000,2.333846,22.048215,0.000660,0.001846,0.002690,0.000063,1.249726
0.020000,2.333858,22.048251,0.000698,0.001900,0.002691,0.000065,1.249684
0.020000,2.333871,22.048289,0.000737,0.001954,0.002693,0.000067,1.249641
0.020000,2.333883,22.048327,0.000777,0.002008,0.002694,0.000069,1.249596
0.020000,2.333896,22.048366,0.000819,0.002062,0.002695,0.000071,1.249551
0.020000,2.333910,22.048406,0.000861,0.002116,0.002697,0.000072,1.249504
0.020000,2.333923,22.048447,0.000904,0.002170,0.002698,0.000074,1.249456
0.020000,2.333938,22.048489,0.000949,0.002224,0.002700,0.000076,1.249407
0.020000,2.333952,22.048532,0.000994,0.002278,0.002701,0.000078,1.249357
0.020000,2.333967,22.048577,0.001041,0.002332,0.002703,0.000080,1.249305
0.020000,2.333982,22.048622,0.001089,0.002386,0.002705,0.000082,1.249253
0.020000,2.333997,22.048668,0.001137,0.002440,0.002706,0.000084,1.249199
0.020000,2.334013,22.048716,0.001187,0.002494,0.002708,0.000086,1.249144
0.020000,2.334029,22.048764,0.001238,0.002548,0.002710,0.000088,1.249088
0.020000,2.334096,22.048963,0.001449,0.010515,0.398321,19.780574,1.249030
0.020000,2.334300,22.049578,0.002096,0.032374,1.092980,34.732927,1.248971
0.020000,2.334509,22.050204,0.002757,0.033024,0.032507,-53.023664,1.248911
0.020000,2.334722,22.050843,0.003430,0.033674,0.032495,-0.000583,1.248850
0.020000,2.334940,22.051494,0.004117,0.034324,0.032483,-0.000594,1.248788
0.020000,2.335161,22.052158,0.004816,0.034973,0.032471,-0.000606,1.248724
0.020000,2.335386,22.052834,0.005528,0.035623,0.032459,-0.000617,1.248660
0.020000,2.335616,22.053522,0.006254,0.036271,0.032446,-0.000628,1.248594
0.020000,2.335850,22.054222,0.006992,0.036920,0.032433,-0.000640,1.248527
0.020000,2.336088,22.054935,0.007744,0.037569,0.032420,-0.000651,1.248458
0.020000,2.336330,22.055660,0.008508,0.038217,0.032407,-0.000662,1.248389
0.020000,2.336576,22.056397,0.009285,0.038865,0.032393,-0.000674,1.248318
0.020000,2.336827,22.057147,0.010076,0.039512,0.032380,-0.000685,1.248246
0.020000,2.337082,22.057908,0.010879,0.040159,0.032366,-0.000696,1.248173
0.020000,2.337340,22.058682,0.011695,0.040807,0.032352,-0.000708,1.248098
0.020000,2.337603,22.059469,0.012524,0.041453,0.032337,-0.000719,1.248023
0.020000,2.337870,22.060267,0.013366,0.042100,0.032323,-0.000730,1.247946
0.020000,2.338142,22.061078,0.014221,0.042746,0.032308,-0.000741,1.247868
0.020000,2.338417,22.061901,0.015089,0.043392,0.032293,-0.000753,1.247788
0.020000,2.338697,22.062736,0.015969,0.044037,0.032278,-0.000764,1.247708
