dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.193785,21.762219,0.000006,0.000599,0.029963,1.498161,1.250447
0.020000,3.193785,21.762219,0.000024,0.001199,0.029963,0.000000,1.250446
0.020000,3.193785,21.762219,0.000054,0.001798,0.029963,0.000000,1.250443
0.020000,3.193785,21.762219,0.000096,0.002397,0.029963,0.000000,1.250439
0.020000,3.193785,21.762219,0.000150,0.002996,0.029963,0.000000,1.250433
0.020000,3.193785,21.762219,0.000216,0.003596,0.029963,0.000000,1.250427
0.020000,3.193785,21.762219,0.000294,0.004195,0.029963,-0.000000,1.250419
0.020000,3.193785,21.762219,0.000384,0.004794,0.029963,0.000000,1.250410
0.020000,3.193785,21.762219,0.000485,0.005393,0.029963,0.000000,1.250400
0.020000,3.193785,21.762219,0.000599,0.005993,0.029963,-0.000000,1.250389
0.020000,3.193785,21.762219,0.000725,0.006592,0.029963,0.000000,1.250377
0.020000,3.193785,21.762219,0.000863,0.007191,0.029963,0.000000,1.250363
0.020000,3.193785,21.762219,0.001013,0.007790,0.029963,0.000000,1.250348
0.020000,3.193785,21.762219,0.001175,0.008390,0.029963,-0.000000,1.250333
0.020000,3.193785,21.762219,0.001348,0.008989,0.029963,0.000000,1.250315
0.020000,3.193785,21.762219,0.001534,0.009588,0.029963,-0.000000,1.250297
0.020000,3.193785,21.762219,0.001732,0.010187,0.029963,0.000000,1.250278
0.020000,3.193785,21.762219,0.001942,0.010787,0.029963,0.000000,1.250257
0.020000,3.193785,21.762219,0.002163,0.011386,0.029963,-0.000000,1.250235
0.020000,3.193785,21.762219,0.002397,0.011985,0.029963,0.000000,1.250212
0.020000,3.193785,21.762219,0.002643,0.012585,0.029963,0.000000,1.250188
0.020000,3.193785,21.762219,0.002900,0.013184,0.029963,-0.000000,1.250163
0.020000,3.193785,21.762219,0.003170,0.013783,0.029963,0.000000,1.250136
0.020000,3.193785,21.762219,0.003452,0.014382,0.029963,0.000000,1.250109
0.020000,3.193785,21.762219,0.003745,0.014982,0.029963,0.000000,1.250080
0.020000,3.193785,21.762219,0.004051,0.015581,0.029963,0.000000,1.250050
0.020000,3.193785,21.762219,0.004369,0.016180,0.029963,0.000000,1.250018
0.020000,3.193785,21.762219,0.004698,0.016779,0.029963,-0.000000,1.249986
0.020000,3.193785,21.762219,0.005040,0.017379,0.029963,0.000000,1.249952
0.020000,3.193785,21.762219,0.005393,0.017978,0.029963,0.000000,1.249917
0.020000,3.193785,21.762219,0.005759,0.018577,0.029963,-0.000000,1.249881
0.020000,3.193785,21.762219,0.006136,0.019176,0.029963,0.000000,1.249844
0.020000,3.193785,21.762219,0.006526,0.019776,0.029963,0.000000,1.249806
0.020000,3.193785,21.762219,0.006927,0.020375,0.029963,-0.000000,1.249766
0.020000,3.193785,21.762219,0.007341,0.020974,0.029963,0.000000,1.249726
0.020000,3.193785,21.762219,0.007766,0.021574,0.029963,0.000000,1.249684
