dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.053930,21.476842,0.000006,0.000599,0.029963,1.498161,1.250447
0.020000,4.053930,21.476841,0.000008,0.000080,-0.025961,-2.796198,1.250446
0.020000,4.053929,21.476838,0.000010,0.000133,0.002668,1.431456,1.250443
0.020000,4.053928,21.476835,0.000014,0.000187,0.002668,0.000005,1.250439
0.020000,4.053926,21.476830,0.000019,0.000240,0.002669,0.000007,1.250433
0.020000,4.053924,21.476825,0.000025,0.000294,0.002669,0.000008,1.250427
0.020000,4.053922,21.476818,0.000032,0.000347,0.002669,0.000010,1.250419
0.020000,4.053920,21.476811,0.000040,0.000400,0.002669,0.000012,1.250410
0.020000,4.053917,21.476802,0.000049,0.000454,0.002669,0.000014,1.250400
0.020000,4.053914,21.476792,0.000059,0.000507,0.002670,0.000016,1.250389
0.020000,4.053910,21.476782,0.000070,0.000560,0.002670,0.000018,1.250377
0.020000,4.053906,21.476770,0.000082,0.000614,0.002671,0.000020,1.250363
0.020000,4.053902,21.476757,0.000096,0.000667,0.002671,0.000021,1.250348
0.020000,4.053898,21.476744,0.000110,0.000721,0.002671,0.000023,1.250333
0.020000,4.053893,21.476729,0.000126,0.000774,0.002672,0.000025,1.250315
0.020000,4.053887,21.476713,0.000142,0.000828,0.002673,0.000027,1.250297
0.020000,4.053882,21.476697,0.000160,0.000881,0.002673,0.000029,1.250278
0.020000,4.053876,21.476679,0.000178,0.000935,0.002674,0.000031,1.250257
0.020000,4.053870,21.476660,0.000198,0.000988,0.002674,0.000033,1.250235
0.020000,4.053863,21.476640,0.000219,0.001042,0.002675,0.000035,1.250212
0.020000,4.053856,21.476619,0.000241,0.001095,0.002676,0.000036,1.250188
0.020000,4.053849,21.476598,0.000264,0.001149,0.002677,0.000038,1.250163
0.020000,4.053841,21.476575,0.000288,0.001202,0.002677,0.000040,1.250136
0.020000,4.053834,21.476551,0.000313,0.001256,0.002678,0.000042,1.250109
0.020000,4.053825,21.476526,0.000339,0.001309,0.002679,0.000044,1.250080
0.020000,4.053817,21.476500,0.000366,0.001363,0.002680,0.000046,1.250050
0.020000,4.053808,21.476473,0.000395,0.001417,0.002681,0.000048,1.250018
0.020000,4.053799,21.476445,0.000424,0.001470,0.002682,0.000050,1.249986
0.020000,4.053789,21.476417,0.000455,0.001524,0.002683,0.000052,1.249952
0.020000,4.053779,21.476387,0.000486,0.001577,0.002684,0.000053,1.249917
0.020000,4.053769,21.476356,0.000519,0.001631,0.002685,0.000055,1.249881
0.020000,4.053758,21.476324,0.000553,0.001685,0.002686,0.000057,1.249844
0.020000,4.053747,21.476291,0.000587,0.001739,0.002687,0.000059,1.249806
0.020000,4.053736,21.476257,0.000623,0.001792,0.002689,0.000061,1.249766
0.020000,4.053724,21.476222,0.000660,0.001846,0.002690,0.000063,1.249726
0.020000,4.053712,21.476186,0.000698,0.001900,0.002691,0.000065,1.249684
0.020000,4.053700,21.476149,0.000737,0.001954,0.002693,0.000067,1.249641
0.020000,4.053687,21.476110,0.000777,0.002008,0.002694,0.000069,1.249596
0.020000,4.053674,21.476071,0.000819,0.002062,0.002695,0.000071,1.249551
0.020000,4.053661,21.476031,0.000861,0.002116,0.002697,0.000072,1.249504
0.020000,4.053647,21.475990,0.000904,0.002170,0.002698,0.000074,1.249456
0.020000,4.053633,21.475948,0.000949,0.002224,0.002700,0.000076,1.249407
0.020000,4.053619,21.475905,0.000994,0.002278,0.002701,0.000078,1.249357
0.020000,4.053604,21.475860,0.001041,0.002332,0.002703,0.000080,1.249305
0.020000,4.053589,21.475815,0.001089,0.002386,0.002705,0.000082,1.249253
0.020000,4.053573,21.475769,0.001137,0.002440,0.002706,0.000084,1.249199
0.020000,4.053558,21.475721,0.001187,0.002494,0.002708,0.000086,1.249144
0.020000,4.053541,21.475673,0.001238,0.002548,0.002710,0.000088,1.249088
0.020000,4.053575,21.475774,0.001344,0.005307,0.137945,6.761764,1.249030
0.020000,4.053746,21.476287,0.001885,0.027051,1.087207,47.463108,1.248971
0.020000,4.053921,21.476811,0.002437,0.027593,0.027066,-53.007051,1.248911
0.020000,4.054099,21.477344,0.003000,0.028134,0.027051,-0.000775,1.248850
0.020000,4.054280,21.477888,0.003574,0.028674,0.027035,-0.000790,1.248788
0.020000,4.054465,21.478443,0.004158,0.029215,0.027019,-0.000805,1.248724
0.020000,4.054654,21.479007,0.004753,0.029755,0.027002,-0.000820,1.248660
0.020000,4.054845,21.479582,0.005359,0.030294,0.026986,-0.000836,1.248594
0.020000,4.055041,21.480167,0.005975,0.030834,0.026969,-0.000851,1.248527
0.020000,4.055239,21.480762,0.006603,0.031373,0.026951,-0.000866,1.248458
0.020000,4.055442,21.481367,0.007241,0.031912,0.026934,-0.000881,1.248389
0.020000,4.055647,21.481983,0.007890,0.032450,0.026916,-0.000897,1.248318
0.020000,4.055856,21.482609,0.008550,0.032988,0.026898,-0.000912,1.248246
0.020000,4.056069,21.483244,0.009220,0.033525,0.026879,-0.000927,1.248173
0.020000,4.056285,21.483891,0.009902,0.034063,0.026860,-0.000942,1.248098
0.020000,4.056504,21.484547,0.010594,0.034599,0.026841,-0.000958,1.248023
0.020000,4.056727,21.485213,0.011296,0.035136,0.026822,-0.000973,1.247946
0.020000,4.056954,21.485890,0.012010,0.035672,0.026802,-0.000988,1.247868
0.020000,4.057184,21.486576,0.012734,0.036208,0.026782,-0.001003,1.247788
0.020000,4.057417,21.487273,0.013469,0.036743,0.026761,-0.001019,1.247708
0.020000,4.057654,21.487981,0.014215,0.037293,0.027510,0.037446,1.247626
0.020000,4.057895,21.488700,0.014974,0.037946,0.032670,0.257978,1.247543
0.020000,4.058139,21.489430,0.015743,0.038482,0.026792,-0.293916,1.247459
0.020000,4.058387,21.490170,0.016524,0.039018,0.026770,-0.001087,1.247373
0.020000,4.058639,21.490920,0.017315,0.039553,0.026748,-0.001102,1.247286
0.020000,4.058894,21.491680,0.018116,0.040087,0.026725,-0.001118,1.247198
0.020000,4.059152,21.492450,0.018929,0.040621,0.026703,-0.001133,1.247108
0.020000,4.059414,21.493231,0.019752,0.041155,0.026680,-0.001148,1.247018
0.020000,4.059679,21.494021,0.020586,0.041688,0.026656,-0.001164,1.246926
0.020000,4.059948,21.494822,0.021430,0.042220,0.026633,-0.001179,1.246833
0.020000,4.060220,21.495632,0.022285,0.042753,0.026609,-0.001194,1.246739
0.020000,4.060496,21.496453,0.023151,0.043284,0.026585,-0.001210,1.246643
0.020000,4.060775,21.497283,0.024027,0.043816,0.026560,-0.001225,1.246546
0.020000,4.061058,21.498124,0.024914,0.044346,0.026536,-0.001240,1.246448
0.020000,4.061344,21.498975,0.025812,0.044876,0.026510,-0.001255,1.246349
0.020000,4.061633,21.499836,0.026720,0.045406,0.026485,-0.001271,1.246249
0.020000,4.061927,21.500708,0.027641,0.046049,0.032161,0.283807,1.246147
0.020000,4.062224,21.501592,0.028573,0.046629,0.028999,-0.158115,1.246043
0.020000,4.062525,21.502486,0.029516,0.047159,0.026498,-0.125033,1.245939
0.020000,4.062830,21.503390,0.030470,0.047689,0.026471,-0.001341,1.245833
0.020000,4.063138,21.504304,0.031435,0.048218,0.026444,-0.001356,1.245726
0.020000,4.063449,21.505228,0.032410,0.048746,0.026417,-0.001372,1.245617
0.020000,4.063764,21.506162,0.033395,0.049274,0.026389,-0.001387,1.245508
0.020000,4.064082,21.507105,0.034391,0.049801,0.026361,-0.001402,1.245397
0.020000,4.064404,21.508059,0.035398,0.050328,0.026333,-0.001418,1.245285
0.020000,4.064730,21.509023,0.036415,0.050854,0.026304,-0.001433,1.245171
0.020000,4.065058,21.509996,0.037442,0.051379,0.026275,-0.001448,1.245057
0.020000,4.065391,21.510980,0.038480,0.051904,0.026246,-0.001464,1.244941
0.020000,4.065726,21.511973,0.039529,0.052428,0.026216,-0.001479,1.244824
0.020000,4.066066,21.512979,0.040591,0.053091,0.033117,0.345038,1.244705
0.020000,4.066410,21.513996,0.041664,0.053666,0.028753,-0.218176,1.244585
0.020000,4.066758,21.515022,0.042748,0.054190,0.026215,-0.126919,1.244463
0.020000,4.067109,21.516059,0.043842,0.054714,0.026184,-0.001551,1.244340
0.020000,4.067463,21.517105,0.044947,0.055237,0.026153,-0.001566,1.244216
0.020000,4.067821,21.518161,0.046062,0.055759,0.026121,-0.001582,1.244091
0.020000,4.068182,21.519228,0.047188,0.056281,0.026089,-0.001597,1.243965
0.020000,4.068547,21.520303,0.048324,0.056802,0.026057,-0.001612,1.243837
0.020000,4.068915,21.521389,0.049470,0.057323,0.026024,-0.001628,1.243708
0.020000,4.069287,21.522485,0.050627,0.057843,0.025991,-0.001643,1.243577
0.020000,4.069662,21.523590,0.051794,0.058362,0.025958,-0.001658,1.243445
0.020000,4.070041,21.524706,0.052973,0.058953,0.029552,0.179689,1.243312
0.020000,4.070425,21.525835,0.054165,0.059610,0.032863,0.165568,1.243177
0.020000,4.070812,21.526974,0.055368,0.060129,0.025945,-0.345937,1.243041
0.020000,4.071202,21.528122,0.056581,0.060647,0.025910,-0.001732,1.242904
0.020000,4.071596,21.529280,0.057804,0.061165,0.025875,-0.001747,1.242765
0.020000,4.071994,21.530448,0.059038,0.061681,0.025840,-0.001763,1.242625
0.020000,4.072395,21.531625,0.060282,0.062198,0.025804,-0.001778,1.242484
0.020000,4.072800,21.532813,0.061536,0.062713,0.025768,-0.001794,1.242341
0.020000,4.073208,21.534010,0.062801,0.063228,0.025732,-0.001809,1.242197
0.020000,4.073619,21.535216,0.064076,0.063741,0.025696,-0.001824,1.242052
0.020000,4.074034,21.536433,0.065361,0.064272,0.026528,0.041627,1.241905
0.020000,4.074454,21.537663,0.066661,0.064999,0.036328,0.489984,1.241757
0.020000,4.074878,21.538903,0.067971,0.065512,0.025670,-0.532875,1.241607
0.020000,4.075305,21.540153,0.069292,0.066025,0.025632,-0.001899,1.241456
0.020000,4.075735,21.541412,0.070622,0.066537,0.025594,-0.001915,1.241304
0.020000,4.076169,21.542680,0.071963,0.067048,0.025556,-0.001930,1.241150
0.020000,4.076607,21.543959,0.073315,0.067558,0.025517,-0.001946,1.240995
0.020000,4.077047,21.545247,0.074676,0.068068,0.025477,-0.001961,1.240838
0.020000,4.077492,21.546544,0.076047,0.068576,0.025438,-0.001976,1.240680
0.020000,4.077940,21.547851,0.077429,0.069084,0.025398,-0.001992,1.240521
0.020000,4.078393,21.549171,0.078824,0.069756,0.033563,0.408270,1.240360
0.020000,4.078849,21.550502,0.080231,0.070349,0.029654,-0.195468,1.240198
0.020000,4.079309,21.551842,0.081648,0.070856,0.025361,-0.214668,1.240034
0.020000,4.079773,21.553192,0.083076,0.071362,0.025319,-0.002068,1.239869
0.020000,4.080240,21.554551,0.084513,0.071868,0.025278,-0.002084,1.239703
0.020000,4.080711,21.555920,0.085960,0.072372,0.025236,-0.002099,1.239535
0.020000,4.081185,21.557298,0.087418,0.072876,0.025193,-0.002114,1.239366
0.020000,4.081662,21.558686,0.088885,0.073379,0.025151,-0.002130,1.239195
0.020000,4.082144,21.560083,0.090363,0.073881,0.025108,-0.002145,1.239023
0.020000,4.082630,21.561494,0.091856,0.074627,0.037281,0.608642,1.238849
0.020000,4.083120,21.562915,0.093359,0.075152,0.026220,-0.553026,1.238674
0.020000,4.083613,21.564346,0.094872,0.075653,0.025059,-0.058040,1.238497
0.020000,4.084110,21.565785,0.096395,0.076153,0.025015,-0.002223,1.238319
0.020000,4.084611,21.567234,0.097928,0.076652,0.024970,-0.002238,1.238140
0.020000,4.085115,21.568693,0.099471,0.077151,0.024925,-0.002254,1.237959
0.020000,4.085622,21.570160,0.101024,0.077649,0.024880,-0.002269,1.237776
0.020000,4.086133,21.571637,0.102587,0.078145,0.024834,-0.002285,1.237593
0.020000,4.086649,21.573128,0.104164,0.078847,0.035069,0.511725,1.237407
0.020000,4.087169,21.574628,0.105752,0.079420,0.028659,-0.320463,1.237220
0.020000,4.087693,21.576139,0.107350,0.079915,0.024775,-0.194195,1.237031
0.020000,4.088220,21.577658,0.108959,0.080410,0.024728,-0.002363,1.236841
0.020000,4.088750,21.579187,0.110577,0.080903,0.024681,-0.002379,1.236650
0.020000,4.089284,21.580724,0.112205,0.081396,0.024633,-0.002394,1.236457
0.020000,4.089822,21.582271,0.113842,0.081888,0.024584,-0.002410,1.236263
0.020000,4.090363,21.583828,0.115490,0.082380,0.024593,0.000437,1.236067
0.020000,4.090910,21.585399,0.117153,0.083166,0.039325,0.736580,1.235869
0.020000,4.091460,21.586979,0.118826,0.083656,0.024517,-0.740409,1.235670
0.020000,4.092013,21.588568,0.120509,0.084146,0.024467,-0.002490,1.235469
0.020000,4.092570,21.590166,0.122202,0.084634,0.024417,-0.002505,1.235267
0.020000,4.093131,21.591774,0.123904,0.085121,0.024366,-0.002521,1.235064
0.020000,4.093695,21.593390,0.125616,0.085608,0.024316,-0.002536,1.234859
0.020000,4.094263,21.595016,0.127338,0.086093,0.024265,-0.002552,1.234652
0.020000,4.094836,21.596654,0.129074,0.086789,0.034780,0.525792,1.234444
0.020000,4.095413,21.598304,0.130822,0.087374,0.029258,-0.276121,1.234233
0.020000,4.095993,21.599962,0.132579,0.087858,0.024186,-0.253596,1.234022
0.020000,4.096577,21.601630,0.134346,0.088340,0.024133,-0.002633,1.233809
0.020000,4.097165,21.603306,0.136122,0.088822,0.024080,-0.002648,1.233594
0.020000,4.097756,21.604992,0.137908,0.089302,0.024027,-0.002664,1.233378
0.020000,4.098351,21.606686,0.139704,0.089782,0.023974,-0.002680,1.233160
0.020000,4.098950,21.608394,0.141513,0.090487,0.035255,0.564051,1.232941
0.020000,4.099554,21.610112,0.143335,0.091064,0.028878,-0.318828,1.232719
0.020000,4.100162,21.611839,0.145166,0.091542,0.023885,-0.249630,1.232497
0.020000,4.100773,21.613575,0.147006,0.092019,0.023830,-0.002762,1.232272
0.020000,4.101387,21.615320,0.148856,0.092494,0.023775,-0.002777,1.232046
0.020000,4.102005,21.617073,0.150715,0.092969,0.023719,-0.002793,1.231819
0.020000,4.102627,21.618836,0.152584,0.093448,0.023971,0.012608,1.231590
0.020000,4.103254,21.620613,0.154469,0.094253,0.040249,0.813909,1.231359
0.020000,4.103885,21.622400,0.156364,0.094726,0.023622,-0.831348,1.231126
0.020000,4.104520,21.624195,0.158268,0.095197,0.023565,-0.002876,1.230892
0.020000,4.105158,21.625999,0.160181,0.095667,0.023507,-0.002892,1.230656
0.020000,4.105800,21.627811,0.162104,0.096136,0.023449,-0.002907,1.230419
0.020000,4.106445,21.629632,0.164036,0.096604,0.023390,-0.002923,1.230180
0.020000,4.107095,21.631466,0.165981,0.097285,0.034048,0.532888,1.229939
0.020000,4.107750,21.633311,0.167939,0.097888,0.030178,-0.193515,1.229696
0.020000,4.108408,21.635165,0.169906,0.098354,0.023284,-0.344706,1.229452
0.020000,4.109070,21.637027,0.171883,0.098818,0.023223,-0.003007,1.229206
0.020000,4.109735,21.638898,0.173868,0.099282,0.023163,-0.003023,1.228958
0.020000,4.110404,21.640777,0.175863,0.099744,0.023102,-0.003038,1.228709
0.020000,4.111078,21.642668,0.177871,0.100366,0.031104,0.400104,1.228458
0.020000,4.111756,21.644571,0.179891,0.101028,0.033131,0.101334,1.228205
0.020000,4.112438,21.646483,0.181921,0.101488,0.022987,-0.507214,1.227950
0.020000,4.113124,21.648403,0.183960,0.101947,0.022924,-0.003124,1.227693
