dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.327712,10.890874,0.000006,0.000554,0.027718,1.385896,4.714203
0.020000,24.327712,10.890872,0.000007,0.000094,-0.023038,-2.537789,4.714201
0.020000,24.327712,10.890869,0.000011,0.000156,0.003120,1.307897,4.714198
0.020000,24.327712,10.890864,0.000015,0.000218,0.003120,0.000003,4.714193
0.020000,24.327712,10.890859,0.000021,0.000281,0.003120,0.000005,4.714187
0.020000,24.327712,10.890852,0.000027,0.000343,0.003120,0.000006,4.714179
0.020000,24.327712,10.890844,0.000035,0.000406,0.003120,0.000007,4.714170
0.020000,24.327712,10.890834,0.000045,0.000468,0.003121,0.000008,4.714160
0.020000,24.327712,10.890824,0.000055,0.000530,0.003121,0.000010,4.714148
0.020000,24.327712,10.890812,0.000067,0.000593,0.003121,0.000011,4.714135
0.020000,24.327712,10.890799,0.000080,0.000655,0.003121,0.000012,4.714121
0.020000,24.327712,10.890784,0.000095,0.000718,0.003122,0.000014,4.714105
0.020000,24.327712,10.890769,0.000110,0.000780,0.003122,0.000015,4.714088
0.020000,24.327712,10.890752,0.000127,0.000843,0.003122,0.000016,4.714069
0.020000,24.327712,10.890734,0.000145,0.000905,0.003123,0.000017,4.714049
0.020000,24.327712,10.890714,0.000165,0.000968,0.003123,0.000019,4.714028
0.020000,24.327712,10.890694,0.000185,0.001030,0.003123,0.000020,4.714005
0.020000,24.327712,10.890672,0.000207,0.001092,0.003124,0.000021,4.713981
0.020000,24.327712,10.890649,0.000230,0.001155,0.003124,0.000023,4.713956
0.020000,24.327712,10.890625,0.000255,0.001217,0.003125,0.000024,4.713929
0.020000,24.327712,10.890599,0.000280,0.001280,0.003125,0.000025,4.713900
0.020000,24.327713,10.890572,0.000307,0.001342,0.003126,0.000027,4.713871
0.020000,24.327713,10.890544,0.000335,0.001405,0.003126,0.000028,4.713840
0.020000,24.327713,10.890515,0.000364,0.001468,0.003127,0.000029,4.713807
0.020000,24.327713,10.890484,0.000395,0.001530,0.003127,0.000030,4.713774
0.020000,24.327713,10.890452,0.000427,0.001593,0.003128,0.000032,4.713738
0.020000,24.327713,10.890419,0.000460,0.001655,0.003129,0.000033,4.713702
0.020000,24.327713,10.890385,0.000494,0.001718,0.003129,0.000034,4.713664
0.020000,24.327713,10.890349,0.000530,0.001780,0.003130,0.000036,4.713625
0.020000,24.327713,10.890312,0.000567,0.001843,0.003131,0.000037,4.713584
0.020000,24.327713,10.890274,0.000605,0.001906,0.003132,0.000038,4.713542
0.020000,24.327713,10.890235,0.000644,0.001968,0.003132,0.000040,4.713499
0.020000,24.327713,10.890194,0.000685,0.002031,0.003133,0.000041,4.713454
0.020000,24.327713,10.890152,0.000727,0.002094,0.003134,0.000042,4.713408
0.020000,24.327713,10.890109,0.000770,0.002156,0.003135,0.000043,4.713360
0.020000,24.327713,10.890065,0.000814,0.002219,0.003136,0.000045,4.713311
0.020000,24.327713,10.890019,0.000860,0.002282,0.003137,0.000046,4.713261
0.020000,24.327713,10.889972,0.000907,0.002345,0.003138,0.000047,4.713209
0.020000,24.327713,10.889924,0.000955,0.002407,0.003139,0.000049,4.713156
0.020000,24.327713,10.889875,0.001004,0.002470,0.003140,0.000050,4.713101
0.020000,24.327713,10.889824,0.001055,0.002533,0.003141,0.000051,4.713045
0.020000,24.327713,10.889772,0.001107,0.002596,0.003142,0.000053,4.712988
0.020000,24.327713,10.889719,0.001160,0.002659,0.003143,0.000054,4.712929
0.020000,24.327713,10.889665,0.001215,0.002722,0.003144,0.000055,4.712869
0.020000,24.327713,10.889609,0.001270,0.002784,0.003145,0.000057,4.712808
0.020000,24.327713,10.889552,0.001327,0.002847,0.003146,0.000058,4.712745
0.020000,24.327713,10.889494,0.001385,0.002910,0.003147,0.000059,4.712681
0.020000,24.327713,10.889434,0.001445,0.002973,0.003149,0.000060,4.712615
0.020000,24.327714,10.889374,0.001506,0.003036,0.003150,0.000062,4.712548
0.020000,24.327714,10.889312,0.001568,0.003099,0.003151,0.000063,4.712480
0.020000,24.327714,10.889248,0.001631,0.003162,0.003152,0.000064,4.712410
0.020000,24.327714,10.888781,0.002098,0.023370,1.010369,50.360836,4.712339
0.020000,24.327713,10.888132,0.002747,0.032430,0.453010,-27.867972,4.712266
0.020000,24.327713,10.887471,0.003408,0.033045,0.030758,-21.112575,4.712192
0.020000,24.327713,10.886798,0.004081,0.033660,0.030751,-0.000359,4.712117
0.020000,24.327713,10.886113,0.004766,0.034275,0.030744,-0.000366,4.712040
0.020000,24.327713,10.885415,0.005464,0.034890,0.030736,-0.000373,4.711961
0.020000,24.327712,10.884705,0.006174,0.035504,0.030729,-0.000379,4.711882
0.020000,24.327712,10.883982,0.006897,0.036119,0.030721,-0.000386,4.711801
0.020000,24.327712,10.883248,0.007631,0.036733,0.030713,-0.000393,4.711718
0.020000,24.327711,10.882501,0.008378,0.037347,0.030705,-0.000399,4.711634
