dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.421464,10.889229,0.000006,0.000554,0.027718,1.385896,4.714203
0.020000,23.421464,10.889229,0.000022,0.001109,0.027718,0.000000,4.714201
0.020000,23.421464,10.889229,0.000050,0.001663,0.027718,0.000000,4.714198
0.020000,23.421464,10.889229,0.000089,0.002217,0.027718,0.000000,4.714193
0.020000,23.421464,10.889229,0.000139,0.002772,0.027718,-0.000000,4.714187
0.020000,23.421464,10.889229,0.000200,0.003326,0.027718,0.000000,4.714179
0.020000,23.421464,10.889229,0.000272,0.003881,0.027718,-0.000000,4.714170
0.020000,23.421464,10.889229,0.000355,0.004435,0.027718,0.000000,4.714160
0.020000,23.421464,10.889229,0.000449,0.004989,0.027718,-0.000000,4.714148
0.020000,23.421464,10.889229,0.000554,0.005544,0.027718,-0.000000,4.714135
0.020000,23.421464,10.889229,0.000671,0.006098,0.027718,0.000000,4.714121
0.020000,23.421464,10.889229,0.000798,0.006652,0.027718,0.000000,4.714105
0.020000,23.421464,10.889229,0.000937,0.007207,0.027718,-0.000000,4.714088
0.020000,23.421464,10.889229,0.001087,0.007761,0.027718,0.000000,4.714069
0.020000,23.421464,10.889229,0.001247,0.008315,0.027718,0.000000,4.714049
0.020000,23.421464,10.889229,0.001419,0.008870,0.027718,-0.000000,4.714028
0.020000,23.421464,10.889229,0.001602,0.009424,0.027718,0.000000,4.714005
0.020000,23.421464,10.889229,0.001796,0.009978,0.027718,0.000000,4.713981
0.020000,23.421464,10.889229,0.002001,0.010533,0.027718,-0.000000,4.713956
0.020000,23.421464,10.889229,0.002217,0.011087,0.027718,0.000000,4.713929
0.020000,23.421464,10.889229,0.002445,0.011642,0.027718,0.000000,4.713900
0.020000,23.421464,10.889229,0.002683,0.012196,0.027718,-0.000000,4.713871
0.020000,23.421464,10.889229,0.002933,0.012750,0.027718,0.000000,4.713840
0.020000,23.421464,10.889229,0.003193,0.013305,0.027718,0.000000,4.713807
0.020000,23.421464,10.889229,0.003465,0.013859,0.027718,-0.000000,4.713774
0.020000,23.421464,10.889229,0.003747,0.014413,0.027718,0.000000,4.713738
0.020000,23.421464,10.889229,0.004041,0.014968,0.027718,0.000000,4.713702
0.020000,23.421464,10.889229,0.004346,0.015522,0.027718,0.000000,4.713664
0.020000,23.421464,10.889229,0.004662,0.016076,0.027718,0.000000,4.713625
