dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.515215,10.887585,0.000006,0.000554,0.027718,1.385896,4.714203
0.020000,22.515215,10.887587,0.000007,0.000094,-0.023038,-2.537789,4.714201
0.020000,22.515215,10.887590,0.000011,0.000156,0.003120,1.307897,4.714198
0.020000,22.515215,10.887594,0.000015,0.000218,0.003120,0.000003,4.714193
0.020000,22.515215,10.887600,0.000021,0.000281,0.003120,0.000005,4.714187
0.020000,22.515215,10.887607,0.000027,0.000343,0.003120,0.000006,4.714179
0.020000,22.515215,10.887615,0.000035,0.000406,0.003120,0.000007,4.714170
0.020000,22.515215,10.887624,0.000045,0.000468,0.003121,0.000008,4.714160
0.020000,22.515215,10.887635,0.000055,0.000530,0.003121,0.000010,4.714148
0.020000,22.515215,10.887647,0.000067,0.000593,0.003121,0.000011,4.714135
0.020000,22.515215,10.887660,0.000080,0.000655,0.003121,0.000012,4.714121
0.020000,22.515215,10.887674,0.000095,0.000718,0.003122,0.000014,4.714105
0.020000,22.515215,10.887690,0.000110,0.000780,0.003122,0.000015,4.714088
0.020000,22.515215,10.887707,0.000127,0.000843,0.003122,0.000016,4.714069
0.020000,22.515215,10.887725,0.000145,0.000905,0.003123,0.000017,4.714049
0.020000,22.515215,10.887744,0.000165,0.000968,0.003123,0.000019,4.714028
0.020000,22.515215,10.887765,0.000185,0.001030,0.003123,0.000020,4.714005
0.020000,22.515215,10.887786,0.000207,0.001092,0.003124,0.000021,4.713981
0.020000,22.515215,10.887810,0.000230,0.001155,0.003124,0.000023,4.713956
0.020000,22.515215,10.887834,0.000255,0.001217,0.003125,0.000024,4.713929
0.020000,22.515215,10.887859,0.000280,0.001280,0.003125,0.000025,4.713900
0.020000,22.515215,10.887886,0.000307,0.001342,0.003126,0.000027,4.713871
0.020000,22.515214,10.887914,0.000335,0.001405,0.003126,0.000028,4.713840
0.020000,22.515214,10.887944,0.000364,0.001468,0.003127,0.000029,4.713807
0.020000,22.515214,10.887974,0.000395,0.001530,0.003127,0.000030,4.713774
0.020000,22.515214,10.888006,0.000427,0.001593,0.003128,0.000032,4.713738
0.020000,22.515214,10.888039,0.000460,0.001655,0.003129,0.000033,4.713702
0.020000,22.515214,10.888074,0.000494,0.001718,0.003129,0.000034,4.713664
0.020000,22.515214,10.888109,0.000530,0.001780,0.003130,0.000036,4.713625
0.020000,22.515214,10.888146,0.000567,0.001843,0.003131,0.000037,4.713584
0.020000,22.515214,10.888184,0.000605,0.001906,0.003132,0.000038,4.713542
0.020000,22.515214,10.888224,0.000644,0.001968,0.003132,0.000040,4.713499
0.020000,22.515214,10.888264,0.000685,0.002031,0.003133,0.000041,4.713454
0.020000,22.515214,10.888306,0.000727,0.002094,0.003134,0.000042,4.713408
0.020000,22.515214,10.888349,0.000770,0.002156,0.003135,0.000043,4.713360
0.020000,22.515214,10.888394,0.000814,0.002219,0.003136,0.000045,4.713311
0.020000,22.515214,10.888439,0.000860,0.002282,0.003137,0.000046,4.713261
0.020000,22.515214,10.888486,0.000907,0.002345,0.003138,0.000047,4.713209
0.020000,22.515214,10.888534,0.000955,0.002407,0.003139,0.000049,4.713156
0.020000,22.515214,10.888584,0.001004,0.002470,0.003140,0.000050,4.713101
0.020000,22.515214,10.888634,0.001055,0.002533,0.003141,0.000051,4.713045
0.020000,22.515214,10.888686,0.001107,0.002596,0.003142,0.000053,4.712988
0.020000,22.515214,10.888739,0.001160,0.002659,0.003143,0.000054,4.712929
0.020000,22.515214,10.888794,0.001215,0.002722,0.003144,0.000055,4.712869
0.020000,22.515214,10.888850,0.001270,0.002784,0.003145,0.000057,4.712808
0.020000,22.515214,10.888907,0.001327,0.002847,0.003146,0.000058,4.712745
0.020000,22.515214,10.888965,0.001385,0.002910,0.003147,0.000059,4.712681
0.020000,22.515214,10.889024,0.001445,0.002973,0.003149,0.000060,4.712615
0.020000,22.515214,10.889085,0.001506,0.003036,0.003150,0.000062,4.712548
0.020000,22.515214,10.889147,0.001568,0.003099,0.003151,0.000063,4.712480
0.020000,22.515214,10.889210,0.001631,0.003162,0.003152,0.000064,4.712410
0.020000,22.515214,10.888872,0.001969,0.016913,0.687537,34.219250,4.712339
0.020000,22.515213,10.888355,0.002486,0.025845,0.446571,-12.048348,4.712266
0.020000,22.515213,10.887828,0.003013,0.026333,0.024437,-21.106666,4.712192
0.020000,22.515213,10.887292,0.003549,0.026822,0.024427,-0.000499,4.712117
0.020000,22.515213,10.886746,0.004095,0.027310,0.024417,-0.000508,4.712040
0.020000,22.515213,10.886190,0.004651,0.027798,0.024407,-0.000518,4.711961
0.020000,22.515213,10.885624,0.005217,0.028286,0.024396,-0.000527,4.711882
0.020000,22.515212,10.885049,0.005793,0.028774,0.024385,-0.000536,4.711801
0.020000,22.515212,10.884463,0.006378,0.029261,0.024375,-0.000545,4.711718
0.020000,22.515211,10.883868,0.006973,0.029749,0.024363,-0.000555,4.711634
0.020000,22.515211,10.883264,0.007577,0.030236,0.024352,-0.000564,4.711549
0.020000,22.515210,10.882649,0.008192,0.030723,0.024341,-0.000573,4.711463
0.020000,22.515210,10.882025,0.008816,0.031209,0.024329,-0.000582,4.711375
0.020000,22.515209,10.881391,0.009450,0.031695,0.024317,-0.000592,4.711285
0.020000,22.515208,10.880747,0.010094,0.032182,0.024305,-0.000601,4.711194
0.020000,22.515208,10.880094,0.010747,0.032667,0.024293,-0.000610,4.711102
0.020000,22.515207,10.879431,0.011410,0.033153,0.024281,-0.000619,4.711008
0.020000,22.515206,10.878758,0.012083,0.033638,0.024268,-0.000628,4.710913
0.020000,22.515205,10.878076,0.012765,0.034123,0.024255,-0.000638,4.710817
0.020000,22.515204,10.877384,0.013457,0.034608,0.024242,-0.000647,4.710719
0.020000,22.515202,10.876682,0.014159,0.035093,0.024229,-0.000656,4.710620
0.020000,22.515201,10.875969,0.014872,0.035621,0.026382,0.107648,4.710519
0.020000,22.515200,10.875246,0.015595,0.036153,0.026618,0.011770,4.710416
0.020000,22.515198,10.874514,0.016327,0.036638,0.024249,-0.118412,4.710313
0.020000,22.515197,10.873771,0.017070,0.037123,0.024235,-0.000696,4.710207
0.020000,22.515195,10.873019,0.017822,0.037607,0.024221,-0.000705,4.710101
0.020000,22.515193,10.872257,0.018584,0.038091,0.024207,-0.000715,4.709993
0.020000,22.515191,10.871486,0.019355,0.038575,0.024193,-0.000724,4.709883
0.020000,22.515189,10.870704,0.020137,0.039059,0.024178,-0.000733,4.709773
0.020000,22.515187,10.869914,0.020927,0.039542,0.024163,-0.000742,4.709660
0.020000,22.515185,10.869113,0.021728,0.040025,0.024148,-0.000751,4.709547
0.020000,22.515183,10.868303,0.022538,0.040507,0.024133,-0.000761,4.709431
0.020000,22.515180,10.867483,0.023358,0.040990,0.024117,-0.000770,4.709315
0.020000,22.515178,10.866654,0.024187,0.041472,0.024102,-0.000779,4.709197
0.020000,22.515175,10.865815,0.025026,0.041954,0.024086,-0.000788,4.709077
0.020000,22.515172,10.864966,0.025875,0.042435,0.024070,-0.000797,4.708957
0.020000,22.515169,10.864108,0.026733,0.042916,0.024054,-0.000806,4.708834
0.020000,22.515166,10.863239,0.027602,0.043422,0.025285,0.061569,4.708711
0.020000,22.515163,10.862360,0.028482,0.043989,0.028347,0.153070,4.708585
0.020000,22.515159,10.861470,0.029371,0.044470,0.024064,-0.214128,4.708458
0.020000,22.515156,10.860571,0.030270,0.044951,0.024047,-0.000847,4.708330
0.020000,22.515152,10.859662,0.031179,0.045432,0.024030,-0.000856,4.708200
