dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.852821,5.615599,0.000006,0.000638,0.031902,1.595116,4.784074
0.020000,3.852821,5.615599,0.000007,0.000037,-0.030064,-3.098307,4.784075
0.020000,3.852820,5.615601,0.000008,0.000061,0.001226,1.564476,4.784076
0.020000,3.852820,5.615602,0.000010,0.000086,0.001226,0.000002,4.784078
0.020000,3.852820,5.615604,0.000012,0.000110,0.001226,0.000002,4.784081
0.020000,3.852820,5.615607,0.000015,0.000135,0.001226,0.000003,4.784084
0.020000,3.852820,5.615610,0.000018,0.000159,0.001226,0.000004,4.784087
0.020000,3.852819,5.615614,0.000022,0.000184,0.001226,0.000004,4.784091
0.020000,3.852819,5.615618,0.000026,0.000208,0.001226,0.000005,4.784096
0.020000,3.852819,5.615623,0.000031,0.000233,0.001226,0.000006,4.784101
0.020000,3.852818,5.615628,0.000036,0.000257,0.001226,0.000006,4.784107
0.020000,3.852818,5.615634,0.000041,0.000282,0.001226,0.000007,4.784113
0.020000,3.852818,5.615640,0.000048,0.000307,0.001227,0.000008,4.784120
0.020000,3.852817,5.615646,0.000054,0.000331,0.001227,0.000008,4.784127
0.020000,3.852817,5.615653,0.000061,0.000356,0.001227,0.000009,4.784135
0.020000,3.852816,5.615661,0.000069,0.000380,0.001227,0.000010,4.784143
0.020000,3.852816,5.615669,0.000077,0.000405,0.001227,0.000010,4.784152
0.020000,3.852815,5.615678,0.000086,0.000429,0.001228,0.000011,4.784162
0.020000,3.852814,5.615687,0.000095,0.000454,0.001228,0.000012,4.784172
0.020000,3.852814,5.615696,0.000104,0.000478,0.001228,0.000012,4.784182
0.020000,3.852813,5.615706,0.000114,0.000503,0.001228,0.000013,4.784193
0.020000,3.852812,5.615717,0.000125,0.000527,0.001229,0.000014,4.784205
0.020000,3.852811,5.615728,0.000136,0.000552,0.001229,0.000014,4.784217
0.020000,3.852810,5.615739,0.000147,0.000577,0.001229,0.000015,4.784230
0.020000,3.852810,5.615751,0.000159,0.000601,0.001229,0.000016,4.784243
0.020000,3.852809,5.615764,0.000172,0.000626,0.001230,0.000016,4.784257
0.020000,3.852808,5.615777,0.000185,0.000650,0.001230,0.000017,4.784271
0.020000,3.852807,5.615790,0.000198,0.000675,0.001230,0.000018,4.784286
0.020000,3.852806,5.615804,0.000212,0.000700,0.001231,0.000018,4.784302
0.020000,3.852805,5.615819,0.000227,0.000724,0.001231,0.000019,4.784318
0.020000,3.852804,5.615834,0.000242,0.000749,0.001232,0.000020,4.784334
0.020000,3.852803,5.615849,0.000257,0.000774,0.001232,0.000020,4.784351
0.020000,3.852801,5.615865,0.000273,0.000798,0.001232,0.000021,4.784369
0.020000,3.852800,5.615881,0.000290,0.000823,0.001233,0.000022,4.784387
0.020000,3.852799,5.615898,0.000307,0.000848,0.001233,0.000022,4.784406
0.020000,3.852798,5.615916,0.000324,0.000872,0.001234,0.000023,4.784425
