dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.044976,5.485780,0.000006,0.000638,0.031902,1.595116,4.784074
0.020000,2.044976,5.485780,0.000007,0.000037,-0.030064,-3.098307,4.784075
0.020000,2.044976,5.485778,0.000008,0.000061,0.001226,1.564476,4.784076
0.020000,2.044976,5.485777,0.000010,0.000086,0.001226,0.000002,4.784078
0.020000,2.044976,5.485774,0.000012,0.000110,0.001226,0.000002,4.784081
0.020000,2.044976,5.485772,0.000015,0.000135,0.001226,0.000003,4.784084
0.020000,2.044976,5.485769,0.000018,0.000159,0.001226,0.000004,4.784087
0.020000,2.044977,5.485765,0.000022,0.000184,0.001226,0.000004,4.784091
0.020000,2.044977,5.485761,0.000026,0.000208,0.001226,0.000005,4.784096
0.020000,2.044977,5.485756,0.000031,0.000233,0.001226,0.000006,4.784101
0.020000,2.044978,5.485751,0.000036,0.000257,0.001226,0.000006,4.784107
0.020000,2.044978,5.485745,0.000041,0.000282,0.001226,0.000007,4.784113
0.020000,2.044979,5.485739,0.000048,0.000307,0.001227,0.000008,4.784120
0.020000,2.044979,5.485733,0.000054,0.000331,0.001227,0.000008,4.784127
0.020000,2.044980,5.485725,0.000061,0.000356,0.001227,0.000009,4.784135
0.020000,2.044980,5.485718,0.000069,0.000380,0.001227,0.000010,4.784143
0.020000,2.044981,5.485710,0.000077,0.000405,0.001227,0.000010,4.784152
0.020000,2.044981,5.485701,0.000086,0.000429,0.001228,0.000011,4.784162
0.020000,2.044982,5.485692,0.000095,0.000454,0.001228,0.000012,4.784172
0.020000,2.044983,5.485683,0.000104,0.000478,0.001228,0.000012,4.784182
0.020000,2.044983,5.485673,0.000114,0.000503,0.001228,0.000013,4.784193
0.020000,2.044984,5.485662,0.000125,0.000527,0.001229,0.000014,4.784205
0.020000,2.044985,5.485651,0.000136,0.000552,0.001229,0.000014,4.784217
0.020000,2.044986,5.485640,0.000147,0.000577,0.001229,0.000015,4.784230
0.020000,2.044987,5.485628,0.000159,0.000601,0.001229,0.000016,4.784243
0.020000,2.044987,5.485615,0.000172,0.000626,0.001230,0.000016,4.784257
0.020000,2.044988,5.485602,0.000185,0.000650,0.001230,0.000017,4.784271
0.020000,2.044989,5.485589,0.000198,0.000675,0.001230,0.000018,4.784286
0.020000,2.044990,5.485575,0.000212,0.000700,0.001231,0.000018,4.784302
0.020000,2.044991,5.485560,0.000227,0.000724,0.001231,0.000019,4.784318
0.020000,2.044993,5.485545,0.000242,0.000749,0.001232,0.000020,4.784334
0.020000,2.044994,5.485530,0.000257,0.000774,0.001232,0.000020,4.784351
0.020000,2.044995,5.485514,0.000273,0.000798,0.001232,0.000021,4.784369
0.020000,2.044996,5.485498,0.000290,0.000823,0.001233,0.000022,4.784387
0.020000,2.044997,5.485481,0.000307,0.000848,0.001233,0.000022,4.784406
0.020000,2.044998,5.485463,0.000324,0.000872,0.001234,0.000023,4.784425
0.020000,2.045000,5.485445,0.000342,0.000897,0.001234,0.000024,4.784445
0.020000,2.045001,5.485427,0.000361,0.000922,0.001235,0.000024,4.784465
0.020000,2.045002,5.485408,0.000379,0.000946,0.001235,0.000025,4.784486
0.020000,2.045004,5.485389,0.000399,0.000971,0.001236,0.000026,4.784507
0.020000,2.045005,5.485369,0.000419,0.000996,0.001236,0.000026,4.784529
0.020000,2.045007,5.485349,0.000439,0.001020,0.001237,0.000027,4.784552
0.020000,2.045008,5.485328,0.000460,0.001045,0.001237,0.000028,4.784575
0.020000,2.045010,5.485306,0.000482,0.001070,0.001238,0.000028,4.784599
0.020000,2.045011,5.485284,0.000503,0.001095,0.001238,0.000029,4.784623
0.020000,2.045013,5.485262,0.000526,0.001120,0.001239,0.000030,4.784647
0.020000,2.045015,5.485239,0.000549,0.001144,0.001240,0.000030,4.784673
0.020000,2.045016,5.485216,0.000572,0.001169,0.001240,0.000031,4.784699
0.020000,2.045018,5.485192,0.000596,0.001194,0.001241,0.000032,4.784725
0.020000,2.045020,5.485168,0.000620,0.001219,0.001242,0.000032,4.784752
0.020000,2.045022,5.485143,0.000645,0.001244,0.001242,0.000033,4.784779
0.020000,2.045023,5.485118,0.000671,0.001268,0.001243,0.000034,4.784807
0.020000,2.045025,5.485092,0.000696,0.001293,0.001244,0.000034,4.784836
0.020000,2.045027,5.485066,0.000723,0.001318,0.001244,0.000035,4.784865
0.020000,2.045029,5.485039,0.000750,0.001343,0.001245,0.000036,4.784894
0.020000,2.045031,5.485012,0.000777,0.001368,0.001246,0.000036,4.784925
0.020000,2.045033,5.484984,0.000805,0.001393,0.001247,0.000037,4.784955
0.020000,2.045035,5.484956,0.000833,0.001418,0.001247,0.000038,4.784987
0.020000,2.045089,5.484221,0.001569,0.036809,1.769554,88.415312,4.785019
0.020000,2.045146,5.483433,0.002359,0.039499,0.134503,-81.752548,4.785051
0.020000,2.045204,5.482632,0.003163,0.040158,0.032948,-5.077747,4.785084
0.020000,2.045264,5.481818,0.003979,0.040817,0.032935,-0.000611,4.785118
0.020000,2.045324,5.480991,0.004808,0.041475,0.032923,-0.000621,4.785152
0.020000,2.045385,5.480150,0.005651,0.042133,0.032910,-0.000631,4.785186
0.020000,2.045447,5.479297,0.006507,0.042791,0.032898,-0.000641,4.785222
0.020000,2.045511,5.478430,0.007376,0.043449,0.032884,-0.000651,4.785257
0.020000,2.045575,5.477550,0.008258,0.044106,0.032871,-0.000661,4.785294
0.020000,2.045640,5.476658,0.009153,0.044764,0.032858,-0.000671,4.785331
0.020000,2.045706,5.475752,0.010062,0.045420,0.032844,-0.000681,4.785368
0.020000,2.045774,5.474832,0.010983,0.046077,0.032830,-0.000691,4.785406
0.020000,2.045842,5.473900,0.011918,0.046733,0.032816,-0.000701,4.785445
0.020000,2.045911,5.472955,0.012866,0.047389,0.032802,-0.000711,4.785484
0.020000,2.045981,5.471997,0.013827,0.048045,0.032788,-0.000721,4.785523
0.020000,2.046052,5.471025,0.014801,0.048701,0.032773,-0.000731,4.785564
0.020000,2.046125,5.470041,0.015788,0.049356,0.032758,-0.000741,4.785604
0.020000,2.046198,5.469043,0.016788,0.050011,0.032743,-0.000751,4.785646
0.020000,2.046272,5.468033,0.017801,0.050665,0.032728,-0.000761,4.785688
0.020000,2.046347,5.467009,0.018828,0.051320,0.032713,-0.000771,4.785730
0.020000,2.046423,5.465972,0.019867,0.051973,0.032697,-0.000781,4.785773
0.020000,2.046500,5.464923,0.020920,0.052627,0.032681,-0.000791,4.785817
0.020000,2.046579,5.463860,0.021985,0.053280,0.032665,-0.000800,4.785861
0.020000,2.046658,5.462784,0.023064,0.053933,0.032649,-0.000810,4.785906
0.020000,2.046738,5.461692,0.024160,0.054780,0.042353,0.485212,4.785951
0.020000,2.046820,5.460586,0.025268,0.055448,0.033388,-0.448275,4.785997
0.020000,2.046902,5.459467,0.026391,0.056103,0.032721,-0.033326,4.786044
0.020000,2.046986,5.458334,0.027526,0.056757,0.032704,-0.000856,4.786091
0.020000,2.047071,5.457189,0.028674,0.057410,0.032687,-0.000866,4.786138
0.020000,2.047156,5.456031,0.029835,0.058064,0.032669,-0.000876,4.786187
0.020000,2.047243,5.454860,0.031010,0.058717,0.032652,-0.000886,4.786236
0.020000,2.047330,5.453676,0.032197,0.059370,0.032634,-0.000896,4.786285
0.020000,2.047419,5.452479,0.033397,0.060022,0.032615,-0.000906,4.786335
0.020000,2.047509,5.451269,0.034611,0.060674,0.032597,-0.000916,4.786385
0.020000,2.047599,5.450046,0.035837,0.061325,0.032579,-0.000926,4.786437
0.020000,2.047691,5.448809,0.037077,0.061977,0.032560,-0.000936,4.786488
0.020000,2.047784,5.447560,0.038329,0.062627,0.032541,-0.000946,4.786540
0.020000,2.047878,5.446298,0.039595,0.063278,0.032522,-0.000956,4.786593
0.020000,2.047973,5.445023,0.040874,0.063928,0.032503,-0.000966,4.786647
0.020000,2.048068,5.443735,0.042165,0.064578,0.032483,-0.000975,4.786701
0.020000,2.048165,5.442434,0.043470,0.065227,0.032463,-0.000985,4.786755
0.020000,2.048263,5.441120,0.044787,0.065876,0.032443,-0.000995,4.786810
0.020000,2.048362,5.439791,0.046120,0.066670,0.039695,0.362596,4.786866
0.020000,2.048463,5.438446,0.047469,0.067428,0.037917,-0.088924,4.786923
0.020000,2.048564,5.437088,0.048831,0.068078,0.032503,-0.270688,4.786980
0.020000,2.048667,5.435717,0.050205,0.068728,0.032482,-0.001043,4.787037
0.020000,2.048770,5.434334,0.051593,0.069377,0.032461,-0.001052,4.787095
0.020000,2.048875,5.432937,0.052993,0.070026,0.032440,-0.001062,4.787154
0.020000,2.048980,5.431528,0.054407,0.070674,0.032419,-0.001072,4.787214
0.020000,2.049087,5.430105,0.055833,0.071322,0.032397,-0.001082,4.787274
0.020000,2.049195,5.428670,0.057273,0.071969,0.032375,-0.001092,4.787334
0.020000,2.049304,5.427222,0.058725,0.072616,0.032353,-0.001102,4.787395
0.020000,2.049413,5.425760,0.060190,0.073263,0.032331,-0.001112,4.787457
0.020000,2.049524,5.424286,0.061668,0.073909,0.032308,-0.001122,4.787519
0.020000,2.049636,5.422799,0.063159,0.074555,0.032286,-0.001131,4.787582
0.020000,2.049749,5.421300,0.064663,0.075200,0.032263,-0.001141,4.787646
0.020000,2.049863,5.419787,0.066180,0.075845,0.032240,-0.001151,4.787710
0.020000,2.049979,5.418261,0.067711,0.076530,0.034231,0.099541,4.787774
0.020000,2.050095,5.416717,0.069259,0.077428,0.044893,0.533094,4.787840
0.020000,2.050213,5.415160,0.070821,0.078073,0.032289,-0.630190,4.787906
0.020000,2.050332,5.413590,0.072395,0.078719,0.032265,-0.001199,4.787972
0.020000,2.050452,5.412007,0.073983,0.079363,0.032241,-0.001209,4.788040
