dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.333640,22.047595,0.000005,0.000542,0.027114,1.355708,1.250447
0.020000,2.333641,22.047596,0.000007,0.000072,-0.023492,-2.530321,1.250446
0.020000,2.333641,22.047598,0.000009,0.000121,0.002415,1.295346,1.250443
0.020000,2.333642,22.047601,0.000013,0.000169,0.002415,0.000004,1.250439
0.020000,2.333644,22.047606,0.000017,0.000217,0.002415,0.000005,1.250435
0.020000,2.333645,22.047611,0.000022,0.000266,0.002415,0.000007,1.250429
0.020000,2.333647,22.047617,0.000029,0.000314,0.002415,0.000008,1.250422
0.020000,2.333650,22.047623,0.000036,0.000362,0.002415,0.000010,1.250414
0.020000,2.333652,22.047631,0.000044,0.000411,0.002416,0.000011,1.250405
0.020000,2.333655,22.047640,0.000053,0.000459,0.002416,0.000013,1.250395
0.020000,2.333658,22.047650,0.000063,0.000507,0.002416,0.000015,1.250384
0.020000,2.333662,22.047660,0.000074,0.000556,0.002416,0.000016,1.250371
0.020000,2.333666,22.047672,0.000087,0.000604,0.002417,0.000018,1.250358
0.020000,2.333670,22.047684,0.000100,0.000652,0.002417,0.000019,1.250344
0.020000,2.333674,22.047697,0.000114,0.000701,0.002418,0.000021,1.250328
0.020000,2.333679,22.047711,0.000129,0.000749,0.002418,0.000022,1.250312
0.020000,2.333684,22.047727,0.000145,0.000797,0.002419,0.000024,1.250294
0.020000,2.333689,22.047743,0.000161,0.000846,0.002419,0.000025,1.250275
0.020000,2.333695,22.047760,0.000179,0.000894,0.002420,0.000027,1.250256
0.020000,2.333701,22.047777,0.000198,0.000942,0.002420,0.000028,1.250235
0.020000,2.333707,22.047796,0.000218,0.000991,0.002421,0.000030,1.250213
0.020000,2.333714,22.047816,0.000239,0.001039,0.002421,0.000031,1.250190
0.020000,2.333721,22.047837,0.000261,0.001088,0.002422,0.000033,1.250166
0.020000,2.333728,22.047858,0.000283,0.001136,0.002423,0.000034,1.250141
0.020000,2.333735,22.047881,0.000307,0.001185,0.002423,0.000036,1.250115
0.020000,2.333743,22.047904,0.000332,0.001233,0.002424,0.000038,1.250088
0.020000,2.333751,22.047928,0.000357,0.001282,0.002425,0.000039,1.250059
0.020000,2.333759,22.047954,0.000384,0.001330,0.002426,0.000041,1.250030
0.020000,2.333768,22.047980,0.000411,0.001379,0.002427,0.000042,1.249999
0.020000,2.333777,22.048007,0.000440,0.001427,0.002427,0.000044,1.249968
0.020000,2.333786,22.048035,0.000469,0.001476,0.002428,0.000045,1.249935
0.020000,2.333796,22.048064,0.000500,0.001524,0.002429,0.000047,1.249902
0.020000,2.333806,22.048094,0.000531,0.001573,0.002430,0.000048,1.249867
0.020000,2.333816,22.048125,0.000564,0.001622,0.002431,0.000050,1.249831
0.020000,2.333827,22.048156,0.000597,0.001670,0.002432,0.000052,1.249794
0.020000,2.333838,22.048189,0.000632,0.001719,0.002433,0.000053,1.249756
0.020000,2.333849,22.048222,0.000667,0.001768,0.002434,0.000055,1.249717
0.020000,2.333860,22.048257,0.000703,0.001816,0.002436,0.000056,1.249677
0.020000,2.333872,22.048292,0.000741,0.001865,0.002437,0.000058,1.249636
0.020000,2.333884,22.048329,0.000779,0.001914,0.002438,0.000059,1.249594
0.020000,2.333896,22.048366,0.000818,0.001963,0.002439,0.000061,1.249551
0.020000,2.333909,22.048404,0.000858,0.002011,0.002440,0.000062,1.249506
0.020000,2.333922,22.048443,0.000900,0.002060,0.002442,0.000064,1.249461
0.020000,2.333935,22.048483,0.000942,0.002109,0.002443,0.000066,1.249414
0.020000,2.333949,22.048524,0.000985,0.002158,0.002444,0.000067,1.249367
0.020000,2.333963,22.048566,0.001029,0.002207,0.002446,0.000069,1.249318
0.020000,2.333977,22.048609,0.001074,0.002256,0.002447,0.000070,1.249268
0.020000,2.333992,22.048652,0.001120,0.002305,0.002449,0.000072,1.249217
0.020000,2.334007,22.048697,0.001167,0.002354,0.002450,0.000073,1.249165
0.020000,2.334022,22.048743,0.001215,0.002403,0.002452,0.000075,1.249112
0.020000,2.334037,22.048789,0.001264,0.002452,0.002453,0.000077,1.249058
0.020000,2.334190,22.049248,0.001748,0.024189,1.086844,54.219539,1.249003
0.020000,2.334387,22.049838,0.002370,0.031070,0.344055,-37.139433,1.248947
0.020000,2.334587,22.050438,0.003003,0.031658,0.029411,-15.732194,1.248889
0.020000,2.334791,22.051050,0.003648,0.032246,0.029401,-0.000506,1.248831
0.020000,2.334999,22.051673,0.004304,0.032834,0.029391,-0.000515,1.248771
0.020000,2.335211,22.052307,0.004973,0.033422,0.029380,-0.000524,1.248710
0.020000,2.335426,22.052952,0.005653,0.034009,0.029370,-0.000533,1.248648
0.020000,2.335645,22.053609,0.006345,0.034596,0.029359,-0.000543,1.248585
0.020000,2.335868,22.054276,0.007049,0.035183,0.029348,-0.000552,1.248521
0.020000,2.336095,22.054955,0.007764,0.035770,0.029337,-0.000561,1.248456
0.020000,2.336325,22.055644,0.008491,0.036356,0.029325,-0.000571,1.248390
0.020000,2.336559,22.056345,0.009230,0.036943,0.029314,-0.000580,1.248323
0.020000,2.336797,22.057057,0.009981,0.037529,0.029302,-0.000589,1.248254
0.020000,2.337039,22.057780,0.010743,0.038114,0.029290,-0.000598,1.248185
0.020000,2.337284,22.058514,0.011517,0.038700,0.029278,-0.000608,1.248114
0.020000,2.337533,22.059259,0.012303,0.039285,0.029265,-0.000617,1.248043
0.020000,2.337786,22.060015,0.013100,0.039870,0.029253,-0.000626,1.247970
0.020000,2.338043,22.060783,0.013909,0.040455,0.029240,-0.000635,1.247896
0.020000,2.338303,22.061561,0.014730,0.041040,0.029227,-0.000645,1.247821
0.020000,2.338568,22.062350,0.015562,0.041624,0.029214,-0.000654,1.247745
0.020000,2.338836,22.063151,0.016406,0.042208,0.029201,-0.000663,1.247668
0.020000,2.339108,22.063964,0.017264,0.042881,0.033662,0.223078,1.247590
0.020000,2.339385,22.064790,0.018135,0.043529,0.032407,-0.062765,1.247510
0.020000,2.339665,22.065626,0.019017,0.044115,0.029262,-0.157236,1.247429
0.020000,2.339949,22.066474,0.019911,0.044700,0.029248,-0.000705,1.247347
0.020000,2.340237,22.067333,0.020817,0.045284,0.029234,-0.000714,1.247264
0.020000,2.340529,22.068202,0.021734,0.045869,0.029220,-0.000723,1.247180
0.020000,2.340824,22.069083,0.022663,0.046453,0.029205,-0.000732,1.247095
0.020000,2.341123,22.069975,0.023604,0.047037,0.029190,-0.000741,1.247009
0.020000,2.341426,22.070878,0.024556,0.047620,0.029175,-0.000751,1.246921
0.020000,2.341733,22.071792,0.025520,0.048203,0.029160,-0.000760,1.246833
0.020000,2.342044,22.072717,0.026496,0.048786,0.029145,-0.000769,1.246743
0.020000,2.342358,22.073653,0.027483,0.049369,0.029129,-0.000778,1.246652
0.020000,2.342677,22.074600,0.028482,0.049951,0.029113,-0.000787,1.246560
0.020000,2.342999,22.075558,0.029493,0.050533,0.029097,-0.000796,1.246467
0.020000,2.343324,22.076527,0.030515,0.051115,0.029081,-0.000805,1.246373
0.020000,2.343654,22.077507,0.031549,0.051696,0.029065,-0.000814,1.246278
0.020000,2.343988,22.078499,0.032596,0.052347,0.032575,0.175484,1.246181
0.020000,2.344326,22.079504,0.033657,0.053046,0.034913,0.116905,1.246083
0.020000,2.344669,22.080521,0.034730,0.053628,0.029116,-0.289815,1.245984
0.020000,2.345015,22.081548,0.035814,0.054210,0.029099,-0.000857,1.245884
0.020000,2.345364,22.082587,0.036910,0.054792,0.029082,-0.000866,1.245783
0.020000,2.345718,22.083636,0.038017,0.055373,0.029064,-0.000875,1.245680
0.020000,2.346076,22.084697,0.039136,0.055954,0.029047,-0.000884,1.245577
0.020000,2.346437,22.085768,0.040267,0.056534,0.029029,-0.000893,1.245472
0.020000,2.346802,22.086851,0.041409,0.057115,0.029011,-0.000902,1.245366
0.020000,2.347171,22.087944,0.042563,0.057694,0.028993,-0.000911,1.245259
0.020000,2.347544,22.089048,0.043729,0.058274,0.028974,-0.000920,1.245151
0.020000,2.347921,22.090163,0.044906,0.058853,0.028956,-0.000929,1.245042
0.020000,2.348301,22.091289,0.046094,0.059432,0.028937,-0.000938,1.244932
0.020000,2.348685,22.092426,0.047295,0.060010,0.028918,-0.000947,1.244820
0.020000,2.349074,22.093577,0.048510,0.060750,0.037017,0.404929,1.244707
0.020000,2.349468,22.094740,0.049737,0.061384,0.031662,-0.267724,1.244593
0.020000,2.349865,22.095914,0.050976,0.061963,0.028960,-0.135080,1.244477
0.020000,2.350266,22.097099,0.052227,0.062542,0.028941,-0.000990,1.244361
0.020000,2.350671,22.098295,0.053490,0.063120,0.028921,-0.000999,1.244243
0.020000,2.351080,22.099501,0.054764,0.063698,0.028901,-0.001008,1.244124
0.020000,2.351492,22.100719,0.056049,0.064276,0.028880,-0.001017,1.244004
0.020000,2.351909,22.101947,0.057346,0.064853,0.028860,-0.001026,1.243883
