dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.193785,21.762219,0.000005,0.000542,0.027114,1.355708,1.250447
0.020000,3.193785,21.762219,0.000022,0.001085,0.027114,0.000000,1.250446
0.020000,3.193785,21.762219,0.000049,0.001627,0.027114,-0.000000,1.250443
0.020000,3.193785,21.762219,0.000087,0.002169,0.027114,0.000000,1.250439
0.020000,3.193785,21.762219,0.000136,0.002711,0.027114,-0.000000,1.250435
0.020000,3.193785,21.762219,0.000195,0.003254,0.027114,0.000000,1.250429
0.020000,3.193785,21.762219,0.000266,0.003796,0.027114,-0.000000,1.250422
0.020000,3.193785,21.762219,0.000347,0.004338,0.027114,0.000000,1.250414
0.020000,3.193785,21.762219,0.000439,0.004881,0.027114,-0.000000,1.250405
0.020000,3.193785,21.762219,0.000542,0.005423,0.027114,-0.000000,1.250395
0.020000,3.193785,21.762219,0.000656,0.005965,0.027114,0.000000,1.250384
0.020000,3.193785,21.762219,0.000781,0.006507,0.027114,0.000000,1.250371
0.020000,3.193785,21.762219,0.000916,0.007050,0.027114,0.000000,1.250358
0.020000,3.193785,21.762219,0.001063,0.007592,0.027114,-0.000000,1.250344
0.020000,3.193785,21.762219,0.001220,0.008134,0.027114,0.000000,1.250328
0.020000,3.193785,21.762219,0.001388,0.008677,0.027114,-0.000000,1.250312
0.020000,3.193785,21.762219,0.001567,0.009219,0.027114,-0.000000,1.250294
0.020000,3.193785,21.762219,0.001757,0.009761,0.027114,0.000000,1.250275
0.020000,3.193785,21.762219,0.001958,0.010303,0.027114,-0.000000,1.250256
0.020000,3.193785,21.762219,0.002169,0.010846,0.027114,0.000000,1.250235
0.020000,3.193785,21.762219,0.002391,0.011388,0.027114,0.000000,1.250213
0.020000,3.193785,21.762219,0.002625,0.011930,0.027114,0.000000,1.250190
0.020000,3.193785,21.762219,0.002869,0.012473,0.027114,-0.000000,1.250166
0.020000,3.193785,21.762219,0.003124,0.013015,0.027114,0.000000,1.250141
0.020000,3.193785,21.762219,0.003389,0.013557,0.027114,-0.000000,1.250115
0.020000,3.193785,21.762219,0.003666,0.014099,0.027114,0.000000,1.250088
0.020000,3.193785,21.762219,0.003953,0.014642,0.027114,0.000000,1.250059
0.020000,3.193785,21.762219,0.004252,0.015184,0.027114,-0.000000,1.250030
0.020000,3.193785,21.762219,0.004561,0.015726,0.027114,0.000000,1.249999
0.020000,3.193785,21.762219,0.004881,0.016268,0.027114,0.000000,1.249968
0.020000,3.193785,21.762219,0.005211,0.016811,0.027114,-0.000000,1.249935
0.020000,3.193785,21.762219,0.005553,0.017353,0.027114,0.000000,1.249902
0.020000,3.193785,21.762219,0.005905,0.017895,0.027114,-0.000000,1.249867
0.020000,3.193785,21.762219,0.006269,0.018438,0.027114,0.000000,1.249831
0.020000,3.193785,21.762219,0.006643,0.018980,0.027114,0.000000,1.249794
0.020000,3.193785,21.762219,0.007028,0.019522,0.027114,0.000000,1.249756
0.020000,3.193785,21.762219,0.007424,0.020064,0.027114,-0.000000,1.249717
0.020000,3.193785,21.762219,0.007831,0.020607,0.027114,0.000000,1.249677
0.020000,3.193785,21.762219,0.008248,0.021149,0.027114,0.000000,1.249636
0.020000,3.193785,21.762219,0.008677,0.021691,0.027114,0.000000,1.249594
0.020000,3.193785,21.762219,0.009116,0.022234,0.027114,0.000000,1.249551
0.020000,3.193785,21.762219,0.009566,0.022776,0.027114,0.000000,1.249506
0.020000,3.193785,21.762219,0.010027,0.023318,0.027114,0.000000,1.249461
0.020000,3.193785,21.762219,0.010499,0.023860,0.027114,0.000000,1.249414
0.020000,3.193785,21.762219,0.010981,0.024403,0.027114,0.000000,1.249367
0.020000,3.193785,21.762219,0.011475,0.024945,0.027114,-0.000000,1.249318
0.020000,3.193785,21.762219,0.011979,0.025487,0.027114,0.000000,1.249268
0.020000,3.193785,21.762219,0.012494,0.026030,0.027114,-0.000000,1.249217
0.020000,3.193785,21.762219,0.013020,0.026572,0.027114,0.000000,1.249165
0.020000,3.193785,21.762219,0.013557,0.027114,0.027114,0.000000,1.249112
0.020000,3.193785,21.762219,0.014105,0.027656,0.027114,-0.000000,1.249058
0.020000,3.193922,21.762630,0.014663,0.028199,0.027114,0.000000,1.249003
0.020000,3.194103,21.763171,0.015233,0.028741,0.027114,-0.000000,1.248947
0.020000,3.194287,21.763722,0.015813,0.029283,0.027114,0.000000,1.248889
0.020000,3.194474,21.764284,0.016404,0.029826,0.027114,-0.000000,1.248831
0.020000,3.194665,21.764855,0.017006,0.030368,0.027114,-0.000000,1.248771
0.020000,3.194859,21.765437,0.017619,0.030910,0.027114,0.000000,1.248710
0.020000,3.195056,21.766029,0.018242,0.031452,0.027114,-0.000000,1.248648
0.020000,3.195257,21.766631,0.018877,0.031995,0.027114,0.000000,1.248585
0.020000,3.195462,21.767244,0.019522,0.032537,0.027114,-0.000000,1.248521
0.020000,3.195670,21.767866,0.020178,0.033079,0.027114,-0.000000,1.248456
0.020000,3.195881,21.768499,0.020845,0.033622,0.027114,0.000000,1.248390
0.020000,3.196096,21.769142,0.021523,0.034164,0.027114,-0.000000,1.248323
0.020000,3.196314,21.769795,0.022212,0.034706,0.027114,0.000000,1.248254
0.020000,3.196536,21.770459,0.022911,0.035248,0.027114,-0.000000,1.248185
0.020000,3.196761,21.771132,0.023622,0.035791,0.027114,0.000000,1.248114
0.020000,3.196990,21.771816,0.024343,0.036333,0.027114,0.000000,1.248043
0.020000,3.197222,21.772509,0.025075,0.036875,0.027114,-0.000000,1.247970
