dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.053930,21.476842,0.000005,0.000542,0.027114,1.355708,1.250447
0.020000,4.053930,21.476841,0.000007,0.000072,-0.023492,-2.530321,1.250446
0.020000,4.053929,21.476839,0.000009,0.000121,0.002415,1.295346,1.250443
0.020000,4.053928,21.476836,0.000013,0.000169,0.002415,0.000004,1.250439
0.020000,4.053927,21.476831,0.000017,0.000217,0.002415,0.000005,1.250435
0.020000,4.053925,21.476826,0.000022,0.000266,0.002415,0.000007,1.250429
0.020000,4.053923,21.476820,0.000029,0.000314,0.002415,0.000008,1.250422
0.020000,4.053921,21.476814,0.000036,0.000362,0.002415,0.000010,1.250414
0.020000,4.053918,21.476806,0.000044,0.000411,0.002416,0.000011,1.250405
0.020000,4.053915,21.476797,0.000053,0.000459,0.002416,0.000013,1.250395
0.020000,4.053912,21.476787,0.000063,0.000507,0.002416,0.000015,1.250384
0.020000,4.053909,21.476777,0.000074,0.000556,0.002416,0.000016,1.250371
0.020000,4.053905,21.476765,0.000087,0.000604,0.002417,0.000018,1.250358
0.020000,4.053901,21.476753,0.000100,0.000652,0.002417,0.000019,1.250344
0.020000,4.053896,21.476740,0.000114,0.000701,0.002418,0.000021,1.250328
0.020000,4.053892,21.476726,0.000129,0.000749,0.002418,0.000022,1.250312
0.020000,4.053887,21.476710,0.000145,0.000797,0.002419,0.000024,1.250294
0.020000,4.053881,21.476694,0.000161,0.000846,0.002419,0.000025,1.250275
0.020000,4.053876,21.476677,0.000179,0.000894,0.002420,0.000027,1.250256
0.020000,4.053870,21.476660,0.000198,0.000942,0.002420,0.000028,1.250235
0.020000,4.053863,21.476641,0.000218,0.000991,0.002421,0.000030,1.250213
0.020000,4.053857,21.476621,0.000239,0.001039,0.002421,0.000031,1.250190
0.020000,4.053850,21.476600,0.000261,0.001088,0.002422,0.000033,1.250166
0.020000,4.053843,21.476579,0.000283,0.001136,0.002423,0.000034,1.250141
0.020000,4.053835,21.476556,0.000307,0.001185,0.002423,0.000036,1.250115
0.020000,4.053828,21.476533,0.000332,0.001233,0.002424,0.000038,1.250088
0.020000,4.053819,21.476509,0.000357,0.001282,0.002425,0.000039,1.250059
0.020000,4.053811,21.476483,0.000384,0.001330,0.002426,0.000041,1.250030
0.020000,4.053802,21.476457,0.000411,0.001379,0.002427,0.000042,1.249999
0.020000,4.053793,21.476430,0.000440,0.001427,0.002427,0.000044,1.249968
