dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.852821,5.615599,0.000007,0.000688,0.034378,1.718887,4.784074
0.020000,3.852821,5.615599,0.000008,0.000040,-0.032397,-3.338717,4.784075
0.020000,3.852820,5.615601,0.000009,0.000066,0.001321,1.685869,4.784077
0.020000,3.852820,5.615603,0.000011,0.000092,0.001321,0.000002,4.784079
0.020000,3.852820,5.615605,0.000013,0.000119,0.001321,0.000003,4.784081
0.020000,3.852820,5.615608,0.000016,0.000145,0.001321,0.000003,4.784085
0.020000,3.852820,5.615611,0.000020,0.000172,0.001321,0.000004,4.784088
0.020000,3.852819,5.615615,0.000024,0.000198,0.001321,0.000005,4.784093
0.020000,3.852819,5.615620,0.000028,0.000225,0.001321,0.000006,4.784098
0.020000,3.852819,5.615625,0.000033,0.000251,0.001321,0.000007,4.784103
0.020000,3.852818,5.615630,0.000039,0.000277,0.001322,0.000007,4.784109
0.020000,3.852818,5.615636,0.000045,0.000304,0.001322,0.000008,4.784116
0.020000,3.852817,5.615643,0.000051,0.000330,0.001322,0.000009,4.784123
0.020000,3.852817,5.615650,0.000058,0.000357,0.001322,0.000010,4.784131
0.020000,3.852816,5.615658,0.000066,0.000383,0.001322,0.000010,4.784140
0.020000,3.852816,5.615666,0.000074,0.000410,0.001322,0.000011,4.784149
0.020000,3.852815,5.615675,0.000083,0.000436,0.001323,0.000012,4.784158
0.020000,3.852814,5.615684,0.000092,0.000463,0.001323,0.000013,4.784168
0.020000,3.852814,5.615694,0.000102,0.000489,0.001323,0.000013,4.784179
0.020000,3.852813,5.615704,0.000112,0.000515,0.001324,0.000014,4.784191
0.020000,3.852812,5.615715,0.000123,0.000542,0.001324,0.000015,4.784203
0.020000,3.852811,5.615726,0.000135,0.000568,0.001324,0.000016,4.784215
0.020000,3.852811,5.615738,0.000146,0.000595,0.001324,0.000017,4.784228
0.020000,3.852810,5.615750,0.000159,0.000621,0.001325,0.000017,4.784242
0.020000,3.852809,5.615763,0.000172,0.000648,0.001325,0.000018,4.784256
0.020000,3.852808,5.615777,0.000185,0.000674,0.001326,0.000019,4.784271
0.020000,3.852807,5.615791,0.000199,0.000701,0.001326,0.000020,4.784287
0.020000,3.852806,5.615805,0.000214,0.000727,0.001326,0.000020,4.784303
0.020000,3.852805,5.615820,0.000229,0.000754,0.001327,0.000021,4.784319
0.020000,3.852804,5.615836,0.000245,0.000781,0.001327,0.000022,4.784337
0.020000,3.852802,5.615852,0.000261,0.000807,0.001328,0.000023,4.784354
0.020000,3.852801,5.615868,0.000277,0.000834,0.001328,0.000023,4.784373
0.020000,3.852800,5.615886,0.000295,0.000860,0.001329,0.000024,4.784392
0.020000,3.852799,5.615903,0.000312,0.000887,0.001329,0.000025,4.784411
0.020000,3.852797,5.615922,0.000331,0.000913,0.001330,0.000026,4.784432
0.020000,3.852796,5.615940,0.000349,0.000940,0.001330,0.000027,4.784452
0.020000,3.852795,5.615960,0.000369,0.000967,0.001331,0.000027,4.784474
0.020000,3.852793,5.615979,0.000389,0.000993,0.001331,0.000028,4.784496
0.020000,3.852792,5.616000,0.000409,0.001020,0.001332,0.000029,4.784518
0.020000,3.852790,5.616021,0.000430,0.001047,0.001332,0.000030,4.784541
0.020000,3.852789,5.616042,0.000451,0.001073,0.001333,0.000031,4.784565
0.020000,3.852787,5.616064,0.000473,0.001100,0.001334,0.000031,4.784589
0.020000,3.852785,5.616086,0.000496,0.001127,0.001334,0.000032,4.784614
0.020000,3.852784,5.616109,0.000519,0.001153,0.001335,0.000033,4.784639
0.020000,3.852782,5.616133,0.000543,0.001180,0.001336,0.000034,4.784665
0.020000,3.852780,5.616157,0.000567,0.001207,0.001336,0.000034,4.784692
0.020000,3.852779,5.616182,0.000591,0.001233,0.001337,0.000035,4.784719
0.020000,3.852777,5.616207,0.000617,0.001260,0.001338,0.000036,4.784747
0.020000,3.852775,5.616232,0.000642,0.001287,0.001339,0.000037,4.784775
0.020000,3.852773,5.616259,0.000669,0.001314,0.001339,0.000038,4.784804
0.020000,3.852771,5.616285,0.000695,0.001341,0.001340,0.000038,4.784834
0.020000,3.852769,5.616313,0.000723,0.001367,0.001341,0.000039,4.784864
0.020000,3.852767,5.616340,0.000751,0.001394,0.001342,0.000040,4.784895
0.020000,3.852765,5.616369,0.000779,0.001421,0.001342,0.000041,4.784926
0.020000,3.852763,5.616398,0.000808,0.001448,0.001343,0.000042,4.784958
0.020000,3.852765,5.616370,0.000836,0.001396,-0.002619,-0.198108,4.784991
0.020000,3.852819,5.615624,0.001584,0.037413,1.800863,90.174076,4.785024
0.020000,3.852874,5.614864,0.002346,0.038069,0.032818,-88.402231,4.785058
0.020000,3.852931,5.614092,0.003120,0.038725,0.032803,-0.000764,4.785092
0.020000,3.852988,5.613306,0.003908,0.039381,0.032787,-0.000778,4.785127
0.020000,3.853046,5.612508,0.004708,0.040036,0.032771,-0.000791,4.785163
0.020000,3.853105,5.611696,0.005522,0.040692,0.032755,-0.000804,4.785199
0.020000,3.853165,5.610871,0.006349,0.041346,0.032739,-0.000817,4.785236
0.020000,3.853227,5.610033,0.007189,0.042001,0.032722,-0.000830,4.785273
0.020000,3.853289,5.609183,0.008042,0.042655,0.032705,-0.000844,4.785311
0.020000,3.853352,5.608319,0.008908,0.043309,0.032688,-0.000857,4.785350
0.020000,3.853416,5.607442,0.009788,0.043962,0.032671,-0.000870,4.785389
0.020000,3.853481,5.606552,0.010680,0.044615,0.032653,-0.000883,4.785429
0.020000,3.853547,5.605649,0.011585,0.045268,0.032635,-0.000897,4.785469
0.020000,3.853614,5.604733,0.012504,0.045920,0.032617,-0.000910,4.785510
0.020000,3.853682,5.603804,0.013435,0.046572,0.032599,-0.000923,4.785552
0.020000,3.853751,5.602862,0.014380,0.047224,0.032580,-0.000936,4.785594
0.020000,3.853821,5.601907,0.015337,0.047875,0.032561,-0.000949,4.785637
0.020000,3.853892,5.600939,0.016308,0.048526,0.032542,-0.000963,4.785680
0.020000,3.853965,5.599958,0.017291,0.049176,0.032522,-0.000976,4.785724
0.020000,3.854038,5.598965,0.018288,0.049826,0.032502,-0.000989,4.785769
0.020000,3.854112,5.597958,0.019297,0.050476,0.032482,-0.001002,4.785814
0.020000,3.854187,5.596938,0.020320,0.051125,0.032462,-0.001015,4.785860
0.020000,3.854263,5.595905,0.021355,0.051774,0.032441,-0.001028,4.785906
0.020000,3.854340,5.594856,0.022407,0.052611,0.041852,0.470540,4.785953
0.020000,3.854418,5.593793,0.023473,0.053272,0.033048,-0.440224,4.786001
0.020000,3.854498,5.592718,0.024551,0.053922,0.032499,-0.027443,4.786049
0.020000,3.854578,5.591629,0.025643,0.054571,0.032477,-0.001089,4.786098
0.020000,3.854659,5.590528,0.026747,0.055221,0.032455,-0.001103,4.786148
0.020000,3.854742,5.589414,0.027865,0.055869,0.032433,-0.001116,4.786198
0.020000,3.854825,5.588286,0.028995,0.056517,0.032410,-0.001129,4.786249
0.020000,3.854909,5.587146,0.030138,0.057165,0.032387,-0.001142,4.786300
0.020000,3.854995,5.585993,0.031294,0.057812,0.032364,-0.001156,4.786353
0.020000,3.855081,5.584827,0.032464,0.058459,0.032341,-0.001169,4.786405
0.020000,3.855169,5.583648,0.033646,0.059106,0.032317,-0.001182,4.786459
0.020000,3.855257,5.582456,0.034841,0.059752,0.032293,-0.001195,4.786512
0.020000,3.855347,5.581252,0.036049,0.060397,0.032269,-0.001209,4.786567
0.020000,3.855437,5.580034,0.037270,0.061042,0.032245,-0.001222,4.786622
0.020000,3.855529,5.578804,0.038503,0.061686,0.032220,-0.001235,4.786678
0.020000,3.855621,5.577561,0.039750,0.062330,0.032195,-0.001248,4.786734
0.020000,3.855715,5.576305,0.041009,0.062974,0.032170,-0.001261,4.786791
0.020000,3.855810,5.575035,0.042283,0.063679,0.035260,0.154489,4.786849
0.020000,3.855906,5.573748,0.043573,0.064503,0.041235,0.298765,4.786907
0.020000,3.856003,5.572449,0.044876,0.065148,0.032211,-0.451173,4.786966
0.020000,3.856101,5.571137,0.046192,0.065791,0.032185,-0.001324,4.787026
0.020000,3.856200,5.569812,0.047520,0.066434,0.032158,-0.001337,4.787086
0.020000,3.856300,5.568474,0.048862,0.067077,0.032131,-0.001351,4.787147
0.020000,3.856401,5.567123,0.050216,0.067719,0.032104,-0.001364,4.787209
0.020000,3.856503,5.565760,0.051584,0.068361,0.032076,-0.001377,4.787271
0.020000,3.856607,5.564384,0.052964,0.069002,0.032049,-0.001391,4.787334
0.020000,3.856711,5.562995,0.054357,0.069642,0.032021,-0.001404,4.787397
0.020000,3.856816,5.561593,0.055762,0.070282,0.031992,-0.001417,4.787461
0.020000,3.856923,5.560179,0.057181,0.070921,0.031964,-0.001430,4.787526
0.020000,3.857030,5.558752,0.058612,0.071560,0.031935,-0.001443,4.787592
0.020000,3.857139,5.557312,0.060056,0.072198,0.031906,-0.001457,4.787658
0.020000,3.857249,5.555859,0.061512,0.072836,0.031876,-0.001470,4.787724
0.020000,3.857359,5.554392,0.062984,0.073581,0.037284,0.270368,4.787791
0.020000,3.857471,5.552908,0.064472,0.074391,0.040514,0.161541,4.787860
0.020000,3.857585,5.551412,0.065972,0.075030,0.031903,-0.430555,4.787928
0.020000,3.857699,5.549903,0.067486,0.075667,0.031873,-0.001534,4.787998
0.020000,3.857814,5.548381,0.069012,0.076304,0.031842,-0.001548,4.788068
0.020000,3.857931,5.546847,0.070551,0.076940,0.031810,-0.001561,4.788138
0.020000,3.858048,5.545300,0.072102,0.077576,0.031779,-0.001574,4.788210
0.020000,3.858167,5.543740,0.073666,0.078211,0.031747,-0.001588,4.788282
0.020000,3.858286,5.542168,0.075243,0.078845,0.031715,-0.001601,4.788354
0.020000,3.858407,5.540583,0.076833,0.079479,0.031683,-0.001614,4.788428
0.020000,3.858529,5.538985,0.078435,0.080112,0.031650,-0.001627,4.788501
0.020000,3.858652,5.537375,0.080050,0.080744,0.031617,-0.001641,4.788576
0.020000,3.858776,5.535752,0.081678,0.081376,0.031584,-0.001654,4.788651
0.020000,3.858901,5.534115,0.083320,0.082109,0.036660,0.253762,4.788727
0.020000,3.859027,5.532460,0.084979,0.082953,0.042203,0.277156,4.788804
0.020000,3.859155,5.530794,0.086650,0.083585,0.031598,-0.530219,4.788881
0.020000,3.859284,5.529114,0.088335,0.084216,0.031564,-0.001720,4.788959
0.020000,3.859414,5.527422,0.090032,0.084847,0.031529,-0.001733,4.789038
0.020000,3.859545,5.525718,0.091741,0.085477,0.031494,-0.001747,4.789117
0.020000,3.859677,5.524001,0.093463,0.086106,0.031459,-0.001760,4.789197
0.020000,3.859810,5.522271,0.095198,0.086734,0.031424,-0.001773,4.789278
0.020000,3.859944,5.520529,0.096945,0.087362,0.031388,-0.001787,4.789359
0.020000,3.860080,5.518775,0.098705,0.087989,0.031352,-0.001800,4.789441
0.020000,3.860216,5.517008,0.100477,0.088615,0.031316,-0.001813,4.789524
0.020000,3.860354,5.515228,0.102262,0.089241,0.031279,-0.001826,4.789607
0.020000,3.860493,5.513432,0.104063,0.090056,0.040734,0.472758,4.789691
0.020000,3.860633,5.511621,0.105880,0.090836,0.039042,-0.084610,4.789776
0.020000,3.860775,5.509797,0.107709,0.091462,0.031281,-0.388073,4.789862
0.020000,3.860917,5.507961,0.109551,0.092087,0.031243,-0.001894,4.789948
0.020000,3.861061,5.506112,0.111405,0.092711,0.031205,-0.001907,4.790035
0.020000,3.861206,5.504251,0.113272,0.093334,0.031166,-0.001921,4.790123
0.020000,3.861352,5.502378,0.115151,0.093957,0.031128,-0.001934,4.790211
0.020000,3.861499,5.500492,0.117043,0.094579,0.031089,-0.001947,4.790300
0.020000,3.861647,5.498594,0.118947,0.095200,0.031049,-0.001961,4.790390
0.020000,3.861797,5.496683,0.120863,0.095820,0.031010,-0.001974,4.790480
0.020000,3.861947,5.494760,0.122792,0.096439,0.030970,-0.001987,4.790571
0.020000,3.862099,5.492820,0.124739,0.097339,0.044992,0.701082,4.790663
0.020000,3.862253,5.490865,0.126700,0.098050,0.035570,-0.471098,4.790756
0.020000,3.862407,5.488897,0.128673,0.098670,0.030960,-0.230499,4.790849
0.020000,3.862563,5.486918,0.130659,0.099288,0.030919,-0.002056,4.790943
0.020000,3.862720,5.484926,0.132657,0.099906,0.030877,-0.002069,4.791038
0.020000,3.862878,5.482921,0.134667,0.100522,0.030836,-0.002083,4.791133
0.020000,3.863037,5.480905,0.136690,0.101138,0.030794,-0.002096,4.791229
0.020000,3.863198,5.478876,0.138725,0.101753,0.030752,-0.002109,4.791326
0.020000,3.863359,5.476835,0.140772,0.102367,0.030709,-0.002123,4.791423
0.020000,3.863522,5.474782,0.142832,0.102981,0.030666,-0.002136,4.791522
0.020000,3.863686,5.472711,0.144910,0.103886,0.045268,0.730059,4.791621
0.020000,3.863852,5.470625,0.147002,0.104605,0.035972,-0.464803,4.791721
0.020000,3.864019,5.468528,0.149106,0.105218,0.030645,-0.266324,4.791821
