dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.948898,5.550689,0.000007,0.000688,0.034378,1.718887,4.784074
0.020000,2.948898,5.550689,0.000028,0.001375,0.034378,0.000000,4.784075
0.020000,2.948898,5.550689,0.000062,0.002063,0.034378,0.000000,4.784077
0.020000,2.948898,5.550689,0.000110,0.002750,0.034378,0.000000,4.784079
0.020000,2.948898,5.550689,0.000172,0.003438,0.034378,0.000000,4.784081
0.020000,2.948898,5.550689,0.000248,0.004125,0.034378,0.000000,4.784085
0.020000,2.948898,5.550689,0.000337,0.004813,0.034378,0.000000,4.784088
0.020000,2.948898,5.550689,0.000440,0.005500,0.034378,0.000000,4.784093
0.020000,2.948898,5.550689,0.000557,0.006188,0.034378,0.000000,4.784098
0.020000,2.948898,5.550689,0.000688,0.006876,0.034378,-0.000000,4.784103
0.020000,2.948898,5.550689,0.000832,0.007563,0.034378,0.000000,4.784109
0.020000,2.948898,5.550689,0.000990,0.008251,0.034378,0.000000,4.784116
0.020000,2.948898,5.550689,0.001162,0.008938,0.034378,0.000000,4.784123
0.020000,2.948898,5.550689,0.001348,0.009626,0.034378,-0.000000,4.784131
0.020000,2.948898,5.550689,0.001547,0.010313,0.034378,0.000000,4.784140
0.020000,2.948898,5.550689,0.001760,0.011001,0.034378,-0.000000,4.784149
0.020000,2.948898,5.550689,0.001987,0.011688,0.034378,0.000000,4.784158
0.020000,2.948898,5.550689,0.002228,0.012376,0.034378,0.000000,4.784168
0.020000,2.948898,5.550689,0.002482,0.013064,0.034378,-0.000000,4.784179
0.020000,2.948898,5.550689,0.002750,0.013751,0.034378,0.000000,4.784191
0.020000,2.948898,5.550689,0.003032,0.014439,0.034378,0.000000,4.784203
0.020000,2.948898,5.550689,0.003328,0.015126,0.034378,-0.000000,4.784215
0.020000,2.948898,5.550689,0.003637,0.015814,0.034378,0.000000,4.784228
0.020000,2.948898,5.550689,0.003960,0.016501,0.034378,-0.000000,4.784242
0.020000,2.948898,5.550689,0.004297,0.017189,0.034378,0.000000,4.784256
0.020000,2.948898,5.550689,0.004648,0.017876,0.034378,-0.000000,4.784271
0.020000,2.948898,5.550689,0.005012,0.018564,0.034378,0.000000,4.784287
0.020000,2.948898,5.550689,0.005390,0.019252,0.034378,0.000000,4.784303
0.020000,2.948898,5.550689,0.005782,0.019939,0.034378,0.000000,4.784319
0.020000,2.948898,5.550689,0.006188,0.020627,0.034378,0.000000,4.784337
0.020000,2.948898,5.550689,0.006607,0.021314,0.034378,-0.000000,4.784354
0.020000,2.948898,5.550689,0.007041,0.022002,0.034378,0.000000,4.784373
0.020000,2.948898,5.550689,0.007487,0.022689,0.034378,0.000000,4.784392
0.020000,2.948898,5.550689,0.007948,0.023377,0.034378,0.000000,4.784411
0.020000,2.948898,5.550689,0.008423,0.024064,0.034378,0.000000,4.784432
0.020000,2.948898,5.550689,0.008911,0.024752,0.034378,0.000000,4.784452
0.020000,2.948898,5.550689,0.009413,0.025440,0.034378,-0.000000,4.784474
0.020000,2.948898,5.550689,0.009928,0.026127,0.034378,0.000000,4.784496
0.020000,2.948898,5.550689,0.010458,0.026815,0.034378,0.000000,4.784518
0.020000,2.948898,5.550689,0.011001,0.027502,0.034378,0.000000,4.784541
0.020000,2.948898,5.550689,0.011558,0.028190,0.034378,0.000000,4.784565
0.020000,2.948898,5.550689,0.012128,0.028877,0.034378,-0.000000,4.784589
0.020000,2.948898,5.550689,0.012713,0.029565,0.034378,0.000000,4.784614
0.020000,2.948898,5.550689,0.013311,0.030252,0.034378,0.000000,4.784639
0.020000,2.948898,5.550689,0.013923,0.030940,0.034378,0.000000,4.784665
0.020000,2.948898,5.550689,0.014549,0.031628,0.034378,0.000000,4.784692
0.020000,2.948898,5.550689,0.015188,0.032315,0.034378,0.000000,4.784719
0.020000,2.948898,5.550689,0.015841,0.033003,0.034378,-0.000000,4.784747
0.020000,2.948898,5.550689,0.016508,0.033690,0.034378,0.000000,4.784775
0.020000,2.948898,5.550689,0.017189,0.034378,0.034378,0.000000,4.784804
0.020000,2.948898,5.550689,0.017883,0.035065,0.034378,-0.000000,4.784834
0.020000,2.948898,5.550689,0.018591,0.035753,0.034378,0.000000,4.784864
0.020000,2.948898,5.550689,0.019313,0.036440,0.034378,-0.000000,4.784895
0.020000,2.948898,5.550689,0.020049,0.037128,0.034378,0.000000,4.784926
0.020000,2.948898,5.550689,0.020799,0.037816,0.034378,0.000000,4.784958
0.020000,2.948902,5.550632,0.021562,0.038503,0.034378,-0.000000,4.784991
0.020000,2.948959,5.549856,0.022339,0.039191,0.034378,0.000000,4.785024
0.020000,2.949016,5.549066,0.023129,0.039878,0.034378,-0.000000,4.785058
0.020000,2.949075,5.548262,0.023934,0.040566,0.034378,0.000000,4.785092
0.020000,2.949134,5.547445,0.024752,0.041253,0.034378,0.000000,4.785127
0.020000,2.949195,5.546614,0.025584,0.041941,0.034378,-0.000000,4.785163
0.020000,2.949256,5.545770,0.026430,0.042628,0.034378,0.000000,4.785199
0.020000,2.949319,5.544912,0.027289,0.043316,0.034378,-0.000000,4.785236
0.020000,2.949383,5.544041,0.028162,0.044004,0.034378,0.000000,4.785273
0.020000,2.949447,5.543155,0.029049,0.044691,0.034378,-0.000000,4.785311
0.020000,2.949513,5.542257,0.029950,0.045379,0.034378,0.000000,4.785350
0.020000,2.949580,5.541344,0.030864,0.046066,0.034378,0.000000,4.785389
0.020000,2.949647,5.540418,0.031793,0.046754,0.034378,-0.000000,4.785429
0.020000,2.949716,5.539479,0.032734,0.047441,0.034378,0.000000,4.785469
0.020000,2.949786,5.538526,0.033690,0.048129,0.034378,-0.000000,4.785510
0.020000,2.949857,5.537560,0.034660,0.048816,0.034378,0.000000,4.785552
0.020000,2.949929,5.536579,0.035643,0.049504,0.034378,0.000000,4.785594
0.020000,2.950001,5.535586,0.036640,0.050192,0.034378,-0.000000,4.785637
0.020000,2.950075,5.534579,0.037651,0.050879,0.034378,0.000000,4.785680
0.020000,2.950150,5.533558,0.038675,0.051567,0.034378,-0.000000,4.785724
0.020000,2.950226,5.532524,0.039713,0.052254,0.034378,0.000000,4.785769
0.020000,2.950303,5.531476,0.040765,0.052942,0.034378,0.000000,4.785814
0.020000,2.950381,5.530415,0.041831,0.053629,0.034378,-0.000000,4.785860
0.020000,2.950461,5.529341,0.042910,0.054317,0.034378,0.000000,4.785906
0.020000,2.950541,5.528249,0.044004,0.055004,0.034378,-0.000000,4.785953
0.020000,2.950623,5.527143,0.045110,0.055692,0.034378,0.000000,4.786001
0.020000,2.950705,5.526024,0.046231,0.056380,0.034378,0.000000,4.786049
0.020000,2.950789,5.524891,0.047366,0.057067,0.034378,-0.000000,4.786098
0.020000,2.950873,5.523744,0.048514,0.057755,0.034378,0.000000,4.786148
0.020000,2.950959,5.522585,0.049676,0.058442,0.034378,-0.000000,4.786198
0.020000,2.951046,5.521412,0.050852,0.059130,0.034378,0.000000,4.786249
0.020000,2.951134,5.520225,0.052041,0.059817,0.034378,-0.000000,4.786300
0.020000,2.951223,5.519025,0.053244,0.060505,0.034378,0.000000,4.786353
0.020000,2.951313,5.517811,0.054461,0.061192,0.034378,0.000000,4.786405
0.020000,2.951404,5.516584,0.055692,0.061880,0.034378,-0.000000,4.786459
0.020000,2.951496,5.515344,0.056936,0.062568,0.034378,0.000000,4.786512
0.020000,2.951589,5.514090,0.058195,0.063255,0.034378,-0.000000,4.786567
0.020000,2.951683,5.512822,0.059467,0.063943,0.034378,0.000000,4.786622
0.020000,2.951778,5.511542,0.060752,0.064630,0.034378,0.000000,4.786678
0.020000,2.951875,5.510248,0.062052,0.065318,0.034378,-0.000000,4.786734
0.020000,2.951972,5.508940,0.063365,0.066005,0.034378,0.000000,4.786791
0.020000,2.952071,5.507618,0.064692,0.066693,0.034378,0.000000,4.786849
0.020000,2.952171,5.506279,0.066033,0.067380,0.034378,0.000000,4.786907
0.020000,2.952272,5.504926,0.067387,0.068068,0.034378,-0.000000,4.786966
0.020000,2.952374,5.503560,0.068755,0.068755,0.034378,0.000000,4.787026
0.020000,2.952477,5.502180,0.070137,0.069443,0.034378,-0.000000,4.787086
0.020000,2.952581,5.500787,0.071533,0.070131,0.034378,0.000000,4.787147
0.020000,2.952687,5.499381,0.072943,0.070818,0.034378,-0.000000,4.787209
0.020000,2.952793,5.497962,0.074366,0.071506,0.034378,0.000000,4.787271
0.020000,2.952901,5.496529,0.075803,0.072193,0.034378,-0.000000,4.787334
0.020000,2.953009,5.495082,0.077254,0.072881,0.034378,0.000000,4.787397
0.020000,2.953119,5.493623,0.078718,0.073568,0.034378,0.000000,4.787461
0.020000,2.953230,5.492150,0.080196,0.074256,0.034378,0.000000,4.787526
0.020000,2.953342,5.490664,0.081688,0.074943,0.034378,-0.000000,4.787592
0.020000,2.953455,5.489164,0.083194,0.075631,0.034378,0.000000,4.787658
0.020000,2.953569,5.487651,0.084714,0.076319,0.034378,-0.000000,4.787724
0.020000,2.953684,5.486123,0.086247,0.077006,0.034378,0.000000,4.787791
0.020000,2.953801,5.484578,0.087794,0.077694,0.034378,-0.000000,4.787860
0.020000,2.953919,5.483019,0.089355,0.078381,0.034378,0.000000,4.787928
0.020000,2.954038,5.481448,0.090929,0.079069,0.034378,0.000000,4.787998
0.020000,2.954158,5.479863,0.092517,0.079756,0.034378,-0.000000,4.788068
0.020000,2.954279,5.478264,0.094119,0.080444,0.034378,0.000000,4.788138
0.020000,2.954402,5.476653,0.095735,0.081131,0.034378,-0.000000,4.788210
0.020000,2.954525,5.475028,0.097365,0.081819,0.034378,0.000000,4.788282
0.020000,2.954650,5.473390,0.099008,0.082507,0.034378,-0.000000,4.788354
0.020000,2.954776,5.471739,0.100665,0.083194,0.034378,0.000000,4.788428
0.020000,2.954902,5.470075,0.102336,0.083882,0.034378,0.000000,4.788501
0.020000,2.955030,5.468397,0.104020,0.084569,0.034378,0.000000,4.788576
0.020000,2.955160,5.466707,0.105718,0.085257,0.034378,-0.000000,4.788651
0.020000,2.955290,5.465001,0.107430,0.085944,0.034378,0.000000,4.788727
0.020000,2.955422,5.463277,0.109156,0.086632,0.034378,0.000000,4.788804
0.020000,2.955555,5.461540,0.110896,0.087319,0.034378,0.000000,4.788881
0.020000,2.955689,5.459790,0.112649,0.088007,0.034378,-0.000000,4.788959
0.020000,2.955824,5.458027,0.114416,0.088695,0.034378,0.000000,4.789038
0.020000,2.955961,5.456251,0.116197,0.089382,0.034378,-0.000000,4.789117
0.020000,2.956099,5.454462,0.117991,0.090070,0.034378,0.000000,4.789197
0.020000,2.956237,5.452659,0.119800,0.090757,0.034378,-0.000000,4.789278
0.020000,2.956377,5.450844,0.121622,0.091445,0.034378,0.000000,4.789359
0.020000,2.956518,5.449015,0.123457,0.092132,0.034378,-0.000000,4.789441
0.020000,2.956661,5.447173,0.125307,0.092820,0.034378,0.000000,4.789524
0.020000,2.956804,5.445318,0.127170,0.093507,0.034378,0.000000,4.789607
0.020000,2.956949,5.443447,0.129047,0.094195,0.034378,0.000000,4.789691
0.020000,2.957095,5.441559,0.130938,0.094883,0.034378,-0.000000,4.789776
0.020000,2.957243,5.439658,0.132843,0.095570,0.034378,0.000000,4.789862
0.020000,2.957392,5.437743,0.134761,0.096258,0.034378,-0.000000,4.789948
