dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.044976,5.485780,0.000007,0.000688,0.034378,1.718887,4.784074
0.020000,2.044976,5.485779,0.000008,0.000040,-0.032397,-3.338717,4.784075
0.020000,2.044976,5.485778,0.000009,0.000066,0.001321,1.685869,4.784077
0.020000,2.044976,5.485776,0.000011,0.000092,0.001321,0.000002,4.784079
0.020000,2.044976,5.485774,0.000013,0.000119,0.001321,0.000003,4.784081
0.020000,2.044976,5.485771,0.000016,0.000145,0.001321,0.000003,4.784085
0.020000,2.044977,5.485768,0.000020,0.000172,0.001321,0.000004,4.784088
0.020000,2.044977,5.485764,0.000024,0.000198,0.001321,0.000005,4.784093
0.020000,2.044977,5.485759,0.000028,0.000225,0.001321,0.000006,4.784098
0.020000,2.044977,5.485754,0.000033,0.000251,0.001321,0.000007,4.784103
0.020000,2.044978,5.485749,0.000039,0.000277,0.001322,0.000007,4.784109
0.020000,2.044978,5.485743,0.000045,0.000304,0.001322,0.000008,4.784116
0.020000,2.044979,5.485736,0.000051,0.000330,0.001322,0.000009,4.784123
0.020000,2.044979,5.485729,0.000058,0.000357,0.001322,0.000010,4.784131
0.020000,2.044980,5.485721,0.000066,0.000383,0.001322,0.000010,4.784140
0.020000,2.044980,5.485713,0.000074,0.000410,0.001322,0.000011,4.784149
0.020000,2.044981,5.485704,0.000083,0.000436,0.001323,0.000012,4.784158
0.020000,2.044982,5.485695,0.000092,0.000463,0.001323,0.000013,4.784168
0.020000,2.044982,5.485685,0.000102,0.000489,0.001323,0.000013,4.784179
0.020000,2.044983,5.485675,0.000112,0.000515,0.001324,0.000014,4.784191
0.020000,2.044984,5.485664,0.000123,0.000542,0.001324,0.000015,4.784203
0.020000,2.044985,5.485653,0.000135,0.000568,0.001324,0.000016,4.784215
0.020000,2.044986,5.485641,0.000146,0.000595,0.001324,0.000017,4.784228
0.020000,2.044987,5.485629,0.000159,0.000621,0.001325,0.000017,4.784242
0.020000,2.044987,5.485616,0.000172,0.000648,0.001325,0.000018,4.784256
0.020000,2.044988,5.485602,0.000185,0.000674,0.001326,0.000019,4.784271
0.020000,2.044989,5.485588,0.000199,0.000701,0.001326,0.000020,4.784287
0.020000,2.044990,5.485574,0.000214,0.000727,0.001326,0.000020,4.784303
0.020000,2.044992,5.485559,0.000229,0.000754,0.001327,0.000021,4.784319
0.020000,2.044993,5.485543,0.000245,0.000781,0.001327,0.000022,4.784337
0.020000,2.044994,5.485527,0.000261,0.000807,0.001328,0.000023,4.784354
0.020000,2.044995,5.485510,0.000277,0.000834,0.001328,0.000023,4.784373
0.020000,2.044996,5.485493,0.000295,0.000860,0.001329,0.000024,4.784392
0.020000,2.044998,5.485476,0.000312,0.000887,0.001329,0.000025,4.784411
0.020000,2.044999,5.485457,0.000331,0.000913,0.001330,0.000026,4.784432
0.020000,2.045000,5.485439,0.000349,0.000940,0.001330,0.000027,4.784452
0.020000,2.045002,5.485419,0.000369,0.000967,0.001331,0.000027,4.784474
0.020000,2.045003,5.485400,0.000389,0.000993,0.001331,0.000028,4.784496
0.020000,2.045005,5.485379,0.000409,0.001020,0.001332,0.000029,4.784518
0.020000,2.045006,5.485358,0.000430,0.001047,0.001332,0.000030,4.784541
0.020000,2.045008,5.485337,0.000451,0.001073,0.001333,0.000031,4.784565
0.020000,2.045009,5.485315,0.000473,0.001100,0.001334,0.000031,4.784589
0.020000,2.045011,5.485292,0.000496,0.001127,0.001334,0.000032,4.784614
0.020000,2.045012,5.485269,0.000519,0.001153,0.001335,0.000033,4.784639
0.020000,2.045014,5.485246,0.000543,0.001180,0.001336,0.000034,4.784665
0.020000,2.045016,5.485222,0.000567,0.001207,0.001336,0.000034,4.784692
0.020000,2.045018,5.485197,0.000591,0.001233,0.001337,0.000035,4.784719
0.020000,2.045019,5.485172,0.000617,0.001260,0.001338,0.000036,4.784747
