dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.333640,22.047595,0.000006,0.000634,0.031702,1.585077,1.250447
0.020000,2.333641,22.047596,0.000008,0.000085,-0.027467,-2.958420,1.250446
0.020000,2.333642,22.047599,0.000011,0.000141,0.002823,1.514503,1.250442
0.020000,2.333643,22.047603,0.000015,0.000198,0.002823,0.000005,1.250438
0.020000,2.333644,22.047607,0.000020,0.000254,0.002823,0.000007,1.250432
0.020000,2.333646,22.047613,0.000026,0.000311,0.002824,0.000009,1.250426
0.020000,2.333649,22.047620,0.000033,0.000367,0.002824,0.000012,1.250417
0.020000,2.333651,22.047628,0.000042,0.000424,0.002824,0.000014,1.250408
0.020000,2.333654,22.047637,0.000052,0.000480,0.002824,0.000016,1.250398
0.020000,2.333658,22.047648,0.000062,0.000537,0.002825,0.000018,1.250386
0.020000,2.333662,22.047659,0.000074,0.000593,0.002825,0.000020,1.250373
0.020000,2.333666,22.047671,0.000087,0.000650,0.002826,0.000022,1.250358
0.020000,2.333670,22.047685,0.000101,0.000706,0.002826,0.000024,1.250343
0.020000,2.333675,22.047699,0.000116,0.000763,0.002827,0.000026,1.250326
0.020000,2.333680,22.047715,0.000133,0.000819,0.002827,0.000028,1.250308
0.020000,2.333686,22.047731,0.000150,0.000876,0.002828,0.000030,1.250288
0.020000,2.333691,22.047749,0.000169,0.000932,0.002828,0.000032,1.250268
0.020000,2.333698,22.047768,0.000189,0.000989,0.002829,0.000035,1.250246
0.020000,2.333704,22.047788,0.000210,0.001045,0.002830,0.000037,1.250223
0.020000,2.333711,22.047809,0.000232,0.001102,0.002831,0.000039,1.250199
0.020000,2.333718,22.047831,0.000255,0.001159,0.002831,0.000041,1.250173
0.020000,2.333726,22.047854,0.000279,0.001215,0.002832,0.000043,1.250146
0.020000,2.333734,22.047878,0.000305,0.001272,0.002833,0.000045,1.250118
0.020000,2.333743,22.047903,0.000331,0.001329,0.002834,0.000047,1.250089
0.020000,2.333751,22.047929,0.000359,0.001385,0.002835,0.000049,1.250058
0.020000,2.333760,22.047957,0.000388,0.001442,0.002836,0.000051,1.250026
0.020000,2.333770,22.047985,0.000418,0.001499,0.002837,0.000054,1.249993
0.020000,2.333780,22.048015,0.000449,0.001556,0.002838,0.000056,1.249959
0.020000,2.333790,22.048045,0.000481,0.001612,0.002840,0.000058,1.249923
0.020000,2.333800,22.048077,0.000514,0.001669,0.002841,0.000060,1.249887
0.020000,2.333811,22.048110,0.000549,0.001726,0.002842,0.000062,1.249849
0.020000,2.333822,22.048143,0.000585,0.001783,0.002843,0.000064,1.249809
0.020000,2.333834,22.048178,0.000621,0.001840,0.002845,0.000066,1.249769
0.020000,2.333846,22.048214,0.000659,0.001897,0.002846,0.000068,1.249727
0.020000,2.333858,22.048251,0.000698,0.001954,0.002847,0.000070,1.249684
0.020000,2.333871,22.048290,0.000739,0.002011,0.002849,0.000073,1.249639
0.020000,2.333884,22.048329,0.000780,0.002068,0.002850,0.000075,1.249594
0.020000,2.333898,22.048369,0.000823,0.002125,0.002852,0.000077,1.249547
0.020000,2.333911,22.048411,0.000866,0.002182,0.002853,0.000079,1.249499
0.020000,2.333925,22.048453,0.000911,0.002239,0.002855,0.000081,1.249449
0.020000,2.333940,22.048497,0.000957,0.002296,0.002857,0.000083,1.249399
0.020000,2.333955,22.048541,0.001004,0.002353,0.002858,0.000085,1.249347
0.020000,2.333970,22.048587,0.001052,0.002410,0.002860,0.000088,1.249293
0.020000,2.333986,22.048634,0.001101,0.002468,0.002862,0.000090,1.249239
0.020000,2.334002,22.048682,0.001152,0.002525,0.002864,0.000092,1.249183
0.020000,2.334018,22.048731,0.001204,0.002582,0.002866,0.000094,1.249126
