dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.053930,21.476842,0.000006,0.000634,0.031702,1.585077,1.250447
0.020000,4.053930,21.476841,0.000008,0.000085,-0.027467,-2.958420,1.250446
0.020000,4.053929,21.476838,0.000011,0.000141,0.002823,1.514503,1.250442
0.020000,4.053928,21.476834,0.000015,0.000198,0.002823,0.000005,1.250438
0.020000,4.053926,21.476830,0.000020,0.000254,0.002823,0.000007,1.250432
0.020000,4.053924,21.476824,0.000026,0.000311,0.002824,0.000009,1.250426
0.020000,4.053922,21.476817,0.000033,0.000367,0.002824,0.000012,1.250417
0.020000,4.053919,21.476809,0.000042,0.000424,0.002824,0.000014,1.250408
0.020000,4.053916,21.476800,0.000052,0.000480,0.002824,0.000016,1.250398
0.020000,4.053913,21.476789,0.000062,0.000537,0.002825,0.000018,1.250386
0.020000,4.053909,21.476778,0.000074,0.000593,0.002825,0.000020,1.250373
0.020000,4.053905,21.476766,0.000087,0.000650,0.002826,0.000022,1.250358
0.020000,4.053900,21.476752,0.000101,0.000706,0.002826,0.000024,1.250343
0.020000,4.053896,21.476738,0.000116,0.000763,0.002827,0.000026,1.250326
0.020000,4.053890,21.476722,0.000133,0.000819,0.002827,0.000028,1.250308
0.020000,4.053885,21.476706,0.000150,0.000876,0.002828,0.000030,1.250288
0.020000,4.053879,21.476688,0.000169,0.000932,0.002828,0.000032,1.250268
0.020000,4.053873,21.476669,0.000189,0.000989,0.002829,0.000035,1.250246
0.020000,4.053866,21.476649,0.000210,0.001045,0.002830,0.000037,1.250223
0.020000,4.053859,21.476628,0.000232,0.001102,0.002831,0.000039,1.250199
0.020000,4.053852,21.476606,0.000255,0.001159,0.002831,0.000041,1.250173
0.020000,4.053844,21.476583,0.000279,0.001215,0.002832,0.000043,1.250146
0.020000,4.053836,21.476559,0.000305,0.001272,0.002833,0.000045,1.250118
0.020000,4.053828,21.476534,0.000331,0.001329,0.002834,0.000047,1.250089
0.020000,4.053819,21.476508,0.000359,0.001385,0.002835,0.000049,1.250058
0.020000,4.053810,21.476480,0.000388,0.001442,0.002836,0.000051,1.250026
0.020000,4.053801,21.476452,0.000418,0.001499,0.002837,0.000054,1.249993
0.020000,4.053791,21.476422,0.000449,0.001556,0.002838,0.000056,1.249959
0.020000,4.053781,21.476392,0.000481,0.001612,0.002840,0.000058,1.249923
0.020000,4.053770,21.476360,0.000514,0.001669,0.002841,0.000060,1.249887
0.020000,4.053759,21.476327,0.000549,0.001726,0.002842,0.000062,1.249849
0.020000,4.053748,21.476294,0.000585,0.001783,0.002843,0.000064,1.249809
0.020000,4.053736,21.476259,0.000621,0.001840,0.002845,0.000066,1.249769
0.020000,4.053724,21.476223,0.000659,0.001897,0.002846,0.000068,1.249727
0.020000,4.053712,21.476186,0.000698,0.001954,0.002847,0.000070,1.249684
0.020000,4.053699,21.476147,0.000739,0.002011,0.002849,0.000073,1.249639
0.020000,4.053686,21.476108,0.000780,0.002068,0.002850,0.000075,1.249594
0.020000,4.053673,21.476068,0.000823,0.002125,0.002852,0.000077,1.249547
0.020000,4.053659,21.476026,0.000866,0.002182,0.002853,0.000079,1.249499
0.020000,4.053645,21.475984,0.000911,0.002239,0.002855,0.000081,1.249449
0.020000,4.053631,21.475940,0.000957,0.002296,0.002857,0.000083,1.249399
0.020000,4.053616,21.475896,0.001004,0.002353,0.002858,0.000085,1.249347
0.020000,4.053600,21.475850,0.001052,0.002410,0.002860,0.000088,1.249293
0.020000,4.053585,21.475803,0.001101,0.002468,0.002862,0.000090,1.249239
0.020000,4.053569,21.475755,0.001152,0.002525,0.002864,0.000092,1.249183
0.020000,4.053553,21.475706,0.001204,0.002582,0.002866,0.000094,1.249126
0.020000,4.053536,21.475656,0.001256,0.002640,0.002868,0.000096,1.249068
0.020000,4.053638,21.475964,0.001581,0.016216,0.678841,33.798646,1.249008
0.020000,4.053816,21.476496,0.002142,0.028040,0.591207,-4.381691,1.248947
0.020000,4.053997,21.477039,0.002714,0.028613,0.028630,-28.128839,1.248885
0.020000,4.054182,21.477592,0.003298,0.029185,0.028613,-0.000850,1.248822
0.020000,4.054370,21.478157,0.003893,0.029757,0.028596,-0.000867,1.248757
0.020000,4.054562,21.478732,0.004499,0.030329,0.028578,-0.000884,1.248691
0.020000,4.054758,21.479319,0.005117,0.030900,0.028560,-0.000901,1.248624
0.020000,4.054957,21.479916,0.005747,0.031471,0.028542,-0.000918,1.248555
0.020000,4.055160,21.480523,0.006388,0.032041,0.028523,-0.000935,1.248486
