dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.213578,0.457086,0.000200,0.020000,1.000000,50.000000,6.281349
0.020000,0.213533,0.457086,0.000245,0.002265,-0.886739,-94.336962,6.281513
0.020000,0.213442,0.457086,0.000336,0.004530,0.113240,49.998969,6.281843
0.020000,0.213306,0.457086,0.000472,0.006794,0.113199,-0.002069,6.282337
0.020000,0.213125,0.457086,0.000653,0.009057,0.113136,-0.003124,6.282996
0.020000,0.215978,0.457087,0.003506,0.142636,6.678950,328.290688,0.000634
0.020000,0.220506,0.457092,0.008034,0.226403,4.188365,-124.529236,0.001621
0.020000,0.225789,0.457104,0.013317,0.264173,1.888501,-114.993234,0.002774
0.020000,0.231827,0.457125,0.019355,0.301878,1.885243,-0.162904,0.004091
0.020000,0.238619,0.457157,0.026147,0.339613,1.886772,0.076463,0.005572
0.020000,0.246166,0.457206,0.033695,0.377382,1.888439,0.083340,0.007218
0.020000,0.254468,0.457273,0.041997,0.415111,1.886439,-0.099969,0.009028
0.020000,0.263525,0.457364,0.051054,0.452843,1.886628,0.009423,0.011003
0.020000,0.273336,0.457482,0.060865,0.490579,1.886765,0.006890,0.013142
0.020000,0.283902,0.457633,0.071432,0.528358,1.888951,0.109299,0.015445
0.020000,0.295222,0.457822,0.082754,0.566089,1.886559,-0.119632,0.017911
0.020000,0.307296,0.458054,0.094830,0.603801,1.885601,-0.047894,0.020542
0.020000,0.320125,0.458336,0.107663,0.641615,1.890683,0.254106,0.023336
0.020000,0.333707,0.458673,0.121249,0.679319,1.885206,-0.273870,0.026293
0.020000,0.348044,0.459072,0.135591,0.717116,1.889861,0.232761,0.029412
0.020000,0.363134,0.459541,0.150689,0.754878,1.888119,-0.087099,0.032694
0.020000,0.378978,0.460086,0.166542,0.792643,1.888213,0.004694,0.036138
0.020000,0.395574,0.460716,0.183150,0.830424,1.889053,0.042011,0.039744
0.020000,0.412923,0.461439,0.200514,0.868216,1.889630,0.028874,0.043510
0.020000,0.431025,0.462263,0.218635,0.906016,1.889971,0.017022,0.047436
0.020000,0.449878,0.463196,0.237511,0.943818,1.890101,0.006513,0.051521
0.020000,0.469483,0.464249,0.257144,0.981636,1.890936,0.041757,0.055765
0.020000,0.489839,0.465430,0.277534,1.019505,1.893423,0.124326,0.060166
