dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.213073,0.182086,0.000200,0.020000,1.000000,50.000000,6.281349
0.020000,0.213073,0.182086,0.001000,0.060000,2.000000,50.000000,6.281513
0.020000,0.213073,0.182086,0.002600,0.100000,2.000000,0.000000,6.281843
0.020000,0.213073,0.182086,0.005000,0.140000,2.000000,0.000000,6.282337
0.020000,0.213073,0.182086,0.008200,0.180000,2.000000,-0.000000,6.282996
0.020000,0.216152,0.182087,0.012200,0.220000,2.000000,0.000000,0.000634
0.020000,0.220952,0.182093,0.017000,0.260000,2.000000,0.000000,0.001621
0.020000,0.226552,0.182105,0.022600,0.300000,2.000000,0.000000,0.002774
0.020000,0.232952,0.182127,0.029000,0.340000,2.000000,-0.000000,0.004091
0.020000,0.240151,0.182162,0.036200,0.380000,2.000000,0.000000,0.005572
0.020000,0.248151,0.182213,0.044200,0.420000,2.000000,0.000000,0.007218
0.020000,0.256951,0.182284,0.053000,0.460000,2.000000,-0.000000,0.009028
0.020000,0.266551,0.182380,0.062600,0.500000,2.000000,0.000000,0.011003
0.020000,0.276949,0.182506,0.073000,0.540000,2.000000,0.000000,0.013142
0.020000,0.288149,0.182666,0.084200,0.580000,2.000000,-0.000000,0.015445
0.020000,0.300147,0.182866,0.096200,0.620000,2.000000,0.000000,0.017911
0.020000,0.312944,0.183112,0.109000,0.660000,2.000000,0.000000,0.020542
0.020000,0.326542,0.183411,0.122600,0.700000,2.000000,-0.000000,0.023336
0.020000,0.340937,0.183768,0.137000,0.740000,2.000000,0.000000,0.026293
0.020000,0.356131,0.184191,0.152200,0.780000,2.000000,0.000000,0.029412
0.020000,0.372124,0.184688,0.168200,0.820000,2.000000,-0.000000,0.032694
0.020000,0.388914,0.185266,0.185000,0.860000,2.000000,0.000000,0.036138
0.020000,0.406501,0.185934,0.202600,0.900000,2.000000,-0.000000,0.039744
0.020000,0.424885,0.186699,0.221000,0.940000,2.000000,0.000000,0.043510
0.020000,0.444065,0.187572,0.240200,0.980000,2.000000,-0.000000,0.047436
0.020000,0.464040,0.188561,0.260200,1.020000,2.000000,0.000000,0.051521
0.020000,0.484810,0.189677,0.281000,1.060000,2.000000,0.000000,0.055765
0.020000,0.506374,0.190928,0.302600,1.100000,2.000000,-0.000000,0.060166
0.020000,0.528730,0.192326,0.325000,1.140000,2.000000,0.000000,0.064723
0.020000,0.551878,0.193881,0.348200,1.180000,2.000000,-0.000000,0.069435
0.020000,0.575816,0.195604,0.372200,1.220000,2.000000,0.000000,0.074301
0.020000,0.600543,0.197507,0.397000,1.260000,2.000000,0.000000,0.079318
0.020000,0.626057,0.199602,0.422600,1.300000,2.000000,0.000000,0.084486
0.020000,0.652357,0.201899,0.449000,1.340000,2.000000,-0.000000,0.089802
0.020000,0.679440,0.204413,0.476200,1.380000,2.000000,0.000000,0.095265
0.020000,0.707306,0.207154,0.504200,1.420000,2.000000,-0.000000,0.100872
0.020000,0.735951,0.210137,0.533000,1.460000,2.000000,0.000000,0.106620
0.020000,0.765373,0.213373,0.562600,1.500000,2.000000,0.000000,0.112508
0.020000,0.795571,0.216878,0.593000,1.540000,2.000000,0.000000,0.118533
0.020000,0.826540,0.220663,0.624200,1.580000,2.000000,-0.000000,0.124691
0.020000,0.858279,0.224742,0.656200,1.620000,2.000000,0.000000,0.130979
0.020000,0.890784,0.229130,0.689000,1.660000,2.000000,-0.000000,0.137394
0.020000,0.924052,0.233841,0.722600,1.700000,2.000000,-0.000000,0.143933
0.020000,0.958080,0.238889,0.757000,1.740000,2.000000,0.000000,0.150590
0.020000,0.992863,0.244287,0.792200,1.780000,2.000000,0.000000,0.157363
0.020000,1.028398,0.250052,0.828200,1.820000,2.000000,-0.000000,0.164247
0.020000,1.064682,0.256196,0.865000,1.860000,2.000000,0.000000,0.171237
0.020000,1.101709,0.262734,0.902600,1.900000,2.000000,0.000000,0.178328
0.020000,1.139475,0.269682,0.941000,1.940000,2.000000,0.000000,0.185515
0.020000,1.177976,0.277053,0.980200,1.980000,2.000000,0.000000,0.192792
0.020000,1.217206,0.284861,1.020200,2.020000,2.000000,0.000000,0.200155
0.020000,1.257161,0.293122,1.061000,2.060000,2.000000,0.000000,0.207598
0.020000,1.297835,0.301849,1.102600,2.100000,2.000000,-0.000000,0.215113
0.020000,1.339223,0.311057,1.145000,2.140000,2.000000,0.000000,0.222695
0.020000,1.381319,0.320760,1.188200,2.180000,2.000000,-0.000000,0.230337
0.020000,1.424118,0.330970,1.232200,2.220000,2.000000,-0.000000,0.238033
0.020000,1.467613,0.341702,1.277000,2.260000,2.000000,0.000000,0.245774
0.020000,1.511799,0.352969,1.322600,2.300000,2.000000,0.000000,0.253555
0.020000,1.556670,0.364784,1.369000,2.340000,2.000000,-0.000000,0.261367
0.020000,1.602218,0.377160,1.416200,2.380000,2.000000,0.000000,0.269203
0.020000,1.648439,0.390108,1.464200,2.420000,2.000000,0.000000,0.277056
0.020000,1.695325,0.403641,1.513000,2.460000,2.000000,0.000000,0.284916
0.020000,1.742870,0.417770,1.562600,2.500000,2.000000,0.000000,0.292776
0.020000,1.791067,0.432506,1.613000,2.540000,2.000000,0.000000,0.300628
0.020000,1.839911,0.447859,1.664200,2.580000,2.000000,0.000000,0.308463
0.020000,1.889394,0.463840,1.716200,2.620000,2.000000,0.000000,0.316273
0.020000,1.939511,0.480458,1.769000,2.660000,2.000000,0.000000,0.324049
0.020000,1.990254,0.497721,1.822600,2.700000,2.000000,0.000000,0.331782
0.020000,2.041619,0.515639,1.877000,2.740000,2.000000,0.000000,0.339464
0.020000,2.093598,0.534219,1.932200,2.780000,2.000000,-0.000000,0.347086
0.020000,2.146186,0.553467,1.988200,2.820000,2.000000,0.000000,0.354639
0.020000,2.199377,0.573391,2.045000,2.860000,2.000000,0.000000,0.362114
0.020000,2.253165,0.593995,2.102600,2.900000,2.000000,-0.000000,0.369503
0.020000,2.307546,0.615286,2.161000,2.940000,2.000000,0.000000,0.376796
0.020000,2.362513,0.637267,2.220200,2.980000,2.000000,0.000000,0.383986
0.020000,2.417879,0.659865,2.280000,3.000000,1.000000,-50.000000,0.391038
0.020000,2.473270,0.682925,2.340000,3.000000,0.000000,-50.000000,0.397903
0.020000,2.528505,0.706359,2.400000,3.000000,0.000000,0.000000,0.404556
0.020000,2.583585,0.730154,2.460000,3.000000,0.000000,0.000000,0.410997
0.020000,2.638512,0.754298,2.520000,3.000000,0.000000,0.000000,0.417226
0.020000,2.693291,0.778777,2.580000,3.000000,0.000000,0.000000,0.423244
0.020000,2.747925,0.803580,2.640000,3.000000,0.000000,0.000000,0.429051
0.020000,2.802416,0.828694,2.700000,3.000000,0.000000,0.000000,0.434647
