dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.212568,-0.092913,0.000200,0.020000,1.000000,50.000000,6.281349
0.020000,0.212613,-0.092913,0.000245,0.002265,-0.886739,-94.336962,6.281513
0.020000,0.212704,-0.092914,0.000336,0.004530,0.113240,49.998969,6.281843
0.020000,0.212840,-0.092914,0.000472,0.006794,0.113199,-0.002069,6.282337
0.020000,0.213021,-0.092914,0.000653,0.009057,0.113136,-0.003124,6.282996
0.020000,0.216326,-0.092913,0.003958,0.165277,7.811010,384.893674,0.000634
0.020000,0.221398,-0.092907,0.009030,0.253565,4.414415,-169.829720,0.001621
0.020000,0.227315,-0.092894,0.014947,0.295865,2.115007,-114.970435,0.002774
0.020000,0.234077,-0.092871,0.021709,0.338092,2.111315,-0.184564,0.004091
0.020000,0.241684,-0.092834,0.029316,0.380351,2.112970,0.082737,0.005572
0.020000,0.250136,-0.092780,0.037769,0.422646,2.114759,0.089460,0.007218
0.020000,0.259434,-0.092705,0.047067,0.464895,2.112419,-0.117030,0.009028
0.020000,0.269576,-0.092603,0.057210,0.507145,2.112500,0.004047,0.011003
0.020000,0.280563,-0.092470,0.068198,0.549394,2.112490,-0.000494,0.013142
0.020000,0.292396,-0.092301,0.080031,0.591689,2.114734,0.112193,0.015445
0.020000,0.305073,-0.092090,0.092710,0.633925,2.111804,-0.146496,0.017911
0.020000,0.318593,-0.091830,0.106232,0.676134,2.110428,-0.068806,0.020542
0.020000,0.332958,-0.091515,0.120601,0.718449,2.115754,0.266339,0.023336
0.020000,0.348166,-0.091137,0.135814,0.760633,2.109189,-0.328288,0.026293
0.020000,0.364218,-0.090690,0.151872,0.802910,2.113892,0.235173,0.029412
0.020000,0.381113,-0.090165,0.168775,0.845137,2.111347,-0.127253,0.032694
0.020000,0.398849,-0.089554,0.186522,0.887353,2.110763,-0.029204,0.036138
0.020000,0.417427,-0.088849,0.205114,0.929571,2.110910,0.007345,0.039744
0.020000,0.436846,-0.088040,0.224549,0.971784,2.110648,-0.013101,0.043510
0.020000,0.457105,-0.087119,0.244829,1.013984,2.109995,-0.032634,0.047436
0.020000,0.478202,-0.086074,0.265952,1.056163,2.108971,-0.051204,0.051521
0.020000,0.500138,-0.084896,0.287919,1.098335,2.108588,-0.019143,0.055765
0.020000,0.522910,-0.083574,0.310729,1.140533,2.109893,0.065246,0.060166
0.020000,0.546516,-0.082098,0.334382,1.182629,2.104806,-0.254351,0.064723
0.020000,0.570958,-0.080456,0.358878,1.224816,2.109363,0.227836,0.069435
0.020000,0.596230,-0.078637,0.384216,1.266894,2.103907,-0.272803,0.074301
0.020000,0.622332,-0.076628,0.410396,1.308973,2.103927,0.001008,0.079318
0.020000,0.649263,-0.074418,0.437417,1.351054,2.104071,0.007192,0.084486
0.020000,0.677019,-0.071993,0.465279,1.393099,2.102226,-0.092235,0.089802
0.020000,0.705598,-0.069340,0.493981,1.435103,2.100230,-0.099792,0.095265
0.020000,0.734998,-0.066448,0.523523,1.477102,2.099943,-0.014371,0.100872
0.020000,0.765216,-0.063302,0.553904,1.519054,2.097577,-0.118267,0.106620
0.020000,0.796248,-0.059888,0.585123,1.560952,2.094938,-0.131971,0.112508
0.020000,0.828091,-0.056193,0.617180,1.602830,2.093869,-0.053441,0.118533
0.020000,0.860741,-0.052202,0.650073,1.644673,2.092167,-0.085124,0.124691
0.020000,0.894195,-0.047902,0.683802,1.686463,2.089479,-0.134407,0.130979
0.020000,0.928449,-0.043278,0.718366,1.728193,2.086488,-0.149509,0.137394
0.020000,0.963497,-0.038315,0.753764,1.769898,2.085268,-0.061038,0.143933
0.020000,0.999336,-0.032999,0.789995,1.811543,2.082251,-0.150855,0.150590
0.020000,1.035960,-0.027315,0.827057,1.853121,2.078892,-0.167942,0.157363
0.020000,1.073363,-0.021247,0.864950,1.894638,2.075877,-0.150757,0.164247
0.020000,1.111542,-0.014782,0.903672,1.936112,2.073701,-0.108773,0.171237
0.020000,1.150490,-0.007905,0.943222,1.977502,2.069472,-0.211449,0.178328
0.020000,1.190199,-0.000600,0.983599,2.018808,2.065322,-0.207496,0.185515
0.020000,1.230666,0.007148,1.024800,2.060073,2.063252,-0.103497,0.192792
0.020000,1.271882,0.015351,1.066825,2.101223,2.057494,-0.287930,0.200155
0.020000,1.313841,0.024027,1.109671,2.142334,2.055567,-0.096328,0.207598
0.020000,1.356536,0.033188,1.153338,2.183331,2.049815,-0.287594,0.215113
0.020000,1.399959,0.042848,1.197823,2.224246,2.045754,-0.203083,0.222695
0.020000,1.444103,0.053023,1.243124,2.265073,2.041358,-0.219759,0.230337
0.020000,1.488961,0.063724,1.289240,2.305806,2.036673,-0.234292,0.238033
0.020000,1.534523,0.074966,1.336169,2.346441,2.031747,-0.246282,0.245774
0.020000,1.580782,0.086762,1.383909,2.386974,2.026629,-0.255873,0.253555
0.020000,1.627730,0.099124,1.432457,2.427414,2.022004,-0.231288,0.261367
0.020000,1.675358,0.112065,1.481812,2.467740,2.016283,-0.286044,0.269203
0.020000,1.723658,0.125595,1.531971,2.507960,2.011035,-0.262384,0.277056
0.020000,1.772621,0.139728,1.582932,2.548069,2.005410,-0.281254,0.284916
0.020000,1.822238,0.154472,1.634694,2.588072,2.000184,-0.261309,0.292776
0.020000,1.872500,0.169839,1.687253,2.627955,1.994142,-0.302073,0.300628
0.020000,1.923399,0.185839,1.740607,2.667724,1.988450,-0.284640,0.308463
0.020000,1.974926,0.202480,1.794755,2.707377,1.982623,-0.291355,0.316273
0.020000,2.027073,0.219770,1.849693,2.746911,1.976707,-0.295752,0.324049
0.020000,2.079830,0.237719,1.905420,2.786326,1.970746,-0.298096,0.331782
0.020000,2.133189,0.256332,1.961932,2.825621,1.964750,-0.299771,0.339464
0.020000,2.187142,0.275617,2.019228,2.864794,1.958682,-0.303425,0.347086
0.020000,2.241680,0.295580,2.077305,2.903848,1.952681,-0.300030,0.354639
0.020000,2.296796,0.316224,2.136160,2.942778,1.946486,-0.309754,0.362114
0.020000,2.352482,0.337556,2.195792,2.981588,1.940509,-0.298834,0.369503
0.020000,2.408730,0.359578,2.256198,3.020277,1.934468,-0.302071,0.376796
0.020000,2.465534,0.382292,2.317375,3.058844,1.928360,-0.305381,0.383986
0.020000,2.522695,0.405624,2.379114,3.086969,1.406230,-26.106487,0.391038
0.020000,2.579829,0.429410,2.441002,3.094385,0.370822,-51.770409,0.397903
0.020000,2.636748,0.453558,2.502831,3.091471,-0.145727,-25.827463,0.404556
0.020000,2.693453,0.478056,2.564602,3.088557,-0.145701,0.001275,0.410997
0.020000,2.749950,0.502888,2.626315,3.085645,-0.145580,0.006069,0.417226
0.020000,2.806240,0.528043,2.687970,3.082738,-0.145373,0.010374,0.423244
0.020000,2.862327,0.553506,2.749567,3.079836,-0.145089,0.014205,0.429051
0.020000,2.918216,0.579264,2.811105,3.076941,-0.144737,0.017581,0.434647
0.020000,2.973910,0.605304,2.872587,3.074055,-0.144327,0.020518,0.440033
0.020000,3.029414,0.631613,2.934010,3.071177,-0.143866,0.023035,0.445209
0.020000,3.084732,0.658179,2.995376,3.068310,-0.143363,0.025153,0.450178
0.020000,3.139868,0.684988,3.056685,3.065454,-0.142825,0.026890,0.454938
0.020000,3.194829,0.712029,3.117938,3.062608,-0.142260,0.028268,0.459492
