dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.637845,2.700683,0.000235,0.023529,1.176471,58.823529,0.022657
0.020000,5.637766,2.700681,0.000314,0.003935,-0.979703,-107.808658,0.022943
0.020000,5.637589,2.700677,0.000491,0.008854,0.245931,61.281688,0.023587
0.020000,5.637274,2.700669,0.000806,0.015738,0.344221,4.914513,0.024732
0.020000,5.642612,2.700806,0.006145,0.266981,12.562132,610.895515,0.026521
0.020000,5.650155,2.701016,0.013691,0.377296,5.515742,-352.319501,0.029026
0.020000,5.659853,2.701313,0.023394,0.485119,5.391179,-6.228155,0.032250
0.020000,5.671703,2.701719,0.035251,0.592837,5.385868,-0.265544,0.036193
0.020000,5.685704,2.702258,0.049262,0.700581,5.387219,0.067546,0.040857
0.020000,5.701854,2.702962,0.065427,0.808262,5.384036,-0.159135,0.046243
0.020000,5.720152,2.703865,0.083747,0.916002,5.387027,0.149550,0.052353
0.020000,5.740593,2.705006,0.104221,1.023654,5.382573,-0.222705,0.059187
0.020000,5.763176,2.706430,0.126848,1.131383,5.386454,0.194040,0.066746
0.020000,5.787894,2.708185,0.151629,1.239045,5.383083,-0.168514,0.075029
0.020000,5.814745,2.710325,0.178564,1.346765,5.386037,0.147672,0.084034
0.020000,5.843720,2.712908,0.207655,1.454520,5.387725,0.084422,0.093757
0.020000,5.874814,2.715995,0.238902,1.562363,5.392160,0.221736,0.104194
0.020000,5.907806,2.719630,0.272093,1.659546,4.859156,-26.650219,0.115265
0.020000,5.942257,2.723821,0.306798,1.735260,3.785668,-53.674364,0.126816
0.020000,5.977734,2.728559,0.342590,1.789605,2.717286,-53.419093,0.138695
0.020000,6.013803,2.733815,0.379040,1.822502,1.644831,-53.622780,0.150748
0.020000,6.050033,2.739543,0.415720,1.833980,0.573893,-53.546880,0.162821
0.020000,6.086207,2.745709,0.452416,1.834796,0.040830,-26.653181,0.174834
0.020000,6.122323,2.752311,0.489130,1.835732,0.046758,0.296435,0.186780
0.020000,6.158379,2.759347,0.525866,1.836787,0.052751,0.299650,0.198649
0.020000,6.194371,2.766814,0.562625,1.837955,0.058442,0.284510,0.210433
0.020000,6.230299,2.774708,0.599410,1.839229,0.063664,0.261141,0.222125
0.020000,6.266159,2.783026,0.636222,1.840610,0.069070,0.270305,0.233716
0.020000,6.301950,2.791765,0.673064,1.842096,0.074302,0.261591,0.245199
0.020000,6.337669,2.800919,0.709938,1.843683,0.079348,0.252274,0.256567
0.020000,6.373315,2.810486,0.746845,1.845367,0.084196,0.242409,0.267812
0.020000,6.408886,2.820460,0.783788,1.847144,0.088837,0.232060,0.278928
0.020000,6.444380,2.830837,0.820768,1.849009,0.093263,0.221293,0.289909
0.020000,6.479796,2.841612,0.857787,1.850958,0.097467,0.210178,0.300747
0.020000,6.515133,2.852780,0.894847,1.852987,0.101442,0.198788,0.311438
0.020000,6.550390,2.864336,0.931949,1.855091,0.105186,0.187195,0.321976
0.020000,6.585565,2.876273,0.969094,1.857265,0.108696,0.175471,0.332356
0.020000,6.620657,2.888587,1.006284,1.859504,0.111969,0.163688,0.342574
0.020000,6.655666,2.901272,1.043520,1.861805,0.115043,0.153659,0.352624
0.020000,6.690591,2.914321,1.080803,1.864162,0.117826,0.139149,0.362502
0.020000,6.725431,2.927729,1.118135,1.866569,0.120361,0.126781,0.372206
0.020000,6.760187,2.941490,1.155515,1.869023,0.122707,0.117282,0.381731
0.020000,6.794857,2.955596,1.192946,1.871520,0.124831,0.106201,0.391074
0.020000,6.829443,2.970042,1.230427,1.874054,0.126739,0.095410,0.400233
0.020000,6.863943,2.984822,1.267959,1.876623,0.128438,0.084951,0.409206
0.020000,6.898358,2.999928,1.305544,1.879222,0.129935,0.074861,0.417989
0.020000,6.932688,3.015354,1.343181,1.881847,0.131239,0.065172,0.426582
0.020000,6.966934,3.031093,1.380870,1.884494,0.132357,0.055911,0.434982
0.020000,7.001097,3.047138,1.418614,1.887160,0.133299,0.047099,0.443188
0.020000,7.035177,3.063484,1.456411,1.889841,0.134074,0.038751,0.451199
