dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.644075,2.425754,0.000235,0.023529,1.176471,58.823529,0.022657
0.020000,5.644075,2.425754,0.001176,0.070588,2.352941,58.823529,0.022943
0.020000,5.644075,2.425754,0.003294,0.141176,3.529412,58.823529,0.023587
0.020000,5.644075,2.425754,0.007059,0.235294,4.705882,58.823529,0.024732
0.020000,5.649904,2.425903,0.012941,0.352941,5.882353,58.823529,0.026521
0.020000,5.658136,2.426132,0.021176,0.470588,5.882353,0.000000,0.029026
0.020000,5.668720,2.426456,0.031765,0.588235,5.882353,0.000000,0.032250
0.020000,5.681653,2.426899,0.044706,0.705882,5.882353,-0.000000,0.036193
0.020000,5.696936,2.427488,0.060000,0.823529,5.882353,0.000000,0.040857
0.020000,5.714566,2.428256,0.077647,0.941176,5.882353,0.000000,0.046243
0.020000,5.734542,2.429242,0.097647,1.058824,5.882353,0.000000,0.052353
0.020000,5.756860,2.430488,0.120000,1.176471,5.882353,0.000000,0.059187
0.020000,5.781517,2.432042,0.144706,1.294118,5.882353,0.000000,0.066746
0.020000,5.808508,2.433959,0.171765,1.411765,5.882353,-0.000000,0.075029
0.020000,5.837827,2.436296,0.201176,1.529412,5.882353,0.000000,0.084034
0.020000,5.869466,2.439116,0.232941,1.647059,5.882353,-0.000000,0.093757
0.020000,5.903416,2.442487,0.267059,1.764706,5.882353,0.000000,0.104194
0.020000,5.939433,2.446455,0.303294,1.858824,4.705882,-58.823529,0.115265
0.020000,5.977038,2.451029,0.341176,1.929412,3.529412,-58.823529,0.126816
0.020000,6.015753,2.456199,0.380235,1.976471,2.352941,-58.823529,0.138695
0.020000,6.055102,2.461934,0.420000,2.000000,1.176471,-58.823529,0.150748
0.020000,6.094611,2.468180,0.460000,2.000000,0.000000,-58.823529,0.162821
0.020000,6.134042,2.474901,0.500000,2.000000,0.000000,0.000000,0.174834
0.020000,6.173389,2.482094,0.540000,2.000000,0.000000,0.000000,0.186780
0.020000,6.212648,2.489755,0.580000,2.000000,0.000000,0.000000,0.198649
0.020000,6.251814,2.497880,0.620000,2.000000,0.000000,0.000000,0.210433
0.020000,6.290882,2.506465,0.660000,2.000000,0.000000,0.000000,0.222125
0.020000,6.329847,2.515503,0.700000,2.000000,0.000000,0.000000,0.233716
0.020000,6.368706,2.524990,0.740000,2.000000,0.000000,0.000000,0.245199
0.020000,6.407453,2.534921,0.780000,2.000000,0.000000,0.000000,0.256567
0.020000,6.446086,2.545289,0.820000,2.000000,0.000000,0.000000,0.267812
0.020000,6.484600,2.556089,0.860000,2.000000,0.000000,0.000000,0.278928
0.020000,6.522993,2.567313,0.900000,2.000000,0.000000,0.000000,0.289909
0.020000,6.561261,2.578955,0.940000,2.000000,0.000000,0.000000,0.300747
0.020000,6.599401,2.591009,0.980000,2.000000,0.000000,0.000000,0.311438
0.020000,6.637411,2.603467,1.020000,2.000000,0.000000,0.000000,0.321976
0.020000,6.675289,2.616322,1.060000,2.000000,0.000000,0.000000,0.332356
0.020000,6.713033,2.629566,1.100000,2.000000,0.000000,0.000000,0.342574
0.020000,6.750640,2.643193,1.140000,2.000000,0.000000,0.000000,0.352624
0.020000,6.788110,2.657193,1.180000,2.000000,0.000000,0.000000,0.362502
0.020000,6.825441,2.671559,1.220000,2.000000,0.000000,0.000000,0.372206
0.020000,6.862632,2.686284,1.260000,2.000000,0.000000,0.000000,0.381731
0.020000,6.899682,2.701359,1.300000,2.000000,0.000000,0.000000,0.391074
0.020000,6.936592,2.716776,1.340000,2.000000,0.000000,0.000000,0.400233
0.020000,6.973360,2.732527,1.380000,2.000000,0.000000,0.000000,0.409206
0.020000,7.009987,2.748603,1.420000,2.000000,0.000000,0.000000,0.417989
0.020000,7.046472,2.764998,1.460000,2.000000,0.000000,0.000000,0.426582
0.020000,7.082818,2.781701,1.500000,2.000000,0.000000,0.000000,0.434982
0.020000,7.119023,2.798706,1.540000,2.000000,0.000000,0.000000,0.443188
0.020000,7.155089,2.816004,1.580000,2.000000,0.000000,0.000000,0.451199
0.020000,7.191017,2.833587,1.620000,2.000000,0.000000,0.000000,0.459014
0.020000,7.226809,2.851447,1.660000,2.000000,0.000000,0.000000,0.466633
0.020000,7.262465,2.869575,1.700000,2.000000,0.000000,0.000000,0.474054
0.020000,7.297987,2.887964,1.740000,2.000000,0.000000,0.000000,0.481279
0.020000,7.333378,2.906606,1.780000,2.000000,0.000000,0.000000,0.488306
0.020000,7.368638,2.925492,1.820000,2.000000,0.000000,0.000000,0.495135
0.020000,7.403771,2.944615,1.860000,2.000000,0.000000,0.000000,0.501767
0.020000,7.438778,2.963967,1.900000,2.000000,0.000000,0.000000,0.508202
0.020000,7.473661,2.983541,1.940000,2.000000,0.000000,0.000000,0.514441
0.020000,7.508424,3.003329,1.980000,2.000000,0.000000,0.000000,0.520483
0.020000,7.543069,3.023322,2.020000,2.000000,0.000000,0.000000,0.526331
0.020000,7.577597,3.043515,2.060000,2.000000,0.000000,0.000000,0.531983
0.020000,7.612014,3.063899,2.100000,2.000000,0.000000,0.000000,0.537442
0.020000,7.646320,3.084468,2.140000,2.000000,0.000000,0.000000,0.542708
0.020000,7.680520,3.105214,2.180000,2.000000,0.000000,0.000000,0.547781
0.020000,7.714616,3.126129,2.220000,2.000000,0.000000,0.000000,0.552664
0.020000,7.748611,3.147208,2.260000,2.000000,0.000000,0.000000,0.557356
0.020000,7.782509,3.168442,2.300000,2.000000,0.000000,0.000000,0.561859
0.020000,7.816314,3.189826,2.340000,2.000000,0.000000,0.000000,0.566173
0.020000,7.850027,3.211353,2.380000,2.000000,0.000000,0.000000,0.570301
0.020000,7.883654,3.233015,2.420000,2.000000,0.000000,0.000000,0.574242
0.020000,7.917197,3.254806,2.460000,2.000000,0.000000,0.000000,0.577999
0.020000,7.950660,3.276721,2.500000,2.000000,0.000000,0.000000,0.581571
0.020000,7.984046,3.298751,2.540000,2.000000,0.000000,0.000000,0.584960
0.020000,8.017360,3.320892,2.580000,2.000000,0.000000,0.000000,0.588167
0.020000,8.050604,3.343136,2.620000,2.000000,0.000000,0.000000,0.591193
0.020000,8.083783,3.365478,2.660000,2.000000,0.000000,0.000000,0.594039
0.020000,8.116900,3.387911,2.700000,2.000000,0.000000,0.000000,0.596705
0.020000,8.149960,3.410430,2.740000,2.000000,0.000000,0.000000,0.599192
0.020000,8.182965,3.433027,2.780000,2.000000,0.000000,0.000000,0.601502
0.020000,8.215920,3.455698,2.820000,2.000000,0.000000,0.000000,0.603635
0.020000,8.248828,3.478436,2.860000,2.000000,0.000000,0.000000,0.605592
0.020000,8.281694,3.501236,2.900000,2.000000,0.000000,0.000000,0.607374
0.020000,8.314522,3.524091,2.940000,2.000000,0.000000,0.000000,0.608980
0.020000,8.347314,3.546997,2.980000,2.000000,0.000000,0.000000,0.610412
0.020000,8.380076,3.569946,3.020000,2.000000,0.000000,0.000000,0.611670
0.020000,8.412811,3.592934,3.060000,2.000000,0.000000,0.000000,0.612755
0.020000,8.445523,3.615954,3.100000,2.000000,0.000000,0.000000,0.613666
0.020000,8.478215,3.639001,3.140000,2.000000,0.000000,0.000000,0.614405
0.020000,8.510893,3.662070,3.180000,2.000000,0.000000,0.000000,0.614972
0.020000,8.543560,3.685154,3.220000,2.000000,0.000000,0.000000,0.615366
0.020000,8.576219,3.708249,3.260000,2.000000,0.000000,0.000000,0.615589
0.020000,8.608876,3.731348,3.300000,2.000000,0.000000,0.000000,0.615639
0.020000,8.641533,3.754445,3.340000,2.000000,0.000000,0.000000,0.615517
0.020000,8.674195,3.777536,3.380000,2.000000,0.000000,0.000000,0.615223
0.020000,8.706866,3.800615,3.420000,2.000000,0.000000,0.000000,0.614757
0.020000,8.739550,3.823675,3.460000,2.000000,0.000000,0.000000,0.614119
0.020000,8.772250,3.846712,3.500000,2.000000,0.000000,0.000000,0.613309
0.020000,8.804971,3.869719,3.540000,2.000000,0.000000,0.000000,0.612325
0.020000,8.837716,3.892692,3.580000,2.000000,0.000000,0.000000,0.611168
0.020000,8.870490,3.915623,3.620000,2.000000,0.000000,0.000000,0.609838
0.020000,8.903297,3.938509,3.660000,2.000000,0.000000,0.000000,0.608334
0.020000,8.936140,3.961342,3.700000,2.000000,0.000000,0.000000,0.606655
0.020000,8.969023,3.984116,3.740000,2.000000,0.000000,0.000000,0.604801
0.020000,9.001950,4.006827,3.780000,2.000000,0.000000,0.000000,0.602771
0.020000,9.034926,4.029469,3.820000,2.000000,0.000000,0.000000,0.600564
0.020000,9.067953,4.052034,3.860000,2.000000,0.000000,0.000000,0.598181
0.020000,9.101036,4.074518,3.900000,2.000000,0.000000,0.000000,0.595619
0.020000,9.134178,4.096914,3.940000,2.000000,0.000000,0.000000,0.592878
0.020000,9.167384,4.119216,3.980000,2.000000,0.000000,0.000000,0.589958
0.020000,9.200657,4.141418,4.020000,2.000000,0.000000,0.000000,0.586857
0.020000,9.234000,4.163513,4.060000,2.000000,0.000000,0.000000,0.583574
0.020000,9.267418,4.185496,4.100000,2.000000,0.000000,0.000000,0.580109
0.020000,9.300914,4.207361,4.140000,2.000000,0.000000,0.000000,0.576461
0.020000,9.334491,4.229099,4.180000,2.000000,0.000000,0.000000,0.572628
0.020000,9.368153,4.250706,4.220000,2.000000,0.000000,0.000000,0.568609
0.020000,9.401904,4.272174,4.260000,2.000000,0.000000,0.000000,0.564404
0.020000,9.435747,4.293496,4.300000,2.000000,0.000000,0.000000,0.560011
0.020000,9.469685,4.314667,4.340000,2.000000,0.000000,0.000000,0.555429
0.020000,9.503722,4.335679,4.380000,2.000000,0.000000,0.000000,0.550658
0.020000,9.537861,4.356525,4.420000,2.000000,0.000000,0.000000,0.545697
0.020000,9.572104,4.377198,4.460000,2.000000,0.000000,0.000000,0.540543
0.020000,9.606456,4.397690,4.500000,2.000000,0.000000,0.000000,0.535198
0.020000,9.640919,4.417996,4.540000,2.000000,0.000000,0.000000,0.529658
0.020000,9.675495,4.438107,4.580000,2.000000,0.000000,0.000000,0.523925
0.020000,9.710189,4.458016,4.620000,2.000000,0.000000,0.000000,0.517997
0.020000,9.745001,4.477716,4.660000,2.000000,0.000000,0.000000,0.511873
0.020000,9.779936,4.497198,4.700000,2.000000,0.000000,0.000000,0.505552
0.020000,9.814995,4.516456,4.740000,2.000000,0.000000,0.000000,0.499036
0.020000,9.850180,4.535482,4.780000,2.000000,0.000000,0.000000,0.492322
0.020000,9.885494,4.554268,4.820000,2.000000,0.000000,0.000000,0.485410
0.020000,9.920939,4.572805,4.860000,2.000000,0.000000,0.000000,0.478301
0.020000,9.956517,4.591087,4.900000,2.000000,0.000000,0.000000,0.470995
0.020000,9.992229,4.609104,4.940000,2.000000,0.000000,0.000000,0.463491
0.020000,10.028077,4.626850,4.980000,2.000000,0.000000,0.000000,0.455791
0.020000,10.064063,4.644315,5.020000,2.000000,0.000000,0.000000,0.447894
