dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.650305,2.150824,0.000235,0.023529,1.176471,58.823529,0.022657
0.020000,5.650384,2.150826,0.000314,0.003935,-0.979703,-107.808658,0.022943
0.020000,5.650561,2.150830,0.000491,0.008854,0.245931,61.281688,0.023587
0.020000,5.650875,2.150838,0.000806,0.015738,0.344221,4.914513,0.024732
0.020000,5.657197,2.151000,0.007129,0.316174,15.021781,733.877964,0.026521
0.020000,5.666117,2.151248,0.016053,0.446194,6.500986,-426.039729,0.029026
0.020000,5.677587,2.151599,0.027529,0.573772,6.378899,-6.104378,0.032250
0.020000,5.691604,2.152079,0.041554,0.701267,6.374744,-0.207718,0.036193
0.020000,5.708169,2.152717,0.058131,0.828839,6.378602,0.192883,0.040857
0.020000,5.727278,2.153550,0.077258,0.956379,6.377020,-0.079094,0.046243
0.020000,5.748932,2.154619,0.098939,1.084027,6.382415,0.269756,0.052353
0.020000,5.773127,2.155969,0.123171,1.211595,6.378376,-0.201942,0.059187
0.020000,5.799859,2.157655,0.149956,1.339260,6.383237,0.243023,0.066746
0.020000,5.829122,2.159733,0.179292,1.466823,6.378162,-0.253742,0.075029
0.020000,5.860909,2.162266,0.211180,1.594399,6.378786,0.031227,0.084034
0.020000,5.895211,2.165323,0.245619,1.721912,6.375649,-0.156867,0.093757
0.020000,5.932017,2.168978,0.282606,1.849371,6.372978,-0.133573,0.104194
0.020000,5.971061,2.173280,0.321886,1.963992,5.731020,-32.097869,0.115265
0.020000,6.011819,2.178237,0.362944,2.052928,4.446832,-64.209401,0.126816
0.020000,6.053772,2.183840,0.405270,2.116275,3.167367,-63.973280,0.138695
0.020000,6.096401,2.190053,0.448349,2.153938,1.883124,-64.212145,0.150748
0.020000,6.139189,2.196817,0.491668,2.165983,0.602276,-64.042408,0.162821
0.020000,6.181876,2.204093,0.534972,2.165165,-0.040919,-32.159721,0.174834
0.020000,6.224455,2.211877,0.578256,2.164230,-0.046737,-0.290897,0.186780
0.020000,6.266918,2.220164,0.621520,2.163185,-0.052270,-0.276640,0.198649
0.020000,6.309257,2.228947,0.664761,2.162027,-0.057908,-0.281916,0.210433
0.020000,6.351465,2.238221,0.707976,2.160751,-0.063804,-0.294809,0.222125
0.020000,6.393536,2.247979,0.751163,2.159368,-0.069156,-0.267574,0.233716
0.020000,6.435462,2.258216,0.794320,2.157881,-0.074350,-0.259699,0.245199
0.020000,6.477238,2.268923,0.837446,2.156293,-0.079369,-0.250991,0.256567
0.020000,6.518857,2.280092,0.880539,2.154609,-0.084200,-0.241553,0.267812
0.020000,6.560315,2.291717,0.923595,2.152833,-0.088830,-0.231488,0.278928
0.020000,6.601606,2.303789,0.966615,2.150968,-0.093248,-0.220899,0.289909
0.020000,6.642725,2.316299,1.009595,2.149019,-0.097446,-0.209884,0.300747
0.020000,6.683669,2.329239,1.052535,2.146990,-0.101417,-0.198541,0.311438
0.020000,6.724433,2.342599,1.095432,2.144887,-0.105156,-0.186962,0.321976
0.020000,6.765014,2.356371,1.138287,2.142714,-0.108661,-0.175236,0.332356
0.020000,6.805409,2.370546,1.181096,2.140475,-0.111930,-0.163444,0.342574
0.020000,6.845614,2.385113,1.223860,2.138177,-0.114923,-0.149665,0.352624
0.020000,6.885629,2.400064,1.266576,2.135822,-0.117747,-0.141205,0.362502
0.020000,6.925450,2.415389,1.309245,2.133415,-0.120358,-0.130568,0.372206
0.020000,6.965077,2.431078,1.351864,2.130961,-0.122700,-0.117080,0.381731
0.020000,7.004507,2.447121,1.394433,2.128465,-0.124819,-0.105956,0.391074
0.020000,7.043741,2.463509,1.436952,2.125930,-0.126722,-0.095146,0.400233
0.020000,7.082777,2.480231,1.479419,2.123362,-0.128416,-0.084687,0.409206
0.020000,7.121616,2.497279,1.521834,2.120764,-0.129908,-0.074615,0.417989
0.020000,7.160257,2.514642,1.564197,2.118140,-0.131207,-0.064957,0.426582
0.020000,7.198701,2.532310,1.606507,2.115493,-0.132322,-0.055736,0.434982
0.020000,7.236949,2.550274,1.648763,2.112828,-0.133261,-0.046969,0.443188
0.020000,7.275001,2.568525,1.690966,2.110147,-0.134035,-0.038671,0.451199
0.020000,7.312860,2.587053,1.733115,2.107454,-0.134652,-0.030850,0.459014
0.020000,7.350526,2.605848,1.775210,2.104752,-0.135122,-0.023510,0.466633
0.020000,7.388002,2.624901,1.817251,2.102043,-0.135455,-0.016653,0.474054
0.020000,7.425288,2.644203,1.859238,2.099329,-0.135660,-0.010277,0.481279
0.020000,7.462389,2.663745,1.901170,2.096614,-0.135748,-0.004377,0.488306
0.020000,7.499305,2.683518,1.943048,2.093900,-0.135727,0.001054,0.495135
0.020000,7.536039,2.703513,1.984872,2.091188,-0.135606,0.006024,0.501767
0.020000,7.572595,2.723722,2.026642,2.088480,-0.135395,0.010546,0.508202
0.020000,7.608975,2.744135,2.068357,2.085778,-0.135103,0.014632,0.514441
0.020000,7.645181,2.764744,2.110019,2.083082,-0.134769,0.016672,0.520483
0.020000,7.681219,2.785542,2.151627,2.080396,-0.134307,0.023121,0.526331
0.020000,7.717089,2.806519,2.193181,2.077720,-0.133810,0.024872,0.531983
0.020000,7.752797,2.827669,2.234682,2.075055,-0.133271,0.026945,0.537442
0.020000,7.788346,2.848982,2.276130,2.072401,-0.132689,0.029064,0.542708
0.020000,7.823738,2.870451,2.317525,2.069759,-0.132072,0.030842,0.547781
0.020000,7.858979,2.892069,2.358868,2.067131,-0.131427,0.032297,0.552664
0.020000,7.894071,2.913827,2.400158,2.064516,-0.130758,0.033445,0.557356
0.020000,7.929018,2.935719,2.441397,2.061914,-0.130072,0.034305,0.561859
0.020000,7.963825,2.957737,2.482583,2.059327,-0.129374,0.034893,0.566173
