dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.852821,5.615599,0.000006,0.000622,0.031082,1.554124,4.784074
0.020000,3.852821,5.615599,0.000007,0.000036,-0.029291,-3.018685,4.784075
0.020000,3.852820,5.615601,0.000008,0.000060,0.001194,1.524271,4.784076
0.020000,3.852820,5.615602,0.000010,0.000084,0.001194,0.000002,4.784078
0.020000,3.852820,5.615604,0.000012,0.000107,0.001194,0.000002,4.784081
0.020000,3.852820,5.615607,0.000015,0.000131,0.001194,0.000003,4.784084
0.020000,3.852820,5.615610,0.000018,0.000155,0.001194,0.000003,4.784087
0.020000,3.852820,5.615614,0.000021,0.000179,0.001194,0.000004,4.784091
0.020000,3.852819,5.615618,0.000025,0.000203,0.001195,0.000005,4.784095
0.020000,3.852819,5.615622,0.000030,0.000227,0.001195,0.000005,4.784100
0.020000,3.852819,5.615627,0.000035,0.000251,0.001195,0.000006,4.784106
0.020000,3.852818,5.615633,0.000040,0.000275,0.001195,0.000007,4.784112
0.020000,3.852818,5.615639,0.000046,0.000299,0.001195,0.000007,4.784119
0.020000,3.852817,5.615645,0.000053,0.000323,0.001195,0.000008,4.784126
0.020000,3.852817,5.615652,0.000060,0.000346,0.001195,0.000008,4.784133
0.020000,3.852816,5.615659,0.000067,0.000370,0.001196,0.000009,4.784141
0.020000,3.852816,5.615667,0.000075,0.000394,0.001196,0.000010,4.784150
0.020000,3.852815,5.615676,0.000083,0.000418,0.001196,0.000010,4.784159
0.020000,3.852814,5.615684,0.000092,0.000442,0.001196,0.000011,4.784169
0.020000,3.852814,5.615694,0.000102,0.000466,0.001196,0.000012,4.784179
0.020000,3.852813,5.615703,0.000111,0.000490,0.001197,0.000012,4.784190
0.020000,3.852812,5.615714,0.000122,0.000514,0.001197,0.000013,4.784202
0.020000,3.852812,5.615724,0.000132,0.000538,0.001197,0.000014,4.784213
0.020000,3.852811,5.615736,0.000144,0.000562,0.001197,0.000014,4.784226
0.020000,3.852810,5.615747,0.000155,0.000586,0.001198,0.000015,4.784239
0.020000,3.852809,5.615759,0.000168,0.000610,0.001198,0.000015,4.784252
0.020000,3.852808,5.615772,0.000180,0.000634,0.001198,0.000016,4.784266
0.020000,3.852807,5.615785,0.000193,0.000658,0.001199,0.000017,4.784281
0.020000,3.852806,5.615799,0.000207,0.000682,0.001199,0.000017,4.784296
0.020000,3.852805,5.615813,0.000221,0.000706,0.001199,0.000018,4.784311
0.020000,3.852804,5.615827,0.000236,0.000730,0.001200,0.000019,4.784327
0.020000,3.852803,5.615843,0.000251,0.000754,0.001200,0.000019,4.784344
0.020000,3.852802,5.615858,0.000266,0.000778,0.001201,0.000020,4.784361
0.020000,3.852801,5.615874,0.000282,0.000802,0.001201,0.000020,4.784379
0.020000,3.852800,5.615890,0.000299,0.000826,0.001201,0.000021,4.784397
0.020000,3.852798,5.615907,0.000316,0.000850,0.001202,0.000022,4.784416
0.020000,3.852797,5.615925,0.000333,0.000874,0.001202,0.000022,4.784435
0.020000,3.852796,5.615943,0.000351,0.000898,0.001203,0.000023,4.784455
0.020000,3.852794,5.615961,0.000370,0.000922,0.001203,0.000024,4.784475
0.020000,3.852793,5.615980,0.000389,0.000946,0.001204,0.000024,4.784496
0.020000,3.852792,5.615999,0.000408,0.000970,0.001204,0.000025,4.784518
0.020000,3.852790,5.616019,0.000428,0.000994,0.001205,0.000026,4.784540
0.020000,3.852789,5.616040,0.000448,0.001018,0.001205,0.000026,4.784562
0.020000,3.852787,5.616060,0.000469,0.001042,0.001206,0.000027,4.784585
0.020000,3.852786,5.616082,0.000490,0.001066,0.001206,0.000027,4.784609
0.020000,3.852784,5.616103,0.000512,0.001091,0.001207,0.000028,4.784633
0.020000,3.852783,5.616126,0.000535,0.001115,0.001207,0.000029,4.784657
0.020000,3.852781,5.616148,0.000557,0.001139,0.001208,0.000029,4.784682
0.020000,3.852779,5.616172,0.000581,0.001163,0.001209,0.000030,4.784708
0.020000,3.852778,5.616195,0.000604,0.001187,0.001209,0.000031,4.784734
0.020000,3.852776,5.616219,0.000629,0.001212,0.001210,0.000031,4.784761
0.020000,3.852774,5.616244,0.000653,0.001236,0.001211,0.000032,4.784788
