dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.948898,5.550689,0.000006,0.000622,0.031082,1.554124,4.784074
0.020000,2.948898,5.550689,0.000025,0.001243,0.031082,0.000000,4.784075
0.020000,2.948898,5.550689,0.000056,0.001865,0.031082,-0.000000,4.784076
0.020000,2.948898,5.550689,0.000099,0.002487,0.031082,0.000000,4.784078
0.020000,2.948898,5.550689,0.000155,0.003108,0.031082,-0.000000,4.784081
0.020000,2.948898,5.550689,0.000224,0.003730,0.031082,0.000000,4.784084
0.020000,2.948898,5.550689,0.000305,0.004352,0.031082,-0.000000,4.784087
0.020000,2.948898,5.550689,0.000398,0.004973,0.031082,0.000000,4.784091
0.020000,2.948898,5.550689,0.000504,0.005595,0.031082,-0.000000,4.784095
0.020000,2.948898,5.550689,0.000622,0.006216,0.031082,0.000000,4.784100
0.020000,2.948898,5.550689,0.000752,0.006838,0.031082,0.000000,4.784106
0.020000,2.948898,5.550689,0.000895,0.007460,0.031082,0.000000,4.784112
0.020000,2.948898,5.550689,0.001051,0.008081,0.031082,0.000000,4.784119
0.020000,2.948898,5.550689,0.001218,0.008703,0.031082,-0.000000,4.784126
0.020000,2.948898,5.550689,0.001399,0.009325,0.031082,0.000000,4.784133
0.020000,2.948898,5.550689,0.001591,0.009946,0.031082,0.000000,4.784141
0.020000,2.948898,5.550689,0.001797,0.010568,0.031082,-0.000000,4.784150
0.020000,2.948898,5.550689,0.002014,0.011190,0.031082,0.000000,4.784159
0.020000,2.948898,5.550689,0.002244,0.011811,0.031082,-0.000000,4.784169
0.020000,2.948898,5.550689,0.002487,0.012433,0.031082,0.000000,4.784179
0.020000,2.948898,5.550689,0.002741,0.013055,0.031082,0.000000,4.784190
0.020000,2.948898,5.550689,0.003009,0.013676,0.031082,-0.000000,4.784202
0.020000,2.948898,5.550689,0.003289,0.014298,0.031082,0.000000,4.784213
0.020000,2.948898,5.550689,0.003581,0.014920,0.031082,0.000000,4.784226
0.020000,2.948898,5.550689,0.003885,0.015541,0.031082,0.000000,4.784239
0.020000,2.948898,5.550689,0.004202,0.016163,0.031082,0.000000,4.784252
0.020000,2.948898,5.550689,0.004532,0.016785,0.031082,-0.000000,4.784266
0.020000,2.948898,5.550689,0.004874,0.017406,0.031082,0.000000,4.784281
0.020000,2.948898,5.550689,0.005228,0.018028,0.031082,0.000000,4.784296
0.020000,2.948898,5.550689,0.005595,0.018649,0.031082,0.000000,4.784311
0.020000,2.948898,5.550689,0.005974,0.019271,0.031082,-0.000000,4.784327
0.020000,2.948898,5.550689,0.006366,0.019893,0.031082,0.000000,4.784344
0.020000,2.948898,5.550689,0.006770,0.020514,0.031082,-0.000000,4.784361
0.020000,2.948898,5.550689,0.007186,0.021136,0.031082,0.000000,4.784379
0.020000,2.948898,5.550689,0.007615,0.021758,0.031082,0.000000,4.784397
0.020000,2.948898,5.550689,0.008057,0.022379,0.031082,0.000000,4.784416
0.020000,2.948898,5.550689,0.008510,0.023001,0.031082,-0.000000,4.784435
0.020000,2.948898,5.550689,0.008977,0.023623,0.031082,0.000000,4.784455
0.020000,2.948898,5.550689,0.009455,0.024244,0.031082,0.000000,4.784475
0.020000,2.948898,5.550689,0.009946,0.024866,0.031082,-0.000000,4.784496
0.020000,2.948898,5.550689,0.010450,0.025488,0.031082,0.000000,4.784518
0.020000,2.948898,5.550689,0.010966,0.026109,0.031082,-0.000000,4.784540
0.020000,2.948898,5.550689,0.011494,0.026731,0.031082,0.000000,4.784562
0.020000,2.948898,5.550689,0.012035,0.027353,0.031082,0.000000,4.784585
0.020000,2.948898,5.550689,0.012588,0.027974,0.031082,0.000000,4.784609
0.020000,2.948898,5.550689,0.013154,0.028596,0.031082,-0.000000,4.784633
0.020000,2.948898,5.550689,0.013732,0.029218,0.031082,0.000000,4.784657
0.020000,2.948898,5.550689,0.014323,0.029839,0.031082,-0.000000,4.784682
0.020000,2.948898,5.550689,0.014926,0.030461,0.031082,0.000000,4.784708
0.020000,2.948898,5.550689,0.015541,0.031082,0.031082,0.000000,4.784734
0.020000,2.948898,5.550689,0.016169,0.031704,0.031082,-0.000000,4.784761
0.020000,2.948898,5.550689,0.016809,0.032326,0.031082,0.000000,4.784788
0.020000,2.948898,5.550689,0.017462,0.032947,0.031082,-0.000000,4.784816
0.020000,2.948898,5.550689,0.018127,0.033569,0.031082,0.000000,4.784844
0.020000,2.948898,5.550689,0.018805,0.034191,0.031082,-0.000000,4.784873
0.020000,2.948898,5.550689,0.019495,0.034812,0.031082,0.000000,4.784903
0.020000,2.948898,5.550689,0.020197,0.035434,0.031082,0.000000,4.784933
0.020000,2.948898,5.550689,0.020912,0.036056,0.031082,-0.000000,4.784963
0.020000,2.948908,5.550554,0.021640,0.036677,0.031082,0.000000,4.784994
0.020000,2.948962,5.549815,0.022379,0.037299,0.031082,-0.000000,4.785026
0.020000,2.949016,5.549064,0.023132,0.037921,0.031082,0.000000,4.785058
0.020000,2.949072,5.548300,0.023896,0.038542,0.031082,0.000000,4.785091
0.020000,2.949129,5.547524,0.024673,0.039164,0.031082,0.000000,4.785124
0.020000,2.949186,5.546735,0.025463,0.039786,0.031082,0.000000,4.785158
0.020000,2.949244,5.545935,0.026265,0.040407,0.031082,-0.000000,4.785192
0.020000,2.949304,5.545122,0.027079,0.041029,0.031082,0.000000,4.785227
0.020000,2.949364,5.544296,0.027906,0.041651,0.031082,-0.000000,4.785262
0.020000,2.949425,5.543459,0.028745,0.042272,0.031082,0.000000,4.785298
0.020000,2.949487,5.542609,0.029597,0.042894,0.031082,0.000000,4.785335
0.020000,2.949550,5.541747,0.030461,0.043515,0.031082,0.000000,4.785372
0.020000,2.949614,5.540872,0.031337,0.044137,0.031082,0.000000,4.785409
0.020000,2.949679,5.539986,0.032226,0.044759,0.031082,-0.000000,4.785447
0.020000,2.949745,5.539087,0.033128,0.045380,0.031082,0.000000,4.785486
0.020000,2.949812,5.538176,0.034042,0.046002,0.031082,0.000000,4.785525
0.020000,2.949879,5.537252,0.034968,0.046624,0.031082,0.000000,4.785565
0.020000,2.949948,5.536317,0.035906,0.047245,0.031082,0.000000,4.785605
0.020000,2.950017,5.535369,0.036858,0.047867,0.031082,0.000000,4.785646
0.020000,2.950088,5.534409,0.037821,0.048489,0.031082,-0.000000,4.785687
0.020000,2.950159,5.533436,0.038797,0.049110,0.031082,0.000000,4.785729
0.020000,2.950232,5.532452,0.039786,0.049732,0.031082,0.000000,4.785772
0.020000,2.950305,5.531455,0.040786,0.050354,0.031082,0.000000,4.785815
0.020000,2.950379,5.530446,0.041800,0.050975,0.031082,0.000000,4.785858
0.020000,2.950454,5.529425,0.042825,0.051597,0.031082,-0.000000,4.785902
0.020000,2.950531,5.528388,0.043864,0.052219,0.031082,0.000000,4.785947
0.020000,2.950608,5.527339,0.044914,0.052840,0.031082,-0.000000,4.785992
0.020000,2.950686,5.526277,0.045977,0.053462,0.031082,0.000000,4.786038
0.020000,2.950766,5.525203,0.047053,0.054084,0.031082,0.000000,4.786085
0.020000,2.950846,5.524117,0.048141,0.054705,0.031082,0.000000,4.786132
0.020000,2.950927,5.523019,0.049241,0.055327,0.031082,0.000000,4.786179
0.020000,2.951009,5.521908,0.050354,0.055948,0.031082,-0.000000,4.786227
0.020000,2.951092,5.520786,0.051479,0.056570,0.031082,0.000000,4.786276
0.020000,2.951176,5.519651,0.052616,0.057192,0.031082,0.000000,4.786325
0.020000,2.951261,5.518504,0.053766,0.057813,0.031082,0.000000,4.786375
0.020000,2.951347,5.517345,0.054929,0.058435,0.031082,0.000000,4.786425
0.020000,2.951434,5.516173,0.056104,0.059057,0.031082,-0.000000,4.786476
