dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.044976,5.485780,0.000006,0.000622,0.031082,1.554124,4.784074
0.020000,2.044976,5.485780,0.000007,0.000036,-0.029291,-3.018685,4.784075
0.020000,2.044976,5.485778,0.000008,0.000060,0.001194,1.524271,4.784076
0.020000,2.044976,5.485777,0.000010,0.000084,0.001194,0.000002,4.784078
0.020000,2.044976,5.485775,0.000012,0.000107,0.001194,0.000002,4.784081
0.020000,2.044976,5.485772,0.000015,0.000131,0.001194,0.000003,4.784084
0.020000,2.044976,5.485769,0.000018,0.000155,0.001194,0.000003,4.784087
0.020000,2.044977,5.485765,0.000021,0.000179,0.001194,0.000004,4.784091
0.020000,2.044977,5.485761,0.000025,0.000203,0.001195,0.000005,4.784095
0.020000,2.044977,5.485757,0.000030,0.000227,0.001195,0.000005,4.784100
0.020000,2.044978,5.485752,0.000035,0.000251,0.001195,0.000006,4.784106
0.020000,2.044978,5.485746,0.000040,0.000275,0.001195,0.000007,4.784112
0.020000,2.044978,5.485740,0.000046,0.000299,0.001195,0.000007,4.784119
0.020000,2.044979,5.485734,0.000053,0.000323,0.001195,0.000008,4.784126
0.020000,2.044979,5.485727,0.000060,0.000346,0.001195,0.000008,4.784133
0.020000,2.044980,5.485719,0.000067,0.000370,0.001196,0.000009,4.784141
0.020000,2.044981,5.485712,0.000075,0.000394,0.001196,0.000010,4.784150
0.020000,2.044981,5.485703,0.000083,0.000418,0.001196,0.000010,4.784159
0.020000,2.044982,5.485694,0.000092,0.000442,0.001196,0.000011,4.784169
0.020000,2.044982,5.485685,0.000102,0.000466,0.001196,0.000012,4.784179
0.020000,2.044983,5.485675,0.000111,0.000490,0.001197,0.000012,4.784190
0.020000,2.044984,5.485665,0.000122,0.000514,0.001197,0.000013,4.784202
0.020000,2.044985,5.485654,0.000132,0.000538,0.001197,0.000014,4.784213
0.020000,2.044985,5.485643,0.000144,0.000562,0.001197,0.000014,4.784226
0.020000,2.044986,5.485632,0.000155,0.000586,0.001198,0.000015,4.784239
0.020000,2.044987,5.485619,0.000168,0.000610,0.001198,0.000015,4.784252
0.020000,2.044988,5.485607,0.000180,0.000634,0.001198,0.000016,4.784266
0.020000,2.044989,5.485594,0.000193,0.000658,0.001199,0.000017,4.784281
0.020000,2.044990,5.485580,0.000207,0.000682,0.001199,0.000017,4.784296
0.020000,2.044991,5.485566,0.000221,0.000706,0.001199,0.000018,4.784311
0.020000,2.044992,5.485551,0.000236,0.000730,0.001200,0.000019,4.784327
0.020000,2.044993,5.485536,0.000251,0.000754,0.001200,0.000019,4.784344
0.020000,2.044994,5.485521,0.000266,0.000778,0.001201,0.000020,4.784361
0.020000,2.044995,5.485505,0.000282,0.000802,0.001201,0.000020,4.784379
0.020000,2.044997,5.485488,0.000299,0.000826,0.001201,0.000021,4.784397
0.020000,2.044998,5.485471,0.000316,0.000850,0.001202,0.000022,4.784416
0.020000,2.044999,5.485454,0.000333,0.000874,0.001202,0.000022,4.784435
0.020000,2.045000,5.485436,0.000351,0.000898,0.001203,0.000023,4.784455
0.020000,2.045002,5.485418,0.000370,0.000922,0.001203,0.000024,4.784475
0.020000,2.045003,5.485399,0.000389,0.000946,0.001204,0.000024,4.784496
0.020000,2.045004,5.485379,0.000408,0.000970,0.001204,0.000025,4.784518
0.020000,2.045006,5.485360,0.000428,0.000994,0.001205,0.000026,4.784540
0.020000,2.045007,5.485339,0.000448,0.001018,0.001205,0.000026,4.784562
0.020000,2.045009,5.485319,0.000469,0.001042,0.001206,0.000027,4.784585
0.020000,2.045010,5.485297,0.000490,0.001066,0.001206,0.000027,4.784609
0.020000,2.045012,5.485275,0.000512,0.001091,0.001207,0.000028,4.784633
0.020000,2.045014,5.485253,0.000535,0.001115,0.001207,0.000029,4.784657
0.020000,2.045015,5.485231,0.000557,0.001139,0.001208,0.000029,4.784682
0.020000,2.045017,5.485207,0.000581,0.001163,0.001209,0.000030,4.784708
0.020000,2.045019,5.485184,0.000604,0.001187,0.001209,0.000031,4.784734
0.020000,2.045020,5.485159,0.000629,0.001212,0.001210,0.000031,4.784761
0.020000,2.045022,5.485135,0.000653,0.001236,0.001211,0.000032,4.784788
0.020000,2.045024,5.485110,0.000679,0.001260,0.001211,0.000033,4.784816
0.020000,2.045026,5.485084,0.000704,0.001284,0.001212,0.000033,4.784844
0.020000,2.045028,5.485058,0.000730,0.001308,0.001213,0.000034,4.784873
0.020000,2.045030,5.485031,0.000757,0.001333,0.001213,0.000035,4.784903
0.020000,2.045032,5.485004,0.000784,0.001357,0.001214,0.000035,4.784933
0.020000,2.045034,5.484977,0.000812,0.001381,0.001215,0.000036,4.784963
