dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.570609,5.990945,0.000005,0.000466,0.023322,1.166082,5.569599
0.020000,4.570609,5.990946,0.000006,0.000058,-0.020442,-2.188164,5.569600
0.020000,4.570607,5.990947,0.000008,0.000096,0.001920,1.118082,5.569602
0.020000,4.570605,5.990949,0.000010,0.000134,0.001920,0.000001,5.569605
0.020000,4.570602,5.990951,0.000014,0.000173,0.001920,0.000001,5.569609
0.020000,4.570599,5.990954,0.000018,0.000211,0.001920,0.000001,5.569614
0.020000,4.570595,5.990957,0.000023,0.000250,0.001920,0.000002,5.569619
0.020000,4.570591,5.990961,0.000029,0.000288,0.001920,0.000002,5.569626
0.020000,4.570586,5.990965,0.000035,0.000326,0.001920,0.000002,5.569633
0.020000,4.570581,5.990970,0.000043,0.000365,0.001920,0.000003,5.569641
0.020000,4.570575,5.990975,0.000051,0.000403,0.001920,0.000003,5.569650
0.020000,4.570568,5.990981,0.000060,0.000442,0.001920,0.000003,5.569660
0.020000,4.570561,5.990987,0.000069,0.000480,0.001920,0.000003,5.569670
0.020000,4.570553,5.990994,0.000080,0.000518,0.001921,0.000004,5.569682
0.020000,4.570544,5.991001,0.000091,0.000557,0.001921,0.000004,5.569694
0.020000,4.570535,5.991009,0.000103,0.000595,0.001921,0.000004,5.569707
0.020000,4.570526,5.991017,0.000115,0.000634,0.001921,0.000005,5.569721
0.020000,4.570516,5.991026,0.000129,0.000672,0.001921,0.000005,5.569736
0.020000,4.570505,5.991035,0.000143,0.000711,0.001921,0.000005,5.569752
0.020000,4.570494,5.991045,0.000158,0.000749,0.001921,0.000006,5.569768
0.020000,4.570482,5.991055,0.000174,0.000787,0.001921,0.000006,5.569785
0.020000,4.570469,5.991066,0.000190,0.000826,0.001921,0.000006,5.569804
0.020000,4.570456,5.991077,0.000207,0.000864,0.001921,0.000006,5.569823
0.020000,4.570442,5.991089,0.000225,0.000903,0.001922,0.000007,5.569843
0.020000,4.570428,5.991102,0.000244,0.000941,0.001922,0.000007,5.569863
0.020000,4.570413,5.991114,0.000264,0.000980,0.001922,0.000007,5.569885
0.020000,4.570398,5.991128,0.000284,0.001018,0.001922,0.000008,5.569907
0.020000,4.570382,5.991142,0.000305,0.001056,0.001922,0.000008,5.569931
0.020000,4.570365,5.991156,0.000327,0.001095,0.001922,0.000008,5.569955
0.020000,4.570348,5.991171,0.000350,0.001133,0.001923,0.000009,5.569980
0.020000,4.570331,5.991186,0.000373,0.001172,0.001923,0.000009,5.570006
0.020000,4.570312,5.991202,0.000398,0.001210,0.001923,0.000009,5.570033
0.020000,4.570293,5.991218,0.000423,0.001249,0.001923,0.000009,5.570060
0.020000,4.570274,5.991235,0.000448,0.001287,0.001923,0.000010,5.570089
0.020000,4.570254,5.991252,0.000475,0.001326,0.001923,0.000010,5.570118
0.020000,4.570233,5.991270,0.000502,0.001364,0.001924,0.000010,5.570148
0.020000,4.570212,5.991289,0.000530,0.001403,0.001924,0.000011,5.570179
0.020000,4.570190,5.991307,0.000559,0.001441,0.001924,0.000011,5.570211
0.020000,4.570168,5.991327,0.000589,0.001480,0.001924,0.000011,5.570243
0.020000,4.570145,5.991347,0.000619,0.001518,0.001925,0.000012,5.570277
0.020000,4.570121,5.991367,0.000650,0.001557,0.001925,0.000012,5.570311
0.020000,4.570097,5.991388,0.000682,0.001595,0.001925,0.000012,5.570346
0.020000,4.570072,5.991409,0.000715,0.001634,0.001925,0.000013,5.570382
0.020000,4.570047,5.991431,0.000748,0.001672,0.001926,0.000013,5.570419
0.020000,4.570021,5.991454,0.000782,0.001711,0.001926,0.000013,5.570457
0.020000,4.569995,5.991476,0.000817,0.001749,0.001926,0.000013,5.570496
0.020000,4.569968,5.991500,0.000853,0.001788,0.001926,0.000014,5.570535
0.020000,4.569940,5.991524,0.000890,0.001826,0.001927,0.000014,5.570575
0.020000,4.569912,5.991548,0.000927,0.001865,0.001927,0.000014,5.570617
0.020000,4.569883,5.991573,0.000965,0.001903,0.001927,0.000015,5.570659
0.020000,4.569854,5.991598,0.001004,0.001942,0.001928,0.000015,5.570701
0.020000,4.569824,5.991624,0.001043,0.001980,0.001928,0.000015,5.570745
0.020000,4.569793,5.991651,0.001084,0.002019,0.001928,0.000016,5.570790
0.020000,4.569762,5.991677,0.001125,0.002057,0.001928,0.000016,5.570835
0.020000,4.569730,5.991705,0.001167,0.002096,0.001929,0.000016,5.570881
0.020000,4.569698,5.991733,0.001209,0.002135,0.001929,0.000016,5.570928
0.020000,4.569665,5.991761,0.001253,0.002173,0.001929,0.000017,5.570976
0.020000,4.569632,5.991790,0.001297,0.002212,0.001930,0.000017,5.571025
0.020000,4.569598,5.991820,0.001342,0.002250,0.001930,0.000017,5.571075
0.020000,4.569563,5.991849,0.001388,0.002289,0.001930,0.000018,5.571125
0.020000,4.569528,5.991880,0.001435,0.002328,0.001931,0.000018,5.571177
0.020000,4.569492,5.991911,0.001482,0.002366,0.001931,0.000018,5.571229
0.020000,4.569455,5.991942,0.001530,0.002405,0.001932,0.000019,5.571282
0.020000,4.569418,5.991974,0.001579,0.002444,0.001932,0.000019,5.571336
0.020000,4.569381,5.992007,0.001628,0.002482,0.001932,0.000019,5.571391
0.020000,4.569343,5.992039,0.001679,0.002521,0.001933,0.000019,5.571446
0.020000,4.569304,5.992073,0.001730,0.002560,0.001933,0.000020,5.571503
0.020000,4.569265,5.992107,0.001782,0.002598,0.001934,0.000020,5.571560
0.020000,4.569225,5.992141,0.001835,0.002637,0.001934,0.000020,5.571618
0.020000,4.569184,5.992176,0.001888,0.002676,0.001934,0.000021,5.571677
0.020000,4.569236,5.992131,0.001957,0.003427,0.037549,1.780746,5.571737
0.020000,4.569700,5.991732,0.002569,0.030628,1.360062,66.125660,5.571798
0.020000,4.570170,5.991326,0.003190,0.031054,0.021305,-66.937866,5.571860
0.020000,4.570647,5.990915,0.003820,0.031480,0.021300,-0.000235,5.571922
0.020000,4.571131,5.990499,0.004458,0.031906,0.021296,-0.000238,5.571986
0.020000,4.571621,5.990076,0.005105,0.032332,0.021291,-0.000241,5.572050
0.020000,4.572117,5.989649,0.005760,0.032757,0.021286,-0.000244,5.572115
0.020000,4.572620,5.989216,0.006424,0.033183,0.021281,-0.000247,5.572181
0.020000,4.573129,5.988777,0.007096,0.033608,0.021276,-0.000251,5.572248
0.020000,4.573645,5.988333,0.007776,0.034034,0.021271,-0.000254,5.572316
0.020000,4.574167,5.987883,0.008466,0.034459,0.021266,-0.000257,5.572384
0.020000,4.574696,5.987428,0.009163,0.034884,0.021261,-0.000260,5.572453
0.020000,4.575231,5.986967,0.009870,0.035310,0.021255,-0.000263,5.572524
0.020000,4.575773,5.986501,0.010584,0.035735,0.021250,-0.000266,5.572595
0.020000,4.576321,5.986029,0.011307,0.036159,0.021245,-0.000270,5.572667
0.020000,4.576876,5.985552,0.012039,0.036584,0.021239,-0.000273,5.572740
0.020000,4.577437,5.985070,0.012779,0.037009,0.021234,-0.000276,5.572813
0.020000,4.578004,5.984581,0.013528,0.037433,0.021228,-0.000279,5.572888
0.020000,4.578579,5.984088,0.014285,0.037858,0.021222,-0.000282,5.572963
0.020000,4.579159,5.983589,0.015051,0.038282,0.021217,-0.000285,5.573039
0.020000,4.579746,5.983084,0.015825,0.038706,0.021211,-0.000289,5.573116
0.020000,4.580340,5.982574,0.016607,0.039131,0.021205,-0.000292,5.573194
0.020000,4.580940,5.982058,0.017399,0.039555,0.021199,-0.000295,5.573273
0.020000,4.581546,5.981537,0.018198,0.039978,0.021193,-0.000298,5.573353
0.020000,4.582159,5.981010,0.019006,0.040402,0.021187,-0.000301,5.573433
0.020000,4.582778,5.980478,0.019823,0.040826,0.021181,-0.000304,5.573515
0.020000,4.583404,5.979941,0.020648,0.041249,0.021175,-0.000308,5.573597
0.020000,4.584036,5.979398,0.021481,0.041673,0.021169,-0.000311,5.573680
0.020000,4.584675,5.978849,0.022323,0.042096,0.021163,-0.000314,5.573764
0.020000,4.585320,5.978295,0.023173,0.042519,0.021156,-0.000317,5.573849
0.020000,4.585973,5.977735,0.024034,0.043021,0.025123,0.198334,5.573935
0.020000,4.586633,5.977169,0.024903,0.043456,0.021729,-0.169682,5.574022
0.020000,4.587299,5.976598,0.025781,0.043880,0.021181,-0.027423,5.574109
0.020000,4.587971,5.976021,0.026667,0.044303,0.021174,-0.000331,5.574198
0.020000,4.588650,5.975438,0.027561,0.044727,0.021167,-0.000334,5.574287
0.020000,4.589336,5.974851,0.028464,0.045150,0.021161,-0.000337,5.574377
0.020000,4.590028,5.974257,0.029376,0.045573,0.021154,-0.000340,5.574468
0.020000,4.590726,5.973659,0.030296,0.045996,0.021147,-0.000344,5.574560
0.020000,4.591431,5.973054,0.031224,0.046419,0.021140,-0.000347,5.574653
0.020000,4.592143,5.972445,0.032161,0.046841,0.021133,-0.000350,5.574747
0.020000,4.592860,5.971830,0.033106,0.047264,0.021126,-0.000353,5.574841
0.020000,4.593585,5.971209,0.034060,0.047686,0.021119,-0.000356,5.574937
0.020000,4.594316,5.970584,0.035022,0.048108,0.021112,-0.000359,5.575033
0.020000,4.595053,5.969952,0.035993,0.048530,0.021104,-0.000362,5.575130
0.020000,4.595797,5.969316,0.036972,0.048952,0.021097,-0.000365,5.575228
