dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.384239,4.620660,0.000005,0.000466,0.023322,1.166082,5.569599
0.020000,3.384240,4.620659,0.000006,0.000058,-0.020442,-2.188164,5.569600
0.020000,3.384241,4.620658,0.000008,0.000096,0.001920,1.118082,5.569602
0.020000,3.384243,4.620656,0.000010,0.000134,0.001920,0.000001,5.569605
0.020000,3.384246,4.620654,0.000014,0.000173,0.001920,0.000001,5.569609
0.020000,3.384249,4.620651,0.000018,0.000211,0.001920,0.000001,5.569614
0.020000,3.384253,4.620648,0.000023,0.000250,0.001920,0.000002,5.569619
0.020000,3.384257,4.620644,0.000029,0.000288,0.001920,0.000002,5.569626
0.020000,3.384262,4.620640,0.000035,0.000326,0.001920,0.000002,5.569633
0.020000,3.384268,4.620635,0.000043,0.000365,0.001920,0.000003,5.569641
0.020000,3.384274,4.620630,0.000051,0.000403,0.001920,0.000003,5.569650
0.020000,3.384280,4.620624,0.000060,0.000442,0.001920,0.000003,5.569660
0.020000,3.384288,4.620618,0.000069,0.000480,0.001920,0.000003,5.569670
0.020000,3.384295,4.620611,0.000080,0.000518,0.001921,0.000004,5.569682
0.020000,3.384304,4.620603,0.000091,0.000557,0.001921,0.000004,5.569694
0.020000,3.384313,4.620596,0.000103,0.000595,0.001921,0.000004,5.569707
0.020000,3.384322,4.620587,0.000115,0.000634,0.001921,0.000005,5.569721
0.020000,3.384333,4.620579,0.000129,0.000672,0.001921,0.000005,5.569736
0.020000,3.384343,4.620569,0.000143,0.000711,0.001921,0.000005,5.569752
0.020000,3.384355,4.620559,0.000158,0.000749,0.001921,0.000006,5.569768
0.020000,3.384367,4.620549,0.000174,0.000787,0.001921,0.000006,5.569785
0.020000,3.384379,4.620538,0.000190,0.000826,0.001921,0.000006,5.569804
0.020000,3.384392,4.620527,0.000207,0.000864,0.001921,0.000006,5.569823
0.020000,3.384406,4.620515,0.000225,0.000903,0.001922,0.000007,5.569843
0.020000,3.384420,4.620503,0.000244,0.000941,0.001922,0.000007,5.569863
0.020000,3.384435,4.620490,0.000264,0.000980,0.001922,0.000007,5.569885
0.020000,3.384450,4.620477,0.000284,0.001018,0.001922,0.000008,5.569907
0.020000,3.384466,4.620463,0.000305,0.001056,0.001922,0.000008,5.569931
0.020000,3.384483,4.620449,0.000327,0.001095,0.001922,0.000008,5.569955
0.020000,3.384500,4.620434,0.000350,0.001133,0.001923,0.000009,5.569980
0.020000,3.384518,4.620418,0.000373,0.001172,0.001923,0.000009,5.570006
0.020000,3.384536,4.620403,0.000398,0.001210,0.001923,0.000009,5.570033
0.020000,3.384555,4.620386,0.000423,0.001249,0.001923,0.000009,5.570060
0.020000,3.384574,4.620369,0.000448,0.001287,0.001923,0.000010,5.570089
0.020000,3.384594,4.620352,0.000475,0.001326,0.001923,0.000010,5.570118
0.020000,3.384615,4.620334,0.000502,0.001364,0.001924,0.000010,5.570148
0.020000,3.384636,4.620316,0.000530,0.001403,0.001924,0.000011,5.570179
0.020000,3.384658,4.620297,0.000559,0.001441,0.001924,0.000011,5.570211
0.020000,3.384680,4.620278,0.000589,0.001480,0.001924,0.000011,5.570243
0.020000,3.384703,4.620258,0.000619,0.001518,0.001925,0.000012,5.570277
0.020000,3.384727,4.620238,0.000650,0.001557,0.001925,0.000012,5.570311
0.020000,3.384751,4.620217,0.000682,0.001595,0.001925,0.000012,5.570346
0.020000,3.384776,4.620195,0.000715,0.001634,0.001925,0.000013,5.570382
0.020000,3.384801,4.620173,0.000748,0.001672,0.001926,0.000013,5.570419
0.020000,3.384827,4.620151,0.000782,0.001711,0.001926,0.000013,5.570457
0.020000,3.384853,4.620128,0.000817,0.001749,0.001926,0.000013,5.570496
0.020000,3.384880,4.620105,0.000853,0.001788,0.001926,0.000014,5.570535
0.020000,3.384908,4.620081,0.000890,0.001826,0.001927,0.000014,5.570575
0.020000,3.384936,4.620057,0.000927,0.001865,0.001927,0.000014,5.570617
0.020000,3.384965,4.620032,0.000965,0.001903,0.001927,0.000015,5.570659
0.020000,3.384994,4.620006,0.001004,0.001942,0.001928,0.000015,5.570701
0.020000,3.385024,4.619980,0.001043,0.001980,0.001928,0.000015,5.570745
0.020000,3.385055,4.619954,0.001084,0.002019,0.001928,0.000016,5.570790
0.020000,3.385086,4.619927,0.001125,0.002057,0.001928,0.000016,5.570835
0.020000,3.385118,4.619900,0.001167,0.002096,0.001929,0.000016,5.570881
0.020000,3.385150,4.619872,0.001209,0.002135,0.001929,0.000016,5.570928
0.020000,3.385183,4.619843,0.001253,0.002173,0.001929,0.000017,5.570976
0.020000,3.385217,4.619814,0.001297,0.002212,0.001930,0.000017,5.571025
0.020000,3.385251,4.619785,0.001342,0.002250,0.001930,0.000017,5.571075
0.020000,3.385285,4.619755,0.001388,0.002289,0.001930,0.000018,5.571125
0.020000,3.385321,4.619725,0.001435,0.002328,0.001931,0.000018,5.571177
0.020000,3.385356,4.619694,0.001482,0.002366,0.001931,0.000018,5.571229
0.020000,3.385393,4.619662,0.001530,0.002405,0.001932,0.000019,5.571282
0.020000,3.385430,4.619630,0.001579,0.002444,0.001932,0.000019,5.571336
0.020000,3.385467,4.619598,0.001628,0.002482,0.001932,0.000019,5.571391
0.020000,3.385506,4.619565,0.001679,0.002521,0.001933,0.000019,5.571446
0.020000,3.385544,4.619532,0.001730,0.002560,0.001933,0.000020,5.571503
0.020000,3.385584,4.619498,0.001782,0.002598,0.001934,0.000020,5.571560
0.020000,3.385624,4.619463,0.001835,0.002637,0.001934,0.000020,5.571618
0.020000,3.385664,4.619428,0.001888,0.002676,0.001934,0.000021,5.571677
0.020000,3.385798,4.619313,0.002065,0.008856,0.309027,15.354646,5.571737
0.020000,3.386346,4.618841,0.002788,0.036139,1.364169,52.757089,5.571798
0.020000,3.386901,4.618362,0.003521,0.036643,0.025181,-66.949427,5.571860
0.020000,3.387464,4.617877,0.004264,0.037147,0.025177,-0.000191,5.571922
