dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.173300,1.866355,0.000200,0.020000,1.000000,50.000000,6.283169
0.020000,0.173299,1.866355,0.000200,0.000023,-0.998856,-99.942817,6.283171
0.020000,0.173298,1.866355,0.000201,0.000046,0.001143,49.999953,6.283174
0.020000,0.173297,1.866355,0.000203,0.000069,0.001141,-0.000094,6.283179
0.020000,0.173460,1.866355,0.000366,0.008153,0.404228,20.154350,0.000000
0.020000,0.177458,1.866355,0.004364,0.199886,9.586645,459.120876,0.000009
0.020000,0.182255,1.866355,0.009161,0.239863,1.998870,-379.388752,0.000019
0.020000,0.187852,1.866356,0.014758,0.279841,1.998876,0.000284,0.000030
0.020000,0.194248,1.866356,0.021154,0.319819,1.998883,0.000326,0.000043
0.020000,0.201444,1.866356,0.028350,0.359796,1.998890,0.000374,0.000058
0.020000,0.209439,1.866357,0.036345,0.399774,1.998898,0.000421,0.000075
0.020000,0.218235,1.866358,0.045140,0.439753,1.998908,0.000468,0.000093
0.020000,0.227829,1.866358,0.054735,0.479731,1.998918,0.000514,0.000112
0.020000,0.238223,1.866360,0.065129,0.519709,1.998929,0.000562,0.000133
0.020000,0.249417,1.866361,0.076323,0.559688,1.998941,0.000609,0.000156
0.020000,0.261410,1.866363,0.088316,0.599667,1.998955,0.000652,0.000180
0.020000,0.274203,1.866366,0.101109,0.639647,1.998969,0.000705,0.000206
0.020000,0.287796,1.866369,0.114702,0.679626,1.998984,0.000745,0.000233
0.020000,0.302188,1.866372,0.129094,0.719606,1.998999,0.000796,0.000262
0.020000,0.317380,1.866377,0.144286,0.759587,1.999016,0.000843,0.000292
0.020000,0.333371,1.866382,0.160277,0.799567,1.999034,0.000888,0.000323
0.020000,0.350162,1.866387,0.177068,0.839548,1.999053,0.000935,0.000356
0.020000,0.367753,1.866394,0.194659,0.879530,1.999072,0.000983,0.000390
0.020000,0.386143,1.866401,0.213049,0.919512,1.999093,0.001028,0.000426
0.020000,0.405333,1.866410,0.232239,0.959494,1.999115,0.001075,0.000462
0.020000,0.425322,1.866419,0.252228,0.999477,1.999137,0.001124,0.000500
0.020000,0.446112,1.866430,0.273017,1.039460,1.999160,0.001168,0.000540
0.020000,0.467700,1.866442,0.294606,1.079444,1.999185,0.001217,0.000580
0.020000,0.490089,1.866456,0.316995,1.119428,1.999210,0.001262,0.000622
0.020000,0.513277,1.866471,0.340183,1.159413,1.999236,0.001310,0.000665
0.020000,0.537265,1.866487,0.364171,1.199398,1.999263,0.001356,0.000708
0.020000,0.562053,1.866505,0.388959,1.239384,1.999291,0.001403,0.000753
0.020000,0.587640,1.866525,0.414546,1.279370,1.999320,0.001450,0.000799
0.020000,0.614027,1.866547,0.440933,1.319357,1.999350,0.001497,0.000846
0.020000,0.641214,1.866570,0.468120,1.359345,1.999381,0.001543,0.000893
0.020000,0.669201,1.866596,0.496107,1.399333,1.999413,0.001591,0.000942
0.020000,0.697987,1.866624,0.524893,1.439322,1.999446,0.001637,0.000991
0.020000,0.727574,1.866654,0.554480,1.479312,1.999479,0.001684,0.001041
0.020000,0.757960,1.866686,0.584866,1.519302,1.999514,0.001729,0.001092
0.020000,0.789145,1.866721,0.616051,1.559293,1.999550,0.001778,0.001143
0.020000,0.821131,1.866759,0.648037,1.599285,1.999586,0.001824,0.001196
0.020000,0.853917,1.866799,0.680823,1.639277,1.999623,0.001871,0.001248
0.020000,0.887502,1.866842,0.714408,1.679270,1.999662,0.001918,0.001301
0.020000,0.921887,1.866887,0.748793,1.719264,1.999701,0.001963,0.001355
0.020000,0.957072,1.866936,0.783979,1.759259,1.999741,0.002012,0.001409
0.020000,0.993057,1.866988,0.819964,1.799255,1.999782,0.002059,0.001463
0.020000,1.029842,1.867042,0.856749,1.839251,1.999824,0.002102,0.001517
0.020000,1.067427,1.867100,0.894334,1.879249,1.999868,0.002154,0.001572
0.020000,1.105812,1.867162,0.932719,1.919247,1.999912,0.002198,0.001627
0.020000,1.144997,1.867227,0.971903,1.959246,1.999956,0.002244,0.001681
0.020000,1.184982,1.867295,1.011888,1.999246,2.000002,0.002291,0.001736
0.020000,1.225767,1.867367,1.052673,2.039247,2.000049,0.002339,0.001791
0.020000,1.267352,1.867443,1.094258,2.079249,2.000097,0.002385,0.001846
0.020000,1.309737,1.867522,1.136643,2.119252,2.000145,0.002433,0.001900
0.020000,1.352922,1.867605,1.179828,2.159256,2.000195,0.002480,0.001954
0.020000,1.396907,1.867692,1.223814,2.199261,2.000245,0.002523,0.002008
0.020000,1.441692,1.867783,1.268599,2.239267,2.000297,0.002576,0.002061
0.020000,1.487277,1.867879,1.314184,2.279274,2.000349,0.002615,0.002114
0.020000,1.533663,1.867978,1.360570,2.319282,2.000403,0.002669,0.002166
0.020000,1.580849,1.868081,1.407756,2.359291,2.000457,0.002712,0.002218
0.020000,1.628835,1.868189,1.455742,2.399301,2.000512,0.002759,0.002269
0.020000,1.677621,1.868301,1.504528,2.439312,2.000568,0.002806,0.002319
0.020000,1.727207,1.868417,1.554115,2.479325,2.000625,0.002853,0.002368
0.020000,1.777594,1.868538,1.604501,2.519338,2.000683,0.002901,0.002416
0.020000,1.828781,1.868663,1.655689,2.559353,2.000742,0.002946,0.002463
0.020000,1.880768,1.868792,1.707676,2.599369,2.000802,0.002992,0.002509
0.020000,1.933555,1.868925,1.760464,2.639387,2.000863,0.003043,0.002554
0.020000,1.987143,1.869063,1.814052,2.679405,2.000925,0.003085,0.002597
0.020000,2.041532,1.869206,1.868440,2.719425,2.000987,0.003134,0.002639
0.020000,2.096720,1.869353,1.923629,2.759446,2.001051,0.003182,0.002679
0.020000,2.152709,1.869504,1.979619,2.799468,2.001115,0.003227,0.002718
0.020000,2.209499,1.869659,2.036408,2.839492,2.001181,0.003274,0.002755
0.020000,2.267089,1.869819,2.093999,2.879517,2.001247,0.003321,0.002790
0.020000,2.325480,1.869983,2.152390,2.919543,2.001315,0.003368,0.002823
0.020000,2.384671,1.870151,2.211581,2.959571,2.001383,0.003412,0.002854
0.020000,2.444463,1.870322,2.271373,2.989601,1.501516,-24.993347,0.002883
0.020000,2.504455,1.870496,2.331366,2.999635,0.501684,-49.991585,0.002910
0.020000,2.564448,1.870671,2.391359,2.999670,0.001754,-24.996518,0.002934
