dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.173295,1.591355,0.000200,0.020000,1.000000,50.000000,6.283169
0.020000,0.173295,1.591355,0.001000,0.060000,2.000000,50.000000,6.283171
0.020000,0.173295,1.591355,0.002600,0.100000,2.000000,0.000000,6.283174
0.020000,0.173295,1.591355,0.005000,0.140000,2.000000,0.000000,6.283179
0.020000,0.173460,1.591355,0.008200,0.180000,2.000000,-0.000000,0.000000
0.020000,0.177460,1.591355,0.012200,0.220000,2.000000,0.000000,0.000009
0.020000,0.182260,1.591355,0.017000,0.260000,2.000000,0.000000,0.000019
0.020000,0.187860,1.591356,0.022600,0.300000,2.000000,0.000000,0.000030
0.020000,0.194260,1.591356,0.029000,0.340000,2.000000,-0.000000,0.000043
0.020000,0.201460,1.591356,0.036200,0.380000,2.000000,0.000000,0.000058
0.020000,0.209460,1.591357,0.044200,0.420000,2.000000,0.000000,0.000075
0.020000,0.218260,1.591358,0.053000,0.460000,2.000000,-0.000000,0.000093
0.020000,0.227860,1.591358,0.062600,0.500000,2.000000,0.000000,0.000112
0.020000,0.238260,1.591360,0.073000,0.540000,2.000000,0.000000,0.000133
0.020000,0.249460,1.591361,0.084200,0.580000,2.000000,-0.000000,0.000156
0.020000,0.261460,1.591363,0.096200,0.620000,2.000000,0.000000,0.000180
0.020000,0.274260,1.591366,0.109000,0.660000,2.000000,0.000000,0.000206
0.020000,0.287860,1.591369,0.122600,0.700000,2.000000,-0.000000,0.000233
0.020000,0.302260,1.591372,0.137000,0.740000,2.000000,0.000000,0.000262
0.020000,0.317460,1.591377,0.152200,0.780000,2.000000,0.000000,0.000292
0.020000,0.333460,1.591382,0.168200,0.820000,2.000000,-0.000000,0.000323
0.020000,0.350260,1.591387,0.185000,0.860000,2.000000,0.000000,0.000356
0.020000,0.367860,1.591394,0.202600,0.900000,2.000000,-0.000000,0.000390
0.020000,0.386260,1.591401,0.221000,0.940000,2.000000,0.000000,0.000426
0.020000,0.405460,1.591410,0.240200,0.980000,2.000000,-0.000000,0.000462
0.020000,0.425460,1.591419,0.260200,1.020000,2.000000,0.000000,0.000500
0.020000,0.446260,1.591430,0.281000,1.060000,2.000000,0.000000,0.000540
0.020000,0.467860,1.591442,0.302600,1.100000,2.000000,-0.000000,0.000580
0.020000,0.490260,1.591456,0.325000,1.140000,2.000000,0.000000,0.000622
0.020000,0.513460,1.591471,0.348200,1.180000,2.000000,-0.000000,0.000665
0.020000,0.537460,1.591487,0.372200,1.220000,2.000000,0.000000,0.000708
0.020000,0.562260,1.591505,0.397000,1.260000,2.000000,0.000000,0.000753
0.020000,0.587860,1.591525,0.422600,1.300000,2.000000,0.000000,0.000799
0.020000,0.614260,1.591547,0.449000,1.340000,2.000000,-0.000000,0.000846
0.020000,0.641460,1.591571,0.476200,1.380000,2.000000,0.000000,0.000893
0.020000,0.669460,1.591596,0.504200,1.420000,2.000000,-0.000000,0.000942
0.020000,0.698260,1.591624,0.533000,1.460000,2.000000,0.000000,0.000991
0.020000,0.727860,1.591654,0.562600,1.500000,2.000000,0.000000,0.001041
0.020000,0.758260,1.591687,0.593000,1.540000,2.000000,0.000000,0.001092
0.020000,0.789460,1.591722,0.624200,1.580000,2.000000,-0.000000,0.001143
0.020000,0.821460,1.591759,0.656200,1.620000,2.000000,0.000000,0.001196
0.020000,0.854260,1.591799,0.689000,1.660000,2.000000,-0.000000,0.001248
0.020000,0.887860,1.591842,0.722600,1.700000,2.000000,-0.000000,0.001301
0.020000,0.922260,1.591888,0.757000,1.740000,2.000000,0.000000,0.001355
0.020000,0.957460,1.591936,0.792200,1.780000,2.000000,0.000000,0.001409
0.020000,0.993460,1.591988,0.828200,1.820000,2.000000,-0.000000,0.001463
0.020000,1.030260,1.592043,0.865000,1.860000,2.000000,0.000000,0.001517
0.020000,1.067860,1.592101,0.902600,1.900000,2.000000,0.000000,0.001572
0.020000,1.106260,1.592162,0.941000,1.940000,2.000000,0.000000,0.001627
0.020000,1.145459,1.592227,0.980200,1.980000,2.000000,0.000000,0.001681
0.020000,1.185459,1.592295,1.020200,2.020000,2.000000,0.000000,0.001736
0.020000,1.226259,1.592367,1.061000,2.060000,2.000000,0.000000,0.001791
0.020000,1.267859,1.592443,1.102600,2.100000,2.000000,-0.000000,0.001846
0.020000,1.310259,1.592522,1.145000,2.140000,2.000000,0.000000,0.001900
0.020000,1.353459,1.592606,1.188200,2.180000,2.000000,-0.000000,0.001954
0.020000,1.397459,1.592693,1.232200,2.220000,2.000000,-0.000000,0.002008
0.020000,1.442259,1.592784,1.277000,2.260000,2.000000,0.000000,0.002061
0.020000,1.487859,1.592879,1.322600,2.300000,2.000000,0.000000,0.002114
0.020000,1.534259,1.592979,1.369000,2.340000,2.000000,-0.000000,0.002166
0.020000,1.581459,1.593082,1.416200,2.380000,2.000000,0.000000,0.002218
0.020000,1.629458,1.593190,1.464200,2.420000,2.000000,0.000000,0.002269
0.020000,1.678258,1.593302,1.513000,2.460000,2.000000,0.000000,0.002319
0.020000,1.727858,1.593418,1.562600,2.500000,2.000000,0.000000,0.002368
0.020000,1.778258,1.593538,1.613000,2.540000,2.000000,0.000000,0.002416
0.020000,1.829458,1.593663,1.664200,2.580000,2.000000,0.000000,0.002463
0.020000,1.881458,1.593793,1.716200,2.620000,2.000000,0.000000,0.002509
0.020000,1.934258,1.593926,1.769000,2.660000,2.000000,0.000000,0.002554
0.020000,1.987857,1.594064,1.822600,2.700000,2.000000,0.000000,0.002597
0.020000,2.042257,1.594207,1.877000,2.740000,2.000000,0.000000,0.002639
0.020000,2.097457,1.594354,1.932200,2.780000,2.000000,-0.000000,0.002679
0.020000,2.153457,1.594505,1.988200,2.820000,2.000000,0.000000,0.002718
0.020000,2.210257,1.594660,2.045000,2.860000,2.000000,0.000000,0.002755
0.020000,2.267856,1.594820,2.102600,2.900000,2.000000,-0.000000,0.002790
0.020000,2.326256,1.594984,2.161000,2.940000,2.000000,0.000000,0.002823
0.020000,2.385456,1.595152,2.220200,2.980000,2.000000,0.000000,0.002854
0.020000,2.445256,1.595323,2.280000,3.000000,1.000000,-50.000000,0.002883
0.020000,2.505255,1.595497,2.340000,3.000000,0.000000,-50.000000,0.002910
0.020000,2.565255,1.595672,2.400000,3.000000,0.000000,0.000000,0.002934
0.020000,2.625255,1.595849,2.460000,3.000000,0.000000,0.000000,0.002955
0.020000,2.685255,1.596027,2.520000,3.000000,0.000000,0.000000,0.002974
0.020000,2.745254,1.596206,2.580000,3.000000,0.000000,0.000000,0.002991
0.020000,2.805254,1.596386,2.640000,3.000000,0.000000,0.000000,0.003004
0.020000,2.865254,1.596567,2.700000,3.000000,0.000000,0.000000,0.003016
0.020000,2.925254,1.596748,2.760000,3.000000,0.000000,0.000000,0.003024
0.020000,2.985253,1.596929,2.820000,3.000000,0.000000,0.000000,0.003031
0.020000,3.045253,1.597111,2.880000,3.000000,0.000000,0.000000,0.003034
0.020000,3.105253,1.597293,2.940000,3.000000,0.000000,0.000000,0.003035
0.020000,3.165252,1.597476,3.000000,3.000000,0.000000,0.000000,0.003034
0.020000,3.225252,1.597657,3.060000,3.000000,0.000000,0.000000,0.003030
0.020000,3.285252,1.597839,3.120000,3.000000,0.000000,0.000000,0.003023
0.020000,3.345252,1.598020,3.180000,3.000000,0.000000,0.000000,0.003014
0.020000,3.405251,1.598201,3.240000,3.000000,0.000000,0.000000,0.003002
0.020000,3.465251,1.598380,3.300000,3.000000,0.000000,0.000000,0.002988
0.020000,3.525251,1.598559,3.360000,3.000000,0.000000,0.000000,0.002971
0.020000,3.585251,1.598737,3.420000,3.000000,0.000000,0.000000,0.002952
0.020000,3.645250,1.598913,3.480000,3.000000,0.000000,0.000000,0.002930
0.020000,3.705250,1.599088,3.540000,3.000000,0.000000,0.000000,0.002905
0.020000,3.765250,1.599262,3.600000,3.000000,0.000000,0.000000,0.002878
0.020000,3.825250,1.599434,3.660000,3.000000,0.000000,0.000000,0.002849
0.020000,3.885249,1.599604,3.720000,3.000000,0.000000,0.000000,0.002817
0.020000,3.945249,1.599772,3.780000,3.000000,0.000000,0.000000,0.002782
0.020000,4.005249,1.599938,3.840000,3.000000,0.000000,0.000000,0.002745
0.020000,4.065249,1.600101,3.900000,3.000000,0.000000,0.000000,0.002705
0.020000,4.125248,1.600262,3.960000,3.000000,0.000000,0.000000,0.002663
0.020000,4.185248,1.600421,4.020000,3.000000,0.000000,0.000000,0.002618
0.020000,4.245248,1.600576,4.080000,3.000000,0.000000,0.000000,0.002571
0.020000,4.305248,1.600729,4.140000,3.000000,0.000000,0.000000,0.002521
0.020000,4.365248,1.600879,4.200000,3.000000,0.000000,0.000000,0.002468
0.020000,4.425247,1.601025,4.260000,3.000000,0.000000,0.000000,0.002413
0.020000,4.485247,1.601168,4.320000,3.000000,0.000000,0.000000,0.002355
0.020000,4.545247,1.601308,4.380000,3.000000,0.000000,0.000000,0.002295
0.020000,4.605247,1.601443,4.440000,3.000000,0.000000,0.000000,0.002232
0.020000,4.665247,1.601575,4.500000,3.000000,0.000000,0.000000,0.002167
0.020000,4.725247,1.601703,4.560000,3.000000,0.000000,0.000000,0.002099
0.020000,4.785247,1.601827,4.620000,3.000000,0.000000,0.000000,0.002029
0.020000,4.845246,1.601947,4.680000,3.000000,0.000000,0.000000,0.001956
0.020000,4.905246,1.602062,4.740000,3.000000,0.000000,0.000000,0.001881
0.020000,4.965246,1.602173,4.800000,3.000000,0.000000,0.000000,0.001803
0.020000,5.025246,1.602278,4.860000,3.000000,0.000000,0.000000,0.001722
0.020000,5.085246,1.602379,4.920000,3.000000,0.000000,0.000000,0.001639
0.020000,5.145246,1.602475,4.980000,3.000000,0.000000,0.000000,0.001553
0.020000,5.205246,1.602565,5.040000,3.000000,0.000000,0.000000,0.001465
