dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.173291,1.316355,0.000200,0.020000,1.000000,50.000000,6.283169
0.020000,0.173291,1.316355,0.000200,0.000023,-0.998856,-99.942817,6.283171
0.020000,0.173292,1.316355,0.000201,0.000046,0.001143,49.999953,6.283174
0.020000,0.173293,1.316355,0.000203,0.000069,0.001141,-0.000094,6.283179
0.020000,0.173460,1.316355,0.000369,0.008336,0.413358,20.610877,0.000000
0.020000,0.177462,1.316355,0.004372,0.200114,9.588914,458.777779,0.000009
0.020000,0.182265,1.316355,0.009174,0.240137,2.001130,-379.389220,0.000019
0.020000,0.187868,1.316356,0.014778,0.280159,2.001124,-0.000277,0.000030
0.020000,0.194272,1.316356,0.021181,0.320181,2.001117,-0.000328,0.000043
0.020000,0.201476,1.316356,0.028385,0.360204,2.001110,-0.000375,0.000058
0.020000,0.209480,1.316357,0.036390,0.400226,2.001102,-0.000421,0.000075
0.020000,0.218285,1.316358,0.045195,0.440247,2.001092,-0.000468,0.000093
0.020000,0.227891,1.316358,0.054800,0.480269,2.001082,-0.000515,0.000112
0.020000,0.238297,1.316360,0.065206,0.520291,2.001071,-0.000561,0.000133
0.020000,0.249503,1.316361,0.076412,0.560312,2.001059,-0.000607,0.000156
0.020000,0.261509,1.316363,0.088419,0.600333,2.001045,-0.000658,0.000180
0.020000,0.274317,1.316366,0.101226,0.640353,2.001031,-0.000698,0.000206
0.020000,0.287924,1.316369,0.114833,0.680374,2.001016,-0.000751,0.000233
0.020000,0.302332,1.316372,0.129241,0.720394,2.001001,-0.000794,0.000262
0.020000,0.317540,1.316377,0.144450,0.760413,2.000984,-0.000841,0.000292
0.020000,0.333549,1.316382,0.160458,0.800433,2.000966,-0.000889,0.000323
0.020000,0.350358,1.316387,0.177267,0.840452,2.000947,-0.000936,0.000356
0.020000,0.367967,1.316394,0.194877,0.880470,2.000928,-0.000982,0.000390
0.020000,0.386377,1.316401,0.213286,0.920488,2.000907,-0.001030,0.000426
0.020000,0.405587,1.316410,0.232497,0.960506,2.000885,-0.001076,0.000462
0.020000,0.425598,1.316419,0.252507,1.000523,2.000863,-0.001121,0.000500
0.020000,0.446408,1.316430,0.273318,1.040540,2.000840,-0.001170,0.000540
0.020000,0.468020,1.316442,0.294929,1.080556,2.000815,-0.001215,0.000580
0.020000,0.490431,1.316456,0.317340,1.120572,2.000790,-0.001264,0.000622
0.020000,0.513643,1.316471,0.340552,1.160587,2.000764,-0.001309,0.000665
0.020000,0.537655,1.316487,0.364564,1.200602,2.000737,-0.001356,0.000708
0.020000,0.562467,1.316505,0.389376,1.240616,2.000709,-0.001403,0.000753
0.020000,0.588080,1.316525,0.414989,1.280630,2.000680,-0.001450,0.000799
0.020000,0.614492,1.316547,0.441402,1.320643,2.000650,-0.001497,0.000846
0.020000,0.641706,1.316571,0.468615,1.360655,2.000619,-0.001544,0.000893
0.020000,0.669719,1.316596,0.496628,1.400667,2.000587,-0.001590,0.000942
0.020000,0.698532,1.316624,0.525442,1.440678,2.000554,-0.001637,0.000991
0.020000,0.728146,1.316654,0.555056,1.480688,2.000521,-0.001683,0.001041
0.020000,0.758560,1.316687,0.585470,1.520698,2.000486,-0.001732,0.001092
0.020000,0.789774,1.316722,0.616684,1.560707,2.000450,-0.001776,0.001143
0.020000,0.821789,1.316759,0.648698,1.600715,2.000414,-0.001824,0.001196
0.020000,0.854603,1.316799,0.681513,1.640723,2.000377,-0.001871,0.001248
0.020000,0.888218,1.316842,0.715127,1.680730,2.000338,-0.001917,0.001301
0.020000,0.922632,1.316888,0.749542,1.720736,2.000299,-0.001966,0.001355
0.020000,0.957847,1.316936,0.784757,1.760741,2.000259,-0.002010,0.001409
0.020000,0.993862,1.316988,0.820772,1.800745,2.000218,-0.002057,0.001463
0.020000,1.030677,1.317043,0.857587,1.840749,2.000175,-0.002107,0.001517
0.020000,1.068292,1.317101,0.895202,1.880751,2.000132,-0.002149,0.001572
0.020000,1.106707,1.317163,0.933617,1.920753,2.000088,-0.002198,0.001627
0.020000,1.145922,1.317227,0.972832,1.960754,2.000044,-0.002246,0.001681
0.020000,1.185937,1.317296,1.012847,2.000754,1.999998,-0.002292,0.001736
0.020000,1.226752,1.317368,1.053662,2.040753,1.999951,-0.002338,0.001791
0.020000,1.268367,1.317443,1.095277,2.080751,1.999903,-0.002386,0.001846
0.020000,1.310782,1.317523,1.137692,2.120748,1.999855,-0.002431,0.001900
0.020000,1.353997,1.317606,1.180907,2.160744,1.999805,-0.002478,0.001954
0.020000,1.398011,1.317693,1.224922,2.200739,1.999754,-0.002529,0.002008
0.020000,1.442826,1.317785,1.269736,2.240733,1.999703,-0.002569,0.002061
0.020000,1.488440,1.317880,1.315351,2.280726,1.999651,-0.002623,0.002114
0.020000,1.534855,1.317979,1.361765,2.320718,1.999597,-0.002663,0.002166
0.020000,1.582069,1.318083,1.408979,2.360709,1.999543,-0.002714,0.002218
0.020000,1.630082,1.318190,1.456993,2.400699,1.999488,-0.002760,0.002269
0.020000,1.678896,1.318302,1.505807,2.440688,1.999432,-0.002806,0.002319
0.020000,1.728509,1.318419,1.555421,2.480675,1.999375,-0.002853,0.002368
0.020000,1.778923,1.318539,1.605834,2.520662,1.999317,-0.002899,0.002416
0.020000,1.830135,1.318664,1.657047,2.560647,1.999258,-0.002947,0.002463
0.020000,1.882148,1.318794,1.709059,2.600631,1.999198,-0.002995,0.002509
0.020000,1.934960,1.318927,1.761872,2.640613,1.999137,-0.003037,0.002554
0.020000,1.988572,1.319065,1.815484,2.680595,1.999075,-0.003089,0.002597
0.020000,2.042983,1.319208,1.869895,2.720575,1.999013,-0.003133,0.002639
0.020000,2.098194,1.319355,1.925106,2.760554,1.998949,-0.003179,0.002679
0.020000,2.154204,1.319506,1.981117,2.800532,1.998885,-0.003228,0.002718
0.020000,2.211014,1.319661,2.037927,2.840508,1.998819,-0.003274,0.002755
0.020000,2.268624,1.319821,2.095537,2.880483,1.998753,-0.003321,0.002790
0.020000,2.327033,1.319985,2.153946,2.920457,1.998685,-0.003367,0.002823
0.020000,2.386241,1.320153,2.213154,2.960429,1.998617,-0.003416,0.002854
0.020000,2.446049,1.320324,2.272962,2.990399,1.498484,-25.006648,0.002883
0.020000,2.506056,1.320498,2.332970,3.000365,0.498316,-50.008417,0.002910
0.020000,2.566062,1.320674,2.392976,3.000330,-0.001754,-25.003482,0.002934
0.020000,2.626068,1.320850,2.452982,3.000295,-0.001754,0.000001,0.002955
0.020000,2.686073,1.321028,2.512987,3.000260,-0.001754,-0.000001,0.002974
0.020000,2.746077,1.321207,2.572992,3.000225,-0.001754,0.000001,0.002991
0.020000,2.806080,1.321387,2.632996,3.000190,-0.001754,-0.000001,0.003004
0.020000,2.866083,1.321568,2.692999,3.000155,-0.001754,0.000001,0.003016
0.020000,2.926085,1.321749,2.753001,3.000120,-0.001754,-0.000001,0.003024
0.020000,2.986087,1.321931,2.813003,3.000085,-0.001754,0.000001,0.003031
0.020000,3.046087,1.322113,2.873004,3.000050,-0.001754,-0.000001,0.003034
0.020000,3.106087,1.322295,2.933004,3.000015,-0.001754,0.000000,0.003035
0.020000,3.166087,1.322477,2.993004,2.999979,-0.001754,-0.000000,0.003034
0.020000,3.226085,1.322659,3.053003,2.999944,-0.001754,-0.000000,0.003030
0.020000,3.286083,1.322840,3.113001,2.999909,-0.001754,0.000000,0.003023
0.020000,3.346080,1.323021,3.172998,2.999874,-0.001754,-0.000000,0.003014
0.020000,3.406077,1.323202,3.232995,2.999839,-0.001754,0.000000,0.003002
0.020000,3.466073,1.323382,3.292991,2.999804,-0.001754,0.000000,0.002988
0.020000,3.526068,1.323560,3.352986,2.999769,-0.001754,-0.000000,0.002971
0.020000,3.586062,1.323738,3.412981,2.999734,-0.001754,0.000001,0.002952
0.020000,3.646056,1.323914,3.472975,2.999699,-0.001754,-0.000001,0.002930
0.020000,3.706049,1.324090,3.532968,2.999664,-0.001754,0.000002,0.002905
0.020000,3.766041,1.324263,3.592961,2.999629,-0.001754,-0.000003,0.002878
0.020000,3.826033,1.324435,3.652953,2.999594,-0.001754,0.000003,0.002849
0.020000,3.886024,1.324605,3.712944,2.999558,-0.001754,-0.000004,0.002817
0.020000,3.946014,1.324773,3.772934,2.999523,-0.001754,0.000004,0.002782
0.020000,4.006004,1.324939,3.832924,2.999488,-0.001754,-0.000004,0.002745
0.020000,4.065993,1.325102,3.892913,2.999453,-0.001754,0.000003,0.002705
0.020000,4.125981,1.325263,3.952902,2.999418,-0.001754,-0.000003,0.002663
0.020000,4.185968,1.325421,4.012889,2.999383,-0.001754,0.000002,0.002618
0.020000,4.245955,1.325577,4.072876,2.999348,-0.001754,-0.000002,0.002571
0.020000,4.305941,1.325730,4.132863,2.999313,-0.001754,0.000001,0.002521
0.020000,4.365926,1.325879,4.192848,2.999278,-0.001754,-0.000000,0.002468
0.020000,4.425911,1.326026,4.252833,2.999243,-0.001754,-0.000001,0.002413
0.020000,4.485895,1.326169,4.312817,2.999208,-0.001754,0.000002,0.002355
0.020000,4.545878,1.326308,4.372801,2.999173,-0.001754,-0.000003,0.002295
0.020000,4.605861,1.326444,4.432783,2.999138,-0.001754,0.000003,0.002232
0.020000,4.665843,1.326576,4.492765,2.999102,-0.001754,-0.000004,0.002167
0.020000,4.725824,1.326704,4.552747,2.999067,-0.001754,0.000005,0.002099
0.020000,4.785805,1.326828,4.612727,2.999032,-0.001754,-0.000006,0.002029
0.020000,4.845784,1.326947,4.672707,2.998997,-0.001754,0.000006,0.001956
0.020000,4.905763,1.327062,4.732687,2.998962,-0.001754,-0.000005,0.001881
0.020000,4.965742,1.327173,4.792665,2.998927,-0.001754,0.000004,0.001803
0.020000,5.025720,1.327279,4.852643,2.998892,-0.001754,-0.000003,0.001722
0.020000,5.085697,1.327379,4.912620,2.998857,-0.001754,0.000003,0.001639
0.020000,5.145673,1.327475,4.972596,2.998822,-0.001754,-0.000002,0.001553
0.020000,5.205649,1.327566,5.032572,2.998787,-0.001754,0.000001,0.001465
0.020000,5.265624,1.327651,5.092547,2.998752,-0.001754,-0.000000,0.001374
0.020000,5.325598,1.327730,5.152522,2.998717,-0.001754,-0.000000,0.001281
0.020000,5.385572,1.327804,5.212495,2.998681,-0.001754,0.000001,0.001185
0.020000,5.445544,1.327873,5.272468,2.998646,-0.001754,-0.000001,0.001086
0.020000,5.505517,1.327935,5.332440,2.998611,-0.001754,0.000001,0.000985
0.020000,5.565488,1.327991,5.392412,2.998576,-0.001754,-0.000001,0.000882
0.020000,5.625459,1.328040,5.452383,2.998541,-0.001754,0.000001,0.000776
0.020000,5.685429,1.328084,5.512353,2.998506,-0.001754,-0.000001,0.000667
0.020000,5.745398,1.328120,5.572322,2.998471,-0.001754,0.000000,0.000556
0.020000,5.805367,1.328150,5.632291,2.998436,-0.001754,0.000001,0.000442
0.020000,5.865335,1.328173,5.692259,2.998401,-0.001754,-0.000001,0.000326
0.020000,5.925303,1.328189,5.752226,2.998366,-0.001754,0.000002,0.000207
0.020000,5.985080,1.328198,5.812004,2.988864,-0.475075,-23.666037,0.000086
0.020000,6.044278,1.328200,5.871202,2.959903,-1.448086,-48.650587,6.283149
0.020000,6.102686,1.328194,5.929610,2.920420,-1.974141,-26.302740,6.283026
0.020000,6.160294,1.328181,5.987218,2.880410,-2.000471,-1.316493,6.282902
