dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000235,0.023529,1.176471,58.823529,6.283072
0.020000,0.000000,0.000000,0.001176,0.070588,2.352941,58.823529,6.283086
0.020000,0.000000,0.000000,0.003294,0.141176,3.529412,58.823529,6.283116
0.020000,0.000000,0.000000,0.007059,0.235294,4.705882,58.823529,6.283170
0.020000,0.004807,0.000000,0.012941,0.352941,5.882353,58.823529,0.000069
0.020000,0.013042,0.000001,0.021176,0.470588,5.882353,0.000000,0.000186
0.020000,0.023631,0.000004,0.031765,0.588235,5.882353,0.000000,0.000336
0.020000,0.036572,0.000010,0.044706,0.705882,5.882353,-0.000000,0.000519
0.020000,0.051866,0.000019,0.060000,0.823529,5.882353,0.000000,0.000734
0.020000,0.069513,0.000034,0.077647,0.941176,5.882353,0.000000,0.000980
0.020000,0.089513,0.000057,0.097647,1.058824,5.882353,0.000000,0.001257
0.020000,0.111866,0.000088,0.120000,1.176471,5.882353,0.000000,0.001565
0.020000,0.136572,0.000131,0.144706,1.294118,5.882353,0.000000,0.001902
0.020000,0.163630,0.000187,0.171765,1.411765,5.882353,-0.000000,0.002267
0.020000,0.193042,0.000260,0.201176,1.529412,5.882353,0.000000,0.002660
0.020000,0.224807,0.000351,0.232941,1.647059,5.882353,-0.000000,0.003079
0.020000,0.258924,0.000464,0.267059,1.764706,5.882353,0.000000,0.003523
0.020000,0.295159,0.000600,0.303294,1.858824,4.705882,-58.823529,0.003989
0.020000,0.333041,0.000760,0.341176,1.929412,3.529412,-58.823529,0.004468
0.020000,0.372100,0.000944,0.380235,1.976471,2.352941,-58.823529,0.004954
0.020000,0.411864,0.001151,0.420000,2.000000,1.176471,-58.823529,0.005441
0.020000,0.451863,0.001378,0.460000,2.000000,0.000000,-58.823529,0.005923
0.020000,0.491862,0.001624,0.500000,2.000000,0.000000,0.000000,0.006396
0.020000,0.531861,0.001890,0.540000,2.000000,0.000000,0.000000,0.006861
0.020000,0.571860,0.002173,0.580000,2.000000,0.000000,0.000000,0.007317
0.020000,0.611859,0.002475,0.620000,2.000000,0.000000,0.000000,0.007766
0.020000,0.651858,0.002794,0.660000,2.000000,0.000000,0.000000,0.008206
0.020000,0.691857,0.003131,0.700000,2.000000,0.000000,0.000000,0.008637
0.020000,0.731855,0.003485,0.740000,2.000000,0.000000,0.000000,0.009061
0.020000,0.771853,0.003856,0.780000,2.000000,0.000000,0.000000,0.009476
0.020000,0.811851,0.004243,0.820000,2.000000,0.000000,0.000000,0.009882
0.020000,0.851849,0.004646,0.860000,2.000000,0.000000,0.000000,0.010281
0.020000,0.891847,0.005065,0.900000,2.000000,0.000000,0.000000,0.010671
0.020000,0.931845,0.005500,0.940000,2.000000,0.000000,0.000000,0.011053
0.020000,0.971842,0.005950,0.980000,2.000000,0.000000,0.000000,0.011426
0.020000,1.011840,0.006414,1.020000,2.000000,0.000000,0.000000,0.011792
0.020000,1.051837,0.006893,1.060000,2.000000,0.000000,0.000000,0.012149
0.020000,1.091834,0.007386,1.100000,2.000000,0.000000,0.000000,0.012497
0.020000,1.131831,0.007892,1.140000,2.000000,0.000000,0.000000,0.012837
0.020000,1.171827,0.008413,1.180000,2.000000,0.000000,0.000000,0.013169
0.020000,1.211824,0.008946,1.220000,2.000000,0.000000,0.000000,0.013493
0.020000,1.251820,0.009492,1.260000,2.000000,0.000000,0.000000,0.013808
0.020000,1.291816,0.010050,1.300000,2.000000,0.000000,0.000000,0.014115
0.020000,1.331812,0.010621,1.340000,2.000000,0.000000,0.000000,0.014414
0.020000,1.371808,0.011203,1.380000,2.000000,0.000000,0.000000,0.014705
0.020000,1.411803,0.011797,1.420000,2.000000,0.000000,0.000000,0.014987
0.020000,1.451799,0.012402,1.460000,2.000000,0.000000,0.000000,0.015261
0.020000,1.491794,0.013018,1.500000,2.000000,0.000000,0.000000,0.015526
0.020000,1.531789,0.013644,1.540000,2.000000,0.000000,0.000000,0.015783
0.020000,1.571784,0.014280,1.580000,2.000000,0.000000,0.000000,0.016032
0.020000,1.611779,0.014926,1.620000,2.000000,0.000000,0.000000,0.016273
0.020000,1.651773,0.015582,1.660000,2.000000,0.000000,0.000000,0.016505
0.020000,1.691768,0.016247,1.700000,2.000000,0.000000,0.000000,0.016729
0.020000,1.731762,0.016920,1.740000,2.000000,0.000000,0.000000,0.016945
0.020000,1.771756,0.017602,1.780000,2.000000,0.000000,0.000000,0.017152
0.020000,1.811750,0.018292,1.820000,2.000000,0.000000,0.000000,0.017352
0.020000,1.851744,0.018990,1.860000,2.000000,0.000000,0.000000,0.017542
0.020000,1.891738,0.019695,1.900000,2.000000,0.000000,0.000000,0.017725
0.020000,1.931732,0.020408,1.940000,2.000000,0.000000,0.000000,0.017899
0.020000,1.971725,0.021127,1.980000,2.000000,0.000000,0.000000,0.018065
0.020000,2.011719,0.021853,2.020000,2.000000,0.000000,0.000000,0.018223
0.020000,2.051712,0.022585,2.060000,2.000000,0.000000,0.000000,0.018372
0.020000,2.091705,0.023323,2.100000,2.000000,0.000000,0.000000,0.018513
0.020000,2.131698,0.024066,2.140000,2.000000,0.000000,0.000000,0.018646
0.020000,2.171691,0.024814,2.180000,2.000000,0.000000,0.000000,0.018770
0.020000,2.211684,0.025567,2.220000,2.000000,0.000000,0.000000,0.018886
0.020000,2.251677,0.026325,2.260000,2.000000,0.000000,0.000000,0.018994
0.020000,2.291670,0.027086,2.300000,2.000000,0.000000,0.000000,0.019093
0.020000,2.331662,0.027852,2.340000,2.000000,0.000000,0.000000,0.019185
0.020000,2.371655,0.028621,2.380000,2.000000,0.000000,0.000000,0.019268
0.020000,2.411648,0.029393,2.420000,2.000000,0.000000,0.000000,0.019342
0.020000,2.451640,0.030168,2.460000,2.000000,0.000000,0.000000,0.019408
0.020000,2.491633,0.030946,2.500000,2.000000,0.000000,0.000000,0.019466
0.020000,2.531625,0.031725,2.540000,2.000000,0.000000,0.000000,0.019516
0.020000,2.571617,0.032507,2.580000,2.000000,0.000000,0.000000,0.019558
0.020000,2.611610,0.033290,2.620000,2.000000,0.000000,0.000000,0.019591
0.020000,2.651602,0.034074,2.660000,2.000000,0.000000,0.000000,0.019615
0.020000,2.691594,0.034859,2.700000,2.000000,0.000000,0.000000,0.019632
0.020000,2.731587,0.035644,2.740000,2.000000,0.000000,0.000000,0.019640
0.020000,2.771579,0.036430,2.780000,2.000000,0.000000,0.000000,0.019640
0.020000,2.811571,0.037215,2.820000,2.000000,0.000000,0.000000,0.019632
0.020000,2.851563,0.038000,2.860000,2.000000,0.000000,0.000000,0.019615
0.020000,2.891556,0.038784,2.900000,2.000000,0.000000,0.000000,0.019590
0.020000,2.931548,0.039567,2.940000,2.000000,0.000000,0.000000,0.019557
0.020000,2.971540,0.040348,2.980000,2.000000,0.000000,0.000000,0.019515
0.020000,3.011533,0.041128,3.020000,2.000000,0.000000,0.000000,0.019465
0.020000,3.051525,0.041905,3.060000,2.000000,0.000000,0.000000,0.019407
0.020000,3.091518,0.042680,3.100000,2.000000,0.000000,0.000000,0.019341
0.020000,3.131510,0.043452,3.140000,2.000000,0.000000,0.000000,0.019266
0.020000,3.171503,0.044221,3.180000,2.000000,0.000000,0.000000,0.019183
0.020000,3.211496,0.044987,3.220000,2.000000,0.000000,0.000000,0.019091
0.020000,3.251488,0.045748,3.260000,2.000000,0.000000,0.000000,0.018992
0.020000,3.291481,0.046506,3.300000,2.000000,0.000000,0.000000,0.018884
0.020000,3.331474,0.047259,3.340000,2.000000,0.000000,0.000000,0.018767
0.020000,3.371467,0.048007,3.380000,2.000000,0.000000,0.000000,0.018643
0.020000,3.411460,0.048750,3.420000,2.000000,0.000000,0.000000,0.018510
0.020000,3.451453,0.049488,3.460000,2.000000,0.000000,0.000000,0.018369
0.020000,3.491447,0.050219,3.500000,2.000000,0.000000,0.000000,0.018219
0.020000,3.531440,0.050945,3.540000,2.000000,0.000000,0.000000,0.018061
0.020000,3.571434,0.051664,3.580000,2.000000,0.000000,0.000000,0.017895
0.020000,3.611427,0.052377,3.620000,2.000000,0.000000,0.000000,0.017721
0.020000,3.651421,0.053082,3.660000,2.000000,0.000000,0.000000,0.017538
0.020000,3.691415,0.053779,3.700000,2.000000,0.000000,0.000000,0.017347
0.020000,3.731409,0.054469,3.740000,2.000000,0.000000,0.000000,0.017148
0.020000,3.771403,0.055151,3.780000,2.000000,0.000000,0.000000,0.016940
0.020000,3.811398,0.055824,3.820000,2.000000,0.000000,0.000000,0.016724
