dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000031,-0.275000,0.000235,0.023529,1.176471,58.823529,6.283072
0.020000,-0.000027,-0.275000,0.000239,0.000185,-1.167206,-117.183811,6.283086
0.020000,-0.000019,-0.275000,0.000247,0.000417,0.011570,58.938763,6.283116
0.020000,-0.000004,-0.275000,0.000262,0.000740,0.016165,0.229777,6.283170
0.020000,0.004826,-0.275000,0.005092,0.241506,12.038285,601.105990,0.000069
0.020000,0.013093,-0.274999,0.013360,0.413376,8.593538,-172.237333,0.000186
0.020000,0.023723,-0.274996,0.023989,0.531477,5.905022,-134.425799,0.000336
0.020000,0.036714,-0.274990,0.036981,0.649572,5.904756,-0.013322,0.000519
0.020000,0.052068,-0.274981,0.052334,0.767661,5.904430,-0.016313,0.000734
0.020000,0.069782,-0.274966,0.070049,0.885742,5.904044,-0.019258,0.000980
0.020000,0.089859,-0.274943,0.090125,1.003814,5.903600,-0.022223,0.001257
0.020000,0.112296,-0.274912,0.112563,1.121875,5.903096,-0.025207,0.001565
0.020000,0.137095,-0.274869,0.137361,1.239926,5.902533,-0.028144,0.001902
0.020000,0.164254,-0.274812,0.164520,1.357964,5.901910,-0.031125,0.002267
0.020000,0.193774,-0.274739,0.194040,1.475989,5.901228,-0.034105,0.002660
0.020000,0.225653,-0.274648,0.225920,1.593999,5.900488,-0.037040,0.003079
0.020000,0.259893,-0.274535,0.260160,1.711992,5.899687,-0.040007,0.003523
0.020000,0.296256,-0.274398,0.296523,1.818163,5.308530,-29.557892,0.003989
0.020000,0.334270,-0.274237,0.334537,1.900707,4.127178,-59.067572,0.004468
0.020000,0.373462,-0.274053,0.373730,1.959627,2.946043,-59.056767,0.004954
0.020000,0.413360,-0.273845,0.413629,1.994930,1.765154,-59.044461,0.005441
0.020000,0.453492,-0.273617,0.453761,2.006621,0.584521,-59.031607,0.005923
0.020000,0.493621,-0.273370,0.493891,2.006507,-0.005712,-29.511652,0.006396
0.020000,0.533748,-0.273104,0.534019,2.006392,-0.005712,-0.000003,0.006861
0.020000,0.573873,-0.272819,0.574144,2.006278,-0.005712,-0.000002,0.007317
0.020000,0.613995,-0.272517,0.614268,2.006164,-0.005712,-0.000001,0.007766
0.020000,0.654115,-0.272196,0.654389,2.006050,-0.005712,-0.000000,0.008206
0.020000,0.694232,-0.271859,0.694507,2.005935,-0.005712,0.000001,0.008637
0.020000,0.734347,-0.271504,0.734624,2.005821,-0.005712,-0.000018,0.009061
0.020000,0.774459,-0.271132,0.774738,2.005707,-0.005712,-0.000022,0.009476
0.020000,0.814569,-0.270743,0.814850,2.005593,-0.005712,0.000042,0.009882
0.020000,0.854677,-0.270339,0.854959,2.005479,-0.005712,0.000004,0.010281
0.020000,0.894782,-0.269919,0.895067,2.005364,-0.005711,0.000004,0.010671
0.020000,0.934884,-0.269483,0.935172,2.005250,-0.005711,0.000005,0.011053
0.020000,0.974985,-0.269032,0.975274,2.005136,-0.005711,0.000005,0.011426
0.020000,1.015082,-0.268567,1.015375,2.005022,-0.005711,0.000006,0.011792
0.020000,1.055178,-0.268087,1.055473,2.004907,-0.005711,0.000006,0.012149
0.020000,1.095270,-0.267593,1.095569,2.004793,-0.005711,0.000007,0.012497
0.020000,1.135361,-0.267085,1.135662,2.004679,-0.005711,0.000007,0.012837
0.020000,1.175449,-0.266564,1.175754,2.004565,-0.005711,0.000007,0.013169
0.020000,1.215534,-0.266029,1.215843,2.004451,-0.005711,-0.000009,0.013493
0.020000,1.255617,-0.265482,1.255930,2.004336,-0.005711,-0.000029,0.013808
0.020000,1.295698,-0.264922,1.296014,2.004222,-0.005710,0.000062,0.014115
0.020000,1.335776,-0.264350,1.336096,2.004108,-0.005710,0.000009,0.014414
0.020000,1.375851,-0.263767,1.376176,2.003994,-0.005710,0.000009,0.014705
0.020000,1.415924,-0.263172,1.416254,2.003880,-0.005710,0.000009,0.014987
0.020000,1.455995,-0.262566,1.456329,2.003765,-0.005709,0.000009,0.015261
0.020000,1.496063,-0.261949,1.496402,2.003651,-0.005709,0.000009,0.015526
0.020000,1.536129,-0.261322,1.536473,2.003537,-0.005709,0.000009,0.015783
0.020000,1.576193,-0.260684,1.576541,2.003423,-0.005709,0.000009,0.016032
