dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000235,0.023529,1.176471,58.823529,6.282124
0.020000,0.000000,0.000000,0.001176,0.070588,2.352941,58.823529,6.282580
0.020000,0.000870,0.000000,0.003294,0.141176,3.529412,58.823529,0.000422
0.020000,0.004634,0.000005,0.007059,0.235294,4.705882,58.823529,0.002256
0.020000,0.010517,0.000027,0.012941,0.352941,5.882353,58.823529,0.005140
0.020000,0.018752,0.000086,0.021176,0.470588,5.882353,0.000000,0.009219
0.020000,0.029339,0.000212,0.031765,0.588235,5.882353,0.000000,0.014535
0.020000,0.042279,0.000442,0.044706,0.705882,5.882353,-0.000000,0.021143
0.020000,0.057568,0.000826,0.060000,0.823529,5.882353,0.000000,0.029112
0.020000,0.075205,0.001423,0.077647,0.941176,5.882353,0.000000,0.038531
0.020000,0.095185,0.002302,0.097647,1.058824,5.882353,0.000000,0.049502
0.020000,0.117503,0.003549,0.120000,1.176471,5.882353,0.000000,0.062151
0.020000,0.142149,0.005261,0.144706,1.294118,5.882353,0.000000,0.076626
0.020000,0.169111,0.007553,0.171765,1.411765,5.882353,-0.000000,0.093101
0.020000,0.198368,0.010558,0.201176,1.529412,5.882353,0.000000,0.111781
0.020000,0.229895,0.014432,0.232941,1.647059,5.882353,-0.000000,0.132902
0.020000,0.263655,0.019352,0.267059,1.764706,5.882353,0.000000,0.156738
0.020000,0.299367,0.025481,0.303294,1.858824,4.705882,-58.823529,0.183426
0.020000,0.336508,0.032934,0.341176,1.929412,3.529412,-58.823529,0.212913
0.020000,0.374547,0.041794,0.380235,1.976471,2.352941,-58.823529,0.245091
0.020000,0.412950,0.052103,0.420000,2.000000,1.176471,-58.823529,0.279770
0.020000,0.451184,0.063849,0.460000,2.000000,0.000000,-58.823529,0.316666
0.020000,0.488945,0.077035,0.500000,2.000000,0.000000,0.000000,0.355606
0.020000,0.526150,0.091720,0.540000,2.000000,0.000000,0.000000,0.396584
0.020000,0.562704,0.107952,0.580000,2.000000,0.000000,0.000000,0.439550
0.020000,0.598511,0.125774,0.620000,2.000000,0.000000,0.000000,0.484402
0.020000,0.633465,0.145214,0.660000,2.000000,0.000000,0.000000,0.530981
0.020000,0.667460,0.166286,0.700000,2.000000,0.000000,0.000000,0.579066
0.020000,0.700388,0.188990,0.740000,2.000000,0.000000,0.000000,0.628377
0.020000,0.732145,0.213303,0.780000,2.000000,0.000000,0.000000,0.678579
0.020000,0.762634,0.239189,0.820000,2.000000,0.000000,0.000000,0.729296
0.020000,0.791769,0.266589,0.860000,2.000000,0.000000,0.000000,0.780124
0.020000,0.819479,0.295431,0.900000,2.000000,0.000000,0.000000,0.830656
0.020000,0.845705,0.325628,0.940000,2.000000,0.000000,0.000000,0.880497
0.020000,0.870410,0.357082,0.980000,2.000000,0.000000,0.000000,0.929286
0.020000,0.893574,0.389688,1.020000,2.000000,0.000000,0.000000,0.976707
0.020000,0.915192,0.423338,1.060000,2.000000,0.000000,0.000000,1.022504
0.020000,0.935279,0.457925,1.100000,2.000000,0.000000,0.000000,1.066480
0.020000,0.953860,0.493344,1.140000,2.000000,0.000000,0.000000,1.108499
0.020000,0.970973,0.529495,1.180000,2.000000,0.000000,0.000000,1.148482
0.020000,0.986666,0.566286,1.220000,2.000000,0.000000,0.000000,1.186396
0.020000,1.000992,0.603630,1.260000,2.000000,0.000000,0.000000,1.222252
0.020000,1.014009,0.641451,1.300000,2.000000,0.000000,0.000000,1.256089
0.020000,1.025776,0.679679,1.340000,2.000000,0.000000,0.000000,1.287972
0.020000,1.036354,0.718254,1.380000,2.000000,0.000000,0.000000,1.317983
0.020000,1.045806,0.757119,1.420000,2.000000,0.000000,0.000000,1.346213
0.020000,1.054181,0.796185,1.459954,1.995411,-0.229433,-11.471642,1.372732
0.020000,1.061492,0.835130,1.499581,1.967293,-1.405903,-58.823529,1.397474
