dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000292,-0.275000,0.000235,0.023529,1.176471,58.823529,6.282124
0.020000,-0.000166,-0.275000,0.000361,0.006268,-0.863048,-101.975954,6.282580
0.020000,0.000986,-0.275000,0.001513,0.057628,2.567994,171.552143,0.000422
0.020000,0.005255,-0.274994,0.005782,0.213432,7.790175,261.109047,0.002256
0.020000,0.011931,-0.274969,0.012458,0.333793,6.018040,-88.606741,0.005140
0.020000,0.021287,-0.274902,0.021815,0.467848,6.702760,34.235967,0.009219
0.020000,0.033336,-0.274759,0.033865,0.602500,6.732611,1.492559,0.014535
0.020000,0.048092,-0.274496,0.048623,0.737918,6.770915,1.915180,0.021143
0.020000,0.065573,-0.274057,0.066109,0.874276,6.817872,2.347883,0.029112
0.020000,0.085798,-0.273373,0.086346,1.011858,6.879127,3.062738,0.038531
0.020000,0.108793,-0.272361,0.109363,1.150846,6.949396,3.513437,0.049502
0.020000,0.134584,-0.270920,0.135194,1.291551,7.035256,4.293009,0.062151
0.020000,0.163201,-0.268932,0.163880,1.434310,7.137930,5.133695,0.076626
0.020000,0.194677,-0.266256,0.195469,1.579470,7.257999,6.003477,0.093101
0.020000,0.229044,-0.262725,0.230018,1.727412,7.397126,6.956357,0.111781
0.020000,0.266336,-0.258143,0.267590,1.878613,7.560046,8.145956,0.132902
0.020000,0.306582,-0.252277,0.308261,2.033585,7.748574,9.426414,0.156738
0.020000,0.349527,-0.244906,0.351834,2.178648,7.253158,-24.770809,0.183426
0.020000,0.394618,-0.235857,0.397824,2.299485,6.041841,-60.565839,0.212913
0.020000,0.441274,-0.224988,0.445730,2.395280,4.789763,-62.603910,0.245091
0.020000,0.488887,-0.212204,0.495029,2.464950,3.483514,-65.312446,0.279770
0.020000,0.536819,-0.197478,0.545172,2.507174,2.111190,-68.616197,0.316666
0.020000,0.584689,-0.180760,0.595877,2.535262,1.404397,-35.339631,0.355606
0.020000,0.632374,-0.161937,0.647143,2.563265,1.400156,-0.212066,0.396584
0.020000,0.679726,-0.140907,0.698954,2.590585,1.366009,-1.707340,0.439550
0.020000,0.726573,-0.117588,0.751284,2.616495,1.295497,-3.525621,0.484402
