dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000058,0.275000,0.000235,0.023529,1.176471,58.823529,6.282975
0.020000,0.000034,0.275000,0.000259,0.001210,-1.115986,-114.622852,6.283063
0.020000,0.000790,0.275000,0.001016,0.037822,1.830630,147.330813,0.000076
0.020000,0.004458,0.275001,0.004684,0.183421,7.279939,272.465453,0.000426
0.020000,0.010191,0.275005,0.010417,0.286637,5.160783,-105.957785,0.000970
0.020000,0.018219,0.275016,0.018445,0.401376,5.736966,28.809157,0.001725
0.020000,0.028543,0.275039,0.028769,0.516200,5.741199,0.211634,0.002686
0.020000,0.041165,0.275080,0.041391,0.631133,5.746645,0.272282,0.003844
0.020000,0.056089,0.275147,0.056315,0.746199,5.753303,0.332936,0.005190
0.020000,0.073317,0.275250,0.073544,0.861422,5.761175,0.393570,0.006713
0.020000,0.092853,0.275397,0.093080,0.976828,5.770263,0.454387,0.008398
0.020000,0.114701,0.275601,0.114929,1.092439,5.780566,0.515184,0.010231
0.020000,0.138865,0.275872,0.139095,1.208281,5.792086,0.575996,0.012196
0.020000,0.165350,0.276223,0.165582,1.324377,5.804822,0.636793,0.014273
0.020000,0.194162,0.276666,0.194397,1.440753,5.818773,0.697538,0.016443
0.020000,0.225306,0.277213,0.225546,1.557431,5.833934,0.758072,0.018683
0.020000,0.258788,0.277877,0.259035,1.674438,5.850309,0.818766,0.020970
0.020000,0.294384,0.278665,0.294639,1.780229,5.289582,-28.036359,0.023264
0.020000,0.331637,0.279574,0.331903,1.863198,4.148451,-57.056585,0.025512
0.020000,0.370088,0.280598,0.370368,1.923255,3.002834,-57.280827,0.027671
0.020000,0.409278,0.281723,0.409574,1.960300,1.852233,-57.530032,0.029703
0.020000,0.448744,0.282933,0.449059,1.974226,0.696340,-57.794668,0.031577
0.020000,0.488254,0.284215,0.488590,1.976560,0.116676,-28.983225,0.033282
0.020000,0.527809,0.285563,0.528168,1.978893,0.116635,-0.002036,0.034817
0.020000,0.567409,0.286970,0.567792,1.981224,0.116594,-0.002067,0.036183
0.020000,0.607053,0.288429,0.607463,1.983555,0.116553,-0.002025,0.037378
0.020000,0.646742,0.289935,0.647181,1.985886,0.116515,-0.001918,0.038405
0.020000,0.686477,0.291479,0.686945,1.988215,0.116480,-0.001755,0.039262
0.020000,0.726256,0.293056,0.726756,1.990544,0.116449,-0.001543,0.039950
0.020000,0.766081,0.294659,0.766614,1.992873,0.116423,-0.001298,0.040468
0.020000,0.805952,0.296280,0.806518,1.995201,0.116403,-0.001007,0.040817
0.020000,0.845870,0.297915,0.846468,1.997529,0.116389,-0.000667,0.040997
0.020000,0.885833,0.299555,0.886466,1.999856,0.116382,-0.000370,0.041007
0.020000,0.925843,0.301194,0.926509,2.002184,0.116381,-0.000036,0.040848
0.020000,0.965900,0.302825,0.966599,2.004512,0.116387,0.000298,0.040520
0.020000,1.006004,0.304442,1.006736,2.006840,0.116400,0.000626,0.040023
0.020000,1.046156,0.306037,1.046920,2.009168,0.116418,0.000938,0.039356
0.020000,1.086356,0.307603,1.087150,2.011497,0.116443,0.001226,0.038520
0.020000,1.126603,0.309135,1.127426,2.013826,0.116473,0.001484,0.037514
0.020000,1.166899,0.310624,1.167749,2.016156,0.116507,0.001713,0.036339
0.020000,1.207243,0.312064,1.208119,2.018487,0.116545,0.001932,0.034995
0.020000,1.247635,0.313448,1.248535,2.020819,0.116584,0.001929,0.033481
0.020000,1.288077,0.314769,1.288998,2.023152,0.116625,0.002037,0.031797
0.020000,1.328567,0.316020,1.329508,2.025485,0.116665,0.002017,0.029944
0.020000,1.369107,0.317194,1.370064,2.027819,0.116703,0.001917,0.027920
0.020000,1.409695,0.318283,1.410667,2.030154,0.116738,0.001730,0.025727
0.020000,1.450333,0.319282,1.451317,2.032489,0.116767,0.001446,0.023364
0.020000,1.491019,0.320181,1.492014,2.034825,0.116788,0.001059,0.020832
0.020000,1.531755,0.320976,1.532757,2.037161,0.116799,0.000559,0.018129
0.020000,1.572539,0.321657,1.573547,2.039497,0.116799,-0.000034,0.015256
0.020000,1.613372,0.322218,1.614384,2.041832,0.116782,-0.000838,0.012214
0.020000,1.654253,0.322653,1.655267,2.044167,0.116747,-0.001738,0.009002
0.020000,1.695182,0.322952,1.696197,2.046501,0.116692,-0.002737,0.005620
0.020000,1.736158,0.323111,1.737174,2.048833,0.116614,-0.003920,0.002068
0.020000,1.777181,0.323120,1.778197,2.051164,0.116509,-0.005262,6.281532
0.020000,1.818251,0.322972,1.819267,2.053491,0.116373,-0.006772,6.277642
0.020000,1.859366,0.322662,1.860383,2.055815,0.116204,-0.008455,6.273583
0.020000,1.900526,0.322180,1.901546,2.058135,0.115998,-0.010319,6.269355
0.020000,1.941729,0.321520,1.942755,2.060450,0.115750,-0.012404,6.264958
0.020000,1.982976,0.320674,1.984010,2.062759,0.115453,-0.014832,6.260394
0.020000,2.024264,0.319636,2.025311,2.065061,0.115115,-0.016909,6.255662
0.020000,2.065593,0.318398,2.066658,2.067356,0.114721,-0.019708,6.250763
0.020000,2.106762,0.316959,2.107853,2.059723,-0.381623,-24.817164,6.245723
0.020000,2.147328,0.315335,2.148451,2.029926,-1.489885,-55.413120,6.240601
0.020000,2.186800,0.313552,2.187963,1.975600,-2.716285,-61.320009,6.235469
0.020000,2.224685,0.311647,2.225896,1.896651,-3.947475,-61.559510,6.230408
0.020000,2.260490,0.309668,2.261756,1.792989,-5.183054,-61.778941,6.225504
0.020000,2.293920,0.307659,2.295246,1.674510,-5.923969,-37.045753,6.220819
0.020000,2.324924,0.305654,2.326315,1.553437,-6.053669,-6.484975,6.216383
0.020000,2.353497,0.303683,2.354956,1.432065,-6.068569,-0.744993,6.212218
0.020000,2.379636,0.301774,2.381165,1.310422,-6.082186,-0.680894,6.208344
0.020000,2.403337,0.299955,2.404935,1.188531,-6.094540,-0.617667,6.204778
0.020000,2.424597,0.298250,2.426264,1.066418,-6.105616,-0.553829,6.201538
0.020000,2.443414,0.296683,2.445146,0.944109,-6.115472,-0.492800,6.198636
0.020000,2.459786,0.295274,2.461578,0.821627,-6.124120,-0.432382,6.196086
0.020000,2.473712,0.294043,2.475558,0.698993,-6.131661,-0.377038,6.193898
0.020000,2.485190,0.293005,2.487083,0.576235,-6.137912,-0.312571,6.192083
0.020000,2.494219,0.292173,2.496150,0.453373,-6.143105,-0.259654,6.190646
0.020000,2.500799,0.291559,2.502759,0.330430,-6.147168,-0.203125,6.189595
0.020000,2.505129,0.291151,2.507108,0.217447,-5.649154,24.900677,6.188901
0.020000,2.507652,0.290912,2.509643,0.126754,-4.534652,55.725106,6.188496
0.020000,2.508860,0.290797,2.510856,0.060656,-3.304857,61.489753,6.188302
0.020000,2.509242,0.290761,2.511239,0.019166,-2.074526,61.516550,6.188241
0.020000,2.509287,0.290757,2.511285,0.002286,-0.843971,61.527751,6.188234
0.020000,2.509287,0.290757,2.511285,0.000000,-0.114324,36.482346,6.188234
