dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000058,-0.275000,0.000235,0.023529,1.176471,58.823529,6.282975
0.020000,-0.000034,-0.275000,0.000259,0.001210,-1.115986,-114.622852,6.283063
0.020000,0.000832,-0.275000,0.001125,0.043256,2.102337,160.916164,0.000076
0.020000,0.004693,-0.274999,0.004986,0.193050,7.489655,269.365886,0.000426
0.020000,0.010725,-0.274995,0.011018,0.301599,5.427453,-103.110084,0.000970
0.020000,0.019168,-0.274983,0.019461,0.422153,6.027739,30.014315,0.001725
0.020000,0.030020,-0.274959,0.030313,0.542623,6.023505,-0.211732,0.002686
0.020000,0.043280,-0.274916,0.043573,0.662985,6.018060,-0.272252,0.003844
0.020000,0.058944,-0.274845,0.059237,0.783213,6.011402,-0.332897,0.005190
0.020000,0.077009,-0.274738,0.077303,0.903283,6.003528,-0.393689,0.006713
0.020000,0.097472,-0.274583,0.097766,1.023172,5.994440,-0.454398,0.008398
0.020000,0.120328,-0.274370,0.120623,1.142855,5.984136,-0.515200,0.010231
0.020000,0.145573,-0.274087,0.145869,1.262307,5.972616,-0.576008,0.012196
0.020000,0.173200,-0.273721,0.173499,1.381505,5.959880,-0.636790,0.014273
0.020000,0.203205,-0.273260,0.203508,1.500423,5.945930,-0.697511,0.016443
0.020000,0.235581,-0.272691,0.235889,1.619039,5.930764,-0.758262,0.018683
0.020000,0.270321,-0.272002,0.270635,1.737326,5.914393,-0.818581,0.020970
0.020000,0.307178,-0.271186,0.307501,1.843299,5.298654,-30.786950,0.023264
0.020000,0.345667,-0.270247,0.346002,1.925036,4.086839,-60.590717,0.025512
0.020000,0.385305,-0.269192,0.385655,1.982627,2.879525,-60.365708,0.027671
0.020000,0.425612,-0.268035,0.425978,2.016170,1.677180,-60.117278,0.029703
0.020000,0.466109,-0.266793,0.466493,2.025773,0.480135,-59.852263,0.031577
0.020000,0.506556,-0.265480,0.506962,2.023440,-0.116670,-29.840224,0.033282
0.020000,0.546955,-0.264104,0.547384,2.021107,-0.116630,0.002011,0.034817
0.020000,0.587305,-0.262670,0.587760,2.018775,-0.116589,0.002040,0.036183
0.020000,0.627606,-0.261186,0.628089,2.016444,-0.116549,0.001997,0.037378
0.020000,0.667860,-0.259660,0.668371,2.014114,-0.116511,0.001889,0.038405
0.020000,0.708065,-0.258097,0.708607,2.011785,-0.116477,0.001724,0.039262
0.020000,0.748223,-0.256505,0.748796,2.009456,-0.116447,0.001512,0.039950
0.020000,0.788333,-0.254891,0.788938,2.007127,-0.116421,0.001252,0.040468
0.020000,0.828396,-0.253261,0.829034,2.004799,-0.116402,0.000973,0.040817
0.020000,0.868412,-0.251623,0.869084,2.002471,-0.116388,0.000694,0.040997
0.020000,0.908381,-0.249983,0.909087,2.000144,-0.116381,0.000340,0.041007
0.020000,0.948304,-0.248347,0.949043,1.997816,-0.116381,0.000005,0.040848
0.020000,0.988180,-0.246724,0.988953,1.995488,-0.116388,-0.000329,0.040520
0.020000,1.028011,-0.245118,1.028816,1.993160,-0.116401,-0.000657,0.040023
0.020000,1.067796,-0.243538,1.068633,1.990832,-0.116420,-0.000968,0.039356
0.020000,1.107536,-0.241989,1.108403,1.988503,-0.116445,-0.001256,0.038520
0.020000,1.147231,-0.240478,1.148126,1.986174,-0.116476,-0.001513,0.037514
0.020000,1.186881,-0.239013,1.187803,1.983843,-0.116510,-0.001719,0.036339
0.020000,1.226486,-0.237599,1.227433,1.981512,-0.116547,-0.001841,0.034995
0.020000,1.266046,-0.236244,1.267017,1.979181,-0.116588,-0.002072,0.033481
0.020000,1.305562,-0.234953,1.306554,1.976848,-0.116630,-0.002067,0.031797
0.020000,1.345034,-0.233734,1.346044,1.974515,-0.116671,-0.002046,0.029944
0.020000,1.384461,-0.232592,1.385488,1.972180,-0.116709,-0.001945,0.027920
0.020000,1.423843,-0.231535,1.424885,1.969846,-0.116745,-0.001755,0.025727
0.020000,1.463182,-0.230568,1.464235,1.967510,-0.116774,-0.001469,0.023364
0.020000,1.502476,-0.229699,1.503538,1.965174,-0.116795,-0.001078,0.020832
0.020000,1.541725,-0.228934,1.542795,1.962838,-0.116807,-0.000574,0.018129
0.020000,1.580930,-0.228279,1.582005,1.960502,-0.116805,0.000077,0.015256
0.020000,1.620089,-0.227741,1.621168,1.958166,-0.116790,0.000777,0.012214
0.020000,1.659204,-0.227325,1.660285,1.955831,-0.116757,0.001655,0.009002
0.020000,1.698272,-0.227039,1.699355,1.953497,-0.116702,0.002720,0.005620
0.020000,1.737295,-0.226888,1.738378,1.951164,-0.116624,0.003907,0.002068
0.020000,1.776272,-0.226880,1.777355,1.948834,-0.116519,0.005254,6.281532
0.020000,1.815202,-0.227019,1.816285,1.946506,-0.116384,0.006769,6.277642
0.020000,1.854085,-0.227313,1.855169,1.944182,-0.116215,0.008457,6.273583
0.020000,1.892919,-0.227768,1.894006,1.941862,-0.116008,0.010325,6.269355
0.020000,1.931705,-0.228389,1.932797,1.939547,-0.115761,0.012349,6.264958
0.020000,1.970442,-0.229183,1.971542,1.937237,-0.115473,0.014423,6.260394
0.020000,2.009128,-0.230156,2.010240,1.934935,-0.115129,0.017210,6.255662
0.020000,2.047764,-0.231313,2.048893,1.932640,-0.114734,0.019708,6.250763
0.020000,2.086162,-0.232655,2.087315,1.921114,-0.576277,-23.077127,6.245723
0.020000,2.123914,-0.234166,2.125097,1.889067,-1.602357,-51.303993,6.240601
0.020000,2.160566,-0.235822,2.161786,1.834489,-2.728933,-56.328825,6.235469
0.020000,2.195671,-0.237587,2.196936,1.757476,-3.850610,-56.083847,6.230408
0.020000,2.228783,-0.239417,2.230098,1.658116,-4.968006,-55.869774,6.225504
0.020000,2.259641,-0.241271,2.261012,1.545673,-5.622149,-32.707190,6.220819
0.020000,2.288210,-0.243119,2.289641,1.431453,-5.711006,-4.442816,6.216383
0.020000,2.314498,-0.244932,2.315991,1.317531,-5.696106,0.744970,6.212218
0.020000,2.338512,-0.246686,2.340069,1.203881,-5.682502,0.680217,6.208344
0.020000,2.360257,-0.248355,2.361879,1.090478,-5.670174,0.616424,6.204778
0.020000,2.379741,-0.249918,2.381425,0.977296,-5.659070,0.555172,6.201538
0.020000,2.396967,-0.251353,2.398711,0.864312,-5.649201,0.493460,6.198636
0.020000,2.411942,-0.252641,2.413741,0.751501,-5.640534,0.433370,6.196086
0.020000,2.424669,-0.253766,2.426518,0.638839,-5.633118,0.370796,6.193898
0.020000,2.435153,-0.254714,2.437044,0.526304,-5.626745,0.318613,6.192083
0.020000,2.443395,-0.255473,2.445321,0.413872,-5.621590,0.257751,6.190646
0.020000,2.449400,-0.256034,2.451352,0.301521,-5.617554,0.201838,6.189595
0.020000,2.453349,-0.256406,2.455319,0.198368,-5.157663,22.994548,6.188901
0.020000,2.455651,-0.256624,2.457631,0.115612,-4.137787,50.993763,6.188496
0.020000,2.456753,-0.256729,2.458738,0.055320,-3.014631,56.157805,6.188302
0.020000,2.457101,-0.256762,2.459087,0.017479,-1.892039,56.129622,6.188241
0.020000,2.457142,-0.256766,2.459129,0.002085,-0.769687,56.117615,6.188234
0.020000,2.457142,-0.256766,2.459129,0.000000,-0.104260,33.271312,6.188234
