dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.348660,1.358094,0.000235,0.023529,1.176471,58.823529,3.168049
0.020000,7.348696,1.358095,0.000272,0.001820,-1.085465,-113.096764,3.168181
0.020000,7.348778,1.358097,0.000354,0.004093,0.113663,59.956382,3.168479
0.020000,7.347864,1.358072,0.001268,0.045741,2.082389,98.436283,3.169007
0.020000,7.342210,1.357915,0.006924,0.282773,11.851577,488.459413,3.169833
0.020000,7.334295,1.357687,0.014842,0.395916,5.657157,-309.720998,3.170985
0.020000,7.324118,1.357380,0.025024,0.509086,5.658525,0.068403,3.172463
0.020000,7.311679,1.356984,0.037470,0.622302,5.660792,0.113345,3.174264
0.020000,7.296976,1.356488,0.052181,0.735563,5.663064,0.113612,3.176383
0.020000,7.280009,1.355877,0.069159,0.848894,5.666548,0.174185,3.178817
0.020000,7.260777,1.355134,0.088405,0.962294,5.669967,0.170957,3.181559
0.020000,7.239280,1.354242,0.109920,1.075768,5.673701,0.186678,3.184604
0.020000,7.215517,1.353179,0.133707,1.189343,5.678761,0.253009,3.187946
0.020000,7.189487,1.351925,0.159768,1.303017,5.683697,0.246829,3.191577
0.020000,7.161189,1.350453,0.188104,1.416805,5.689388,0.284521,3.195489
0.020000,7.130623,1.348740,0.218718,1.530717,5.695637,0.312483,3.199672
0.020000,7.097787,1.346758,0.251613,1.644774,5.702839,0.360081,3.204116
0.020000,7.062908,1.344492,0.286566,1.747625,5.142543,-28.014805,3.208780
0.020000,7.026439,1.341950,0.323124,1.827911,4.014273,-56.413504,3.213595
0.020000,6.988831,1.339144,0.360836,1.885600,2.884496,-56.488826,3.218493
0.020000,6.950539,1.336099,0.399249,1.920642,1.752089,-56.620373,3.223408
0.020000,6.912016,1.332845,0.437909,1.933000,0.617905,-56.709172,3.228281
0.020000,6.873489,1.329404,0.476589,1.934008,0.050406,-28.374966,3.233080
0.020000,6.834959,1.325777,0.515290,1.935021,0.050628,0.011120,3.237806
0.020000,6.796426,1.321967,0.554010,1.936042,0.051035,0.020315,3.242457
0.020000,6.757891,1.317978,0.592752,1.937072,0.051521,0.024292,3.247034
0.020000,6.719353,1.313811,0.631514,1.938108,0.051799,0.013910,3.251535
0.020000,6.680814,1.309470,0.670297,1.939150,0.052075,0.013803,3.255960
0.020000,6.642273,1.304958,0.709101,1.940198,0.052396,0.016048,3.260309
0.020000,6.603731,1.300277,0.747926,1.941253,0.052766,0.018496,3.264582
0.020000,6.565189,1.295430,0.786772,1.942311,0.052918,0.007615,3.268777
0.020000,6.526646,1.290421,0.825640,1.943375,0.053167,0.012450,3.272895
0.020000,6.488102,1.285251,0.864529,1.944443,0.053424,0.012872,3.276936
0.020000,6.449558,1.279924,0.903439,1.945516,0.053627,0.010109,3.280898
0.020000,6.411014,1.274443,0.942371,1.946591,0.053777,0.007502,3.284782
0.020000,6.372470,1.268811,0.981324,1.947670,0.053952,0.008766,3.288588
0.020000,6.333926,1.263030,1.020299,1.948753,0.054130,0.008917,3.292315
0.020000,6.295382,1.257104,1.059296,1.949838,0.054244,0.005686,3.295963
0.020000,6.256838,1.251036,1.098314,1.950925,0.054364,0.005984,3.299532
0.020000,6.218295,1.244828,1.137355,1.952014,0.054478,0.005695,3.303022
0.020000,6.179751,1.238483,1.176417,1.953106,0.054573,0.004776,3.306432
0.020000,6.141208,1.232006,1.215501,1.954199,0.054651,0.003880,3.309763
0.020000,6.102664,1.225397,1.254607,1.955293,0.054726,0.003778,3.313014
0.020000,6.064121,1.218661,1.293734,1.956389,0.054783,0.002826,3.316186
0.020000,6.025577,1.211801,1.332884,1.957486,0.054822,0.001960,3.319278
0.020000,5.987032,1.204819,1.372056,1.958583,0.054876,0.002680,3.322290
0.020000,5.948487,1.197718,1.411249,1.959681,0.054909,0.001691,3.325222
0.020000,5.909941,1.190502,1.450465,1.960779,0.054909,-0.000022,3.328075
0.020000,5.871394,1.183174,1.489703,1.961878,0.054931,0.001102,3.330847
0.020000,5.832846,1.175736,1.528962,1.962977,0.054953,0.001086,3.333540
0.020000,5.794295,1.168192,1.568244,1.964076,0.054955,0.000117,3.336152
0.020000,5.755743,1.160544,1.607547,1.965174,0.054902,-0.002672,3.338685
0.020000,5.717189,1.152796,1.646873,1.966273,0.054935,0.001670,3.341138
0.020000,5.678631,1.144950,1.686220,1.967371,0.054921,-0.000688,3.343511
0.020000,5.640071,1.137010,1.725589,1.968469,0.054883,-0.001906,3.345804
0.020000,5.601507,1.128979,1.764981,1.969566,0.054838,-0.002244,3.348017
0.020000,5.562939,1.120859,1.804394,1.970663,0.054847,0.000445,3.350151
0.020000,5.524367,1.112654,1.843829,1.971759,0.054816,-0.001549,3.352205
0.020000,5.485790,1.104367,1.883286,1.972854,0.054741,-0.003761,3.354179
0.020000,5.447208,1.096001,1.922765,1.973948,0.054729,-0.000603,3.356073
0.020000,5.408620,1.087558,1.962266,1.975043,0.054708,-0.001058,3.357889
0.020000,5.370025,1.079042,2.001789,1.976136,0.054661,-0.002333,3.359624
0.020000,5.331424,1.070456,2.041333,1.977227,0.054578,-0.004165,3.361280
0.020000,5.292816,1.061803,2.080900,1.978319,0.054587,0.000468,3.362857
0.020000,5.254199,1.053085,2.120488,1.979410,0.054545,-0.002103,3.364355
0.020000,5.215574,1.044307,2.160098,1.980500,0.054473,-0.003580,3.365773
0.020000,5.176940,1.035470,2.199730,1.981588,0.054440,-0.001653,3.367112
0.020000,5.138296,1.026579,2.239383,1.982677,0.054423,-0.000889,3.368372
0.020000,5.099642,1.017635,2.279059,1.983764,0.054381,-0.002101,3.369552
0.020000,5.060977,1.008642,2.318756,1.984850,0.054299,-0.004058,3.370654
0.020000,5.022300,0.999604,2.358474,1.985937,0.054308,0.000451,3.371677
0.020000,4.983612,0.990522,2.398215,1.987022,0.054272,-0.001844,3.372621
0.020000,4.944910,0.981400,2.437977,1.988106,0.054218,-0.002681,3.373486
0.020000,4.906195,0.972242,2.477761,1.989190,0.054190,-0.001388,3.374272
0.020000,4.867465,0.963049,2.517566,1.990274,0.054178,-0.000610,3.374979
0.020000,4.828721,0.953826,2.557393,1.991357,0.054149,-0.001467,3.375608
