dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.341385,1.632998,0.000235,0.023529,1.176471,58.823529,3.168049
0.020000,7.341385,1.632998,0.001176,0.070588,2.352941,58.823529,3.168181
0.020000,7.341385,1.632998,0.003294,0.141176,3.529412,58.823529,3.168479
0.020000,7.340326,1.632969,0.007059,0.235294,4.705882,58.823529,3.169007
0.020000,7.334445,1.632805,0.012941,0.352941,5.882353,58.823529,3.169833
0.020000,7.326214,1.632568,0.021176,0.470588,5.882353,0.000000,3.170985
0.020000,7.315630,1.632249,0.031765,0.588235,5.882353,0.000000,3.172463
0.020000,7.302696,1.631838,0.044706,0.705882,5.882353,-0.000000,3.174264
0.020000,7.287410,1.631322,0.060000,0.823529,5.882353,0.000000,3.176383
0.020000,7.269775,1.630687,0.077647,0.941176,5.882353,0.000000,3.178817
0.020000,7.249789,1.629915,0.097647,1.058824,5.882353,0.000000,3.181559
0.020000,7.227456,1.628988,0.120000,1.176471,5.882353,0.000000,3.184604
0.020000,7.202775,1.627884,0.144706,1.294118,5.882353,0.000000,3.187946
0.020000,7.175747,1.626581,0.171765,1.411765,5.882353,-0.000000,3.191577
0.020000,7.146375,1.625054,0.201176,1.529412,5.882353,0.000000,3.195489
0.020000,7.114660,1.623276,0.232941,1.647059,5.882353,-0.000000,3.199672
0.020000,7.080605,1.621220,0.267059,1.764706,5.882353,0.000000,3.204116
0.020000,7.044445,1.618872,0.303294,1.858824,4.705882,-58.823529,3.208780
0.020000,7.006655,1.616237,0.341176,1.929412,3.529412,-58.823529,3.213595
0.020000,6.967704,1.613332,0.380235,1.976471,2.352941,-58.823529,3.218493
0.020000,6.928065,1.610179,0.420000,2.000000,1.176471,-58.823529,3.223408
0.020000,6.888207,1.606813,0.460000,2.000000,0.000000,-58.823529,3.228281
0.020000,6.848365,1.603254,0.500000,2.000000,0.000000,0.000000,3.233080
0.020000,6.808542,1.599505,0.540000,2.000000,0.000000,0.000000,3.237806
0.020000,6.768736,1.595569,0.580000,2.000000,0.000000,0.000000,3.242457
0.020000,6.728948,1.591450,0.620000,2.000000,0.000000,0.000000,3.247034
0.020000,6.689180,1.587151,0.660000,2.000000,0.000000,0.000000,3.251535
0.020000,6.649432,1.582674,0.700000,2.000000,0.000000,0.000000,3.255960
0.020000,6.609703,1.578022,0.740000,2.000000,0.000000,0.000000,3.260309
0.020000,6.569995,1.573200,0.780000,2.000000,0.000000,0.000000,3.264582
0.020000,6.530307,1.568209,0.820000,2.000000,0.000000,0.000000,3.268777
0.020000,6.490641,1.563054,0.860000,2.000000,0.000000,0.000000,3.272895
0.020000,6.450996,1.557736,0.900000,2.000000,0.000000,0.000000,3.276936
0.020000,6.411373,1.552260,0.940000,2.000000,0.000000,0.000000,3.280898
0.020000,6.371771,1.546629,0.980000,2.000000,0.000000,0.000000,3.284782
0.020000,6.332191,1.540845,1.020000,2.000000,0.000000,0.000000,3.288588
0.020000,6.292634,1.534913,1.060000,2.000000,0.000000,0.000000,3.292315
0.020000,6.253098,1.528834,1.100000,2.000000,0.000000,0.000000,3.295963
0.020000,6.213585,1.522613,1.140000,2.000000,0.000000,0.000000,3.299532
0.020000,6.174094,1.516253,1.180000,2.000000,0.000000,0.000000,3.303022
0.020000,6.134625,1.509756,1.220000,2.000000,0.000000,0.000000,3.306432
0.020000,6.095179,1.503126,1.260000,2.000000,0.000000,0.000000,3.309763
0.020000,6.055754,1.496367,1.300000,2.000000,0.000000,0.000000,3.313014
0.020000,6.016351,1.489480,1.340000,2.000000,0.000000,0.000000,3.316186
0.020000,5.976970,1.482471,1.380000,2.000000,0.000000,0.000000,3.319278
0.020000,5.937611,1.475341,1.420000,2.000000,0.000000,0.000000,3.322290
0.020000,5.898272,1.468095,1.460000,2.000000,0.000000,0.000000,3.325222
0.020000,5.858955,1.460735,1.500000,2.000000,0.000000,0.000000,3.328075
0.020000,5.819659,1.453264,1.540000,2.000000,0.000000,0.000000,3.330847
0.020000,5.780384,1.445685,1.580000,2.000000,0.000000,0.000000,3.333540
0.020000,5.741128,1.438003,1.620000,2.000000,0.000000,0.000000,3.336152
0.020000,5.701893,1.430220,1.660000,2.000000,0.000000,0.000000,3.338685
0.020000,5.662677,1.422339,1.700000,2.000000,0.000000,0.000000,3.341138
0.020000,5.623480,1.414363,1.740000,2.000000,0.000000,0.000000,3.343511
0.020000,5.584302,1.406296,1.780000,2.000000,0.000000,0.000000,3.345804
0.020000,5.545143,1.398140,1.820000,2.000000,0.000000,0.000000,3.348017
0.020000,5.506001,1.389900,1.860000,2.000000,0.000000,0.000000,3.350151
0.020000,5.466876,1.381578,1.900000,2.000000,0.000000,0.000000,3.352205
0.020000,5.427768,1.373176,1.940000,2.000000,0.000000,0.000000,3.354179
0.020000,5.388677,1.364699,1.980000,2.000000,0.000000,0.000000,3.356073
0.020000,5.349601,1.356150,2.020000,2.000000,0.000000,0.000000,3.357889
0.020000,5.310541,1.347531,2.060000,2.000000,0.000000,0.000000,3.359624
0.020000,5.271495,1.338847,2.100000,2.000000,0.000000,0.000000,3.361280
0.020000,5.232463,1.330099,2.140000,2.000000,0.000000,0.000000,3.362857
0.020000,5.193445,1.321291,2.180000,2.000000,0.000000,0.000000,3.364355
0.020000,5.154440,1.312426,2.220000,2.000000,0.000000,0.000000,3.365773
0.020000,5.115447,1.303507,2.260000,2.000000,0.000000,0.000000,3.367112
0.020000,5.076465,1.294538,2.300000,2.000000,0.000000,0.000000,3.368372
0.020000,5.037495,1.285521,2.340000,2.000000,0.000000,0.000000,3.369552
0.020000,4.998535,1.276459,2.380000,2.000000,0.000000,0.000000,3.370654
0.020000,4.959584,1.267357,2.420000,2.000000,0.000000,0.000000,3.371677
0.020000,4.920643,1.258216,2.460000,2.000000,0.000000,0.000000,3.372621
0.020000,4.881709,1.249039,2.500000,2.000000,0.000000,0.000000,3.373486
0.020000,4.842784,1.239831,2.540000,2.000000,0.000000,0.000000,3.374272
0.020000,4.803865,1.230594,2.580000,2.000000,0.000000,0.000000,3.374979
0.020000,4.764952,1.221330,2.620000,2.000000,0.000000,0.000000,3.375608
