dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.334111,1.907901,0.000235,0.023529,1.176471,58.823529,3.168049
0.020000,7.334074,1.907901,0.000272,0.001820,-1.085465,-113.096764,3.168181
0.020000,7.333993,1.907898,0.000354,0.004093,0.113663,59.956382,3.168479
0.020000,7.332787,1.907865,0.001559,0.060283,2.809466,134.790147,3.169007
0.020000,7.326681,1.907695,0.007668,0.305462,12.258968,472.475129,3.169833
0.020000,7.318132,1.907449,0.016221,0.427617,6.107766,-307.560148,3.170985
0.020000,7.307142,1.907118,0.027216,0.549736,6.105908,-0.092854,3.172463
0.020000,7.293712,1.906691,0.040652,0.671816,6.104042,-0.093320,3.174264
0.020000,7.277845,1.906155,0.056529,0.793840,6.101182,-0.143019,3.176383
0.020000,7.259540,1.905496,0.074845,0.915812,6.098605,-0.128807,3.178817
0.020000,7.238802,1.904695,0.095599,1.037710,6.094909,-0.184805,3.181559
0.020000,7.215631,1.903733,0.118789,1.159520,6.090473,-0.221809,3.184604
0.020000,7.190032,1.902589,0.144414,1.281247,6.086356,-0.205873,3.187946
0.020000,7.162007,1.901238,0.172472,1.402866,6.080960,-0.269792,3.191577
0.020000,7.131561,1.899655,0.202959,1.524370,6.075197,-0.288150,3.195489
0.020000,7.098697,1.897813,0.235874,1.645746,6.068822,-0.318748,3.199672
0.020000,7.063422,1.895683,0.271214,1.766991,6.062222,-0.329982,3.204116
0.020000,7.025983,1.893251,0.308732,1.875900,5.445458,-30.838208,3.208780
0.020000,6.986871,1.890525,0.347938,1.960317,4.220834,-61.231217,3.213595
0.020000,6.946578,1.887519,0.388344,2.020282,2.998255,-61.128918,3.218493
0.020000,6.905591,1.884259,0.429460,2.055823,1.777044,-61.060578,3.223408
0.020000,6.864397,1.880780,0.470800,2.066993,0.558512,-60.926608,3.228281
0.020000,6.823241,1.877104,0.512120,2.065990,-0.050141,-30.432627,3.233080
0.020000,6.782124,1.873233,0.553419,2.064975,-0.050760,-0.030960,3.237806
0.020000,6.741045,1.869172,0.594699,2.063952,-0.051132,-0.018617,3.242457
0.020000,6.700006,1.864923,0.635957,2.062925,-0.051371,-0.011947,3.247034
0.020000,6.659007,1.860491,0.677195,2.061889,-0.051784,-0.020639,3.251535
0.020000,6.618049,1.855877,0.718412,2.060846,-0.052153,-0.018434,3.255960
0.020000,6.577133,1.851087,0.759608,2.059798,-0.052429,-0.013806,3.260309
0.020000,6.536258,1.846123,0.800783,2.058745,-0.052610,-0.009052,3.264582
0.020000,6.495426,1.840988,0.841936,2.057686,-0.052980,-0.018503,3.268777
0.020000,6.454636,1.835686,0.883069,2.056622,-0.053207,-0.011349,3.272895
0.020000,6.413890,1.830221,0.924180,2.055554,-0.053386,-0.008963,3.276936
0.020000,6.373187,1.824596,0.965269,2.054482,-0.053587,-0.010021,3.280898
0.020000,6.332528,1.818814,1.006338,2.053406,-0.053806,-0.010977,3.284782
0.020000,6.291913,1.812880,1.047384,2.052327,-0.053965,-0.007923,3.288588
0.020000,6.251342,1.806795,1.088409,2.051245,-0.054087,-0.006125,3.292315
0.020000,6.210815,1.800564,1.129412,2.050160,-0.054246,-0.007962,3.295963
0.020000,6.170332,1.794190,1.170394,2.049073,-0.054369,-0.006153,3.299532
0.020000,6.129894,1.787677,1.211353,2.047983,-0.054470,-0.005040,3.303022
0.020000,6.089499,1.781028,1.252291,2.046892,-0.054563,-0.004660,3.306432
0.020000,6.049149,1.774247,1.293207,2.045799,-0.054650,-0.004327,3.309763
0.020000,6.008843,1.767336,1.334101,2.044705,-0.054715,-0.003234,3.313014
0.020000,5.968581,1.760300,1.374973,2.043609,-0.054777,-0.003100,3.316186
0.020000,5.928363,1.753141,1.415824,2.042512,-0.054836,-0.002942,3.319278
0.020000,5.888189,1.745864,1.456652,2.041415,-0.054860,-0.001199,3.322290
0.020000,5.848058,1.738471,1.497458,2.040318,-0.054886,-0.001305,3.325222
0.020000,5.807970,1.730967,1.538243,2.039219,-0.054930,-0.002226,3.328075
0.020000,5.767925,1.723353,1.579005,2.038120,-0.054935,-0.000256,3.330847
0.020000,5.727922,1.715635,1.619746,2.037022,-0.054926,0.000461,3.333540
0.020000,5.687962,1.707815,1.660464,2.035923,-0.054923,0.000130,3.336152
0.020000,5.648043,1.699896,1.701161,2.034824,-0.054966,-0.002140,3.338685
