dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.334719,3.178440,0.000235,0.023529,1.176471,58.823529,0.000058
0.020000,1.334731,3.178440,0.000247,0.000572,-1.147866,-116.216806,0.000016
0.020000,1.336505,3.178440,0.002021,0.088735,4.408121,277.799316,6.283108
0.020000,1.340316,3.178439,0.005832,0.190512,5.088851,34.036485,6.282943
0.020000,1.346269,3.178437,0.011785,0.297654,5.357110,13.412975,6.282685
0.020000,1.354602,3.178431,0.020118,0.416673,5.950972,29.693085,6.282328
0.020000,1.365315,3.178420,0.030831,0.535651,5.948869,-0.105150,6.281875
0.020000,1.378407,3.178399,0.043923,0.654574,5.946164,-0.135242,6.281328
0.020000,1.393875,3.178365,0.059391,0.773431,5.942859,-0.165262,6.280694
0.020000,1.411719,3.178314,0.077236,0.892210,5.938950,-0.195411,6.279977
0.020000,1.431937,3.178241,0.097453,1.010899,5.934440,-0.225497,6.279184
0.020000,1.454527,3.178141,0.120043,1.129485,5.929328,-0.255602,6.278323
0.020000,1.479485,3.178008,0.145002,1.247958,5.923613,-0.285748,6.277402
0.020000,1.506811,3.177837,0.172328,1.366304,5.917296,-0.315874,6.276430
0.020000,1.536500,3.177621,0.202019,1.484511,5.910376,-0.346006,6.275418
0.020000,1.568551,3.177356,0.234070,1.602568,5.902853,-0.376155,6.274375
0.020000,1.602958,3.177034,0.268479,1.720463,5.894727,-0.406284,6.273315
0.020000,1.639483,3.176654,0.305006,1.826327,5.293191,-30.076786,6.272256
0.020000,1.677647,3.176217,0.343172,1.908324,4.099880,-59.665548,6.271223
0.020000,1.716974,3.175727,0.382502,1.966500,2.908794,-59.554315,6.270237
0.020000,1.756988,3.175190,0.422520,2.000903,1.720174,-59.431029,6.269315
0.020000,1.797216,3.174615,0.462752,2.011587,0.534179,-59.299702,6.268473
0.020000,1.837420,3.174007,0.502961,2.010428,-0.057975,-29.607725,6.267714
0.020000,1.877600,3.173372,0.543146,2.009268,-0.057975,-0.000006,6.267040
0.020000,1.917757,3.172711,0.583308,2.008109,-0.057975,0.000016,6.266450
0.020000,1.957890,3.172029,0.623447,2.006949,-0.057974,0.000031,6.265945
0.020000,1.998000,3.171329,0.663563,2.005790,-0.057973,0.000039,6.265524
0.020000,2.038086,3.170614,0.703656,2.004630,-0.057973,0.000041,6.265187
0.020000,2.078149,3.169887,0.743725,2.003471,-0.057972,0.000038,6.264935
0.020000,2.118188,3.169153,0.783771,2.002311,-0.057971,0.000031,6.264767
0.020000,2.158205,3.168414,0.823794,2.001152,-0.057971,0.000022,6.264683
0.020000,2.198198,3.167674,0.863794,1.999992,-0.057971,0.000010,6.264684
