dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.334735,2.903440,0.000235,0.023529,1.176471,58.823529,0.000058
0.020000,1.334735,2.903440,0.001176,0.070588,2.352941,58.823529,0.000016
0.020000,1.336484,2.903440,0.003294,0.141176,3.529412,58.823529,6.283108
0.020000,1.340249,2.903439,0.007059,0.235294,4.705882,58.823529,6.282943
0.020000,1.346131,2.903437,0.012941,0.352941,5.882353,58.823529,6.282685
0.020000,1.354366,2.903431,0.021176,0.470588,5.882353,0.000000,6.282328
0.020000,1.364955,2.903420,0.031765,0.588235,5.882353,0.000000,6.281875
0.020000,1.377896,2.903399,0.044706,0.705882,5.882353,-0.000000,6.281328
0.020000,1.393190,2.903366,0.060000,0.823529,5.882353,0.000000,6.280694
0.020000,1.410837,2.903316,0.077647,0.941176,5.882353,0.000000,6.279977
0.020000,1.430837,2.903244,0.097647,1.058824,5.882353,0.000000,6.279184
0.020000,1.453189,2.903145,0.120000,1.176471,5.882353,0.000000,6.278323
0.020000,1.477895,2.903013,0.144706,1.294118,5.882353,0.000000,6.277402
0.020000,1.504953,2.902843,0.171765,1.411765,5.882353,-0.000000,6.276430
0.020000,1.534364,2.902630,0.201176,1.529412,5.882353,0.000000,6.275418
0.020000,1.566128,2.902366,0.232941,1.647059,5.882353,-0.000000,6.274375
0.020000,1.600244,2.902047,0.267059,1.764706,5.882353,0.000000,6.273315
0.020000,1.636477,2.901670,0.303294,1.858824,4.705882,-58.823529,6.272256
0.020000,1.674357,2.901236,0.341176,1.929412,3.529412,-58.823529,6.271223
0.020000,1.713413,2.900750,0.380235,1.976471,2.352941,-58.823529,6.270237
0.020000,1.753174,2.900216,0.420000,2.000000,1.176471,-58.823529,6.269315
0.020000,1.793170,2.899644,0.460000,2.000000,0.000000,-58.823529,6.268473
0.020000,1.833166,2.899040,0.500000,2.000000,0.000000,0.000000,6.267714
0.020000,1.873161,2.898408,0.540000,2.000000,0.000000,0.000000,6.267040
0.020000,1.913155,2.897750,0.580000,2.000000,0.000000,0.000000,6.266450
0.020000,1.953149,2.897070,0.620000,2.000000,0.000000,0.000000,6.265945
0.020000,1.993143,2.896372,0.660000,2.000000,0.000000,0.000000,6.265524
0.020000,2.033137,2.895659,0.700000,2.000000,0.000000,0.000000,6.265187
0.020000,2.073130,2.894933,0.740000,2.000000,0.000000,0.000000,6.264935
0.020000,2.113124,2.894200,0.780000,2.000000,0.000000,0.000000,6.264767
0.020000,2.153117,2.893461,0.820000,2.000000,0.000000,0.000000,6.264683
0.020000,2.193110,2.892721,0.860000,2.000000,0.000000,0.000000,6.264684
0.020000,2.233103,2.891982,0.900000,2.000000,0.000000,0.000000,6.264768
0.020000,2.273096,2.891249,0.940000,2.000000,0.000000,0.000000,6.264938
0.020000,2.313090,2.890523,0.980000,2.000000,0.000000,0.000000,6.265191
0.020000,2.353083,2.889810,1.020000,2.000000,0.000000,0.000000,6.265529
0.020000,2.393077,2.889112,1.060000,2.000000,0.000000,0.000000,6.265951
0.020000,2.433072,2.888433,1.100000,2.000000,0.000000,0.000000,6.266458
