dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.402072,2.220224,0.000005,0.000526,0.026289,1.314461,6.283052
0.020000,0.402072,2.220224,0.000021,0.001052,0.026289,0.000000,6.283052
0.020000,0.402072,2.220224,0.000047,0.001577,0.026289,0.000000,6.283052
0.020000,0.402072,2.220224,0.000084,0.002103,0.026289,-0.000000,6.283053
0.020000,0.402072,2.220224,0.000131,0.002629,0.026289,0.000000,6.283053
0.020000,0.402072,2.220224,0.000189,0.003155,0.026289,0.000000,6.283054
0.020000,0.402072,2.220224,0.000258,0.003680,0.026289,-0.000000,6.283054
0.020000,0.402072,2.220224,0.000337,0.004206,0.026289,0.000000,6.283055
0.020000,0.402072,2.220224,0.000426,0.004732,0.026289,0.000000,6.283056
0.020000,0.402072,2.220224,0.000526,0.005258,0.026289,-0.000000,6.283057
0.020000,0.402072,2.220224,0.000636,0.005784,0.026289,0.000000,6.283058
0.020000,0.402072,2.220224,0.000757,0.006309,0.026289,0.000000,6.283059
0.020000,0.402072,2.220224,0.000889,0.006835,0.026289,0.000000,6.283060
0.020000,0.402072,2.220224,0.001031,0.007361,0.026289,-0.000000,6.283061
0.020000,0.402072,2.220224,0.001183,0.007887,0.026289,0.000000,6.283063
0.020000,0.402072,2.220224,0.001346,0.008413,0.026289,-0.000000,6.283064
0.020000,0.402072,2.220224,0.001520,0.008938,0.026289,0.000000,6.283066
0.020000,0.402072,2.220224,0.001704,0.009464,0.026289,0.000000,6.283068
0.020000,0.402072,2.220224,0.001898,0.009990,0.026289,-0.000000,6.283069
0.020000,0.402072,2.220224,0.002103,0.010516,0.026289,0.000000,6.283071
0.020000,0.402072,2.220224,0.002319,0.011041,0.026289,0.000000,6.283073
0.020000,0.402072,2.220224,0.002545,0.011567,0.026289,-0.000000,6.283075
0.020000,0.402072,2.220224,0.002781,0.012093,0.026289,0.000000,6.283078
0.020000,0.402072,2.220224,0.003029,0.012619,0.026289,0.000000,6.283080
0.020000,0.402072,2.220224,0.003286,0.013145,0.026289,0.000000,6.283082
0.020000,0.402072,2.220224,0.003554,0.013670,0.026289,-0.000000,6.283085
0.020000,0.402072,2.220224,0.003833,0.014196,0.026289,0.000000,6.283087
0.020000,0.402072,2.220224,0.004122,0.014722,0.026289,0.000000,6.283090
0.020000,0.402072,2.220224,0.004422,0.015248,0.026289,0.000000,6.283093
0.020000,0.402072,2.220224,0.004732,0.015774,0.026289,0.000000,6.283096
0.020000,0.402072,2.220224,0.005053,0.016299,0.026289,0.000000,6.283099
0.020000,0.402072,2.220224,0.005384,0.016825,0.026289,-0.000000,6.283102
0.020000,0.402072,2.220224,0.005726,0.017351,0.026289,0.000000,6.283105
0.020000,0.402072,2.220224,0.006078,0.017877,0.026289,-0.000000,6.283108
0.020000,0.402072,2.220224,0.006441,0.018402,0.026289,0.000000,6.283112
0.020000,0.402072,2.220224,0.006814,0.018928,0.026289,0.000000,6.283115
0.020000,0.402072,2.220224,0.007198,0.019454,0.026289,0.000000,6.283119
0.020000,0.402072,2.220224,0.007592,0.019980,0.026289,-0.000000,6.283122
0.020000,0.402072,2.220224,0.007997,0.020506,0.026289,0.000000,6.283126
0.020000,0.402072,2.220224,0.008413,0.021031,0.026289,-0.000000,6.283130
0.020000,0.402072,2.220224,0.008838,0.021557,0.026289,0.000000,6.283134
0.020000,0.402072,2.220224,0.009275,0.022083,0.026289,0.000000,6.283138
0.020000,0.402072,2.220224,0.009722,0.022609,0.026289,-0.000000,6.283142
0.020000,0.402072,2.220224,0.010179,0.023135,0.026289,0.000000,6.283146
0.020000,0.402072,2.220224,0.010647,0.023660,0.026289,-0.000000,6.283151
0.020000,0.402072,2.220224,0.011126,0.024186,0.026289,0.000000,6.283155
0.020000,0.402072,2.220224,0.011615,0.024712,0.026289,0.000000,6.283160
0.020000,0.402072,2.220224,0.012114,0.025238,0.026289,0.000000,6.283164
0.020000,0.402072,2.220224,0.012624,0.025763,0.026289,-0.000000,6.283169
0.020000,0.402072,2.220224,0.013145,0.026289,0.026289,0.000000,6.283174
0.020000,0.402072,2.220224,0.013676,0.026815,0.026289,-0.000000,6.283179
0.020000,0.402072,2.220224,0.014217,0.027341,0.026289,0.000000,6.283184
0.020000,0.402485,2.220224,0.014769,0.027867,0.026289,-0.000000,0.000004
0.020000,0.403047,2.220224,0.015332,0.028392,0.026289,0.000000,0.000009
0.020000,0.403620,2.220224,0.015905,0.028918,0.026289,-0.000000,0.000014
0.020000,0.404204,2.220224,0.016489,0.029444,0.026289,-0.000000,0.000020
0.020000,0.404798,2.220224,0.017083,0.029970,0.026289,0.000000,0.000025
0.020000,0.405403,2.220224,0.017687,0.030495,0.026289,-0.000000,0.000031
0.020000,0.406018,2.220224,0.018303,0.031021,0.026289,0.000000,0.000037
0.020000,0.406644,2.220224,0.018928,0.031547,0.026289,0.000000,0.000043
0.020000,0.407280,2.220224,0.019564,0.032073,0.026289,0.000000,0.000049
0.020000,0.407927,2.220224,0.020211,0.032599,0.026289,0.000000,0.000055
0.020000,0.408584,2.220224,0.020868,0.033124,0.026289,-0.000000,0.000061
0.020000,0.409252,2.220224,0.021536,0.033650,0.026289,0.000000,0.000067
0.020000,0.409930,2.220225,0.022214,0.034176,0.026289,0.000000,0.000073
0.020000,0.410619,2.220225,0.022903,0.034702,0.026289,0.000000,0.000080
0.020000,0.411318,2.220225,0.023602,0.035228,0.026289,0.000000,0.000086
0.020000,0.412028,2.220225,0.024312,0.035753,0.026289,-0.000000,0.000093
