dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.401951,1.313974,0.000005,0.000526,0.026289,1.314461,6.283052
0.020000,0.401951,1.313974,0.000005,0.000007,-0.025958,-2.612348,6.283052
0.020000,0.401951,1.313974,0.000006,0.000011,0.000221,1.308936,6.283052
0.020000,0.401951,1.313974,0.000006,0.000015,0.000221,0.000000,6.283053
0.020000,0.401952,1.313974,0.000006,0.000020,0.000221,0.000000,6.283053
0.020000,0.401952,1.313974,0.000007,0.000024,0.000221,0.000001,6.283054
0.020000,0.401953,1.313974,0.000007,0.000029,0.000221,0.000001,6.283054
0.020000,0.401954,1.313974,0.000008,0.000033,0.000221,0.000001,6.283055
0.020000,0.401954,1.313974,0.000009,0.000038,0.000221,0.000001,6.283056
0.020000,0.401955,1.313974,0.000010,0.000042,0.000221,0.000001,6.283057
0.020000,0.401956,1.313974,0.000011,0.000046,0.000221,0.000001,6.283058
0.020000,0.401957,1.313974,0.000012,0.000051,0.000221,0.000001,6.283059
0.020000,0.401958,1.313974,0.000013,0.000055,0.000221,0.000002,6.283060
0.020000,0.401959,1.313974,0.000014,0.000060,0.000221,0.000002,6.283061
0.020000,0.401961,1.313974,0.000015,0.000064,0.000221,0.000002,6.283063
0.020000,0.401962,1.313974,0.000017,0.000069,0.000221,0.000002,6.283064
0.020000,0.401964,1.313974,0.000018,0.000073,0.000221,0.000002,6.283066
0.020000,0.401965,1.313974,0.000020,0.000077,0.000221,0.000002,6.283068
0.020000,0.401967,1.313974,0.000021,0.000082,0.000221,0.000002,6.283069
0.020000,0.401968,1.313974,0.000023,0.000086,0.000221,0.000003,6.283071
0.020000,0.401970,1.313974,0.000025,0.000091,0.000222,0.000003,6.283073
0.020000,0.401972,1.313974,0.000027,0.000095,0.000222,0.000003,6.283075
0.020000,0.401974,1.313974,0.000029,0.000100,0.000222,0.000003,6.283078
0.020000,0.401976,1.313974,0.000031,0.000104,0.000222,0.000003,6.283080
0.020000,0.401978,1.313974,0.000033,0.000108,0.000222,0.000003,6.283082
0.020000,0.401981,1.313974,0.000035,0.000113,0.000222,0.000003,6.283085
0.020000,0.401983,1.313974,0.000037,0.000117,0.000222,0.000003,6.283087
0.020000,0.401985,1.313974,0.000040,0.000122,0.000222,0.000004,6.283090
0.020000,0.401988,1.313974,0.000042,0.000126,0.000222,0.000004,6.283093
0.020000,0.401991,1.313974,0.000045,0.000131,0.000222,0.000004,6.283096
0.020000,0.401993,1.313974,0.000048,0.000135,0.000222,0.000004,6.283099
0.020000,0.401996,1.313974,0.000051,0.000140,0.000222,0.000004,6.283102
0.020000,0.401999,1.313974,0.000053,0.000144,0.000222,0.000004,6.283105
0.020000,0.402002,1.313974,0.000056,0.000148,0.000222,0.000004,6.283108
0.020000,0.402005,1.313974,0.000059,0.000153,0.000223,0.000005,6.283112
0.020000,0.402008,1.313974,0.000063,0.000157,0.000223,0.000005,6.283115
0.020000,0.402011,1.313974,0.000066,0.000162,0.000223,0.000005,6.283119
0.020000,0.402015,1.313974,0.000069,0.000166,0.000223,0.000005,6.283122
0.020000,0.402018,1.313974,0.000073,0.000171,0.000223,0.000005,6.283126
0.020000,0.402022,1.313974,0.000076,0.000175,0.000223,0.000005,6.283130
0.020000,0.402025,1.313974,0.000080,0.000180,0.000223,0.000005,6.283134
0.020000,0.402029,1.313974,0.000083,0.000184,0.000223,0.000006,6.283138
0.020000,0.402033,1.313974,0.000087,0.000189,0.000223,0.000006,6.283142
0.020000,0.402036,1.313974,0.000091,0.000193,0.000224,0.000006,6.283146
0.020000,0.402040,1.313974,0.000095,0.000197,0.000224,0.000006,6.283151
0.020000,0.402044,1.313974,0.000099,0.000202,0.000224,0.000006,6.283155
0.020000,0.402049,1.313974,0.000103,0.000206,0.000224,0.000006,6.283160
0.020000,0.402053,1.313974,0.000107,0.000211,0.000224,0.000006,6.283164
0.020000,0.402057,1.313974,0.000112,0.000215,0.000224,0.000007,6.283169
0.020000,0.402062,1.313974,0.000116,0.000220,0.000224,0.000007,6.283174
0.020000,0.402066,1.313974,0.000120,0.000224,0.000224,0.000007,6.283179
0.020000,0.402071,1.313974,0.000125,0.000229,0.000225,0.000007,6.283184
0.020000,0.402488,1.313974,0.000543,0.020883,1.032714,51.624459,0.000004
0.020000,0.403056,1.313974,0.001110,0.028368,0.374226,-32.924386,0.000009
0.020000,0.403634,1.313974,0.001688,0.028898,0.026513,-17.385650,0.000014
0.020000,0.404222,1.313974,0.002277,0.029428,0.026513,0.000003,0.000020
0.020000,0.404821,1.313974,0.002876,0.029958,0.026513,0.000003,0.000025
0.020000,0.405431,1.313974,0.003486,0.030489,0.026513,0.000003,0.000031
0.020000,0.406051,1.313974,0.004106,0.031019,0.026513,0.000003,0.000037
0.020000,0.406682,1.313974,0.004737,0.031549,0.026513,0.000004,0.000043
0.020000,0.407324,1.313974,0.005378,0.032080,0.026513,0.000004,0.000049
0.020000,0.407976,1.313974,0.006031,0.032610,0.026513,0.000004,0.000055
