dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.217230,2.864484,0.000005,0.000455,0.022739,1.136941,0.017369
0.020000,0.217230,2.864484,0.000005,0.000004,-0.022560,-2.264962,0.017369
0.020000,0.217230,2.864484,0.000005,0.000006,0.000119,1.133968,0.017370
0.020000,0.217230,2.864484,0.000005,0.000008,0.000119,0.000000,0.017370
0.020000,0.217230,2.864484,0.000005,0.000011,0.000119,0.000000,0.017370
0.020000,0.217230,2.864484,0.000005,0.000013,0.000119,0.000000,0.017370
0.020000,0.217229,2.864484,0.000006,0.000015,0.000119,0.000000,0.017371
0.020000,0.217229,2.864484,0.000006,0.000018,0.000119,0.000000,0.017371
0.020000,0.217228,2.864484,0.000006,0.000020,0.000119,0.000001,0.017371
0.020000,0.217228,2.864484,0.000007,0.000023,0.000119,0.000001,0.017372
0.020000,0.217228,2.864484,0.000007,0.000025,0.000119,0.000001,0.017372
0.020000,0.217227,2.864484,0.000008,0.000027,0.000119,0.000001,0.017373
0.020000,0.217226,2.864484,0.000009,0.000030,0.000119,0.000001,0.017374
0.020000,0.217226,2.864484,0.000009,0.000032,0.000119,0.000001,0.017374
0.020000,0.217225,2.864484,0.000010,0.000035,0.000119,0.000001,0.017375
0.020000,0.217224,2.864484,0.000011,0.000037,0.000119,0.000001,0.017376
0.020000,0.217224,2.864484,0.000011,0.000039,0.000119,0.000001,0.017377
0.020000,0.217223,2.864484,0.000012,0.000042,0.000119,0.000001,0.017378
0.020000,0.217222,2.864484,0.000013,0.000044,0.000119,0.000001,0.017379
0.020000,0.217221,2.864484,0.000014,0.000046,0.000119,0.000001,0.017380
0.020000,0.217220,2.864484,0.000015,0.000049,0.000119,0.000001,0.017381
0.020000,0.217219,2.864484,0.000016,0.000051,0.000119,0.000002,0.017382
0.020000,0.217218,2.864484,0.000017,0.000054,0.000119,0.000002,0.017383
0.020000,0.217217,2.864484,0.000018,0.000056,0.000119,0.000002,0.017384
0.020000,0.217216,2.864484,0.000019,0.000058,0.000119,0.000002,0.017386
0.020000,0.217214,2.864484,0.000021,0.000061,0.000119,0.000002,0.017387
0.020000,0.217213,2.864484,0.000022,0.000063,0.000119,0.000002,0.017388
0.020000,0.217212,2.864484,0.000023,0.000066,0.000119,0.000002,0.017390
0.020000,0.217210,2.864484,0.000025,0.000068,0.000120,0.000002,0.017391
0.020000,0.217209,2.864484,0.000026,0.000070,0.000120,0.000002,0.017393
0.020000,0.217208,2.864484,0.000027,0.000073,0.000120,0.000002,0.017395
0.020000,0.217206,2.864484,0.000029,0.000075,0.000120,0.000002,0.017396
0.020000,0.217204,2.864484,0.000030,0.000077,0.000120,0.000002,0.017398
