dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.232970,1.958371,0.000005,0.000455,0.022739,1.136941,0.017369
0.020000,0.232970,1.958371,0.000018,0.000910,0.022739,0.000000,0.017369
0.020000,0.232970,1.958371,0.000041,0.001364,0.022739,0.000000,0.017370
0.020000,0.232970,1.958371,0.000073,0.001819,0.022739,0.000000,0.017370
0.020000,0.232970,1.958371,0.000114,0.002274,0.022739,-0.000000,0.017370
0.020000,0.232970,1.958371,0.000164,0.002729,0.022739,0.000000,0.017370
0.020000,0.232970,1.958371,0.000223,0.003183,0.022739,-0.000000,0.017371
0.020000,0.232970,1.958371,0.000291,0.003638,0.022739,0.000000,0.017371
0.020000,0.232970,1.958371,0.000368,0.004093,0.022739,0.000000,0.017371
0.020000,0.232970,1.958371,0.000455,0.004548,0.022739,-0.000000,0.017372
0.020000,0.232970,1.958371,0.000550,0.005003,0.022739,0.000000,0.017372
0.020000,0.232970,1.958371,0.000655,0.005457,0.022739,0.000000,0.017373
0.020000,0.232970,1.958371,0.000769,0.005912,0.022739,-0.000000,0.017374
0.020000,0.232970,1.958371,0.000891,0.006367,0.022739,0.000000,0.017374
0.020000,0.232970,1.958371,0.001023,0.006822,0.022739,0.000000,0.017375
0.020000,0.232970,1.958371,0.001164,0.007276,0.022739,-0.000000,0.017376
0.020000,0.232970,1.958371,0.001314,0.007731,0.022739,0.000000,0.017377
0.020000,0.232970,1.958371,0.001473,0.008186,0.022739,0.000000,0.017378
0.020000,0.232970,1.958371,0.001642,0.008641,0.022739,-0.000000,0.017379
0.020000,0.232970,1.958371,0.001819,0.009096,0.022739,0.000000,0.017380
0.020000,0.232970,1.958371,0.002006,0.009550,0.022739,0.000000,0.017381
0.020000,0.232970,1.958371,0.002201,0.010005,0.022739,-0.000000,0.017382
0.020000,0.232970,1.958371,0.002406,0.010460,0.022739,0.000000,0.017383
0.020000,0.232970,1.958371,0.002620,0.010915,0.022739,0.000000,0.017384
0.020000,0.232970,1.958371,0.002842,0.011369,0.022739,0.000000,0.017386
0.020000,0.232970,1.958371,0.003074,0.011824,0.022739,-0.000000,0.017387
0.020000,0.232970,1.958371,0.003315,0.012279,0.022739,0.000000,0.017388
0.020000,0.232970,1.958371,0.003565,0.012734,0.022739,-0.000000,0.017390
0.020000,0.232970,1.958371,0.003825,0.013189,0.022739,0.000000,0.017391
0.020000,0.232970,1.958371,0.004093,0.013643,0.022739,0.000000,0.017393
0.020000,0.232970,1.958371,0.004370,0.014098,0.022739,-0.000000,0.017395
0.020000,0.232970,1.958371,0.004657,0.014553,0.022739,0.000000,0.017396
0.020000,0.232970,1.958371,0.004953,0.015008,0.022739,-0.000000,0.017398
0.020000,0.232970,1.958371,0.005257,0.015462,0.022739,0.000000,0.017400
0.020000,0.232970,1.958371,0.005571,0.015917,0.022739,-0.000000,0.017401
0.020000,0.232970,1.958371,0.005894,0.016372,0.022739,0.000000,0.017403
0.020000,0.232970,1.958371,0.006226,0.016827,0.022739,-0.000000,0.017405
0.020000,0.232970,1.958371,0.006567,0.017282,0.022739,0.000000,0.017407
0.020000,0.232970,1.958371,0.006917,0.017736,0.022739,0.000000,0.017409
0.020000,0.232970,1.958371,0.007276,0.018191,0.022739,-0.000000,0.017411
0.020000,0.232970,1.958371,0.007645,0.018646,0.022739,0.000000,0.017413
0.020000,0.232970,1.958371,0.008022,0.019101,0.022739,-0.000000,0.017416
0.020000,0.232970,1.958371,0.008409,0.019555,0.022739,-0.000000,0.017418
0.020000,0.232970,1.958371,0.008804,0.020010,0.022739,0.000000,0.017420
0.020000,0.232970,1.958371,0.009209,0.020465,0.022739,0.000000,0.017423
0.020000,0.232970,1.958371,0.009623,0.020920,0.022739,0.000000,0.017425
0.020000,0.232970,1.958371,0.010046,0.021374,0.022739,0.000000,0.017427
0.020000,0.232970,1.958371,0.010478,0.021829,0.022739,0.000000,0.017430
0.020000,0.232970,1.958371,0.010919,0.022284,0.022739,0.000000,0.017432
0.020000,0.232970,1.958371,0.011369,0.022739,0.022739,0.000000,0.017435
0.020000,0.232970,1.958371,0.011829,0.023194,0.022739,-0.000000,0.017438
0.020000,0.232970,1.958371,0.012297,0.023648,0.022739,0.000000,0.017440
0.020000,0.232970,1.958371,0.012775,0.024103,0.022739,-0.000000,0.017443
0.020000,0.232970,1.958371,0.013261,0.024558,0.022739,0.000000,0.017446
0.020000,0.232970,1.958371,0.013757,0.025013,0.022739,-0.000000,0.017449
0.020000,0.232970,1.958371,0.014262,0.025467,0.022739,-0.000000,0.017452
0.020000,0.232970,1.958371,0.014776,0.025922,0.022739,0.000000,0.017455
0.020000,0.232970,1.958371,0.015299,0.026377,0.022739,-0.000000,0.017458
0.020000,0.232970,1.958371,0.015831,0.026832,0.022739,0.000000,0.017461
0.020000,0.232970,1.958371,0.016372,0.027287,0.022739,0.000000,0.017464
0.020000,0.233286,1.958376,0.016922,0.027741,0.022739,-0.000000,0.017467
0.020000,0.233845,1.958386,0.017482,0.028196,0.022739,0.000000,0.017471
0.020000,0.234414,1.958396,0.018050,0.028651,0.022739,-0.000000,0.017474
0.020000,0.234991,1.958406,0.018628,0.029106,0.022739,0.000000,0.017477
0.020000,0.235578,1.958416,0.019214,0.029560,0.022739,-0.000000,0.017481
0.020000,0.236174,1.958427,0.019810,0.030015,0.022739,0.000000,0.017484
0.020000,0.236778,1.958437,0.020415,0.030470,0.022739,0.000000,0.017488
