dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.248711,1.052257,0.000005,0.000455,0.022739,1.136941,0.017369
0.020000,0.248711,1.052257,0.000005,0.000004,-0.022560,-2.264962,0.017369
0.020000,0.248711,1.052257,0.000005,0.000006,0.000119,1.133968,0.017370
0.020000,0.248711,1.052257,0.000005,0.000008,0.000119,0.000000,0.017370
0.020000,0.248711,1.052257,0.000005,0.000011,0.000119,0.000000,0.017370
0.020000,0.248711,1.052257,0.000005,0.000013,0.000119,0.000000,0.017370
0.020000,0.248712,1.052257,0.000006,0.000015,0.000119,0.000000,0.017371
0.020000,0.248712,1.052257,0.000006,0.000018,0.000119,0.000000,0.017371
0.020000,0.248713,1.052257,0.000006,0.000020,0.000119,0.000001,0.017371
0.020000,0.248713,1.052257,0.000007,0.000023,0.000119,0.000001,0.017372
0.020000,0.248713,1.052257,0.000007,0.000025,0.000119,0.000001,0.017372
0.020000,0.248714,1.052257,0.000008,0.000027,0.000119,0.000001,0.017373
0.020000,0.248715,1.052257,0.000009,0.000030,0.000119,0.000001,0.017374
0.020000,0.248715,1.052257,0.000009,0.000032,0.000119,0.000001,0.017374
0.020000,0.248716,1.052257,0.000010,0.000035,0.000119,0.000001,0.017375
0.020000,0.248717,1.052257,0.000011,0.000037,0.000119,0.000001,0.017376
0.020000,0.248717,1.052257,0.000011,0.000039,0.000119,0.000001,0.017377
0.020000,0.248718,1.052257,0.000012,0.000042,0.000119,0.000001,0.017378
0.020000,0.248719,1.052258,0.000013,0.000044,0.000119,0.000001,0.017379
0.020000,0.248720,1.052258,0.000014,0.000046,0.000119,0.000001,0.017380
0.020000,0.248721,1.052258,0.000015,0.000049,0.000119,0.000001,0.017381
0.020000,0.248722,1.052258,0.000016,0.000051,0.000119,0.000002,0.017382
0.020000,0.248723,1.052258,0.000017,0.000054,0.000119,0.000002,0.017383
0.020000,0.248724,1.052258,0.000018,0.000056,0.000119,0.000002,0.017384
0.020000,0.248725,1.052258,0.000019,0.000058,0.000119,0.000002,0.017386
0.020000,0.248727,1.052258,0.000021,0.000061,0.000119,0.000002,0.017387
0.020000,0.248728,1.052258,0.000022,0.000063,0.000119,0.000002,0.017388
0.020000,0.248729,1.052258,0.000023,0.000066,0.000119,0.000002,0.017390
0.020000,0.248731,1.052258,0.000025,0.000068,0.000120,0.000002,0.017391
0.020000,0.248732,1.052258,0.000026,0.000070,0.000120,0.000002,0.017393
0.020000,0.248733,1.052258,0.000027,0.000073,0.000120,0.000002,0.017395
0.020000,0.248735,1.052258,0.000029,0.000075,0.000120,0.000002,0.017396
0.020000,0.248737,1.052258,0.000030,0.000077,0.000120,0.000002,0.017398
0.020000,0.248738,1.052258,0.000032,0.000080,0.000120,0.000002,0.017400
0.020000,0.248740,1.052258,0.000034,0.000082,0.000120,0.000002,0.017401
0.020000,0.248741,1.052258,0.000035,0.000085,0.000120,0.000003,0.017403
0.020000,0.248743,1.052258,0.000037,0.000087,0.000120,0.000003,0.017405
0.020000,0.248745,1.052258,0.000039,0.000089,0.000120,0.000003,0.017407
0.020000,0.248747,1.052258,0.000041,0.000092,0.000120,0.000003,0.017409
0.020000,0.248749,1.052258,0.000043,0.000094,0.000120,0.000003,0.017411
0.020000,0.248751,1.052258,0.000045,0.000097,0.000120,0.000003,0.017413
0.020000,0.248753,1.052258,0.000047,0.000099,0.000120,0.000003,0.017416
0.020000,0.248755,1.052258,0.000049,0.000101,0.000120,0.000003,0.017418
