dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.345072,3.126439,0.000006,0.000579,0.028959,1.447972,0.008853
0.020000,0.345072,3.126439,0.000006,0.000014,-0.028269,-2.861398,0.008853
0.020000,0.345071,3.126439,0.000007,0.000023,0.000461,1.436456,0.008853
0.020000,0.345070,3.126439,0.000007,0.000032,0.000461,-0.000000,0.008854
0.020000,0.345070,3.126439,0.000008,0.000041,0.000461,-0.000000,0.008855
0.020000,0.345069,3.126439,0.000009,0.000051,0.000461,-0.000000,0.008856
0.020000,0.345067,3.126439,0.000010,0.000060,0.000461,-0.000000,0.008857
0.020000,0.345066,3.126439,0.000012,0.000069,0.000461,-0.000000,0.008859
0.020000,0.345064,3.126439,0.000013,0.000078,0.000461,-0.000000,0.008861
0.020000,0.345063,3.126439,0.000015,0.000088,0.000461,-0.000000,0.008863
0.020000,0.345061,3.126439,0.000017,0.000097,0.000461,-0.000000,0.008865
0.020000,0.345059,3.126439,0.000019,0.000106,0.000461,-0.000000,0.008867
0.020000,0.345056,3.126439,0.000021,0.000115,0.000461,-0.000000,0.008870
0.020000,0.345054,3.126439,0.000024,0.000124,0.000461,-0.000000,0.008872
0.020000,0.345051,3.126439,0.000026,0.000134,0.000461,-0.000000,0.008875
0.020000,0.345048,3.126439,0.000029,0.000143,0.000461,-0.000000,0.008878
0.020000,0.345045,3.126438,0.000032,0.000152,0.000461,-0.000000,0.008882
0.020000,0.345042,3.126438,0.000036,0.000161,0.000461,-0.000000,0.008885
0.020000,0.345039,3.126438,0.000039,0.000170,0.000461,-0.000000,0.008889
0.020000,0.345035,3.126438,0.000043,0.000180,0.000461,-0.000000,0.008893
0.020000,0.345031,3.126438,0.000046,0.000189,0.000461,-0.000000,0.008897
0.020000,0.345027,3.126438,0.000050,0.000198,0.000461,-0.000000,0.008902
0.020000,0.345023,3.126438,0.000054,0.000207,0.000460,-0.000001,0.008906
0.020000,0.345019,3.126438,0.000059,0.000216,0.000460,-0.000001,0.008911
0.020000,0.345014,3.126438,0.000063,0.000226,0.000460,-0.000001,0.008916
0.020000,0.345010,3.126438,0.000068,0.000235,0.000460,-0.000001,0.008921
0.020000,0.345005,3.126438,0.000073,0.000244,0.000460,-0.000001,0.008927
0.020000,0.345000,3.126438,0.000078,0.000253,0.000460,-0.000001,0.008932
0.020000,0.344994,3.126438,0.000083,0.000263,0.000460,-0.000001,0.008938
0.020000,0.344989,3.126438,0.000089,0.000272,0.000460,-0.000001,0.008944
0.020000,0.344983,3.126438,0.000094,0.000281,0.000460,-0.000001,0.008950
0.020000,0.344978,3.126438,0.000100,0.000290,0.000460,-0.000001,0.008956
0.020000,0.344972,3.126438,0.000106,0.000299,0.000460,-0.000001,0.008963
0.020000,0.344965,3.126438,0.000112,0.000309,0.000460,-0.000001,0.008970
0.020000,0.344959,3.126438,0.000119,0.000318,0.000460,-0.000001,0.008977
0.020000,0.344953,3.126438,0.000125,0.000327,0.000460,-0.000001,0.008984
0.020000,0.344946,3.126438,0.000132,0.000336,0.000460,-0.000001,0.008992
0.020000,0.344939,3.126438,0.000139,0.000345,0.000460,-0.000001,0.008999
0.020000,0.344932,3.126437,0.000146,0.000355,0.000460,-0.000001,0.009007
0.020000,0.344925,3.126437,0.000153,0.000364,0.000460,-0.000001,0.009015
0.020000,0.344917,3.126437,0.000161,0.000373,0.000460,-0.000001,0.009023
0.020000,0.344909,3.126437,0.000168,0.000382,0.000460,-0.000001,0.009032
0.020000,0.344902,3.126437,0.000176,0.000391,0.000460,-0.000001,0.009040
0.020000,0.344894,3.126437,0.000184,0.000401,0.000460,-0.000001,0.009049
0.020000,0.344885,3.126437,0.000192,0.000410,0.000460,-0.000001,0.009058
0.020000,0.344877,3.126437,0.000201,0.000419,0.000460,-0.000001,0.009067
0.020000,0.344869,3.126437,0.000209,0.000428,0.000460,-0.000001,0.009077
0.020000,0.344860,3.126437,0.000218,0.000437,0.000460,-0.000001,0.009087
0.020000,0.344851,3.126437,0.000227,0.000447,0.000460,-0.000001,0.009096
0.020000,0.344842,3.126437,0.000236,0.000456,0.000460,-0.000001,0.009106
0.020000,0.344832,3.126437,0.000245,0.000465,0.000460,-0.000001,0.009117
0.020000,0.344823,3.126436,0.000255,0.000474,0.000460,-0.000001,0.009127
0.020000,0.344813,3.126436,0.000264,0.000483,0.000460,-0.000001,0.009138
0.020000,0.344803,3.126436,0.000274,0.000493,0.000460,-0.000001,0.009149
0.020000,0.344793,3.126436,0.000284,0.000502,0.000460,-0.000001,0.009160
0.020000,0.344783,3.126436,0.000295,0.000511,0.000460,-0.000001,0.009171
0.020000,0.344773,3.126436,0.000305,0.000520,0.000460,-0.000001,0.009183
0.020000,0.344762,3.126436,0.000316,0.000529,0.000460,-0.000001,0.009194
0.020000,0.344751,3.126436,0.000326,0.000539,0.000460,-0.000001,0.009206
0.020000,0.344740,3.126436,0.000337,0.000548,0.000460,-0.000001,0.009218
0.020000,0.344729,3.126436,0.000348,0.000557,0.000460,-0.000001,0.009231
0.020000,0.344718,3.126436,0.000360,0.000566,0.000460,-0.000001,0.009243
0.020000,0.344706,3.126435,0.000371,0.000575,0.000460,-0.000001,0.009256
0.020000,0.345244,3.126440,0.000908,0.026859,1.314168,65.685397,0.009269
0.020000,0.345979,3.126447,0.001644,0.036765,0.495312,-40.942799,0.009282
0.020000,0.346726,3.126454,0.002390,0.037335,0.028497,-23.340739,0.009295
0.020000,0.347484,3.126461,0.003148,0.037905,0.028497,-0.000007,0.009309
0.020000,0.348253,3.126468,0.003918,0.038475,0.028497,-0.000007,0.009322
0.020000,0.349034,3.126476,0.004699,0.039045,0.028496,-0.000007,0.009336
0.020000,0.349826,3.126483,0.005491,0.039615,0.028496,-0.000007,0.009350
0.020000,0.350630,3.126491,0.006295,0.040185,0.028496,-0.000008,0.009365
0.020000,0.351445,3.126498,0.007110,0.040754,0.028496,-0.000008,0.009379
0.020000,0.352271,3.126506,0.007936,0.041324,0.028496,-0.000008,0.009394
0.020000,0.353109,3.126514,0.008774,0.041894,0.028496,-0.000008,0.009409
0.020000,0.353958,3.126522,0.009624,0.042464,0.028496,-0.000008,0.009424
0.020000,0.354819,3.126530,0.010484,0.043034,0.028495,-0.000008,0.009439
0.020000,0.355691,3.126538,0.011356,0.043604,0.028495,-0.000008,0.009455
0.020000,0.356575,3.126547,0.012240,0.044174,0.028495,-0.000008,0.009471
0.020000,0.357469,3.126555,0.013135,0.044744,0.028495,-0.000008,0.009486
0.020000,0.358376,3.126564,0.014041,0.045314,0.028495,-0.000008,0.009503
0.020000,0.359293,3.126572,0.014959,0.045884,0.028495,-0.000009,0.009519
0.020000,0.360222,3.126581,0.015888,0.046453,0.028494,-0.000009,0.009536
0.020000,0.361163,3.126590,0.016828,0.047023,0.028494,-0.000009,0.009552
0.020000,0.362115,3.126599,0.017780,0.047593,0.028494,-0.000009,0.009569
0.020000,0.363078,3.126609,0.018743,0.048163,0.028494,-0.000009,0.009586
0.020000,0.364052,3.126618,0.019718,0.048733,0.028494,-0.000009,0.009604
0.020000,0.365038,3.126627,0.020704,0.049303,0.028493,-0.000009,0.009621
0.020000,0.366036,3.126637,0.021701,0.049873,0.028493,-0.000009,0.009639
0.020000,0.367045,3.126647,0.022710,0.050443,0.028493,-0.000009,0.009657
0.020000,0.368065,3.126657,0.023731,0.051014,0.028578,0.004237,0.009675
0.020000,0.369096,3.126667,0.024762,0.051585,0.028565,-0.000631,0.009694
0.020000,0.370140,3.126677,0.025805,0.052155,0.028494,-0.003548,0.009712
0.020000,0.371194,3.126687,0.026860,0.052725,0.028494,-0.000010,0.009731
0.020000,0.372260,3.126697,0.027926,0.053295,0.028494,-0.000010,0.009750
0.020000,0.373337,3.126708,0.029003,0.053865,0.028494,-0.000010,0.009769
0.020000,0.374426,3.126718,0.030092,0.054435,0.028493,-0.000010,0.009788
0.020000,0.375526,3.126729,0.031192,0.055005,0.028493,-0.000010,0.009808
0.020000,0.376637,3.126740,0.032303,0.055575,0.028493,-0.000010,0.009828
0.020000,0.377760,3.126751,0.033426,0.056144,0.028493,-0.000010,0.009848
