dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.353094,2.220224,0.000006,0.000579,0.028959,1.447972,0.008853
0.020000,0.353094,2.220224,0.000023,0.001158,0.028959,0.000000,0.008853
0.020000,0.353094,2.220224,0.000052,0.001738,0.028959,0.000000,0.008853
0.020000,0.353094,2.220224,0.000093,0.002317,0.028959,-0.000000,0.008854
0.020000,0.353094,2.220224,0.000145,0.002896,0.028959,0.000000,0.008855
0.020000,0.353094,2.220224,0.000209,0.003475,0.028959,0.000000,0.008856
0.020000,0.353094,2.220224,0.000284,0.004054,0.028959,-0.000000,0.008857
0.020000,0.353094,2.220224,0.000371,0.004634,0.028959,0.000000,0.008859
0.020000,0.353094,2.220224,0.000469,0.005213,0.028959,0.000000,0.008861
0.020000,0.353094,2.220224,0.000579,0.005792,0.028959,-0.000000,0.008863
0.020000,0.353094,2.220224,0.000701,0.006371,0.028959,0.000000,0.008865
0.020000,0.353094,2.220224,0.000834,0.006950,0.028959,0.000000,0.008867
0.020000,0.353094,2.220224,0.000979,0.007529,0.028959,-0.000000,0.008870
0.020000,0.353094,2.220224,0.001135,0.008109,0.028959,-0.000000,0.008872
0.020000,0.353094,2.220224,0.001303,0.008688,0.028959,0.000000,0.008875
0.020000,0.353094,2.220224,0.001483,0.009267,0.028959,-0.000000,0.008878
0.020000,0.353094,2.220224,0.001674,0.009846,0.028959,0.000000,0.008882
0.020000,0.353094,2.220224,0.001877,0.010425,0.028959,0.000000,0.008885
0.020000,0.353094,2.220224,0.002091,0.011005,0.028959,-0.000000,0.008889
0.020000,0.353094,2.220224,0.002317,0.011584,0.028959,0.000000,0.008893
0.020000,0.353094,2.220224,0.002554,0.012163,0.028959,0.000000,0.008897
0.020000,0.353094,2.220224,0.002803,0.012742,0.028959,-0.000000,0.008902
0.020000,0.353094,2.220224,0.003064,0.013321,0.028959,0.000000,0.008906
0.020000,0.353094,2.220224,0.003336,0.013901,0.028959,0.000000,0.008911
0.020000,0.353094,2.220224,0.003620,0.014480,0.028959,-0.000000,0.008916
0.020000,0.353094,2.220224,0.003915,0.015059,0.028959,0.000000,0.008921
0.020000,0.353094,2.220224,0.004222,0.015638,0.028959,0.000000,0.008927
0.020000,0.353094,2.220224,0.004541,0.016217,0.028959,-0.000000,0.008932
0.020000,0.353094,2.220224,0.004871,0.016796,0.028959,0.000000,0.008938
0.020000,0.353094,2.220224,0.005213,0.017376,0.028959,0.000000,0.008944
0.020000,0.353094,2.220224,0.005566,0.017955,0.028959,-0.000000,0.008950
0.020000,0.353094,2.220224,0.005931,0.018534,0.028959,0.000000,0.008956
0.020000,0.353094,2.220224,0.006307,0.019113,0.028959,0.000000,0.008963
0.020000,0.353094,2.220224,0.006695,0.019692,0.028959,-0.000000,0.008970
0.020000,0.353094,2.220224,0.007095,0.020272,0.028959,0.000000,0.008977
0.020000,0.353094,2.220224,0.007506,0.020851,0.028959,0.000000,0.008984
0.020000,0.353094,2.220224,0.007929,0.021430,0.028959,-0.000000,0.008992
0.020000,0.353094,2.220224,0.008363,0.022009,0.028959,0.000000,0.008999
0.020000,0.353094,2.220224,0.008809,0.022588,0.028959,0.000000,0.009007
0.020000,0.353094,2.220224,0.009267,0.023168,0.028959,-0.000000,0.009015
0.020000,0.353094,2.220224,0.009736,0.023747,0.028959,0.000000,0.009023
0.020000,0.353094,2.220224,0.010217,0.024326,0.028959,0.000000,0.009032
0.020000,0.353094,2.220224,0.010709,0.024905,0.028959,-0.000000,0.009040
0.020000,0.353094,2.220224,0.011213,0.025484,0.028959,0.000000,0.009049
0.020000,0.353094,2.220224,0.011729,0.026063,0.028959,0.000000,0.009058
0.020000,0.353094,2.220224,0.012256,0.026643,0.028959,-0.000000,0.009067
0.020000,0.353094,2.220224,0.012794,0.027222,0.028959,0.000000,0.009077
0.020000,0.353094,2.220224,0.013345,0.027801,0.028959,0.000000,0.009087
0.020000,0.353094,2.220224,0.013906,0.028380,0.028959,-0.000000,0.009096
0.020000,0.353094,2.220224,0.014480,0.028959,0.028959,0.000000,0.009106
0.020000,0.353094,2.220224,0.015065,0.029539,0.028959,-0.000000,0.009117
0.020000,0.353094,2.220224,0.015661,0.030118,0.028959,0.000000,0.009127
0.020000,0.353094,2.220224,0.016269,0.030697,0.028959,-0.000000,0.009138
0.020000,0.353094,2.220224,0.016889,0.031276,0.028959,0.000000,0.009149
0.020000,0.353094,2.220224,0.017520,0.031855,0.028959,-0.000000,0.009160
0.020000,0.353094,2.220224,0.018163,0.032435,0.028959,-0.000000,0.009171
0.020000,0.353094,2.220224,0.018818,0.033014,0.028959,0.000000,0.009183
0.020000,0.353094,2.220224,0.019484,0.033593,0.028959,0.000000,0.009194
0.020000,0.353094,2.220224,0.020162,0.034172,0.028959,0.000000,0.009206
0.020000,0.353094,2.220224,0.020851,0.034751,0.028959,0.000000,0.009218
0.020000,0.353094,2.220224,0.021552,0.035331,0.028959,-0.000000,0.009231
0.020000,0.353094,2.220224,0.022264,0.035910,0.028959,0.000000,0.009243
0.020000,0.353094,2.220224,0.022988,0.036489,0.028959,-0.000000,0.009256
0.020000,0.353643,2.220229,0.023724,0.037068,0.028959,0.000000,0.009269
0.020000,0.354390,2.220236,0.024471,0.037647,0.028959,0.000000,0.009282
0.020000,0.355149,2.220243,0.025229,0.038226,0.028959,0.000000,0.009295
0.020000,0.355919,2.220250,0.026000,0.038806,0.028959,0.000000,0.009309
0.020000,0.356701,2.220258,0.026782,0.039385,0.028959,-0.000000,0.009322
0.020000,0.357495,2.220265,0.027575,0.039964,0.028959,0.000000,0.009336
0.020000,0.358300,2.220273,0.028380,0.040543,0.028959,0.000000,0.009350
0.020000,0.359116,2.220280,0.029197,0.041122,0.028959,0.000000,0.009365
0.020000,0.359945,2.220288,0.030025,0.041702,0.028959,0.000000,0.009379
0.020000,0.360784,2.220296,0.030865,0.042281,0.028959,-0.000000,0.009394
0.020000,0.361636,2.220304,0.031716,0.042860,0.028959,0.000000,0.009409
0.020000,0.362499,2.220312,0.032579,0.043439,0.028959,-0.000000,0.009424
0.020000,0.363373,2.220320,0.033454,0.044018,0.028959,0.000000,0.009439
0.020000,0.364259,2.220329,0.034340,0.044598,0.028959,0.000000,0.009455
0.020000,0.365157,2.220337,0.035238,0.045177,0.028959,-0.000000,0.009471
0.020000,0.366066,2.220346,0.036147,0.045756,0.028959,0.000000,0.009486
0.020000,0.366987,2.220355,0.037068,0.046335,0.028959,-0.000000,0.009503
0.020000,0.367920,2.220363,0.038001,0.046914,0.028959,0.000000,0.009519
0.020000,0.368864,2.220372,0.038945,0.047493,0.028959,0.000000,0.009536
0.020000,0.369819,2.220382,0.039900,0.048073,0.028959,0.000000,0.009552
0.020000,0.370787,2.220391,0.040868,0.048652,0.028959,0.000000,0.009569
0.020000,0.371765,2.220400,0.041846,0.049231,0.028959,-0.000000,0.009586
0.020000,0.372756,2.220410,0.042837,0.049810,0.028959,0.000000,0.009604
0.020000,0.373758,2.220419,0.043839,0.050389,0.028959,-0.000000,0.009621
0.020000,0.374771,2.220429,0.044852,0.050969,0.028959,0.000000,0.009639
0.020000,0.375796,2.220439,0.045878,0.051548,0.028959,0.000000,0.009657
0.020000,0.376833,2.220449,0.046914,0.052127,0.028959,-0.000000,0.009675
0.020000,0.377881,2.220459,0.047963,0.052706,0.028959,0.000000,0.009694
0.020000,0.378941,2.220469,0.049023,0.053285,0.028959,-0.000000,0.009712
0.020000,0.380013,2.220480,0.050094,0.053865,0.028959,0.000000,0.009731
0.020000,0.381096,2.220490,0.051177,0.054444,0.028959,0.000000,0.009750
0.020000,0.382190,2.220501,0.052272,0.055023,0.028959,0.000000,0.009769
0.020000,0.383296,2.220512,0.053378,0.055602,0.028959,0.000000,0.009788
0.020000,0.384414,2.220523,0.054496,0.056181,0.028959,-0.000000,0.009808
0.020000,0.385544,2.220534,0.055625,0.056760,0.028959,0.000000,0.009828
0.020000,0.386685,2.220545,0.056766,0.057340,0.028959,0.000000,0.009848
0.020000,0.387837,2.220557,0.057919,0.057919,0.028959,0.000000,0.009868
0.020000,0.389001,2.220568,0.059083,0.058498,0.028959,-0.000000,0.009888
0.020000,0.390177,2.220580,0.060259,0.059077,0.028959,0.000000,0.009909
0.020000,0.391364,2.220591,0.061446,0.059656,0.028959,0.000000,0.009930
0.020000,0.392563,2.220603,0.062645,0.060236,0.028959,0.000000,0.009951
0.020000,0.393773,2.220615,0.063856,0.060815,0.028959,0.000000,0.009972
0.020000,0.394995,2.220628,0.065078,0.061394,0.028959,-0.000000,0.009993
0.020000,0.396229,2.220640,0.066311,0.061973,0.028959,0.000000,0.010015
0.020000,0.397474,2.220652,0.067557,0.062552,0.028959,-0.000000,0.010037
0.020000,0.398731,2.220665,0.068813,0.063132,0.028959,0.000000,0.010059
0.020000,0.399999,2.220678,0.070082,0.063711,0.028959,0.000000,0.010081
0.020000,0.401279,2.220691,0.071362,0.064290,0.028959,-0.000000,0.010104
0.020000,0.402571,2.220704,0.072653,0.064869,0.028959,0.000000,0.010126
0.020000,0.403874,2.220717,0.073957,0.065448,0.028959,0.000000,0.010149
0.020000,0.405189,2.220730,0.075271,0.066028,0.028959,0.000000,0.010172
0.020000,0.406515,2.220744,0.076598,0.066607,0.028959,0.000000,0.010195
0.020000,0.407853,2.220758,0.077936,0.067186,0.028959,0.000000,0.010219
0.020000,0.409202,2.220771,0.079285,0.067765,0.028959,0.000000,0.010242
0.020000,0.410563,2.220785,0.080646,0.068344,0.028959,0.000000,0.010266
0.020000,0.411936,2.220799,0.082019,0.068923,0.028959,0.000000,0.010290
0.020000,0.413320,2.220814,0.083403,0.069503,0.028959,0.000000,0.010314
0.020000,0.414716,2.220828,0.084799,0.070082,0.028959,-0.000000,0.010339
0.020000,0.416123,2.220843,0.086206,0.070661,0.028959,0.000000,0.010364
0.020000,0.417542,2.220857,0.087625,0.071240,0.028959,0.000000,0.010388
0.020000,0.418973,2.220872,0.089056,0.071819,0.028959,0.000000,0.010413
0.020000,0.420415,2.220887,0.090498,0.072399,0.028959,-0.000000,0.010439
0.020000,0.421868,2.220902,0.091952,0.072978,0.028959,0.000000,0.010464
0.020000,0.423334,2.220918,0.093417,0.073557,0.028959,0.000000,0.010490
0.020000,0.424810,2.220933,0.094894,0.074136,0.028959,0.000000,0.010516
0.020000,0.426299,2.220949,0.096383,0.074715,0.028959,0.000000,0.010542
0.020000,0.427799,2.220965,0.097883,0.075295,0.028959,-0.000000,0.010568
0.020000,0.429311,2.220981,0.099395,0.075874,0.028959,0.000000,0.010594
0.020000,0.430834,2.220997,0.100918,0.076453,0.028959,0.000000,0.010621
0.020000,0.432369,2.221013,0.102453,0.077032,0.028959,0.000000,0.010648
0.020000,0.433915,2.221030,0.103999,0.077611,0.028959,0.000000,0.010675
0.020000,0.435473,2.221046,0.105557,0.078190,0.028959,-0.000000,0.010702
0.020000,0.437042,2.221063,0.107127,0.078770,0.028959,0.000000,0.010730
0.020000,0.438623,2.221080,0.108708,0.079349,0.028959,0.000000,0.010757
0.020000,0.440216,2.221097,0.110301,0.079928,0.028959,0.000000,0.010785
0.020000,0.441820,2.221115,0.111905,0.080507,0.028959,0.000000,0.010813
0.020000,0.443436,2.221132,0.113521,0.081086,0.028959,0.000000,0.010842
0.020000,0.445063,2.221150,0.115148,0.081666,0.028959,0.000000,0.010870
0.020000,0.446702,2.221168,0.116788,0.082245,0.028959,0.000000,0.010899
0.020000,0.448353,2.221186,0.118438,0.082824,0.028959,0.000000,0.010928
0.020000,0.450015,2.221204,0.120101,0.083403,0.028959,0.000000,0.010957
0.020000,0.451689,2.221222,0.121774,0.083982,0.028959,-0.000000,0.010986
0.020000,0.453374,2.221241,0.123460,0.084562,0.028959,0.000000,0.011015
0.020000,0.455071,2.221260,0.125157,0.085141,0.028959,0.000000,0.011045
0.020000,0.456780,2.221278,0.126865,0.085720,0.028959,0.000000,0.011075
0.020000,0.458500,2.221298,0.128586,0.086299,0.028959,0.000000,0.011105
0.020000,0.460232,2.221317,0.130317,0.086878,0.028959,-0.000000,0.011135
0.020000,0.461975,2.221336,0.132061,0.087457,0.028959,0.000000,0.011166
0.020000,0.463730,2.221356,0.133816,0.088037,0.028959,0.000000,0.011196
0.020000,0.465496,2.221376,0.135582,0.088616,0.028959,0.000000,0.011227
0.020000,0.467274,2.221396,0.137360,0.089195,0.028959,-0.000000,0.011258
0.020000,0.469064,2.221416,0.139150,0.089774,0.028959,-0.000000,0.011290
0.020000,0.470865,2.221436,0.140951,0.090353,0.028959,0.000000,0.011321
0.020000,0.472678,2.221457,0.142764,0.090933,0.028959,0.000000,0.011353
0.020000,0.474502,2.221478,0.144589,0.091512,0.028959,0.000000,0.011385
0.020000,0.476338,2.221498,0.146425,0.092091,0.028959,0.000000,0.011417
0.020000,0.478185,2.221520,0.148272,0.092670,0.028959,-0.000000,0.011449
0.020000,0.480044,2.221541,0.150131,0.093249,0.028959,0.000000,0.011482
0.020000,0.481915,2.221562,0.152002,0.093829,0.028959,0.000000,0.011514
0.020000,0.483797,2.221584,0.153885,0.094408,0.028959,0.000000,0.011547
0.020000,0.485691,2.221606,0.155779,0.094987,0.028959,0.000000,0.011580
0.020000,0.487596,2.221628,0.157684,0.095566,0.028959,0.000000,0.011614
0.020000,0.489513,2.221650,0.159601,0.096145,0.028959,0.000000,0.011647
0.020000,0.491442,2.221673,0.161530,0.096725,0.028959,0.000000,0.011681
0.020000,0.493382,2.221696,0.163470,0.097304,0.028959,0.000000,0.011715
0.020000,0.495334,2.221718,0.165422,0.097883,0.028959,-0.000000,0.011749
0.020000,0.497297,2.221742,0.167386,0.098462,0.028959,0.000000,0.011783
0.020000,0.499272,2.221765,0.169361,0.099041,0.028959,0.000000,0.011818
0.020000,0.501259,2.221788,0.171347,0.099620,0.028959,0.000000,0.011852
0.020000,0.503257,2.221812,0.173345,0.100200,0.028959,0.000000,0.011887
0.020000,0.505266,2.221836,0.175355,0.100779,0.028959,-0.000000,0.011922
0.020000,0.507288,2.221860,0.177377,0.101358,0.028959,0.000000,0.011958
0.020000,0.509320,2.221885,0.179409,0.101937,0.028959,0.000000,0.011993
0.020000,0.511365,2.221909,0.181454,0.102516,0.028959,0.000000,0.012029
0.020000,0.513421,2.221934,0.183510,0.103096,0.028959,0.000000,0.012065
0.020000,0.515488,2.221959,0.185578,0.103675,0.028959,-0.000000,0.012101
0.020000,0.517567,2.221984,0.187657,0.104254,0.028959,0.000000,0.012137
0.020000,0.519658,2.222009,0.189748,0.104833,0.028959,0.000000,0.012174
0.020000,0.521760,2.222035,0.191850,0.105412,0.028959,0.000000,0.012210
0.020000,0.523874,2.222061,0.193964,0.105992,0.028959,0.000000,0.012247
0.020000,0.526000,2.222087,0.196090,0.106571,0.028959,-0.000000,0.012284
0.020000,0.528137,2.222113,0.198227,0.107150,0.028959,0.000000,0.012322
0.020000,0.530285,2.222140,0.200376,0.107729,0.028959,0.000000,0.012359
0.020000,0.532446,2.222167,0.202536,0.108308,0.028959,0.000000,0.012397
0.020000,0.534617,2.222194,0.204708,0.108887,0.028959,0.000000,0.012435
0.020000,0.536801,2.222221,0.206892,0.109467,0.028959,0.000000,0.012473
0.020000,0.538996,2.222248,0.209087,0.110046,0.028959,0.000000,0.012511
0.020000,0.541202,2.222276,0.211294,0.110625,0.028959,0.000000,0.012550
0.020000,0.543420,2.222304,0.213512,0.111204,0.028959,0.000000,0.012588
0.020000,0.545650,2.222332,0.215742,0.111783,0.028959,0.000000,0.012627
0.020000,0.547891,2.222360,0.217983,0.112363,0.028959,-0.000000,0.012666
0.020000,0.550144,2.222389,0.220236,0.112942,0.028959,0.000000,0.012706
0.020000,0.552409,2.222418,0.222501,0.113521,0.028959,-0.000000,0.012745
0.020000,0.554685,2.222447,0.224777,0.114100,0.028959,0.000000,0.012785
0.020000,0.556972,2.222476,0.227065,0.114679,0.028959,0.000000,0.012825
0.020000,0.559271,2.222505,0.229364,0.115259,0.028959,-0.000000,0.012865
0.020000,0.561582,2.222535,0.231675,0.115838,0.028959,0.000000,0.012905
0.020000,0.563905,2.222565,0.233998,0.116417,0.028959,-0.000000,0.012946
0.020000,0.566239,2.222595,0.236332,0.116996,0.028959,0.000000,0.012986
0.020000,0.568584,2.222626,0.238678,0.117575,0.028959,0.000000,0.013027
0.020000,0.570941,2.222657,0.241035,0.118154,0.028959,-0.000000,0.013068
0.020000,0.573310,2.222688,0.243404,0.118734,0.028959,0.000000,0.013110
0.020000,0.575690,2.222719,0.245784,0.119313,0.028959,-0.000000,0.013151
0.020000,0.578082,2.222750,0.248177,0.119892,0.028959,0.000000,0.013193
0.020000,0.580485,2.222782,0.250580,0.120471,0.028959,0.000000,0.013235
0.020000,0.582900,2.222814,0.252995,0.121050,0.028959,-0.000000,0.013277
0.020000,0.585327,2.222847,0.255422,0.121630,0.028959,0.000000,0.013319
0.020000,0.587765,2.222879,0.257861,0.122209,0.028959,-0.000000,0.013362
0.020000,0.590215,2.222912,0.260311,0.122788,0.028959,0.000000,0.013404
0.020000,0.592676,2.222945,0.262772,0.123367,0.028959,0.000000,0.013447
0.020000,0.595149,2.222978,0.265245,0.123946,0.028959,-0.000000,0.013490
0.020000,0.597634,2.223012,0.267730,0.124526,0.028959,0.000000,0.013534
0.020000,0.600130,2.223046,0.270226,0.125105,0.028959,-0.000000,0.013577
0.020000,0.602637,2.223080,0.272734,0.125684,0.028959,-0.000000,0.013621
0.020000,0.605157,2.223114,0.275254,0.126263,0.028959,0.000000,0.013665
0.020000,0.607687,2.223149,0.277785,0.126842,0.028959,-0.000000,0.013709
0.020000,0.610230,2.223184,0.280327,0.127422,0.028959,0.000000,0.013753
0.020000,0.612784,2.223219,0.282882,0.128001,0.028959,-0.000000,0.013797
0.020000,0.615349,2.223254,0.285447,0.128580,0.028959,-0.000000,0.013842
0.020000,0.617927,2.223290,0.288025,0.129159,0.028959,0.000000,0.013887
0.020000,0.620515,2.223326,0.290614,0.129738,0.028959,-0.000000,0.013932
0.020000,0.623116,2.223362,0.293214,0.130317,0.028959,0.000000,0.013977
0.020000,0.625727,2.223399,0.295826,0.130897,0.028959,-0.000000,0.014023
0.020000,0.628351,2.223436,0.298450,0.131476,0.028959,0.000000,0.014068
0.020000,0.630986,2.223473,0.301085,0.132055,0.028959,0.000000,0.014114
0.020000,0.633632,2.223510,0.303732,0.132634,0.028959,0.000000,0.014160
0.020000,0.636291,2.223548,0.306391,0.133213,0.028959,0.000000,0.014207
0.020000,0.638961,2.223586,0.309061,0.133793,0.028959,0.000000,0.014253
0.020000,0.641642,2.223624,0.311742,0.134372,0.028959,0.000000,0.014300
0.020000,0.644335,2.223663,0.314436,0.134951,0.028959,0.000000,0.014347
0.020000,0.647039,2.223702,0.317141,0.135530,0.028959,0.000000,0.014394
0.020000,0.649755,2.223741,0.319857,0.136109,0.028959,0.000000,0.014441
0.020000,0.652483,2.223780,0.322585,0.136689,0.028959,0.000000,0.014488
0.020000,0.655222,2.223820,0.325324,0.137268,0.028959,-0.000000,0.014536
0.020000,0.657973,2.223860,0.328076,0.137847,0.028959,0.000000,0.014584
0.020000,0.660736,2.223901,0.330838,0.138426,0.028959,-0.000000,0.014632
0.020000,0.663510,2.223941,0.333613,0.139005,0.028959,0.000000,0.014680
0.020000,0.666295,2.223982,0.336399,0.139584,0.028959,-0.000000,0.014728
0.020000,0.669093,2.224023,0.339196,0.140164,0.028959,0.000000,0.014777
0.020000,0.671901,2.224065,0.342005,0.140743,0.028959,0.000000,0.014826
0.020000,0.674722,2.224107,0.344826,0.141322,0.028959,0.000000,0.014875
0.020000,0.677553,2.224149,0.347658,0.141901,0.028959,0.000000,0.014924
0.020000,0.680397,2.224192,0.350502,0.142480,0.028959,0.000000,0.014974
0.020000,0.683252,2.224234,0.353357,0.143060,0.028959,0.000000,0.015023
0.020000,0.686119,2.224278,0.356224,0.143639,0.028959,0.000000,0.015073
0.020000,0.688997,2.224321,0.359103,0.144218,0.028959,0.000000,0.015123
0.020000,0.691887,2.224365,0.361993,0.144797,0.028959,-0.000000,0.015173
0.020000,0.694788,2.224409,0.364895,0.145376,0.028959,0.000000,0.015224
0.020000,0.697701,2.224453,0.367808,0.145956,0.028959,-0.000000,0.015274
0.020000,0.700626,2.224498,0.370733,0.146535,0.028959,0.000000,0.015325
0.020000,0.703562,2.224543,0.373669,0.147114,0.028959,-0.000000,0.015376
0.020000,0.706510,2.224589,0.376617,0.147693,0.028959,0.000000,0.015427
0.020000,0.709469,2.224634,0.379577,0.148272,0.028959,0.000000,0.015479
0.020000,0.712440,2.224680,0.382548,0.148851,0.028959,0.000000,0.015530
0.020000,0.715422,2.224727,0.385531,0.149431,0.028959,0.000000,0.015582
0.020000,0.718416,2.224773,0.388526,0.150010,0.028959,-0.000000,0.015634
0.020000,0.721422,2.224821,0.391532,0.150589,0.028959,0.000000,0.015686
0.020000,0.724439,2.224868,0.394549,0.151168,0.028959,0.000000,0.015739
0.020000,0.727468,2.224916,0.397578,0.151747,0.028959,0.000000,0.015791
0.020000,0.730508,2.224964,0.400619,0.152327,0.028959,0.000000,0.015844
0.020000,0.733560,2.225012,0.403671,0.152906,0.028959,0.000000,0.015897
0.020000,0.736624,2.225061,0.406735,0.153485,0.028959,-0.000000,0.015950
0.020000,0.739699,2.225110,0.409811,0.154064,0.028959,0.000000,0.016003
0.020000,0.742786,2.225160,0.412898,0.154643,0.028959,-0.000000,0.016057
0.020000,0.745884,2.225209,0.415996,0.155223,0.028959,0.000000,0.016111
0.020000,0.748994,2.225260,0.419107,0.155802,0.028959,-0.000000,0.016165
0.020000,0.752115,2.225310,0.422229,0.156381,0.028959,-0.000000,0.016219
0.020000,0.755248,2.225361,0.425362,0.156960,0.028959,0.000000,0.016273
0.020000,0.758393,2.225412,0.428507,0.157539,0.028959,-0.000000,0.016328
0.020000,0.761549,2.225464,0.431664,0.158118,0.028959,0.000000,0.016382
0.020000,0.764717,2.225516,0.434832,0.158698,0.028959,-0.000000,0.016437
0.020000,0.767896,2.225568,0.438011,0.159277,0.028959,0.000000,0.016492
0.020000,0.771087,2.225621,0.441203,0.159856,0.028959,0.000000,0.016548
0.020000,0.774289,2.225674,0.444406,0.160435,0.028959,0.000000,0.016603
0.020000,0.777503,2.225728,0.447620,0.161014,0.028959,0.000000,0.016659
0.020000,0.780729,2.225781,0.450846,0.161594,0.028959,0.000000,0.016715
0.020000,0.783966,2.225836,0.454084,0.162173,0.028959,0.000000,0.016771
0.020000,0.787215,2.225890,0.457333,0.162752,0.028959,0.000000,0.016827
0.020000,0.790475,2.225945,0.460594,0.163331,0.028959,0.000000,0.016884
0.020000,0.793747,2.226001,0.463866,0.163910,0.028959,0.000000,0.016940
0.020000,0.797031,2.226056,0.467150,0.164490,0.028959,0.000000,0.016997
0.020000,0.800326,2.226112,0.470446,0.165069,0.028959,-0.000000,0.017054
0.020000,0.803633,2.226169,0.473753,0.165648,0.028959,0.000000,0.017112
0.020000,0.806951,2.226226,0.477072,0.166227,0.028959,-0.000000,0.017169
0.020000,0.810281,2.226283,0.480402,0.166806,0.028959,0.000000,0.017227
0.020000,0.813622,2.226341,0.483744,0.167386,0.028959,-0.000000,0.017285
0.020000,0.816975,2.226399,0.487098,0.167965,0.028959,0.000000,0.017343
0.020000,0.820340,2.226457,0.490463,0.168544,0.028959,0.000000,0.017401
0.020000,0.823716,2.226516,0.493839,0.169123,0.028959,0.000000,0.017459
0.020000,0.827104,2.226575,0.497228,0.169702,0.028959,0.000000,0.017518
0.020000,0.830503,2.226635,0.500627,0.170281,0.028959,0.000000,0.017577
0.020000,0.833914,2.226695,0.504039,0.170861,0.028959,0.000000,0.017636
0.020000,0.837336,2.226755,0.507462,0.171440,0.028959,0.000000,0.017695
0.020000,0.840770,2.226816,0.510897,0.172019,0.028959,0.000000,0.017755
0.020000,0.844216,2.226878,0.514343,0.172598,0.028959,0.000000,0.017814
