dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.034195,0.922134,0.000235,0.023529,1.176471,58.823529,6.281759
0.020000,0.034151,0.922134,0.000279,0.002181,-1.067435,-112.195292,6.281917
0.020000,0.034053,0.922135,0.000377,0.004905,0.136239,60.183725,6.282274
0.020000,0.033879,0.922135,0.000551,0.008717,0.190581,2.717091,6.282908
0.020000,0.037841,0.922136,0.004514,0.198113,9.469781,463.959973,0.000713
0.020000,0.045695,0.922147,0.012368,0.392722,9.730468,13.034354,0.002097
0.020000,0.055794,0.922177,0.022467,0.504952,5.611500,-205.948372,0.003876
0.020000,0.068138,0.922239,0.034811,0.617195,5.612159,0.032939,0.006047
0.020000,0.082727,0.922345,0.049401,0.729476,5.614013,0.092686,0.008609
0.020000,0.099562,0.922515,0.066236,0.841779,5.615155,0.057113,0.011560
0.020000,0.118643,0.922768,0.085319,0.954126,5.617393,0.111894,0.014897
0.020000,0.139970,0.923125,0.106649,1.066495,5.618449,0.052798,0.018617
0.020000,0.163543,0.923612,0.130227,1.178929,5.621666,0.160878,0.022716
0.020000,0.189363,0.924257,0.156055,1.291402,5.623662,0.099789,0.027192
0.020000,0.217430,0.925088,0.184134,1.403950,5.627414,0.187605,0.032038
0.020000,0.247743,0.926139,0.214465,1.516566,5.630774,0.167969,0.037250
0.020000,0.280302,0.927443,0.247051,1.629269,5.635161,0.219347,0.042822
0.020000,0.314882,0.929027,0.281667,1.730810,5.077066,-27.904722,0.048708
0.020000,0.351033,0.930900,0.317867,1.809986,3.958761,-55.915251,0.054828
0.020000,0.388305,0.933063,0.355201,1.866706,2.836039,-56.136117,0.061098
0.020000,0.426247,0.935505,0.393222,1.901043,1.716813,-55.961294,0.067440
0.020000,0.464410,0.938204,0.431479,1.912885,0.592106,-56.235325,0.073775
0.020000,0.502567,0.941145,0.469750,1.913508,0.031165,-28.047089,0.080065
0.020000,0.540718,0.944327,0.508033,1.914170,0.033084,0.095994,0.086307
0.020000,0.578861,0.947746,0.546329,1.914825,0.032760,-0.016242,0.092502
0.020000,0.616996,0.951402,0.584639,1.915501,0.033812,0.052640,0.098646
0.020000,0.655123,0.955293,0.622964,1.916217,0.035779,0.098309,0.104740
0.020000,0.693239,0.959416,0.661302,1.916925,0.035437,-0.017103,0.110781
0.020000,0.731344,0.963771,0.699655,1.917652,0.036319,0.044132,0.116769
0.020000,0.769437,0.968354,0.738024,1.918411,0.037948,0.081454,0.122703
0.020000,0.807518,0.973164,0.776407,1.919172,0.038055,0.005320,0.128582
0.020000,0.845585,0.978199,0.814806,1.919945,0.038647,0.029619,0.134403
0.020000,0.883639,0.983456,0.853221,1.920739,0.039731,0.054208,0.140167
0.020000,0.921677,0.988934,0.891652,1.921549,0.040503,0.038591,0.145873
0.020000,0.959700,0.994630,0.930099,1.922364,0.040719,0.010813,0.151519
0.020000,0.997707,1.000543,0.968563,1.923192,0.041389,0.033473,0.157104
0.020000,1.035697,1.006668,1.007044,1.924042,0.042540,0.057586,0.162629
0.020000,1.073670,1.013006,1.045542,1.924894,0.042597,0.002827,0.168091
0.020000,1.111625,1.019552,1.084057,1.925757,0.043124,0.026341,0.173490
0.020000,1.149561,1.026305,1.122589,1.926633,0.043802,0.033923,0.178825
0.020000,1.187478,1.033262,1.161140,1.927522,0.044456,0.032696,0.184097
0.020000,1.225376,1.040421,1.199708,1.928414,0.044619,0.008156,0.189303
0.020000,1.263255,1.047780,1.238294,1.929316,0.045092,0.023651,0.194443
0.020000,1.301113,1.055335,1.276899,1.930230,0.045701,0.030455,0.199517
0.020000,1.338950,1.063085,1.315522,1.931151,0.046019,0.015897,0.204524
0.020000,1.376767,1.071027,1.354164,1.932076,0.046284,0.013218,0.209464
0.020000,1.414562,1.079158,1.392824,1.933009,0.046655,0.018577,0.214336
0.020000,1.452336,1.087476,1.431503,1.933952,0.047128,0.023644,0.219139
0.020000,1.490089,1.095978,1.470201,1.934898,0.047301,0.008666,0.223873
0.020000,1.527819,1.104662,1.508918,1.935849,0.047569,0.013375,0.228539
0.020000,1.565528,1.113525,1.547654,1.936806,0.047849,0.014006,0.233135
0.020000,1.603214,1.122564,1.586409,1.937770,0.048159,0.015492,0.237660
0.020000,1.640879,1.131777,1.625184,1.938735,0.048296,0.006834,0.242116
0.020000,1.678521,1.141161,1.663978,1.939706,0.048515,0.010961,0.246501
0.020000,1.716141,1.150713,1.702792,1.940680,0.048712,0.009870,0.250815
0.020000,1.753738,1.160431,1.741625,1.941657,0.048859,0.007359,0.255058
0.020000,1.791313,1.170312,1.780478,1.942638,0.049017,0.007863,0.259229
0.020000,1.828866,1.180354,1.819350,1.943621,0.049164,0.007356,0.263330
0.020000,1.866397,1.190553,1.858242,1.944606,0.049265,0.005042,0.267358
0.020000,1.903906,1.200908,1.897154,1.945593,0.049327,0.003100,0.271315
0.020000,1.941393,1.211414,1.936086,1.946582,0.049473,0.007338,0.275200
0.020000,1.978859,1.222071,1.975037,1.947573,0.049559,0.004287,0.279012
0.020000,2.016303,1.232874,2.014008,1.948564,0.049554,-0.000277,0.282753
0.020000,2.053725,1.243821,2.052999,1.949556,0.049598,0.002205,0.286422
0.020000,2.091127,1.254910,2.092010,1.950551,0.049708,0.005536,0.290018
0.020000,2.128508,1.266138,2.131041,1.951545,0.049743,0.001752,0.293542
0.020000,2.165869,1.277502,2.170092,1.952538,0.049623,-0.006041,0.296994
0.020000,2.203210,1.288999,2.209163,1.953532,0.049712,0.004454,0.300373
0.020000,2.240531,1.300627,2.248253,1.954527,0.049763,0.002567,0.303680
0.020000,2.277833,1.312383,2.287364,1.955522,0.049757,-0.000316,0.306915
0.020000,2.315116,1.324264,2.326494,1.956513,0.049515,-0.012104,0.310077
0.020000,2.352380,1.336268,2.365644,1.957507,0.049705,0.009538,0.313168
0.020000,2.389627,1.348392,2.404814,1.958500,0.049676,-0.001464,0.316186
0.020000,2.426856,1.360633,2.444004,1.959492,0.049563,-0.005665,0.319132
0.020000,2.464068,1.372988,2.483214,1.960480,0.049418,-0.007220,0.322006
0.020000,2.501263,1.385455,2.522443,1.961471,0.049537,0.005951,0.324808
0.020000,2.538443,1.398032,2.561692,1.962460,0.049483,-0.002711,0.327538
0.020000,2.575608,1.410715,2.600961,1.963445,0.049250,-0.011677,0.330197
0.020000,2.612757,1.423501,2.640250,1.964431,0.049267,0.000882,0.332783
0.020000,2.649893,1.436389,2.679558,1.965416,0.049288,0.001024,0.335298
0.020000,2.687015,1.449376,2.718886,1.966400,0.049199,-0.004426,0.337742
0.020000,2.724124,1.462458,2.758234,1.967378,0.048892,-0.015374,0.340114
0.020000,2.761221,1.475634,2.797601,1.968360,0.049065,0.008663,0.342415
0.020000,2.798306,1.488900,2.836988,1.969339,0.048986,-0.003960,0.344645
0.020000,2.835381,1.502254,2.876394,1.970315,0.048769,-0.010843,0.346804
0.020000,2.872445,1.515694,2.915820,1.971289,0.048696,-0.003646,0.348892
0.020000,2.909500,1.529216,2.955265,1.972263,0.048742,0.002310,0.350910
0.020000,2.946546,1.542818,2.994730,1.973237,0.048656,-0.004303,0.352856
0.020000,2.983585,1.556498,3.034214,1.974203,0.048321,-0.016748,0.354732
0.020000,3.020616,1.570253,3.073717,1.975173,0.048495,0.008690,0.356538
0.020000,3.057642,1.584080,3.113240,1.976141,0.048410,-0.004267,0.358273
0.020000,3.094661,1.597977,3.152782,1.977105,0.048198,-0.010607,0.359938
0.020000,3.131676,1.611941,3.192344,1.978068,0.048140,-0.002881,0.361533
0.020000,3.168688,1.625969,3.231924,1.979031,0.048169,0.001473,0.363058
0.020000,3.205696,1.640060,3.271524,1.979993,0.048064,-0.005246,0.364513
0.020000,3.242702,1.654209,3.311143,1.980949,0.047820,-0.012208,0.365899
0.020000,3.279707,1.668416,3.350781,1.981908,0.047943,0.006146,0.367214
0.020000,3.316711,1.682677,3.390438,1.982865,0.047866,-0.003855,0.368461
0.020000,3.353716,1.696990,3.430115,1.983818,0.047661,-0.010243,0.369637
0.020000,3.390722,1.711351,3.469810,1.984772,0.047680,0.000917,0.370745
0.020000,3.427731,1.725760,3.509525,1.985725,0.047667,-0.000622,0.371783
0.020000,3.464743,1.740212,3.549258,1.986676,0.047548,-0.005945,0.372752
0.020000,3.501759,1.754706,3.589011,1.987625,0.047444,-0.005204,0.373652
0.020000,3.538780,1.769239,3.628782,1.988575,0.047495,0.002534,0.374483
0.020000,3.575807,1.783808,3.668573,1.989524,0.047436,-0.002921,0.375245
0.020000,3.612841,1.798412,3.708382,1.990469,0.047271,-0.008294,0.375938
0.020000,3.649884,1.813046,3.748210,1.991416,0.047350,0.003971,0.376562
0.020000,3.686935,1.827709,3.788058,1.992362,0.047305,-0.002245,0.377118
0.020000,3.723996,1.842399,3.827924,1.993306,0.047210,-0.004757,0.377605
0.020000,3.761068,1.857112,3.867809,1.994251,0.047212,0.000087,0.378023
0.020000,3.798152,1.871847,3.907713,1.995195,0.047208,-0.000172,0.378372
0.020000,3.835249,1.886600,3.947636,1.996138,0.047162,-0.002325,0.378653
0.020000,3.872359,1.901370,3.987577,1.997081,0.047133,-0.001413,0.378865
0.020000,3.909485,1.916153,4.027538,1.998024,0.047148,0.000719,0.379009
0.020000,3.946626,1.930947,4.067517,1.998966,0.047127,-0.001024,0.379084
0.020000,3.983784,1.945749,4.107515,1.999909,0.047117,-0.000531,0.379091
0.020000,4.020961,1.960557,4.147532,2.000851,0.047125,0.000419,0.379029
0.020000,4.058156,1.975369,4.187568,2.001793,0.047117,-0.000388,0.378899
0.020000,4.095371,1.990182,4.227623,2.002736,0.047142,0.001252,0.378700
0.020000,4.132607,2.004993,4.267696,2.003679,0.047150,0.000389,0.378432
0.020000,4.169865,2.019799,4.307789,2.004622,0.047146,-0.000230,0.378096
0.020000,4.207146,2.034599,4.347900,2.005566,0.047182,0.001840,0.377691
0.020000,4.244452,2.049390,4.388030,2.006511,0.047236,0.002700,0.377218
0.020000,4.281782,2.064168,4.428179,2.007455,0.047211,-0.001249,0.376675
0.020000,4.319138,2.078932,4.468347,2.008400,0.047235,0.001200,0.376065
0.020000,4.356522,2.093679,4.508534,2.009347,0.047383,0.007356,0.375385
0.020000,4.393933,2.108406,4.548740,2.010293,0.047313,-0.003454,0.374636
0.020000,4.431374,2.123110,4.588965,2.011240,0.047347,0.001695,0.373819
0.020000,4.468845,2.137790,4.629209,2.012190,0.047491,0.007177,0.372932
0.020000,4.506347,2.152442,4.669472,2.013140,0.047497,0.000318,0.371977
0.020000,4.543882,2.167063,4.709753,2.014090,0.047495,-0.000132,0.370952
0.020000,4.581449,2.181652,4.750054,2.015042,0.047600,0.005295,0.369858
0.020000,4.619051,2.196205,4.790374,2.015997,0.047738,0.006899,0.368694
0.020000,4.656688,2.210721,4.830713,2.016950,0.047672,-0.003343,0.367462
0.020000,4.694361,2.225195,4.871071,2.017905,0.047730,0.002935,0.366159
0.020000,4.732072,2.239625,4.911449,2.018865,0.047994,0.013199,0.364788
0.020000,4.769820,2.254010,4.951845,2.019823,0.047892,-0.005106,0.363346
0.020000,4.807608,2.268345,4.992261,2.020781,0.047941,0.002441,0.361834
0.020000,4.845436,2.282629,5.032696,2.021744,0.048130,0.009449,0.360253
0.020000,4.883305,2.296859,5.073150,2.022708,0.048215,0.004259,0.358602
0.020000,4.921216,2.311031,5.113623,2.023672,0.048170,-0.002259,0.356880
0.020000,4.959170,2.325144,5.154116,2.024637,0.048256,0.004276,0.355088
0.020000,4.997168,2.339194,5.194628,2.025608,0.048575,0.015982,0.353226
0.020000,5.035211,2.353178,5.235160,2.026577,0.048411,-0.008225,0.351293
0.020000,5.073299,2.367094,5.275711,2.027546,0.048489,0.003930,0.349289
0.020000,5.111434,2.380939,5.316281,2.028521,0.048717,0.011412,0.347215
0.020000,5.149616,2.394710,5.356871,2.029496,0.048777,0.002982,0.345070
0.020000,5.187847,2.408405,5.397480,2.030471,0.048734,-0.002138,0.342854
0.020000,5.226127,2.422020,5.438109,2.031447,0.048816,0.004106,0.340567
0.020000,5.264457,2.435552,5.478758,2.032431,0.049167,0.017505,0.338208
0.020000,5.302837,2.449000,5.519426,2.033410,0.048971,-0.009759,0.335778
0.020000,5.341269,2.462359,5.560114,2.034391,0.049047,0.003778,0.333277
0.020000,5.379754,2.475626,5.600821,2.035376,0.049238,0.009560,0.330704
0.020000,5.418292,2.488800,5.641549,2.036363,0.049347,0.005423,0.328060
0.020000,5.456883,2.501877,5.682296,2.037348,0.049258,-0.004426,0.325343
0.020000,5.495530,2.514854,5.723062,2.038334,0.049324,0.003279,0.322555
0.020000,5.534231,2.527728,5.763849,2.039326,0.049593,0.013464,0.319695
0.020000,5.572988,2.540496,5.804655,2.040316,0.049488,-0.005255,0.316763
0.020000,5.611802,2.553155,5.845481,2.041306,0.049488,-0.000005,0.313759
0.020000,5.650674,2.565702,5.886327,2.042297,0.049565,0.003874,0.310683
0.020000,5.689602,2.578134,5.927193,2.043293,0.049782,0.010815,0.307534
0.020000,5.728590,2.590447,5.968079,2.044285,0.049600,-0.009082,0.304314
0.020000,5.767636,2.602640,6.008984,2.045277,0.049629,0.001456,0.301021
0.020000,5.806741,2.614709,6.049910,2.046272,0.049733,0.005205,0.297655
0.020000,5.845907,2.626650,6.090855,2.047267,0.049775,0.002093,0.294218
0.020000,5.885132,2.638461,6.131820,2.048260,0.049650,-0.006230,0.290708
0.020000,5.924419,2.650139,6.172805,2.049253,0.049647,-0.000166,0.287125
0.020000,5.963766,2.661679,6.213810,2.050248,0.049734,0.004338,0.283471
0.020000,6.003175,2.673081,6.254835,2.051241,0.049647,-0.004345,0.279744
0.020000,6.042645,2.684339,6.295880,2.052232,0.049549,-0.004878,0.275945
0.020000,6.082178,2.695451,6.336944,2.053222,0.049504,-0.002267,0.272075
0.020000,6.121772,2.706413,6.378028,2.054212,0.049526,0.001084,0.268132
0.020000,6.161429,2.717224,6.419132,2.055200,0.049361,-0.008258,0.264117
0.020000,6.201149,2.727879,6.460256,2.056185,0.049257,-0.005166,0.260031
0.020000,6.240931,2.738374,6.501399,2.057168,0.049160,-0.004859,0.255873
0.020000,6.280775,2.748708,6.542562,2.058149,0.049065,-0.004757,0.251644
0.020000,6.320683,2.758877,6.583745,2.059127,0.048877,-0.009404,0.247344
0.020000,6.360653,2.768878,6.624947,2.060102,0.048733,-0.007197,0.242972
0.020000,6.400685,2.778706,6.666168,2.061073,0.048564,-0.008420,0.238531
0.020000,6.440780,2.788360,6.707409,2.062039,0.048323,-0.012065,0.234019
0.020000,6.480937,2.797836,6.748669,2.063002,0.048149,-0.008715,0.229436
0.020000,6.521157,2.807131,6.789949,2.063961,0.047935,-0.010675,0.224785
0.020000,6.561437,2.816241,6.831247,2.064914,0.047647,-0.014397,0.220063
0.020000,6.601780,2.825164,6.872564,2.065860,0.047305,-0.017114,0.215273
0.020000,6.642183,2.833896,6.913900,2.066802,0.047118,-0.009368,0.210415
0.020000,6.682647,2.842434,6.955255,2.067739,0.046826,-0.014608,0.205488
0.020000,6.723170,2.850776,6.996628,2.068666,0.046348,-0.023868,0.200494
0.020000,6.763754,2.858916,7.038020,2.069586,0.045991,-0.017861,0.195433
0.020000,6.804396,2.866854,7.079430,2.070501,0.045747,-0.012181,0.190306
0.020000,6.845096,2.874585,7.120858,2.071408,0.045369,-0.018921,0.185112
0.020000,6.885854,2.882106,7.162304,2.072300,0.044591,-0.038877,0.179854
0.020000,6.926669,2.889415,7.203768,2.073188,0.044385,-0.010330,0.174531
0.020000,6.967539,2.896509,7.245249,2.074068,0.044008,-0.018835,0.169144
0.020000,7.008464,2.903383,7.286748,2.074936,0.043434,-0.028716,0.163694
0.020000,7.049443,2.910036,7.328264,2.075786,0.042488,-0.047268,0.158182
0.020000,7.090476,2.916464,7.369796,2.076635,0.042422,-0.003316,0.152608
0.020000,7.131560,2.922665,7.411346,2.077472,0.041880,-0.027105,0.146974
0.020000,7.172695,2.928635,7.452911,2.078288,0.040802,-0.053916,0.141280
0.020000,7.213879,2.934372,7.494493,2.079095,0.040316,-0.024287,0.135527
0.020000,7.255111,2.939873,7.536091,2.079894,0.039992,-0.016215,0.129716
0.020000,7.296391,2.945135,7.577705,2.080678,0.039162,-0.041472,0.123849
0.020000,7.337716,2.950155,7.619333,2.081433,0.037779,-0.069184,0.117926
0.020000,7.379085,2.954931,7.660977,2.082191,0.037874,0.004795,0.111948
0.020000,7.420497,2.959460,7.702636,2.082934,0.037171,-0.035193,0.105917
0.020000,7.461949,2.963740,7.744309,2.083639,0.035251,-0.095962,0.099833
0.020000,7.503441,2.967768,7.785996,2.084347,0.035391,0.006976,0.093698
0.020000,7.544971,2.971541,7.827697,2.085042,0.034768,-0.031134,0.087514
0.020000,7.586536,2.975058,7.869410,2.085698,0.032802,-0.098313,0.081280
0.020000,7.628136,2.978315,7.911137,2.086350,0.032559,-0.012145,0.075000
0.020000,7.669768,2.981311,7.952877,2.086993,0.032166,-0.019652,0.068673
0.020000,7.711430,2.984043,7.994629,2.087592,0.029952,-0.110690,0.062302
0.020000,7.753121,2.986510,8.036393,2.088186,0.029694,-0.012924,0.055888
0.020000,7.794760,2.988705,8.078089,2.084827,-0.167947,-9.882052,0.049445
0.020000,7.836019,2.990614,8.119393,2.065166,-0.983037,-40.754467,0.043024
0.020000,7.876405,2.992225,8.159811,2.020922,-2.212191,-61.457707,0.036706
0.020000,7.915423,2.993538,8.198851,1.951996,-3.446305,-61.705699,0.030572
0.020000,7.952578,2.994566,8.236020,1.858433,-4.678177,-61.593627,0.024704
0.020000,7.987452,2.995331,8.270902,1.744134,-5.714936,-51.837932,0.019174
0.020000,8.019876,2.995869,8.303331,1.621425,-6.135439,-21.025169,0.014013
0.020000,8.049846,2.996217,8.333303,1.498593,-6.141628,-0.309433,0.009226
0.020000,8.077360,2.996411,8.360818,1.375746,-6.142307,-0.033937,0.004819
0.020000,8.102417,2.996481,8.385875,1.252845,-6.145095,-0.139393,0.000795
0.020000,8.125014,2.996458,8.408472,1.129854,-6.149517,-0.221099,6.280343
0.020000,8.145151,2.996368,8.428609,1.006872,-6.149096,0.021039,6.277096
0.020000,8.162827,2.996235,8.446286,0.883827,-6.152260,-0.158186,6.274240
0.020000,8.178042,2.996080,8.461501,0.760762,-6.153251,-0.049570,6.271778
0.020000,8.190794,2.995922,8.474254,0.637678,-6.154183,-0.046621,6.269712
0.020000,8.201085,2.995774,8.484546,0.514573,-6.155287,-0.055199,6.268044
