dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.033802,0.647135,0.000235,0.023529,1.176471,58.823529,6.281759
0.020000,0.033802,0.647135,0.001176,0.070588,2.352941,58.823529,6.281917
0.020000,0.033802,0.647135,0.003294,0.141176,3.529412,58.823529,6.282274
0.020000,0.033802,0.647135,0.007059,0.235294,4.705882,58.823529,6.282908
0.020000,0.038037,0.647136,0.012941,0.352941,5.882353,58.823529,0.000713
0.020000,0.046272,0.647148,0.021176,0.470588,5.882353,0.000000,0.002097
0.020000,0.056860,0.647179,0.031765,0.588235,5.882353,0.000000,0.003876
0.020000,0.069801,0.647244,0.044706,0.705882,5.882353,-0.000000,0.006047
0.020000,0.085095,0.647356,0.060000,0.823529,5.882353,0.000000,0.008609
0.020000,0.102741,0.647534,0.077647,0.941176,5.882353,0.000000,0.011560
0.020000,0.122739,0.647798,0.097647,1.058824,5.882353,0.000000,0.014897
0.020000,0.145089,0.648173,0.120000,1.176471,5.882353,0.000000,0.018617
0.020000,0.169790,0.648683,0.144706,1.294118,5.882353,0.000000,0.022716
0.020000,0.196840,0.649359,0.171765,1.411765,5.882353,-0.000000,0.027192
0.020000,0.226239,0.650229,0.201176,1.529412,5.882353,0.000000,0.032038
0.020000,0.257984,0.651330,0.232941,1.647059,5.882353,-0.000000,0.037250
0.020000,0.292075,0.652695,0.267059,1.764706,5.882353,0.000000,0.042822
0.020000,0.328272,0.654353,0.303294,1.858824,4.705882,-58.823529,0.048708
0.020000,0.366104,0.656314,0.341176,1.929412,3.529412,-58.823529,0.054828
0.020000,0.405096,0.658576,0.380235,1.976471,2.352941,-58.823529,0.061098
0.020000,0.444779,0.661130,0.420000,2.000000,1.176471,-58.823529,0.067440
0.020000,0.484679,0.663952,0.460000,2.000000,0.000000,-58.823529,0.073775
0.020000,0.524561,0.667026,0.500000,2.000000,0.000000,0.000000,0.080065
0.020000,0.564423,0.670350,0.540000,2.000000,0.000000,0.000000,0.086307
0.020000,0.604263,0.673922,0.580000,2.000000,0.000000,0.000000,0.092502
0.020000,0.644080,0.677739,0.620000,2.000000,0.000000,0.000000,0.098646
0.020000,0.683873,0.681800,0.660000,2.000000,0.000000,0.000000,0.104740
0.020000,0.723641,0.686102,0.700000,2.000000,0.000000,0.000000,0.110781
0.020000,0.763382,0.690644,0.740000,2.000000,0.000000,0.000000,0.116769
0.020000,0.803096,0.695422,0.780000,2.000000,0.000000,0.000000,0.122703
0.020000,0.842781,0.700434,0.820000,2.000000,0.000000,0.000000,0.128582
0.020000,0.882435,0.705679,0.860000,2.000000,0.000000,0.000000,0.134403
0.020000,0.922059,0.711153,0.900000,2.000000,0.000000,0.000000,0.140167
0.020000,0.961650,0.716855,0.940000,2.000000,0.000000,0.000000,0.145873
0.020000,1.001209,0.722781,0.980000,2.000000,0.000000,0.000000,0.151519
0.020000,1.040733,0.728929,1.020000,2.000000,0.000000,0.000000,0.157104
0.020000,1.080223,0.735297,1.060000,2.000000,0.000000,0.000000,0.162629
0.020000,1.119678,0.741881,1.100000,2.000000,0.000000,0.000000,0.168091
0.020000,1.159095,0.748680,1.140000,2.000000,0.000000,0.000000,0.173490
0.020000,1.198476,0.755690,1.180000,2.000000,0.000000,0.000000,0.178825
0.020000,1.237820,0.762909,1.220000,2.000000,0.000000,0.000000,0.184097
0.020000,1.277124,0.770334,1.260000,2.000000,0.000000,0.000000,0.189303
0.020000,1.316390,0.777962,1.300000,2.000000,0.000000,0.000000,0.194443
0.020000,1.355617,0.785791,1.340000,2.000000,0.000000,0.000000,0.199517
0.020000,1.394803,0.793817,1.380000,2.000000,0.000000,0.000000,0.204524
0.020000,1.433949,0.802038,1.420000,2.000000,0.000000,0.000000,0.209464
0.020000,1.473054,0.810451,1.460000,2.000000,0.000000,0.000000,0.214336
0.020000,1.512118,0.819053,1.500000,2.000000,0.000000,0.000000,0.219139
0.020000,1.551141,0.827841,1.540000,2.000000,0.000000,0.000000,0.223873
0.020000,1.590122,0.836812,1.580000,2.000000,0.000000,0.000000,0.228539
0.020000,1.629061,0.845964,1.620000,2.000000,0.000000,0.000000,0.233135
0.020000,1.667958,0.855294,1.660000,2.000000,0.000000,0.000000,0.237660
0.020000,1.706812,0.864798,1.700000,2.000000,0.000000,0.000000,0.242116
0.020000,1.745624,0.874473,1.740000,2.000000,0.000000,0.000000,0.246501
0.020000,1.784394,0.884318,1.780000,2.000000,0.000000,0.000000,0.250815
0.020000,1.823121,0.894328,1.820000,2.000000,0.000000,0.000000,0.255058
0.020000,1.861806,0.904501,1.860000,2.000000,0.000000,0.000000,0.259229
0.020000,1.900448,0.914834,1.900000,2.000000,0.000000,0.000000,0.263330
0.020000,1.939048,0.925323,1.940000,2.000000,0.000000,0.000000,0.267358
0.020000,1.977606,0.935967,1.980000,2.000000,0.000000,0.000000,0.271315
0.020000,2.016122,0.946762,2.020000,2.000000,0.000000,0.000000,0.275200
0.020000,2.054596,0.957706,2.060000,2.000000,0.000000,0.000000,0.279012
0.020000,2.093028,0.968794,2.100000,2.000000,0.000000,0.000000,0.282753
0.020000,2.131419,0.980025,2.140000,2.000000,0.000000,0.000000,0.286422
0.020000,2.169769,0.991395,2.180000,2.000000,0.000000,0.000000,0.290018
0.020000,2.208078,1.002901,2.220000,2.000000,0.000000,0.000000,0.293542
0.020000,2.246347,1.014541,2.260000,2.000000,0.000000,0.000000,0.296994
0.020000,2.284576,1.026312,2.300000,2.000000,0.000000,0.000000,0.300373
0.020000,2.322765,1.038210,2.340000,2.000000,0.000000,0.000000,0.303680
0.020000,2.360915,1.050234,2.380000,2.000000,0.000000,0.000000,0.306915
0.020000,2.399027,1.062379,2.420000,2.000000,0.000000,0.000000,0.310077
0.020000,2.437100,1.074643,2.460000,2.000000,0.000000,0.000000,0.313168
0.020000,2.475136,1.087024,2.500000,2.000000,0.000000,0.000000,0.316186
0.020000,2.513135,1.099518,2.540000,2.000000,0.000000,0.000000,0.319132
0.020000,2.551097,1.112122,2.580000,2.000000,0.000000,0.000000,0.322006
0.020000,2.589023,1.124834,2.620000,2.000000,0.000000,0.000000,0.324808
