dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.165431,1.144582,0.000235,0.023529,1.176471,58.823529,3.130050
0.020000,7.165467,1.144581,0.000271,0.001794,-1.086795,-113.163289,3.130180
0.020000,7.165548,1.144580,0.000352,0.004034,0.112003,59.939912,3.130474
0.020000,7.164576,1.144591,0.001324,0.048585,2.227584,105.779066,3.130995
0.020000,7.158917,1.144648,0.006982,0.282938,11.717638,474.502661,3.131808
0.020000,7.150995,1.144721,0.014905,0.396146,5.660385,-302.862638,3.132944
0.020000,7.140808,1.144802,0.025093,0.509381,5.661744,0.067949,3.134401
0.020000,7.128355,1.144881,0.037546,0.622658,5.663876,0.106620,3.136175
0.020000,7.113635,1.144945,0.052266,0.735981,5.666161,0.114236,3.138264
0.020000,7.096648,1.144981,0.069253,0.849368,5.669349,0.159414,3.140663
0.020000,7.077391,1.144973,0.088509,0.962825,5.672813,0.173208,3.143367
0.020000,7.055864,1.144902,0.110037,1.076352,5.676395,0.179088,3.146370
0.020000,7.032065,1.144750,0.133836,1.189975,5.681136,0.237046,3.149666
0.020000,7.005993,1.144492,0.159910,1.303692,5.685836,0.235009,3.153247
0.020000,6.977645,1.144107,0.188260,1.417525,5.691664,0.291411,3.157106
0.020000,6.947020,1.143569,0.218890,1.531478,5.697655,0.299515,3.161234
0.020000,6.914117,1.142850,0.251801,1.645561,5.704115,0.323032,3.165621
0.020000,6.879160,1.141929,0.286770,1.748439,5.143900,-28.010771,3.170226
0.020000,6.842603,1.140795,0.323345,1.828733,4.014706,-56.459721,3.174982
0.020000,6.804899,1.139444,0.361073,1.886410,2.883846,-56.542957,3.179820
0.020000,6.766502,1.137882,0.399501,1.921436,1.751304,-56.627122,3.184678
0.020000,6.727867,1.136123,0.438177,1.933766,0.616518,-56.739297,3.189495
0.020000,6.689221,1.134178,0.476872,1.934736,0.048500,-28.400888,3.194241
0.020000,6.650565,1.132050,0.515586,1.935715,0.048921,0.021050,3.198916
0.020000,6.611900,1.129742,0.554320,1.936701,0.049318,0.019845,3.203520
0.020000,6.573226,1.127255,0.593074,1.937697,0.049821,0.025116,3.208051
0.020000,6.534543,1.124594,0.631848,1.938698,0.050018,0.009851,3.212509
0.020000,6.495853,1.121760,0.670642,1.939705,0.050347,0.016496,3.216894
0.020000,6.457155,1.118756,0.709456,1.940718,0.050656,0.015415,3.221205
0.020000,6.418450,1.115586,0.748291,1.941737,0.050973,0.015857,3.225442
0.020000,6.379738,1.112251,0.787146,1.942762,0.051252,0.013955,3.229605
0.020000,6.341020,1.108754,0.826022,1.943791,0.051440,0.009390,3.233693
0.020000,6.302295,1.105099,0.864918,1.944824,0.051670,0.011514,3.237706
0.020000,6.263565,1.101288,0.903836,1.945862,0.051882,0.010607,3.241643
0.020000,6.224830,1.097323,0.942774,1.946904,0.052100,0.010910,3.245504
0.020000,6.186088,1.093209,0.981733,1.947949,0.052262,0.008071,3.249290
0.020000,6.147342,1.088947,1.020713,1.948997,0.052403,0.007076,3.252999
0.020000,6.108591,1.084540,1.059714,1.950048,0.052551,0.007391,3.256632
0.020000,6.069835,1.079992,1.098736,1.951102,0.052684,0.006658,3.260188
0.020000,6.031074,1.075304,1.137779,1.952158,0.052811,0.006316,3.263667
0.020000,5.992309,1.070481,1.176843,1.953216,0.052904,0.004650,3.267069
0.020000,5.953539,1.065525,1.215929,1.954276,0.052993,0.004470,3.270395
0.020000,5.914764,1.060439,1.255036,1.955338,0.053075,0.004120,3.273643
0.020000,5.875985,1.055225,1.294164,1.956401,0.053147,0.003554,3.276814
0.020000,5.837201,1.049887,1.333313,1.957465,0.053197,0.002535,3.279907
0.020000,5.798413,1.044428,1.372483,1.958530,0.053248,0.002544,3.282923
0.020000,5.759620,1.038850,1.411675,1.959595,0.053292,0.002180,3.285861
0.020000,5.720822,1.033157,1.450889,1.960662,0.053325,0.001652,3.288722
0.020000,5.682020,1.027351,1.490123,1.961729,0.053350,0.001240,3.291506
0.020000,5.643212,1.021435,1.529379,1.962796,0.053342,-0.000391,3.294211
0.020000,5.604399,1.015412,1.568656,1.963863,0.053370,0.001404,3.296839
0.020000,5.565581,1.009286,1.607955,1.964931,0.053377,0.000332,3.299390
0.020000,5.526757,1.003059,1.647275,1.965998,0.053375,-0.000086,3.301863
0.020000,5.487928,0.996734,1.686616,1.967065,0.053365,-0.000479,3.304258
0.020000,5.449092,0.990314,1.725979,1.968132,0.053321,-0.002197,3.306576
0.020000,5.410250,0.983802,1.765363,1.969199,0.053337,0.000763,3.308816
0.020000,5.371402,0.977201,1.804768,1.970265,0.053316,-0.001003,3.310978
0.020000,5.332547,0.970514,1.844195,1.971331,0.053293,-0.001184,3.313063
0.020000,5.293684,0.963743,1.883643,1.972396,0.053255,-0.001906,3.315071
0.020000,5.254814,0.956893,1.923112,1.973460,0.053208,-0.002332,3.317001
0.020000,5.215936,0.949965,1.962602,1.974524,0.053205,-0.000171,3.318854
0.020000,5.177049,0.942963,2.002114,1.975588,0.053171,-0.001661,3.320629
0.020000,5.138154,0.935890,2.041647,1.976650,0.053137,-0.001740,3.322327
0.020000,5.099250,0.928748,2.081201,1.977712,0.053079,-0.002900,3.323948
0.020000,5.060337,0.921541,2.120777,1.978773,0.053048,-0.001520,3.325492
0.020000,5.021413,0.914271,2.160373,1.979833,0.053028,-0.000998,3.326959
0.020000,4.982479,0.906942,2.199991,1.980893,0.052991,-0.001858,3.328348
0.020000,4.943534,0.899556,2.239630,1.981952,0.052954,-0.001856,3.329661
0.020000,4.904578,0.892117,2.279291,1.983010,0.052887,-0.003366,3.330896
0.020000,4.865610,0.884627,2.318972,1.984068,0.052881,-0.000287,3.332055
0.020000,4.826629,0.877090,2.358674,1.985125,0.052849,-0.001588,3.333137
0.020000,4.787636,0.869508,2.398398,1.986181,0.052815,-0.001693,3.334142
0.020000,4.748629,0.861884,2.438143,1.987236,0.052775,-0.002035,3.335070
0.020000,4.709609,0.854221,2.477909,1.988291,0.052735,-0.001960,3.335922
0.020000,4.670574,0.846522,2.517696,1.989346,0.052727,-0.000442,3.336697
0.020000,4.631524,0.838791,2.557503,1.990400,0.052699,-0.001362,3.337395
0.020000,4.592458,0.831030,2.597333,1.991453,0.052674,-0.001261,3.338016
0.020000,4.553377,0.823241,2.637183,1.992506,0.052639,-0.001750,3.338561
0.020000,4.514278,0.815429,2.677054,1.993559,0.052630,-0.000451,3.339030
0.020000,4.475163,0.807596,2.716946,1.994611,0.052617,-0.000657,3.339422
0.020000,4.436029,0.799745,2.756859,1.995663,0.052601,-0.000785,3.339737
0.020000,4.396877,0.791879,2.796794,1.996715,0.052587,-0.000717,3.339976
0.020000,4.357706,0.784001,2.836749,1.997766,0.052575,-0.000578,3.340139
0.020000,4.318516,0.776114,2.876725,1.998818,0.052575,-0.000006,3.340225
0.020000,4.279305,0.768221,2.916723,1.999869,0.052570,-0.000246,3.340234
0.020000,4.240073,0.760325,2.956741,2.000920,0.052568,-0.000106,3.340167
0.020000,4.200820,0.752429,2.996781,2.001972,0.052573,0.000232,3.340024
0.020000,4.161545,0.744536,3.036841,2.003023,0.052579,0.000299,3.339804
0.020000,4.122247,0.736649,3.076922,2.004075,0.052584,0.000249,3.339508
0.020000,4.082926,0.728771,3.117025,2.005127,0.052593,0.000448,3.339135
0.020000,4.043581,0.720905,3.157149,2.006179,0.052606,0.000668,3.338685
