dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.171779,1.694545,0.000235,0.023529,1.176471,58.823529,3.130050
0.020000,7.171744,1.694546,0.000271,0.001794,-1.086795,-113.163289,3.130180
0.020000,7.171663,1.694546,0.000352,0.004034,0.112003,59.939912,3.130474
0.020000,7.170405,1.694560,0.001610,0.062915,2.944052,141.602425,3.130995
0.020000,7.164299,1.694622,0.007716,0.305297,12.119118,458.753327,3.131808
0.020000,7.155752,1.694701,0.016264,0.427387,6.104499,-300.730974,3.132944
0.020000,7.144763,1.694788,0.027253,0.549442,6.102753,-0.087303,3.134401
0.020000,7.131334,1.694873,0.040682,0.671460,6.100897,-0.092797,3.136175
0.020000,7.115466,1.694942,0.056550,0.793425,6.098242,-0.132750,3.138264
0.020000,7.097159,1.694981,0.074857,0.915336,6.095575,-0.133352,3.140663
0.020000,7.076416,1.694972,0.095601,1.037180,6.092192,-0.169108,3.143367
0.020000,7.053237,1.694896,0.118779,1.158938,6.087896,-0.214811,3.146370
0.020000,7.027625,1.694732,0.144392,1.280614,6.083776,-0.205996,3.149666
0.020000,6.999583,1.694455,0.172435,1.402184,6.078508,-0.263433,3.153247
0.020000,6.969113,1.694041,0.202908,1.523650,6.073314,-0.259687,3.157106
0.020000,6.936218,1.693463,0.235808,1.644992,6.067121,-0.309628,3.161234
0.020000,6.900903,1.692691,0.271132,1.766197,6.060228,-0.344668,3.165621
0.020000,6.863414,1.691704,0.308634,1.875090,5.444631,-30.779842,3.170226
0.020000,6.824243,1.690488,0.347824,1.959501,4.220573,-61.202909,3.174982
0.020000,6.783879,1.689042,0.388213,2.019466,2.998258,-61.115724,3.179820
0.020000,6.742813,1.687371,0.429314,2.055030,1.778176,-61.004145,3.184678
0.020000,6.701531,1.685492,0.470639,2.066232,0.560108,-60.903379,3.189495
0.020000,6.660278,1.683416,0.511944,2.065260,-0.048592,-30.434982,3.194241
0.020000,6.619054,1.681147,0.553229,2.064280,-0.048990,-0.019932,3.198916
0.020000,6.577862,1.678687,0.594495,2.063293,-0.049367,-0.018842,3.203520
0.020000,6.536701,1.676041,0.635741,2.062301,-0.049586,-0.010920,3.208051
0.020000,6.495572,1.673211,0.676967,2.061300,-0.050084,-0.024913,3.212509
0.020000,6.454476,1.670201,0.718173,2.060292,-0.050396,-0.015631,3.216894
0.020000,6.413414,1.667014,0.759359,2.059278,-0.050689,-0.014646,3.221205
0.020000,6.372387,1.663653,0.800524,2.058259,-0.050932,-0.012111,3.225442
0.020000,6.331394,1.660122,0.841668,2.057236,-0.051174,-0.012131,3.229605
0.020000,6.290436,1.656423,0.882793,2.056206,-0.051475,-0.015026,3.233693
0.020000,6.249515,1.652560,0.923896,2.055172,-0.051693,-0.010905,3.237706
