dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008398,0.940102,0.000200,0.020000,1.000000,50.000000,0.000377
0.020000,0.008419,0.940102,0.000221,0.001044,-0.947811,-97.390568,0.000301
0.020000,0.008460,0.940102,0.000263,0.002083,0.051950,49.988077,0.000149
0.020000,0.009341,0.940102,0.001143,0.044009,2.096333,102.219137,6.283108
0.020000,0.012623,0.940101,0.004425,0.164129,6.005972,195.481932,6.282808
0.020000,0.016726,0.940099,0.008528,0.205122,2.049657,-197.815723,6.282436
0.020000,0.021648,0.940094,0.013450,0.246094,2.048606,-0.052578,6.281992
0.020000,0.027388,0.940086,0.019190,0.287034,2.046979,-0.081310,6.281481
0.020000,0.033947,0.940073,0.025749,0.327948,2.045694,-0.064285,6.280903
0.020000,0.041323,0.940053,0.033126,0.368813,2.043280,-0.120673,6.280262
0.020000,0.049516,0.940027,0.041318,0.409643,2.041475,-0.090278,6.279560
0.020000,0.058525,0.939990,0.050327,0.450423,2.039021,-0.122657,6.278802
0.020000,0.068348,0.939943,0.060150,0.491153,2.036490,-0.126561,6.277991
0.020000,0.078984,0.939884,0.070786,0.531819,2.033298,-0.159639,6.277132
0.020000,0.090432,0.939809,0.082235,0.572433,2.030730,-0.128384,6.276228
0.020000,0.102691,0.939718,0.094494,0.612977,2.027172,-0.177889,6.275284
0.020000,0.115760,0.939608,0.107563,0.653451,2.023693,-0.173940,6.274306
0.020000,0.129636,0.939478,0.121440,0.693849,2.019927,-0.188311,6.273298
0.020000,0.144319,0.939325,0.136124,0.734174,2.016210,-0.185834,6.272268
0.020000,0.159806,0.939148,0.151612,0.774414,2.012002,-0.210423,6.271219
0.020000,0.176096,0.938944,0.167904,0.814568,2.007723,-0.213947,6.270160
0.020000,0.193187,0.938713,0.184996,0.854629,2.003073,-0.232476,6.269096
0.020000,0.211077,0.938451,0.202888,0.894596,1.998345,-0.236407,6.268034
0.020000,0.229764,0.938158,0.221577,0.934467,1.993516,-0.241471,6.266982
0.020000,0.249246,0.937832,0.241062,0.974234,1.988346,-0.258490,6.265947
0.020000,0.269521,0.937472,0.261340,1.013895,1.983061,-0.264262,6.264937
0.020000,0.290586,0.937077,0.282409,1.053442,1.977370,-0.284532,6.263959
0.020000,0.312439,0.936647,0.304266,1.092878,1.971765,-0.280248,6.263022
0.020000,0.335079,0.936180,0.326910,1.132193,1.965766,-0.299979,6.262136
0.020000,0.358501,0.935677,0.350338,1.171389,1.959789,-0.298831,6.261307
0.020000,0.382704,0.935138,0.374547,1.210454,1.953278,-0.325536,6.260547
0.020000,0.407685,0.934563,0.399535,1.249391,1.946857,-0.321081,6.259864
0.020000,0.433442,0.933955,0.425299,1.288193,1.940064,-0.339642,6.259268
0.020000,0.459971,0.933313,0.451836,1.326855,1.933101,-0.348153,6.258770
0.020000,0.487270,0.932641,0.479143,1.365372,1.925873,-0.361391,6.258379
0.020000,0.515336,0.931940,0.507218,1.403741,1.918458,-0.370737,6.258107
0.020000,0.544166,0.931215,0.536057,1.441956,1.910762,-0.384803,6.257965
0.020000,0.573757,0.930468,0.565658,1.480013,1.902838,-0.396224,6.257964
0.020000,0.604106,0.929704,0.596016,1.517906,1.894613,-0.411225,6.258116
0.020000,0.635209,0.928929,0.627128,1.555628,1.886141,-0.423589,6.258434
0.020000,0.667063,0.928148,0.658992,1.593174,1.877298,-0.442150,6.258931
0.020000,0.699664,0.927368,0.691602,1.630539,1.868239,-0.452980,6.259619
0.020000,0.733009,0.926596,0.724957,1.667713,1.858719,-0.475985,6.260512
0.020000,0.767095,0.925842,0.759051,1.704691,1.848880,-0.491932,6.261626
0.020000,0.801917,0.925114,0.793880,1.741465,1.838679,-0.510073,6.262974
0.020000,0.837470,0.924423,0.829440,1.778026,1.828073,-0.530286,6.264572
0.020000,0.873752,0.923780,0.865728,1.814364,1.816915,-0.557908,6.266436
0.020000,0.910757,0.923199,0.902737,1.850471,1.805328,-0.579349,6.268584
0.020000,0.948480,0.922694,0.940464,1.886336,1.793256,-0.603627,6.271032
0.020000,0.986917,0.922279,0.978903,1.921946,1.780503,-0.637611,6.273800
0.020000,1.025866,0.921973,1.017853,1.947519,1.278620,-25.094185,6.276889
0.020000,1.064933,0.921792,1.056920,1.953355,0.291803,-49.340836,6.280281
0.020000,1.103920,0.921750,1.095907,1.949356,-0.199937,-24.587007,0.000779
0.020000,1.142826,0.921856,1.134813,1.945299,-0.202827,-0.144467,0.004757
0.020000,1.181649,0.922123,1.173637,1.941203,-0.204837,-0.100504,0.009034
0.020000,1.220387,0.922561,1.212378,1.937040,-0.208127,-0.164524,0.013612
0.020000,1.259039,0.923180,1.251035,1.932824,-0.210809,-0.134084,0.018498
0.020000,1.297601,0.923993,1.289606,1.928549,-0.213767,-0.147889,0.023694
0.020000,1.336072,0.925010,1.328090,1.924202,-0.217327,-0.178048,0.029206
0.020000,1.374448,0.926242,1.366486,1.919797,-0.220238,-0.145536,0.035039
0.020000,1.412726,0.927701,1.404792,1.915320,-0.223860,-0.181102,0.041198
0.020000,1.450904,0.929397,1.443007,1.910768,-0.227617,-0.187813,0.047687
0.020000,1.488977,0.931343,1.481130,1.906147,-0.231027,-0.170518,0.054512
0.020000,1.526942,0.933550,1.519159,1.901455,-0.234601,-0.178704,0.061679
0.020000,1.564795,0.936030,1.557093,1.896681,-0.238691,-0.204521,0.069193
0.020000,1.602530,0.938793,1.594930,1.891832,-0.242461,-0.188490,0.077059
0.020000,1.640144,0.941851,1.632668,1.886908,-0.246208,-0.187335,0.085283
0.020000,1.677632,0.945217,1.670306,1.881915,-0.249634,-0.171304,0.093871
0.020000,1.714988,0.948902,1.707843,1.876841,-0.253713,-0.203972,0.102828
0.020000,1.752205,0.952917,1.745277,1.871695,-0.257313,-0.179975,0.112159
0.020000,1.789280,0.957274,1.782606,1.866479,-0.260780,-0.173377,0.121869
0.020000,1.826205,0.961984,1.819830,1.861198,-0.264073,-0.164634,0.131963
0.020000,1.862973,0.967059,1.856947,1.855855,-0.267144,-0.153533,0.142445
0.020000,1.899578,0.972511,1.893957,1.850456,-0.269941,-0.139859,0.153321
0.020000,1.936014,0.978351,1.930857,1.845008,-0.272409,-0.123395,0.164592
0.020000,1.972271,0.984589,1.967647,1.839518,-0.274488,-0.103934,0.176263
0.020000,2.008344,0.991237,2.004327,1.833996,-0.276113,-0.081278,0.188335
0.020000,2.044223,0.998307,2.040896,1.828451,-0.277218,-0.055249,0.200810
0.020000,2.079901,1.005807,2.077354,1.822897,-0.277732,-0.025697,0.213690
0.020000,2.115369,1.013750,2.113701,1.817345,-0.277582,0.007493,0.226973
0.020000,2.150620,1.022144,2.149937,1.811811,-0.276694,0.044388,0.240658
0.020000,2.185644,1.031000,2.186063,1.806311,-0.274994,0.085003,0.254743
0.020000,2.220432,1.040327,2.222081,1.800863,-0.272409,0.129284,0.269225
0.020000,2.254977,1.050134,2.257990,1.795486,-0.268867,0.177100,0.284097
0.020000,2.289269,1.060431,2.293794,1.790200,-0.264302,0.228239,0.299354
0.020000,2.323298,1.071224,2.329495,1.785027,-0.258654,0.282395,0.314987
0.020000,2.357058,1.082522,2.365095,1.779989,-0.251864,0.339477,0.330987
0.020000,2.390538,1.094333,2.400597,1.775110,-0.243958,0.395347,0.347341
0.020000,2.423730,1.106662,2.436005,1.770414,-0.234805,0.457609,0.364036
0.020000,2.456627,1.119517,2.471324,1.765926,-0.224415,0.519513,0.381058
0.020000,2.489218,1.132902,2.506557,1.761670,-0.212797,0.580895,0.398390
0.020000,2.521498,1.146823,2.541710,1.757671,-0.199968,0.641482,0.416012
0.020000,2.553457,1.161285,2.576789,1.753951,-0.185960,0.700372,0.433904
0.020000,2.585089,1.176291,2.611800,1.750535,-0.170827,0.756637,0.452046
0.020000,2.616386,1.191844,2.646749,1.747442,-0.154640,0.809353,0.470412
0.020000,2.647342,1.207947,2.681643,1.744692,-0.137488,0.857627,0.488978
0.020000,2.677950,1.224602,2.716489,1.742303,-0.119475,0.900634,0.507717
0.020000,2.708204,1.241811,2.751295,1.740288,-0.100722,0.937646,0.526603
0.020000,2.738099,1.259572,2.786068,1.738661,-0.081361,0.968070,0.545608
0.020000,2.767629,1.277887,2.820817,1.737431,-0.061531,0.991468,0.564702
0.020000,2.796790,1.296754,2.855549,1.736603,-0.041380,1.007587,0.583855
0.020000,2.825576,1.316173,2.890272,1.736182,-0.021052,1.016368,0.603040
0.020000,2.853985,1.336139,2.924996,1.736168,-0.000693,1.017956,0.622227
0.020000,2.882011,1.356652,2.959726,1.736535,0.018370,0.953139,0.641385
0.020000,2.909652,1.377705,2.994472,1.737304,0.038446,1.003822,0.660488
0.020000,2.936905,1.399297,3.029242,1.738474,0.058460,1.000707,0.679507
0.020000,2.963766,1.421420,3.064041,1.739959,0.074264,0.790213,0.698416
0.020000,2.990235,1.444071,3.098878,1.741855,0.094785,1.026023,0.717189
0.020000,3.016308,1.467241,3.133759,1.744027,0.108642,0.692848,0.735803
0.020000,3.041985,1.490924,3.168690,1.746544,0.125847,0.860272,0.754234
0.020000,3.067263,1.515112,3.203677,1.749352,0.140370,0.726138,0.772461
0.020000,3.092143,1.539798,3.238725,1.752417,0.153258,0.644405,0.790466
0.020000,3.116623,1.564972,3.273839,1.755714,0.164836,0.578903,0.808231
0.020000,3.140704,1.590625,3.309024,1.759234,0.176003,0.558352,0.825740
0.020000,3.164384,1.616748,3.344283,1.762935,0.185081,0.453908,0.842978
0.020000,3.187666,1.643330,3.379619,1.766813,0.193875,0.439702,0.859935
0.020000,3.210550,1.670361,3.415036,1.770845,0.201608,0.386605,0.876599
0.020000,3.233037,1.697831,3.450536,1.775016,0.208551,0.347193,0.892961
0.020000,3.255129,1.725728,3.486120,1.779220,0.210216,0.083212,0.909015
0.020000,3.276827,1.754041,3.521792,1.783579,0.217961,0.387262,0.924755
0.020000,3.298133,1.782759,3.557550,1.787920,0.217048,-0.045654,0.940175
0.020000,3.319050,1.811871,3.593398,1.792371,0.222513,0.273244,0.955275
0.020000,3.339581,1.841366,3.629334,1.796824,0.222666,0.007662,0.970052
0.020000,3.359728,1.871230,3.665359,1.801239,0.220759,-0.095363,0.984505
0.020000,3.379495,1.901454,3.701473,1.805686,0.222324,0.078253,0.998636
0.020000,3.398885,1.932025,3.737675,1.810115,0.221487,-0.041856,1.012445
0.020000,3.417902,1.962933,3.773965,1.814495,0.218959,-0.126382,1.025935
0.020000,3.436550,1.994166,3.810341,1.818815,0.216016,-0.147130,1.039109
0.020000,3.454832,2.025714,3.846804,1.823127,0.215589,-0.021353,1.051972
0.020000,3.472755,2.057566,3.883352,1.827403,0.213798,-0.089572,1.064526
0.020000,3.490320,2.089710,3.919982,1.831490,0.204367,-0.471530,1.076777
0.020000,3.508552,2.123380,3.958272,1.914491,4.150046,197.283916,1.068132
0.020000,3.530301,2.162191,4.002760,2.224445,15.497680,567.381738,1.051807
0.020000,3.552761,2.200757,4.047390,2.231498,0.352691,-757.249477,1.034968
0.020000,3.575953,2.239057,4.092164,2.238695,0.359847,0.357807,1.017607
0.020000,3.599893,2.277065,4.137084,2.245986,0.364530,0.234140,0.999716
0.020000,3.624600,2.314754,4.182149,2.253273,0.364357,-0.008621,0.981292
0.020000,3.650090,2.352098,4.227363,2.260688,0.370770,0.320629,0.962331
0.020000,3.676378,2.389064,4.272724,2.268028,0.366955,-0.190741,0.942836
0.020000,3.703479,2.425620,4.318230,2.275323,0.364795,-0.108028,0.922809
0.020000,3.731404,2.461733,4.363881,2.282522,0.359929,-0.243285,0.902259
0.020000,3.760163,2.497367,4.409672,2.289555,0.351658,-0.413531,0.881196
0.020000,3.789763,2.532485,4.455600,2.296422,0.343329,-0.416463,0.859636
0.020000,3.820208,2.567047,4.501659,2.302961,0.326945,-0.819185,0.837598
0.020000,3.851499,2.601015,4.547844,2.309210,0.312459,-0.724306,0.815108
0.020000,3.883635,2.634348,4.594144,2.315018,0.290420,-1.101981,0.792193
0.020000,3.916608,2.667004,4.640551,2.320370,0.267587,-1.141640,0.768890
0.020000,3.950409,2.698943,4.687055,2.325186,0.240811,-1.338811,0.745236
0.020000,3.985023,2.730124,4.733643,2.329394,0.210392,-1.520922,0.721275
0.020000,4.020432,2.760509,4.780302,2.332928,0.176703,-1.684440,0.697057
0.020000,4.056613,2.790060,4.827017,2.335784,0.142783,-1.696032,0.672633
0.020000,4.093540,2.818740,4.873774,2.337817,0.101640,-2.057155,0.648060
0.020000,4.131183,2.846517,4.920555,2.339091,0.063727,-1.895608,0.623395
0.020000,4.169506,2.873362,4.967345,2.339493,0.020104,-2.181166,0.598700
0.020000,4.208472,2.899247,5.014126,2.339049,-0.022216,-2.115986,0.574037
0.020000,4.248042,2.924152,5.060881,2.337746,-0.065121,-2.145260,0.549469
0.020000,4.288173,2.948058,5.107593,2.335588,-0.107912,-2.139555,0.525058
0.020000,4.328821,2.970952,5.154245,2.332590,-0.149923,-2.100575,0.500866
0.020000,4.369941,2.992826,5.200820,2.328779,-0.190543,-2.030970,0.476951
0.020000,4.411486,3.013676,5.247304,2.324194,-0.229227,-1.934186,0.453369
0.020000,4.453412,3.033503,5.293682,2.318884,-0.265512,-1.814273,0.430174
0.020000,4.495673,3.052313,5.339940,2.312904,-0.299025,-1.675672,0.407413
0.020000,4.538226,3.070115,5.386066,2.306314,-0.329485,-1.523001,0.385132
0.020000,4.581027,3.086924,5.432050,2.299180,-0.356702,-1.360849,0.363370
0.020000,4.624037,3.102757,5.477881,2.291568,-0.380575,-1.193615,0.342162
0.020000,4.667216,3.117634,5.523552,2.283545,-0.401163,-1.029407,0.321538
