dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008501,0.665102,0.000200,0.020000,1.000000,50.000000,0.000377
0.020000,0.008501,0.665102,0.001000,0.060000,2.000000,50.000000,0.000301
0.020000,0.008501,0.665102,0.002600,0.100000,2.000000,0.000000,0.000149
0.020000,0.009319,0.665102,0.005000,0.140000,2.000000,0.000000,6.283108
0.020000,0.012519,0.665101,0.008200,0.180000,2.000000,-0.000000,6.282808
0.020000,0.016519,0.665099,0.012200,0.220000,2.000000,0.000000,6.282436
0.020000,0.021319,0.665094,0.017000,0.260000,2.000000,0.000000,6.281992
0.020000,0.026919,0.665086,0.022600,0.300000,2.000000,-0.000000,6.281481
0.020000,0.033319,0.665073,0.029000,0.340000,2.000000,0.000000,6.280903
0.020000,0.040519,0.665055,0.036200,0.380000,2.000000,-0.000000,6.280262
0.020000,0.048519,0.665028,0.044200,0.420000,2.000000,0.000000,6.279560
0.020000,0.057319,0.664993,0.053000,0.460000,2.000000,0.000000,6.278802
0.020000,0.066919,0.664947,0.062600,0.500000,2.000000,-0.000000,6.277991
0.020000,0.077319,0.664889,0.073000,0.540000,2.000000,0.000000,6.277132
0.020000,0.088519,0.664816,0.084200,0.580000,2.000000,-0.000000,6.276228
0.020000,0.100518,0.664727,0.096200,0.620000,2.000000,0.000000,6.275284
0.020000,0.113318,0.664619,0.109000,0.660000,2.000000,0.000000,6.274306
0.020000,0.126917,0.664491,0.122600,0.700000,2.000000,-0.000000,6.273298
0.020000,0.141317,0.664342,0.137000,0.740000,2.000000,0.000000,6.272268
0.020000,0.156516,0.664168,0.152200,0.780000,2.000000,0.000000,6.271219
0.020000,0.172514,0.663968,0.168200,0.820000,2.000000,-0.000000,6.270160
0.020000,0.189313,0.663740,0.185000,0.860000,2.000000,0.000000,6.269096
0.020000,0.206911,0.663482,0.202600,0.900000,2.000000,0.000000,6.268034
0.020000,0.225309,0.663194,0.221000,0.940000,2.000000,-0.000000,6.266982
0.020000,0.244506,0.662873,0.240200,0.980000,2.000000,0.000000,6.265947
0.020000,0.264503,0.662518,0.260200,1.020000,2.000000,0.000000,6.264937
0.020000,0.285299,0.662128,0.281000,1.060000,2.000000,0.000000,6.263959
0.020000,0.306895,0.661702,0.302600,1.100000,2.000000,0.000000,6.263022
0.020000,0.329290,0.661241,0.325000,1.140000,2.000000,-0.000000,6.262136
0.020000,0.352485,0.660743,0.348200,1.180000,2.000000,0.000000,6.261307
0.020000,0.376479,0.660208,0.372200,1.220000,2.000000,0.000000,6.260547
0.020000,0.401272,0.659638,0.397000,1.260000,2.000000,0.000000,6.259864
0.020000,0.426865,0.659033,0.422600,1.300000,2.000000,0.000000,6.259268
0.020000,0.453258,0.658395,0.449000,1.340000,2.000000,0.000000,6.258770
0.020000,0.480449,0.657726,0.476200,1.380000,2.000000,-0.000000,6.258379
0.020000,0.508441,0.657027,0.504200,1.420000,2.000000,0.000000,6.258107
0.020000,0.537232,0.656302,0.533000,1.460000,2.000000,0.000000,6.257965
0.020000,0.566822,0.655556,0.562600,1.500000,2.000000,0.000000,6.257964
0.020000,0.597212,0.654791,0.593000,1.540000,2.000000,0.000000,6.258116
0.020000,0.628403,0.654013,0.624200,1.580000,2.000000,0.000000,6.258434
0.020000,0.660393,0.653229,0.656200,1.620000,2.000000,0.000000,6.258931
0.020000,0.693184,0.652444,0.689000,1.660000,2.000000,-0.000000,6.259619
0.020000,0.726775,0.651667,0.722600,1.700000,2.000000,0.000000,6.260512
0.020000,0.761166,0.650906,0.757000,1.740000,2.000000,0.000000,6.261626
0.020000,0.796359,0.650170,0.792200,1.780000,2.000000,0.000000,6.262974
0.020000,0.832352,0.649470,0.828200,1.820000,2.000000,0.000000,6.264572
0.020000,0.869146,0.648819,0.865000,1.860000,2.000000,0.000000,6.266436
0.020000,0.906742,0.648229,0.902600,1.900000,2.000000,-0.000000,6.268584
0.020000,0.945138,0.647714,0.941000,1.940000,2.000000,0.000000,6.271032
0.020000,0.984336,0.647291,0.980200,1.980000,2.000000,0.000000,6.273800
0.020000,1.024135,0.646978,1.020000,2.000000,1.000000,-50.000000,6.276889
0.020000,1.064134,0.646793,1.060000,2.000000,0.000000,-50.000000,6.280281
0.020000,1.104134,0.646750,1.100000,2.000000,0.000000,0.000000,0.000779
0.020000,1.144134,0.646860,1.140000,2.000000,0.000000,0.000000,0.004757
0.020000,1.184133,0.647134,1.180000,2.000000,0.000000,0.000000,0.009034
0.020000,1.224130,0.647586,1.220000,2.000000,0.000000,0.000000,0.013612
