dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.008605,0.390102,0.000200,0.020000,1.000000,50.000000,0.000377
0.020000,0.008584,0.390102,0.000221,0.001044,-0.947811,-97.390568,0.000301
0.020000,0.008543,0.390102,0.000263,0.002083,0.051950,49.988077,0.000149
0.020000,0.009298,0.390102,0.001018,0.037785,1.785116,86.658275,6.283108
0.020000,0.012416,0.390101,0.004136,0.155875,5.904475,205.967966,6.282808
0.020000,0.016313,0.390099,0.008033,0.194877,1.950117,-197.717887,6.282436
0.020000,0.020991,0.390094,0.012711,0.233906,1.951472,0.067762,6.281992
0.020000,0.026451,0.390086,0.018171,0.272961,1.952746,0.063691,6.281481
0.020000,0.032692,0.390074,0.024412,0.312057,1.954806,0.102963,6.280903
0.020000,0.039715,0.390056,0.031435,0.351182,1.956250,0.072209,6.280262
0.020000,0.047522,0.390030,0.039243,0.390357,1.958726,0.123821,6.279560
0.020000,0.056114,0.389996,0.047834,0.429578,1.961036,0.115466,6.278802
0.020000,0.065491,0.389951,0.057211,0.468852,1.963715,0.133979,6.277991
0.020000,0.075654,0.389894,0.067375,0.508176,1.966203,0.124374,6.277132
0.020000,0.086605,0.389822,0.078326,0.547570,1.969722,0.175960,6.276228
0.020000,0.098346,0.389735,0.090067,0.587025,1.972724,0.150111,6.275284
0.020000,0.110876,0.389630,0.102598,0.626549,1.976225,0.175052,6.274306
0.020000,0.124199,0.389505,0.115920,0.666147,1.979869,0.182200,6.273298
0.020000,0.138314,0.389358,0.130037,0.705826,1.983974,0.205260,6.272268
0.020000,0.153225,0.389187,0.144949,0.745587,1.988016,0.202072,6.271219
0.020000,0.168932,0.388991,0.160657,0.785434,1.992393,0.218868,6.270160
0.020000,0.185438,0.388767,0.177165,0.825371,1.996813,0.220988,6.269096
0.020000,0.202745,0.388514,0.194473,0.865402,2.001552,0.236981,6.268034
0.020000,0.220853,0.388230,0.212584,0.905534,2.006588,0.251763,6.266982
0.020000,0.239766,0.387914,0.231499,0.945767,2.011685,0.254853,6.265947
0.020000,0.259485,0.387564,0.251221,0.986108,2.017060,0.268760,6.264937
0.020000,0.280012,0.387179,0.271752,1.026557,2.022431,0.268548,6.263959
0.020000,0.301351,0.386758,0.293095,1.067123,2.028277,0.292281,6.263022
0.020000,0.323502,0.386302,0.315251,1.107805,2.034132,0.292753,6.262136
0.020000,0.346469,0.385808,0.338223,1.148613,2.040408,0.313820,6.261307
0.020000,0.370254,0.385279,0.362014,1.189545,2.046566,0.307893,6.260547
0.020000,0.394860,0.384713,0.386626,1.230609,2.053224,0.332897,6.259864
0.020000,0.420289,0.384112,0.412062,1.271808,2.059940,0.335810,6.259268
0.020000,0.446544,0.383477,0.438325,1.313146,2.066924,0.349201,6.258770
0.020000,0.473628,0.382810,0.465418,1.354628,2.074097,0.358660,6.258379
0.020000,0.501545,0.382113,0.493343,1.396259,2.081554,0.372846,6.258107
0.020000,0.530297,0.381390,0.522104,1.438044,2.089221,0.383369,6.257965
0.020000,0.559887,0.380643,0.551704,1.479987,2.097175,0.397696,6.257964
0.020000,0.590319,0.379877,0.582145,1.522095,2.105371,0.409797,6.258116
0.020000,0.621597,0.379098,0.613433,1.564373,2.113893,0.426062,6.258434
0.020000,0.653724,0.378310,0.645569,1.606826,2.122649,0.437816,6.258931
0.020000,0.686704,0.377520,0.678559,1.649462,2.131834,0.459276,6.259619
0.020000,0.720540,0.376738,0.712404,1.692287,2.141246,0.470582,6.260512
0.020000,0.755238,0.375969,0.747111,1.735309,2.151073,0.491354,6.261626
0.020000,0.790801,0.375226,0.782681,1.778535,2.161324,0.512520,6.262974
0.020000,0.827234,0.374518,0.819121,1.821975,2.172012,0.534427,6.264572
0.020000,0.864540,0.373858,0.856434,1.865636,2.183048,0.551813,6.266436
0.020000,0.902726,0.373258,0.894624,1.909529,2.194625,0.578850,6.268584
0.020000,0.941796,0.372735,0.933697,1.953664,2.206758,0.606610,6.271032
0.020000,0.981755,0.372303,0.973658,1.998050,2.219321,0.628167,6.273800
0.020000,1.022403,0.371984,1.014308,2.032483,1.721628,-24.884664,6.276889
0.020000,1.063336,0.371794,1.055241,2.046641,0.707880,-50.687365,6.280281
0.020000,1.104348,0.371750,1.096254,2.050647,0.200310,-25.378519,0.000779
0.020000,1.145442,0.371863,1.137348,2.054692,0.202257,0.097361,0.004757
0.020000,1.186617,0.372146,1.178524,2.058801,0.205475,0.160873,0.009034
0.020000,1.227874,0.372612,1.219783,2.062955,0.207670,0.109757,0.013612
0.020000,1.269212,0.373274,1.261126,2.067171,0.210830,0.157998,0.018498
0.020000,1.310632,0.374147,1.302555,2.071452,0.214004,0.158722,0.023694
0.020000,1.352133,0.375244,1.344071,2.075788,0.216819,0.140737,0.029206
0.020000,1.393715,0.376579,1.385675,2.080200,0.220603,0.189216,0.035039
0.020000,1.435379,0.378167,1.427369,2.084677,0.223866,0.163162,0.041198
0.020000,1.477122,0.380022,1.469153,2.089221,0.227198,0.166601,0.047687
0.020000,1.518944,0.382160,1.511030,2.093843,0.231095,0.194805,0.054512
0.020000,1.560844,0.384596,1.553001,2.098542,0.234965,0.193518,0.061679
0.020000,1.602821,0.387346,1.595067,2.103310,0.238373,0.170397,0.069193
0.020000,1.644871,0.390425,1.637230,2.108154,0.242193,0.190983,0.077059
0.020000,1.686993,0.393850,1.679491,2.113075,0.246045,0.192602,0.085283
0.020000,1.729185,0.397639,1.721853,2.118079,0.250204,0.207970,0.093871
0.020000,1.771443,0.401807,1.764316,2.123149,0.253506,0.165087,0.102828
0.020000,1.813763,0.406372,1.806882,2.128292,0.257144,0.181933,0.112159
0.020000,1.856142,0.411353,1.849552,2.133505,0.260647,0.175139,0.121869
0.020000,1.898574,0.416766,1.892328,2.138784,0.263970,0.166121,0.131963
0.020000,1.941053,0.422630,1.935210,2.144125,0.267063,0.154688,0.142445
0.020000,1.983575,0.428963,1.978201,2.149523,0.269876,0.140646,0.153321
0.020000,2.026131,0.435784,2.021300,2.154970,0.272352,0.123808,0.164592
0.020000,2.068714,0.443111,2.064509,2.160459,0.274432,0.103991,0.176263
0.020000,2.111317,0.450963,2.107829,2.165980,0.276053,0.081023,0.188335
0.020000,2.153928,0.459359,2.151259,2.171523,0.277148,0.054752,0.200810
0.020000,2.196538,0.468317,2.194801,2.177076,0.277649,0.025048,0.213690
0.020000,2.239135,0.477856,2.238453,2.182625,0.277485,-0.008188,0.226973
0.020000,2.281708,0.487994,2.282216,2.188157,0.276585,-0.045015,0.240658
0.020000,2.324242,0.498750,2.326089,2.193654,0.274876,-0.085448,0.254743
0.020000,2.366724,0.510139,2.370071,2.199100,0.272287,-0.129442,0.269225
0.020000,2.409137,0.522181,2.414161,2.204475,0.268749,-0.176891,0.284097
0.020000,2.451465,0.534891,2.458356,2.209759,0.264197,-0.227615,0.299354
0.020000,2.493691,0.548284,2.502655,2.214930,0.258570,-0.281351,0.314987
0.020000,2.535795,0.562375,2.547054,2.219967,0.251823,-0.337355,0.330987
0.020000,2.577757,0.577178,2.591551,2.224843,0.243828,-0.399737,0.347341
0.020000,2.619557,0.592705,2.636142,2.229537,0.234673,-0.457715,0.364036
0.020000,2.661173,0.608967,2.680822,2.234023,0.224311,-0.518146,0.381058
0.020000,2.702582,0.625974,2.725588,2.238278,0.212720,-0.579549,0.398390
0.020000,2.743761,0.643734,2.770433,2.242276,0.199912,-0.640380,0.416012
0.020000,2.784686,0.662253,2.815353,2.245994,0.185917,-0.699733,0.433904
0.020000,2.825332,0.681535,2.860341,2.249410,0.170785,-0.756636,0.452046
0.020000,2.865675,0.701584,2.905391,2.252501,0.154583,-0.810072,0.470412
0.020000,2.905690,0.722400,2.950496,2.255250,0.137403,-0.858999,0.488978
0.020000,2.945351,0.743981,2.995649,2.257637,0.119356,-0.902375,0.507717
0.020000,2.984634,0.766325,3.040842,2.259648,0.100572,-0.939186,0.526603
0.020000,3.023515,0.789425,3.086067,2.261272,0.081202,-0.968475,0.545608
0.020000,3.061969,0.813275,3.131317,2.262500,0.061415,-0.989371,0.564702
0.020000,3.099975,0.837865,3.176584,2.263328,0.041393,-1.001116,0.583855
0.020000,3.137508,0.863184,3.221859,2.263755,0.021331,-1.003090,0.603040
0.020000,3.174550,0.889219,3.267135,2.263784,0.001434,-0.994833,0.622227
0.020000,3.211079,0.915954,3.312403,2.263391,-0.019639,-1.053671,0.641385
0.020000,3.247078,0.943374,3.357655,2.262621,-0.038498,-0.942963,0.660488
0.020000,3.282530,0.971462,3.402885,2.261497,-0.056192,-0.884656,0.679507
0.020000,3.317419,1.000196,3.448084,2.259941,-0.077777,-1.079261,0.698416
0.020000,3.351733,1.029560,3.493246,2.258114,-0.091353,-0.678800,0.717189
0.020000,3.385458,1.059530,3.538364,2.255886,-0.111435,-1.004087,0.735803
0.020000,3.418586,1.090086,3.583432,2.253389,-0.124814,-0.668983,0.754234
