dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.030768,0.934370,0.000200,0.020000,1.000000,50.000000,6.264207
0.020000,0.030719,0.934371,0.000249,0.002461,-0.876943,-93.847127,6.264386
0.020000,0.030620,0.934373,0.000348,0.004922,0.123019,49.998075,6.264744
0.020000,0.030473,0.934375,0.000495,0.007380,0.122942,-0.003861,6.265281
0.020000,0.031173,0.934363,0.001196,0.035014,1.381665,62.936163,6.265996
0.020000,0.034927,0.934300,0.004950,0.187717,7.635163,312.674914,6.266890
0.020000,0.039431,0.934229,0.009455,0.225253,1.876788,-287.918767,6.267963
0.020000,0.044686,0.934153,0.014711,0.262789,1.876833,0.002275,6.269214
0.020000,0.050693,0.934073,0.020718,0.300347,1.877861,0.051375,6.270643
0.020000,0.057450,0.933994,0.027476,0.337907,1.878017,0.007798,6.272249
0.020000,0.064959,0.933918,0.034985,0.375466,1.877935,-0.004098,6.274034
0.020000,0.073220,0.933851,0.043246,0.413039,1.878651,0.035790,6.275996
0.020000,0.082232,0.933796,0.052258,0.450599,1.878021,-0.031506,6.278134
0.020000,0.091995,0.933758,0.062021,0.488151,1.877605,-0.020772,6.280449
0.020000,0.102510,0.933742,0.072536,0.525769,1.880913,0.165382,6.282940
0.020000,0.113777,0.933754,0.083803,0.563333,1.878202,-0.135538,0.002421
0.020000,0.125795,0.933800,0.095821,0.600927,1.879692,0.074515,0.005261
0.020000,0.138566,0.933887,0.108593,0.638554,1.881336,0.082191,0.008276
0.020000,0.152088,0.934020,0.122116,0.676166,1.880596,-0.037035,0.011464
0.020000,0.166363,0.934208,0.136392,0.713791,1.881266,0.033535,0.014824
0.020000,0.181390,0.934457,0.151421,0.751447,1.882807,0.077041,0.018356
0.020000,0.197169,0.934776,0.167203,0.789112,1.883248,0.022072,0.022057
0.020000,0.213700,0.935173,0.183738,0.826770,1.882859,-0.019459,0.025928
0.020000,0.230983,0.935656,0.201028,0.864490,1.886020,0.158022,0.029965
0.020000,0.249017,0.936234,0.219072,0.902186,1.884826,-0.059691,0.034169
0.020000,0.267803,0.936918,0.237870,0.939934,1.887373,0.127368,0.038537
0.020000,0.287341,0.937715,0.257425,0.977706,1.888587,0.060672,0.043068
0.020000,0.307630,0.938637,0.277734,1.015492,1.889330,0.037167,0.047760
0.020000,0.328670,0.939694,0.298801,1.053308,1.890801,0.073537,0.052609
0.020000,0.350460,0.940896,0.320624,1.091172,1.893204,0.120141,0.057615
0.020000,0.373000,0.942255,0.343205,1.129061,1.894431,0.061353,0.062775
0.020000,0.396290,0.943781,0.366545,1.166966,1.895260,0.041464,0.068085
0.020000,0.420329,0.945486,0.390644,1.204959,1.899626,0.218303,0.073544
0.020000,0.445115,0.947382,0.415503,1.242952,1.899666,0.002019,0.079147
0.020000,0.470649,0.949481,0.441123,1.281004,1.902576,0.145504,0.084891
0.020000,0.496930,0.951796,0.467505,1.319111,1.905380,0.140199,0.090774
0.020000,0.523956,0.954338,0.494651,1.357273,1.908115,0.136727,0.096790
0.020000,0.551727,0.957120,0.522560,1.395490,1.910823,0.135402,0.102937
0.020000,0.580241,0.960156,0.551236,1.433761,1.913547,0.136179,0.109208
0.020000,0.609497,0.963459,0.580677,1.472087,1.916326,0.138994,0.115601
0.020000,0.639494,0.967041,0.610888,1.510509,1.921102,0.238765,0.122110
0.020000,0.670230,0.970917,0.641867,1.548971,1.923086,0.099204,0.128730
0.020000,0.701704,0.975099,0.673617,1.587526,1.927722,0.231810,0.135455
0.020000,0.733914,0.979601,0.706141,1.626157,1.931596,0.193678,0.142280
0.020000,0.766858,0.984436,0.739438,1.664865,1.935396,0.190043,0.149198
0.020000,0.800535,0.989619,0.773511,1.703660,1.939722,0.216257,0.156204
0.020000,0.834942,0.995163,0.808362,1.742549,1.944437,0.235775,0.163291
0.020000,0.870077,1.001082,0.843993,1.781532,1.949163,0.236290,0.170453
0.020000,0.905939,1.007388,0.880405,1.820600,1.953431,0.213389,0.177681
0.020000,0.942525,1.014096,0.917600,1.859787,1.959313,0.294103,0.184969
0.020000,0.979646,1.021183,0.955392,1.889564,1.488845,-23.523402,0.192273
0.020000,1.016927,1.028581,0.993400,1.900422,0.542927,-47.295900,0.199515
0.020000,1.054182,1.036253,1.031437,1.901817,0.069760,-23.658342,0.206655
0.020000,1.091409,1.044195,1.069501,1.903229,0.070584,0.041206,0.213693
0.020000,1.128607,1.052402,1.107594,1.904663,0.071724,0.056993,0.220626
