dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.025549,0.659419,0.000200,0.020000,1.000000,50.000000,6.264207
0.020000,0.025549,0.659419,0.001000,0.060000,2.000000,50.000000,6.264386
0.020000,0.025549,0.659419,0.002600,0.100000,2.000000,0.000000,6.264744
0.020000,0.025549,0.659419,0.005000,0.140000,2.000000,0.000000,6.265281
0.020000,0.026446,0.659404,0.008200,0.180000,2.000000,-0.000000,6.265996
0.020000,0.030446,0.659337,0.012200,0.220000,2.000000,0.000000,6.266890
0.020000,0.035245,0.659261,0.017000,0.260000,2.000000,0.000000,6.267963
0.020000,0.040844,0.659179,0.022600,0.300000,2.000000,-0.000000,6.269214
0.020000,0.047244,0.659095,0.029000,0.340000,2.000000,0.000000,6.270643
0.020000,0.054443,0.659010,0.036200,0.380000,2.000000,-0.000000,6.272249
0.020000,0.062443,0.658930,0.044200,0.420000,2.000000,0.000000,6.274034
0.020000,0.071243,0.658858,0.053000,0.460000,2.000000,0.000000,6.275996
0.020000,0.080843,0.658799,0.062600,0.500000,2.000000,-0.000000,6.278134
0.020000,0.091242,0.658759,0.073000,0.540000,2.000000,0.000000,6.280449
0.020000,0.102442,0.658742,0.084200,0.580000,2.000000,-0.000000,6.282940
0.020000,0.114442,0.658755,0.096200,0.620000,2.000000,0.000000,0.002421
0.020000,0.127242,0.658804,0.109000,0.660000,2.000000,0.000000,0.005261
0.020000,0.140842,0.658896,0.122600,0.700000,2.000000,-0.000000,0.008276
0.020000,0.155241,0.659038,0.137000,0.740000,2.000000,0.000000,0.011464
0.020000,0.170440,0.659238,0.152200,0.780000,2.000000,0.000000,0.014824
0.020000,0.186437,0.659504,0.168200,0.820000,2.000000,-0.000000,0.018356
0.020000,0.203234,0.659843,0.185000,0.860000,2.000000,0.000000,0.022057
0.020000,0.220829,0.660265,0.202600,0.900000,2.000000,0.000000,0.025928
0.020000,0.239222,0.660779,0.221000,0.940000,2.000000,-0.000000,0.029965
0.020000,0.258412,0.661395,0.240200,0.980000,2.000000,0.000000,0.034169
0.020000,0.278399,0.662122,0.260200,1.020000,2.000000,0.000000,0.038537
0.020000,0.299181,0.662970,0.281000,1.060000,2.000000,0.000000,0.043068
0.020000,0.320759,0.663951,0.302600,1.100000,2.000000,0.000000,0.047760
0.020000,0.343131,0.665075,0.325000,1.140000,2.000000,-0.000000,0.052609
0.020000,0.366296,0.666353,0.348200,1.180000,2.000000,0.000000,0.057615
0.020000,0.390252,0.667797,0.372200,1.220000,2.000000,0.000000,0.062775
0.020000,0.414999,0.669418,0.397000,1.260000,2.000000,0.000000,0.068085
0.020000,0.440535,0.671229,0.422600,1.300000,2.000000,0.000000,0.073544
0.020000,0.466858,0.673243,0.449000,1.340000,2.000000,0.000000,0.079147
