dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.020330,0.384469,0.000200,0.020000,1.000000,50.000000,6.264207
0.020000,0.020380,0.384468,0.000249,0.002461,-0.876943,-93.847127,6.264386
0.020000,0.020478,0.384466,0.000348,0.004922,0.123019,49.998075,6.264744
0.020000,0.020626,0.384463,0.000495,0.007380,0.122942,-0.003861,6.265281
0.020000,0.021719,0.384444,0.001589,0.054689,2.365421,112.123965,6.265996
0.020000,0.025965,0.384373,0.005835,0.212304,7.880740,275.765970,6.266890
0.020000,0.031059,0.384293,0.010930,0.254747,2.122161,-287.928962,6.267963
0.020000,0.037002,0.384206,0.016874,0.297186,2.121959,-0.010121,6.269214
0.020000,0.043794,0.384116,0.023667,0.339642,2.122814,0.042785,6.270643
0.020000,0.051436,0.384027,0.031309,0.382095,2.122627,-0.009352,6.272249
0.020000,0.059926,0.383941,0.039799,0.424537,2.122109,-0.025919,6.274034
0.020000,0.069265,0.383865,0.049139,0.466985,2.122424,0.015767,6.275996
0.020000,0.079453,0.383803,0.059327,0.509408,2.121143,-0.064061,6.278134
0.020000,0.090490,0.383760,0.070363,0.551809,2.120023,-0.056015,6.280449
0.020000,0.102375,0.383742,0.082249,0.594269,2.123021,0.149901,6.282940
0.020000,0.115108,0.383756,0.094982,0.636652,2.119118,-0.195164,0.002421
0.020000,0.128689,0.383808,0.108563,0.679049,2.119855,0.036892,0.005261
0.020000,0.143118,0.383906,0.122992,0.721462,2.120649,0.039672,0.008276
0.020000,0.158394,0.384056,0.138269,0.763834,2.118621,-0.101416,0.011464
0.020000,0.174516,0.384268,0.154393,0.806195,2.118049,-0.028582,0.014824
0.020000,0.191485,0.384550,0.171364,0.848561,2.118310,0.013063,0.018356
0.020000,0.209299,0.384910,0.189182,0.890905,2.117168,-0.057098,0.022057
0.020000,0.227958,0.385358,0.207846,0.933203,2.114916,-0.112635,0.025928
0.020000,0.247461,0.385903,0.227357,0.975533,2.116483,0.078377,0.029965
0.020000,0.267807,0.386555,0.247712,1.017791,2.112937,-0.177293,0.034169
0.020000,0.288994,0.387326,0.268914,1.060059,2.113400,0.023164,0.038537
0.020000,0.311021,0.388225,0.290960,1.102302,2.112132,-0.063415,0.043068
0.020000,0.333888,0.389265,0.313850,1.144504,2.110095,-0.101882,0.047760
0.020000,0.357592,0.390455,0.337583,1.186676,2.108624,-0.073530,0.052609
0.020000,0.382131,0.391809,0.362160,1.228835,2.107936,-0.034407,0.057615
0.020000,0.407504,0.393338,0.387579,1.270948,2.105642,-0.114681,0.062775
0.020000,0.433708,0.395055,0.413839,1.313000,2.102608,-0.151709,0.068085
0.020000,0.460741,0.396973,0.440940,1.355065,2.103245,0.031866,0.073544
0.020000,0.488600,0.399104,0.468881,1.397039,2.098696,-0.227444,0.079147
0.020000,0.517283,0.401462,0.497661,1.438980,2.097043,-0.082656,0.084891
0.020000,0.546787,0.404060,0.527278,1.480878,2.094926,-0.105872,0.090774
0.020000,0.577107,0.406912,0.557733,1.522726,2.092375,-0.127543,0.096790
0.020000,0.608242,0.410032,0.589023,1.564514,2.089430,-0.147270,0.102937
0.020000,0.640186,0.413433,0.621148,1.606237,2.086128,-0.165058,0.109208
0.020000,0.672936,0.417130,0.654105,1.647887,2.082510,-0.180925,0.115601
0.020000,0.706487,0.421137,0.687895,1.689502,2.080736,-0.088695,0.122110
0.020000,0.740836,0.425467,0.722516,1.731011,2.075446,-0.264516,0.128730
0.020000,0.775976,0.430137,0.757965,1.772465,2.072725,-0.136056,0.135455
0.020000,0.811904,0.435158,0.794242,1.813840,2.068751,-0.198707,0.142280
0.020000,0.848613,0.440547,0.831344,1.855126,2.064296,-0.222725,0.149198
0.020000,0.886098,0.446316,0.869271,1.896327,2.060028,-0.213407,0.156204
