dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.030699,0.934371,0.000200,0.020000,1.000000,50.000000,6.264459
0.020000,0.030659,0.934372,0.000240,0.001976,-0.901200,-95.059993,0
0.020000,0.030580,0.934373,0.000319,0.003951,0.098761,49.998049,0
0.020000,0.030462,0.934375,0.000437,0.005925,0.098683,-0.003907,0
0.020000,0.030857,0.934369,0.000833,0.019782,0.692842,29.707936,0
0.020000,0.034660,0.934304,0.004636,0.190145,8.518182,391.267035,0
0.020000,0.039222,0.934231,0.009199,0.228163,1.900899,-330.864174,0
0.020000,0.044546,0.934150,0.014523,0.266196,1.901638,0.036955,0
0.020000,0.050630,0.934064,0.020608,0.304253,1.902829,0.059540,0
0.020000,0.057475,0.933975,0.027454,0.342293,1.901995,-0.041701,0
0.020000,0.065082,0.933887,0.035060,0.380340,1.902385,0.019502,0
0.020000,0.073449,0.933803,0.043428,0.418392,1.902607,0.011118,0
0.020000,0.082578,0.933726,0.052558,0.456469,1.903842,0.061743,0
0.020000,0.092469,0.933661,0.062449,0.494541,1.903567,-0.013759,0
0.020000,0.103121,0.933610,0.073101,0.532603,1.903118,-0.022443,0
0.020000,0.114535,0.933580,0.084515,0.570718,1.905758,0.132008,0
0.020000,0.126711,0.933574,0.096691,0.608804,1.904292,-0.073301,0.000680
0.020000,0.139649,0.933599,0.109629,0.646910,1.905298,0.050293,0.003086
0.020000,0.153350,0.933659,0.123330,0.685040,1.906499,0.060054,0.005628
0.020000,0.167813,0.933759,0.137794,0.723179,1.906956,0.022850,0.008306
0.020000,0.183039,0.933907,0.153020,0.761332,1.907670,0.035689,0.011118
0.020000,0.199028,0.934109,0.169010,0.799506,1.908654,0.049206,0.014064
0.020000,0.215779,0.934370,0.185764,0.837684,1.908945,0.014554,0.017141
0.020000,0.233294,0.934698,0.203282,0.875874,1.909495,0.027479,0.020350
0.020000,0.251572,0.935101,0.221564,0.914118,1.912196,0.135060,0.023687
0.020000,0.270613,0.935585,0.240611,0.952346,1.911400,-0.039815,0.027153
0.020000,0.290416,0.936158,0.260423,0.990610,1.913205,0.090250,0.030744
0.020000,0.310984,0.936829,0.281001,1.028911,1.915021,0.090820,0.034460
0.020000,0.332314,0.937606,0.302346,1.067222,1.915545,0.026203,0.038299
0.020000,0.354407,0.938496,0.324457,1.105561,1.916974,0.071463,0.042257
0.020000,0.377264,0.939509,0.347336,1.143930,1.918466,0.074594,0.046335
0.020000,0.400883,0.940654,0.370982,1.182345,1.920720,0.112697,0.050528
0.020000,0.425264,0.941940,0.395398,1.220771,1.921311,0.029566,0.054836
0.020000,0.450408,0.943376,0.420583,1.259240,1.923456,0.107246,0.059255
0.020000,0.476314,0.944971,0.446538,1.297746,1.925268,0.090589,0.063782
0.020000,0.502981,0.946737,0.473263,1.336296,1.927521,0.112641,0.068415
0.020000,0.530410,0.948682,0.500761,1.374877,1.929036,0.075770,0.073151
0.020000,0.558599,0.950816,0.529031,1.413504,1.931378,0.117064,0.077987
0.020000,0.587549,0.953150,0.558075,1.452178,1.933681,0.115163,0.082920
0.020000,0.617258,0.955695,0.587893,1.490897,1.935972,0.114573,0.087945
0.020000,0.647726,0.958460,0.618486,1.529663,1.938277,0.115254,0.093060
0.020000,0.678953,0.961456,0.649856,1.568488,1.941272,0.149730,0.098261
0.020000,0.710936,0.964694,0.682003,1.607362,1.943676,0.120209,0.103543
0.020000,0.743677,0.968185,0.714929,1.646292,1.946517,0.142027,0.108904
0.020000,0.777172,0.971940,0.748634,1.685276,1.949195,0.133920,0.114338
0.020000,0.811423,0.975969,0.783121,1.724331,1.952770,0.178717,0.119841
0.020000,0.846427,0.980283,0.818390,1.763443,1.955576,0.140321,0.125409
0.020000,0.882183,0.984893,0.854442,1.802619,1.958791,0.160749,0.131036
0.020000,0.918691,0.989811,0.891279,1.841862,1.962163,0.168626,0.136718
0.020000,0.955948,0.995045,0.928903,1.881182,1.965999,0.191782,0.142451
0.020000,0.993765,1.000580,0.967122,1.910960,1.488897,-23.855109,0.148199
0.020000,1.031759,1.006364,1.005554,1.921574,0.530717,-47.909005,0.153902
0.020000,1.069740,1.012365,1.044006,1.922612,0.051864,-23.942650,0.159530
