dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.025549,0.659419,0.000200,0.020000,1.000000,50.000000,6.264459
0.020000,0.025549,0.659419,0.001000,0.060000,2.000000,50.000000,6.264603
0.020000,0.025549,0.659419,0.002600,0.100000,2.000000,0.000000,6.264890
0.020000,0.025549,0.659419,0.005000,0.140000,2.000000,0.000000,6.265321
0.020000,0.026103,0.659410,0.008200,0.180000,2.000000,-0.000000,6.265895
0.020000,0.030102,0.659342,0.012200,0.220000,2.000000,0.000000,6.266613
0.020000,0.034902,0.659264,0.017000,0.260000,2.000000,0.000000,6.267473
0.020000,0.040501,0.659179,0.022600,0.300000,2.000000,-0.000000,6.268476
0.020000,0.046900,0.659089,0.029000,0.340000,2.000000,0.000000,6.269622
0.020000,0.054100,0.658996,0.036200,0.380000,2.000000,-0.000000,6.270910
0.020000,0.062099,0.658903,0.044200,0.420000,2.000000,0.000000,6.272340
0.020000,0.070898,0.658815,0.053000,0.460000,2.000000,0.000000,6.273911
0.020000,0.080498,0.658734,0.062600,0.500000,2.000000,-0.000000,6.275623
0.020000,0.090898,0.658665,0.073000,0.540000,2.000000,0.000000,6.277475
0.020000,0.102098,0.658612,0.084200,0.580000,2.000000,-0.000000,6.279466
0.020000,0.114098,0.658580,0.096200,0.620000,2.000000,0.000000,6.281597
0.020000,0.126898,0.658575,0.109000,0.660000,2.000000,0.000000,0.000680
0.020000,0.140498,0.658600,0.122600,0.700000,2.000000,-0.000000,0.003086
0.020000,0.154898,0.658663,0.137000,0.740000,2.000000,0.000000,0.005628
0.020000,0.170097,0.658769,0.152200,0.780000,2.000000,0.000000,0.008306
0.020000,0.186096,0.658924,0.168200,0.820000,2.000000,-0.000000,0.011118
0.020000,0.202895,0.659136,0.185000,0.860000,2.000000,0.000000,0.014064
0.020000,0.220493,0.659410,0.202600,0.900000,2.000000,0.000000,0.017141
0.020000,0.238890,0.659755,0.221000,0.940000,2.000000,-0.000000,0.020350
0.020000,0.258085,0.660178,0.240200,0.980000,2.000000,0.000000,0.023687
0.020000,0.278079,0.660686,0.260200,1.020000,2.000000,0.000000,0.027153
0.020000,0.298870,0.661288,0.281000,1.060000,2.000000,0.000000,0.030744
0.020000,0.320458,0.661993,0.302600,1.100000,2.000000,0.000000,0.034460
0.020000,0.342844,0.662807,0.325000,1.140000,2.000000,-0.000000,0.038299
0.020000,0.366025,0.663741,0.348200,1.180000,2.000000,0.000000,0.042257
0.020000,0.390001,0.664804,0.372200,1.220000,2.000000,0.000000,0.046335
0.020000,0.414772,0.666005,0.397000,1.260000,2.000000,0.000000,0.050528
0.020000,0.440337,0.667353,0.422600,1.300000,2.000000,0.000000,0.054836
0.020000,0.466694,0.668858,0.449000,1.340000,2.000000,0.000000,0.059255
0.020000,0.493842,0.670531,0.476200,1.380000,2.000000,-0.000000,0.063782
0.020000,0.521781,0.672380,0.504200,1.420000,2.000000,0.000000,0.068415
0.020000,0.550509,0.674417,0.533000,1.460000,2.000000,0.000000,0.073151
0.020000,0.580024,0.676652,0.562600,1.500000,2.000000,0.000000,0.077987
0.020000,0.610326,0.679095,0.593000,1.540000,2.000000,0.000000,0.082920
0.020000,0.641412,0.681757,0.624200,1.580000,2.000000,0.000000,0.087945
0.020000,0.673281,0.684650,0.656200,1.620000,2.000000,0.000000,0.093060
0.020000,0.705931,0.687783,0.689000,1.660000,2.000000,-0.000000,0.098261
0.020000,0.739360,0.691167,0.722600,1.700000,2.000000,0.000000,0.103543
0.020000,0.773566,0.694815,0.757000,1.740000,2.000000,0.000000,0.108904
0.020000,0.808547,0.698736,0.792200,1.780000,2.000000,0.000000,0.114338
0.020000,0.844300,0.702941,0.828200,1.820000,2.000000,0.000000,0.119841
0.020000,0.880824,0.707443,0.865000,1.860000,2.000000,0.000000,0.125409
0.020000,0.918115,0.712251,0.902600,1.900000,2.000000,-0.000000,0.131036
0.020000,0.956171,0.717377,0.941000,1.940000,2.000000,0.000000,0.136718
0.020000,0.994990,0.722831,0.980200,1.980000,2.000000,0.000000,0.142451
0.020000,1.034370,0.728595,1.020000,2.000000,1.000000,-50.000000,0.148199
0.020000,1.073915,0.734614,1.060000,2.000000,0.000000,-50.000000,0.153902
0.020000,1.113425,0.740857,1.100000,2.000000,0.000000,0.000000,0.159530
0.020000,1.152899,0.747321,1.140000,2.000000,0.000000,0.000000,0.165083
0.020000,1.192337,0.754003,1.180000,2.000000,0.000000,0.000000,0.170559
0.020000,1.231738,0.760899,1.220000,2.000000,0.000000,0.000000,0.175957
0.020000,1.271101,0.768006,1.260000,2.000000,0.000000,0.000000,0.181277
0.020000,1.310427,0.775321,1.300000,2.000000,0.000000,0.000000,0.186519
0.020000,1.349714,0.782840,1.340000,2.000000,0.000000,0.000000,0.191681
0.020000,1.388961,0.790560,1.380000,2.000000,0.000000,0.000000,0.196763
0.020000,1.428170,0.798479,1.420000,2.000000,0.000000,0.000000,0.201765
0.020000,1.467338,0.806591,1.460000,2.000000,0.000000,0.000000,0.206685
0.020000,1.506467,0.814895,1.500000,2.000000,0.000000,0.000000,0.211524
0.020000,1.545555,0.823386,1.540000,2.000000,0.000000,0.000000,0.216282
0.020000,1.584603,0.832062,1.580000,2.000000,0.000000,0.000000,0.220956
0.020000,1.623610,0.840918,1.620000,2.000000,0.000000,0.000000,0.225548
0.020000,1.662577,0.849952,1.660000,2.000000,0.000000,0.000000,0.230057
0.020000,1.701503,0.859159,1.700000,2.000000,0.000000,0.000000,0.234483
0.020000,1.740388,0.868538,1.740000,2.000000,0.000000,0.000000,0.238826
0.020000,1.779232,0.878083,1.780000,2.000000,0.000000,0.000000,0.243084
0.020000,1.818036,0.887792,1.820000,2.000000,0.000000,0.000000,0.247259
0.020000,1.856799,0.897662,1.860000,2.000000,0.000000,0.000000,0.251349
0.020000,1.895522,0.907688,1.900000,2.000000,0.000000,0.000000,0.255355
0.020000,1.934205,0.917868,1.940000,2.000000,0.000000,0.000000,0.259277
0.020000,1.972848,0.928198,1.980000,2.000000,0.000000,0.000000,0.263114
0.020000,2.011452,0.938674,2.020000,2.000000,0.000000,0.000000,0.266867
0.020000,2.050016,0.949293,2.060000,2.000000,0.000000,0.000000,0.270535
0.020000,2.088542,0.960052,2.100000,2.000000,0.000000,0.000000,0.274119
0.020000,2.127030,0.970948,2.140000,2.000000,0.000000,0.000000,0.277618
0.020000,2.165479,0.981977,2.180000,2.000000,0.000000,0.000000,0.281032
0.020000,2.203891,0.993135,2.220000,2.000000,0.000000,0.000000,0.284362
0.020000,2.242267,1.004419,2.260000,2.000000,0.000000,0.000000,0.287607
0.020000,2.280606,1.015826,2.300000,2.000000,0.000000,0.000000,0.290768
0.020000,2.318909,1.027353,2.340000,2.000000,0.000000,0.000000,0.293844
0.020000,2.357177,1.038996,2.380000,2.000000,0.000000,0.000000,0.296835
0.020000,2.395410,1.050751,2.420000,2.000000,0.000000,0.000000,0.299743
0.020000,2.433610,1.062617,2.460000,2.000000,0.000000,0.000000,0.302566
0.020000,2.471777,1.074588,2.500000,2.000000,0.000000,0.000000,0.305305
0.020000,2.509911,1.086662,2.540000,2.000000,0.000000,0.000000,0.307960
0.020000,2.548013,1.098836,2.580000,2.000000,0.000000,0.000000,0.310531
0.020000,2.586085,1.111106,2.620000,2.000000,0.000000,0.000000,0.313019
0.020000,2.624126,1.123470,2.660000,2.000000,0.000000,0.000000,0.315422
0.020000,2.662138,1.135923,2.700000,2.000000,0.000000,0.000000,0.317743
0.020000,2.700122,1.148462,2.740000,2.000000,0.000000,0.000000,0.319979
0.020000,2.738078,1.161085,2.780000,2.000000,0.000000,0.000000,0.322133
0.020000,2.776007,1.173789,2.820000,2.000000,0.000000,0.000000,0.324203
0.020000,2.813910,1.186569,2.860000,2.000000,0.000000,0.000000,0.326190
0.020000,2.851789,1.199422,2.900000,2.000000,0.000000,0.000000,0.328095
0.020000,2.889643,1.212347,2.940000,2.000000,0.000000,0.000000,0.329917
0.020000,2.927475,1.225339,2.980000,2.000000,0.000000,0.000000,0.331656
0.020000,2.965284,1.238395,3.020000,2.000000,0.000000,0.000000,0.333312
0.020000,3.003072,1.251511,3.060000,2.000000,0.000000,0.000000,0.334886
0.020000,3.040840,1.264686,3.100000,2.000000,0.000000,0.000000,0.336378
0.020000,3.078589,1.277916,3.140000,2.000000,0.000000,0.000000,0.337788
0.020000,3.116320,1.291197,3.180000,2.000000,0.000000,0.000000,0.339116
0.020000,3.154033,1.304527,3.220000,2.000000,0.000000,0.000000,0.340362
0.020000,3.191731,1.317903,3.260000,2.000000,0.000000,0.000000,0.341526
0.020000,3.229413,1.331320,3.300000,2.000000,0.000000,0.000000,0.342608
0.020000,3.267082,1.344777,3.340000,2.000000,0.000000,0.000000,0.343609
0.020000,3.304737,1.358270,3.380000,2.000000,0.000000,0.000000,0.344528
0.020000,3.342381,1.371796,3.420000,2.000000,0.000000,0.000000,0.345366
0.020000,3.380014,1.385353,3.460000,2.000000,0.000000,0.000000,0.346122
0.020000,3.417637,1.398936,3.500000,2.000000,0.000000,0.000000,0.346798
0.020000,3.455251,1.412543,3.540000,2.000000,0.000000,0.000000,0.347392
0.020000,3.492858,1.426170,3.580000,2.000000,0.000000,0.000000,0.347904
0.020000,3.530459,1.439816,3.620000,2.000000,0.000000,0.000000,0.348336
0.020000,3.568054,1.453476,3.660000,2.000000,0.000000,0.000000,0.348687
0.020000,3.605645,1.467148,3.700000,2.000000,0.000000,0.000000,0.348956
0.020000,3.643233,1.480828,3.740000,2.000000,0.000000,0.000000,0.349145
0.020000,3.680819,1.494514,3.780000,2.000000,0.000000,0.000000,0.349252
0.020000,3.718404,1.508203,3.820000,2.000000,0.000000,0.000000,0.349279
0.020000,3.755989,1.521891,3.860000,2.000000,0.000000,0.000000,0.349224
0.020000,3.793575,1.535575,3.900000,2.000000,0.000000,0.000000,0.349089
0.020000,3.831164,1.549253,3.940000,2.000000,0.000000,0.000000,0.348872
0.020000,3.868756,1.562922,3.980000,2.000000,0.000000,0.000000,0.348575
0.020000,3.906353,1.576577,4.020000,2.000000,0.000000,0.000000,0.348196
0.020000,3.943956,1.590217,4.060000,2.000000,0.000000,0.000000,0.347737
0.020000,3.981565,1.603838,4.100000,2.000000,0.000000,0.000000,0.347196
0.020000,4.019182,1.617437,4.140000,2.000000,0.000000,0.000000,0.346574
0.020000,4.056809,1.631011,4.180000,2.000000,0.000000,0.000000,0.345871
0.020000,4.094445,1.644557,4.220000,2.000000,0.000000,0.000000,0.345087
0.020000,4.132093,1.658072,4.260000,2.000000,0.000000,0.000000,0.344221
0.020000,4.169753,1.671553,4.300000,2.000000,0.000000,0.000000,0.343273
0.020000,4.207426,1.684997,4.340000,2.000000,0.000000,0.000000,0.342244
0.020000,4.245113,1.698400,4.380000,2.000000,0.000000,0.000000,0.341134
0.020000,4.282816,1.711760,4.420000,2.000000,0.000000,0.000000,0.339942
0.020000,4.320536,1.725074,4.460000,2.000000,0.000000,0.000000,0.338668
0.020000,4.358272,1.738338,4.500000,2.000000,0.000000,0.000000,0.337312
0.020000,4.396028,1.751549,4.540000,2.000000,0.000000,0.000000,0.335874
0.020000,4.433803,1.764704,4.580000,2.000000,0.000000,0.000000,0.334353
0.020000,4.471598,1.777800,4.620000,2.000000,0.000000,0.000000,0.332751
0.020000,4.509415,1.790835,4.660000,2.000000,0.000000,0.000000,0.331066
0.020000,4.547254,1.803803,4.700000,2.000000,0.000000,0.000000,0.329298
0.020000,4.585117,1.816704,4.740000,2.000000,0.000000,0.000000,0.327448
0.020000,4.623004,1.829533,4.780000,2.000000,0.000000,0.000000,0.325515
0.020000,4.660916,1.842287,4.820000,2.000000,0.000000,0.000000,0.323499
0.020000,4.698854,1.854962,4.860000,2.000000,0.000000,0.000000,0.321400
0.020000,4.736820,1.867557,4.900000,2.000000,0.000000,0.000000,0.319218
0.020000,4.774813,1.880067,4.940000,2.000000,0.000000,0.000000,0.316953
0.020000,4.812835,1.892490,4.980000,2.000000,0.000000,0.000000,0.314604
0.020000,4.850887,1.904821,5.020000,2.000000,0.000000,0.000000,0.312171
0.020000,4.888969,1.917059,5.060000,2.000000,0.000000,0.000000,0.309655
0.020000,4.927082,1.929199,5.100000,2.000000,0.000000,0.000000,0.307055
0.020000,4.965227,1.941238,5.140000,2.000000,0.000000,0.000000,0.304371
0.020000,5.003405,1.953173,5.180000,2.000000,0.000000,0.000000,0.301603
0.020000,5.041616,1.965001,5.220000,2.000000,0.000000,0.000000,0.298751
0.020000,5.079862,1.976718,5.260000,2.000000,0.000000,0.000000,0.295814
0.020000,5.118142,1.988321,5.300000,2.000000,0.000000,0.000000,0.292794
0.020000,5.156457,1.999807,5.340000,2.000000,0.000000,0.000000,0.289688
0.020000,5.194809,2.011173,5.380000,2.000000,0.000000,0.000000,0.286499
0.020000,5.233197,2.022414,5.420000,2.000000,0.000000,0.000000,0.283224
0.020000,5.271622,2.033528,5.460000,2.000000,0.000000,0.000000,0.279866
0.020000,5.310084,2.044511,5.500000,2.000000,0.000000,0.000000,0.276422
0.020000,5.348585,2.055360,5.540000,2.000000,0.000000,0.000000,0.272894
0.020000,5.387124,2.066071,5.580000,2.000000,0.000000,0.000000,0.269281
0.020000,5.425702,2.076642,5.620000,2.000000,0.000000,0.000000,0.265584
0.020000,5.464319,2.087068,5.660000,2.000000,0.000000,0.000000,0.261802
0.020000,5.502976,2.097346,5.700000,2.000000,0.000000,0.000000,0.257936
0.020000,5.541673,2.107474,5.740000,2.000000,0.000000,0.000000,0.253985
