dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.020400,0.384468,0.000200,0.020000,1.000000,50.000000,6.264459
0.020000,0.020439,0.384467,0.000240,0.001976,-0.901200,-95.059993,0
0.020000,0.020518,0.384465,0.000319,0.003951,0.098761,49.998049,0
0.020000,0.020637,0.384463,0.000437,0.005925,0.098683,-0.003907,0
0.020000,0.021348,0.384451,0.001149,0.035575,1.482485,69.190086,0
0.020000,0.025545,0.384380,0.005346,0.209877,8.715146,361.633061,0
0.020000,0.030581,0.384298,0.010383,0.251827,2.097500,-330.882313,0
0.020000,0.036456,0.384209,0.016258,0.293786,2.097947,0.022381,0
0.020000,0.043170,0.384114,0.022974,0.335763,2.098826,0.043956,0
0.020000,0.050724,0.384017,0.030528,0.377711,2.097402,-0.071242,0
0.020000,0.059117,0.383920,0.038921,0.419656,2.097256,-0.007304,0
0.020000,0.068348,0.383827,0.048153,0.461593,2.096849,-0.020323,0
0.020000,0.078419,0.383742,0.058224,0.503543,2.097481,0.031578,0
0.020000,0.089328,0.383669,0.069133,0.545470,2.096363,-0.055855,0
0.020000,0.101075,0.383614,0.080880,0.587369,2.094968,-0.069756,0
0.020000,0.113661,0.383581,0.093467,0.629307,2.096888,0.096002,0
0.020000,0.127085,0.383575,0.106890,0.671191,2.094184,-0.135209,0.000680
0.020000,0.141346,0.383601,0.121152,0.713073,2.094105,-0.003964,0.003086
0.020000,0.156445,0.383667,0.136251,0.754956,2.094134,0.001459,0.005628
0.020000,0.172381,0.383778,0.152187,0.796820,2.093231,-0.045149,0.008306
0.020000,0.189154,0.383941,0.168961,0.838670,2.092494,-0.036878,0.011118
0.020000,0.206763,0.384163,0.186571,0.880509,2.091930,-0.028171,0.014064
0.020000,0.225207,0.384451,0.205017,0.922318,2.090474,-0.072815,0.017141
0.020000,0.244485,0.384812,0.224299,0.964101,2.089167,-0.065354,0.020350
0.020000,0.264599,0.385255,0.244417,1.005903,2.090085,0.045920,0.023687
0.020000,0.285545,0.385788,0.265370,1.047643,2.087006,-0.153984,0.027153
0.020000,0.307323,0.386418,0.287158,1.089376,2.086633,-0.018614,0.030744
0.020000,0.329933,0.387156,0.309780,1.131098,2.086111,-0.026137,0.034460
0.020000,0.353373,0.388009,0.333235,1.172778,2.083998,-0.105613,0.038299
0.020000,0.377642,0.388987,0.357524,1.214432,2.082706,-0.064600,0.042257
0.020000,0.402739,0.390099,0.382645,1.256058,2.081301,-0.070247,0.046335
0.020000,0.428661,0.391356,0.408599,1.297669,2.080545,-0.037838,0.050528
0.020000,0.455409,0.392766,0.435383,1.339225,2.077769,-0.138793,0.054836
0.020000,0.482979,0.394341,0.462998,1.380755,2.076498,-0.063533,0.059255
0.020000,0.511370,0.396090,0.491443,1.422248,2.074656,-0.092116,0.063782
0.020000,0.540580,0.398023,0.520717,1.463709,2.073085,-0.078524,0.068415
0.020000,0.570607,0.400152,0.550820,1.505119,2.070491,-0.129728,0.073151
0.020000,0.601449,0.402488,0.581749,1.546491,2.068580,-0.095539,0.077987
0.020000,0.633103,0.405040,0.613506,1.587819,2.066402,-0.108895,0.082920
0.020000,0.665566,0.407820,0.646088,1.629098,2.063982,-0.120984,0.087945
0.020000,0.698835,0.410839,0.679494,1.670325,2.061346,-0.131826,0.093060
0.020000,0.732909,0.414109,0.713725,1.711510,2.059227,-0.105918,0.098261
0.020000,0.767784,0.417640,0.748777,1.752634,2.056228,-0.149982,0.103543
0.020000,0.803455,0.421444,0.784651,1.793704,2.053467,-0.138060,0.108904
0.020000,0.839921,0.425531,0.821345,1.834710,2.050290,-0.158806,0.114338
0.020000,0.877178,0.429914,0.858859,1.875667,2.047851,-0.121967,0.119841
0.020000,0.915221,0.434603,0.897190,1.916553,2.044338,-0.175650,0.125409
0.020000,0.954047,0.439609,0.936337,1.957374,2.041034,-0.165206,0.131036
0.020000,0.993652,0.444943,0.976300,1.998127,2.037667,-0.168329,0.136718
0.020000,1.034032,0.450616,1.017076,2.038819,2.034572,-0.154762,0.142451
0.020000,1.074976,0.456609,1.058457,2.069035,1.510792,-26.188999,0.148199
0.020000,1.116071,0.462864,1.100025,2.078412,0.468876,-52.095796,0.153902
0.020000,1.157110,0.469349,1.141573,2.077389,-0.051158,-26.001687,0.159530
0.020000,1.198091,0.476060,1.183100,2.076342,-0.052332,-0.058739,0.165083
0.020000,1.239013,0.482993,1.224606,2.075289,-0.052661,-0.016424,0.170559
0.020000,1.279877,0.490145,1.266090,2.074227,-0.053107,-0.022305,0.175957
