dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000485,10.875000,0.005535,0.553488,27.674395,1383.719726,6.283141
0.020000,0.000361,10.875000,0.005659,0.006193,-27.364762,-2751.957801,6.283152
0.020000,0.000083,10.875000,0.005937,0.013917,0.386232,1387.549678,6.283178
0.020000,0.067847,10.875001,0.073701,3.388207,168.714509,8416.413847,0.000035
0.020000,0.183433,10.875009,0.189288,5.779323,119.555798,-2457.935574,0.000094
0.020000,0.332048,10.875028,0.337902,7.430738,82.570727,-1849.253534,0.000170
0.020000,0.513694,10.875068,0.519548,9.082287,82.577449,0.336132,0.000263
0.020000,0.728374,10.875136,0.734228,10.734000,82.585666,0.410847,0.000371
0.020000,0.976092,10.875243,0.981946,12.385908,82.595376,0.485496,0.000496
0.020000,1.256853,10.875402,1.262707,14.038039,82.606582,0.560275,0.000635
0.020000,1.570661,10.875626,1.576516,15.690425,82.619281,0.634941,0.000790
0.020000,1.917523,10.875929,1.923378,17.343095,82.633473,0.709613,0.000958
0.020000,2.297444,10.876328,2.303299,18.996078,82.649161,0.784379,0.001141
0.020000,2.710432,10.876839,2.716287,20.649405,82.666340,0.858958,0.001337
0.020000,3.156494,10.877482,3.162349,22.303105,82.685018,0.933906,0.001545
0.020000,3.635637,10.878275,3.641493,23.957209,82.705186,1.008405,0.001765
0.020000,4.147871,10.879238,4.153728,25.611746,82.726850,1.083222,0.001995
0.020000,4.693205,10.880392,4.699063,27.266746,82.750007,1.157829,0.002236
0.020000,5.271648,10.881758,5.277508,28.922239,82.774657,1.232508,0.002486
0.020000,5.883211,10.883358,5.889073,30.578255,82.800808,1.307551,0.002744
0.020000,6.527905,10.885213,6.533770,32.234824,82.828442,1.381716,0.003009
0.020000,7.205741,10.887345,7.211609,33.891975,82.857576,1.456684,0.003281
0.020000,7.916731,10.889776,7.922604,35.549740,82.888209,1.531638,0.003557
0.020000,8.660889,10.892528,8.666767,37.208146,82.920325,1.605804,0.003837
0.020000,9.438228,10.895621,9.444111,38.867225,82.953943,1.680885,0.004119
0.020000,10.248760,10.899075,10.254651,40.527006,82.989048,1.755290,0.004403
0.020000,11.092502,10.902911,11.098402,42.187519,83.025653,1.830242,0.004687
0.020000,11.969468,10.907146,11.975378,43.848794,83.063745,1.904590,0.004969
0.020000,12.879673,10.911798,12.885595,45.510861,83.103335,1.979516,0.005249
0.020000,13.823134,10.916881,13.829070,47.173749,83.144413,2.053864,0.005524
0.020000,14.799868,10.922408,14.805820,48.837489,83.186994,2.129049,0.005792
0.020000,15.809893,10.928392,15.815862,50.502110,83.231053,2.202953,0.006054
0.020000,16.853226,10.934841,16.859215,52.167642,83.276611,2.277933,0.006306
0.020000,17.929886,10.941762,17.935897,53.834115,83.323673,2.353061,0.006546
0.020000,19.039892,10.949157,19.045928,55.501560,83.372208,2.426779,0.006774
0.020000,20.183266,10.957027,20.189328,57.170005,83.422248,2.501972,0.006988
0.020000,21.360026,10.965368,21.366118,58.839480,83.473782,2.576695,0.007184
0.020000,22.570194,10.974173,22.576318,60.510016,83.526801,2.650988,0.007363
