dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.005535,0.553488,27.674395,1383.719726,6.283141
0.020000,0.000000,0.000000,0.027674,1.660464,55.348789,1383.719726,6.283152
0.020000,0.000000,0.000000,0.077488,3.320927,83.023184,1383.719726,6.283178
0.020000,0.068227,0.000001,0.160511,4.981391,83.023184,-0.000000,0.000035
0.020000,0.184460,0.000009,0.276744,6.641855,83.023184,0.000000,0.000094
0.020000,0.333901,0.000029,0.426186,8.302318,83.023184,-0.000000,0.000170
0.020000,0.516552,0.000068,0.608837,9.962782,83.023184,0.000000,0.000263
0.020000,0.732413,0.000137,0.824697,11.623246,83.023184,0.000000,0.000371
0.020000,0.981482,0.000245,1.073767,13.283709,83.023184,0.000000,0.000496
0.020000,1.263761,0.000404,1.356045,14.944173,83.023184,0.000000,0.000635
0.020000,1.579249,0.000629,1.671533,16.604637,83.023184,-0.000000,0.000790
0.020000,1.927946,0.000934,2.020231,18.265100,83.023184,0.000000,0.000958
0.020000,2.309853,0.001335,2.402137,19.925564,83.023184,-0.000000,0.001141
0.020000,2.724968,0.001849,2.817253,21.586028,83.023184,0.000000,0.001337
0.020000,3.173293,0.002495,3.265579,23.246491,83.023184,-0.000000,0.001545
0.020000,3.654827,0.003292,3.747113,24.906955,83.023184,0.000000,0.001765
0.020000,4.169569,0.004260,4.261857,26.567419,83.023184,-0.000000,0.001995
0.020000,4.717521,0.005420,4.809810,28.227882,83.023184,0.000000,0.002236
0.020000,5.298682,0.006792,5.390972,29.888346,83.023184,0.000000,0.002486
0.020000,5.913051,0.008399,6.005344,31.548810,83.023184,-0.000000,0.002744
0.020000,6.560630,0.010262,6.652924,33.209273,83.023184,-0.000000,0.003009
0.020000,7.241416,0.012403,7.333715,34.869737,83.023184,0.000000,0.003281
0.020000,7.955411,0.014845,8.047714,36.530201,83.023184,0.000000,0.003557
0.020000,8.702615,0.017608,8.794923,38.190664,83.023184,-0.000000,0.003837
0.020000,9.483027,0.020713,9.575341,39.851128,83.023184,-0.000000,0.004119
0.020000,10.296647,0.024181,10.388968,41.511592,83.023184,0.000000,0.004403
0.020000,11.143474,0.028031,11.235804,43.172055,83.023184,-0.000000,0.004687
0.020000,12.023510,0.032281,12.115850,44.832519,83.023184,0.000000,0.004969
0.020000,12.936753,0.036948,13.029105,46.492983,83.023184,-0.000000,0.005249
0.020000,13.883203,0.042047,13.975569,48.153446,83.023184,0.000000,0.005524
0.020000,14.862861,0.047591,14.955243,49.813910,83.023184,0.000000,0.005792
0.020000,15.875726,0.053592,15.968126,51.474374,83.023184,-0.000000,0.006054
0.020000,16.921798,0.060058,17.014218,53.134837,83.023184,0.000000,0.006306
0.020000,18.001078,0.066995,18.093519,54.795301,83.023184,-0.000000,0.006546
0.020000,19.113564,0.074407,19.206030,56.455765,83.023184,0.000000,0.006774
0.020000,20.259256,0.082292,20.351750,58.116228,83.023184,-0.000000,0.006988
0.020000,21.438156,0.090649,21.530679,59.776692,83.023184,0.000000,0.007184
0.020000,22.650262,0.099468,22.742817,61.437156,83.023184,-0.000000,0.007363
0.020000,23.895576,0.108737,23.988165,63.097620,83.023184,0.000000,0.007520
0.020000,25.174096,0.118442,25.266722,64.758083,83.023184,-0.000000,0.007655
0.020000,26.485823,0.128559,26.578488,66.418547,83.023184,-0.000000,0.007766
0.020000,27.830758,0.139064,27.923464,68.079011,83.023184,0.000000,0.007849
0.020000,29.208900,0.149923,29.301649,69.739474,83.023184,0.000000,0.007904
0.020000,30.620250,0.161098,30.713043,71.399938,83.023184,0.000000,0.007927
0.020000,32.064808,0.172546,32.157646,73.060402,83.023184,-0.000000,0.007916
0.020000,33.542574,0.184214,33.635459,74.720865,83.023184,0.000000,0.007869
0.020000,35.053550,0.196045,35.146481,76.381329,83.023184,0.000000,0.007784
0.020000,36.597735,0.207973,36.690712,78.041793,83.023184,0.000000,0.007658
0.020000,38.175130,0.219924,38.268153,79.702256,83.023184,-0.000000,0.007488
0.020000,39.785736,0.231816,39.878803,81.362720,83.023184,0.000000,0.007272
0.020000,41.429553,0.243557,41.522662,83.023184,83.023184,-0.000000,0.007006
0.020000,43.106582,0.255049,43.199730,84.683647,83.023184,0.000000,0.006690
0.020000,44.811289,0.266145,44.904473,85.790623,55.348789,-1383.719726,0.006320
0.020000,46.529810,0.276651,46.623026,86.064768,13.707241,-2082.077392,0.005898
0.020000,48.242750,0.286360,48.335993,85.231937,-41.641548,-2767.439452,0.005429
0.020000,49.933503,0.295114,50.026769,83.845618,-69.315942,-1383.719726,0.004919
0.020000,51.593793,0.302832,51.687077,82.185154,-83.023184,-685.362060,0.004371
0.020000,53.220877,0.309477,53.314175,80.524691,-83.023184,0.000000,0.003790
0.020000,54.814757,0.315035,54.908064,78.864227,-83.023184,0.000000,0.003178
0.020000,56.375430,0.319500,56.468744,77.203763,-83.023184,0.000000,0.002537
0.020000,57.902897,0.322872,57.996215,75.543300,-83.023184,0.000000,0.001872
0.020000,59.397157,0.325159,59.490476,73.882836,-83.023184,-0.000000,0.001183
0.020000,60.858208,0.326374,60.951528,72.222372,-83.023184,0.000000,0.000474
0.020000,62.286051,0.326535,62.379371,70.561909,-83.023184,-0.000000,6.282932
0.020000,63.680684,0.325667,63.774005,68.901445,-83.023184,0.000000,6.282188
0.020000,65.042107,0.323798,65.135429,67.240981,-83.023184,0.000000,6.281432
0.020000,66.370319,0.320963,66.463644,65.580518,-83.023184,0.000000,6.280664
0.020000,67.665319,0.317198,67.758650,63.920054,-83.023184,0.000000,6.279887
0.020000,68.927107,0.312544,69.020446,62.259590,-83.023184,-0.000000,6.279103
0.020000,70.155682,0.307048,70.249033,60.599127,-83.023184,0.000000,6.278315
0.020000,71.351043,0.300755,71.444411,58.938663,-83.023184,-0.000000,6.277524
0.020000,72.513191,0.293718,72.606580,57.278199,-83.023184,0.000000,6.276732
0.020000,73.642124,0.285988,73.735539,55.617736,-83.023184,-0.000000,6.275941
0.020000,74.737842,0.277620,74.831289,53.957272,-83.023184,0.000000,6.275153
0.020000,75.800345,0.268671,75.893830,52.296808,-83.023184,-0.000000,6.274370
0.020000,76.829633,0.259200,76.923162,50.636345,-83.023184,0.000000,6.273594
0.020000,77.825705,0.249265,77.919284,48.975881,-83.023184,0.000000,6.272826
0.020000,78.788563,0.238926,78.882197,47.315417,-83.023184,0.000000,6.272068
0.020000,79.718205,0.228245,79.811901,45.654954,-83.023184,-0.000000,6.271321
0.020000,80.614632,0.217281,80.708395,43.994490,-83.023184,0.000000,6.270588
0.020000,81.477845,0.206097,81.571680,42.334026,-83.023184,-0.000000,6.269869
0.020000,82.307844,0.194753,82.401756,40.673563,-83.023184,0.000000,6.269166
0.020000,83.104628,0.183310,83.198623,39.013099,-83.023184,0.000000,6.268481
0.020000,83.868199,0.171827,83.962280,37.352635,-83.023184,0.000000,6.267814
0.020000,84.598557,0.160364,84.692728,35.692172,-83.023184,0.000000,6.267167
