dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000485,-10.875000,0.005535,0.553488,27.674395,1383.719726,6.283141
0.020000,-0.000361,-10.875000,0.005659,0.006193,-27.364762,-2751.957801,6.283152
0.020000,-0.000083,-10.875000,0.005937,0.013917,0.386232,1387.549678,6.283178
0.020000,0.068607,-10.874999,0.074627,3.434499,171.029080,8532.142374,0.000035
0.020000,0.185486,-10.874991,0.191506,5.843922,120.471168,-2527.895562,0.000094
0.020000,0.335755,-10.874971,0.341774,7.513435,83.475640,-1849.776408,0.000170
0.020000,0.519411,-10.874932,0.525430,9.182813,83.468917,-0.336139,0.000263
0.020000,0.736451,-10.874863,0.742471,10.852027,83.460701,-0.410822,0.000371
0.020000,0.986872,-10.874754,0.992892,12.521047,83.450989,-0.485575,0.000496
0.020000,1.270669,-10.874594,1.276689,14.189843,83.439785,-0.560199,0.000635
0.020000,1.587837,-10.874368,1.593857,15.858385,83.427087,-0.634940,0.000790
0.020000,1.938369,-10.874061,1.944389,17.526643,83.412893,-0.709678,0.000958
0.020000,2.322261,-10.873658,2.328281,19.194587,83.397207,-0.784323,0.001141
0.020000,2.739504,-10.873141,2.745525,20.862187,83.380023,-0.859158,0.001337
0.020000,3.190092,-10.872492,3.196113,22.529414,83.361351,-0.933622,0.001545
0.020000,3.674016,-10.871691,3.680038,24.196238,83.341180,-1.008539,0.001765
0.020000,4.191268,-10.870718,4.197290,25.862628,83.319518,-1.083135,0.001995
0.020000,4.741838,-10.869553,4.747862,27.528555,83.296359,-1.157940,0.002236
0.020000,5.325716,-10.868175,5.331741,29.193989,83.271705,-1.232669,0.002486
0.020000,5.942892,-10.866560,5.948919,30.858901,83.245565,-1.307025,0.002744
0.020000,6.593354,-10.864689,6.599385,32.523259,83.217920,-1.382262,0.003009
0.020000,7.277092,-10.862538,7.283125,34.187035,83.188786,-1.456680,0.003281
0.020000,7.994091,-10.860086,8.000129,35.850198,83.158164,-1.531104,0.003557
0.020000,8.744341,-10.857312,8.750384,37.512719,83.126038,-1.606312,0.003837
0.020000,9.527826,-10.854195,9.533875,39.174567,83.092426,-1.680587,0.004119
0.020000,10.344533,-10.850714,10.350589,40.835714,83.057315,-1.755531,0.004403
0.020000,11.194446,-10.846850,11.200512,42.496128,83.020717,-1.829912,0.004687
0.020000,12.077552,-10.842585,12.083627,44.155780,82.982619,-1.904888,0.004969
0.020000,12.993833,-10.837903,12.999920,45.814641,82.943034,-1.979269,0.005249
0.020000,13.943272,-10.832788,13.949374,47.472680,82.901950,-2.054221,0.005524
0.020000,14.925854,-10.827227,14.931971,49.129868,82.859383,-2.128320,0.005792
0.020000,15.941560,-10.821209,15.947695,50.786174,82.815309,-2.203698,0.006054
0.020000,16.990371,-10.814726,16.996526,52.441569,82.769749,-2.277987,0.006306
0.020000,18.072269,-10.807772,18.078446,54.096023,82.722707,-2.352124,0.006546
0.020000,19.187235,-10.800344,19.193437,55.749506,82.674153,-2.427679,0.006774
0.020000,20.335247,-10.792442,20.341476,57.401988,82.624118,-2.501755,0.006988
